Chunk_ID,Chunk_Index,Content,Content_Length,Quality_Score,Reliability,Source_Type,Original_Content,Enhancement_Version,book_name,chunkIndex,chunkSize,enhancementTimestamp,enhancementVersion,extractedAt,grade,loc_lines,method,publisher,qualityMetrics_chineseCharRatio,qualityMetrics_coherenceScore,qualityMetrics_lengthScore,qualityMetrics_ocrConfidence,semester,source,source_file,subject,textLength
义务教育教科书_·_数学三年级上册_chunk_0,0,®\n\n义务 教育 教科 书\n\nYIWU JIAOYU JIAOKESHU\n\nSHUXUE\n\n数学三年级义务教育教科书数学上册数\n学三年级上册三年级上册 产品定价： （央美）小数三年级上册-（出片）封面.indd 1\n\n元\n\n2022/8/6 22:24 义务教育教科书数学三年级上册人民教育出版社课程教材研究所小学数学教材编委会\n\n·北京· 绘图：中央美术学院小学数学教材插图绘制团队责任编辑：周小川美术编辑：房海莹朱\n\n颖义务教育教科书数学三年级上册人民教育出版社课程教材研究所小学数学教材编委会出\n\n版网\n\n址\n\nhttp://www.pep.com.cn\n\n重印\n\n××× 出版社发\n\n行\n\n××× 新华书店印\n\n刷\n\n××× 印刷厂版\n\n次\n\n2022 年 8 月第 2 版印\n\n次开\n\n本\n\n787 毫米 ×1092 毫米印\n\n张\n\n7.5\n\n字数\n\n150 千字印\n\n数册\n\n书号\n\n定价\n\n（北京市海淀区中关村南大街 17 号院 1 号楼年\n\n月第邮编：100081）\n\n次印刷\n1/16\n\nISBN 978-7-107-36924-7\n元版权所有·未经许可不得采用任何方式擅自复制或使用本产品任何部分·违者必究如发现印、装质量问题，影响阅读，请与本社联系。电话：400-810-5788 编者 的话亲爱的同学： 新学期开始了，你将和聪聪一起继续探索神奇的数学世界。 生活中处处有数学，你注意到了吗？ 一个月饼平均分成\n2 份，每份是……\n\n计量很短的时间，需要比“分”更小的时间单位—秒；把一个物品平均分成几份，可以用一种新的数—分数，来表示分的结果；在解决问题时，有时候需要精确计算，有时候用估算就可以了……\n现在就和聪聪一起继续学习数学、探索数学吧！ 编者\n2022 年 7 月目\n\n录\n\n时、分、秒\n\n万以内的加法和减法（一）\n\n测量\n\n21\n\n万以内的加法和减法（二） 36\n\n倍的认识\n\n50\n\n多位数乘一位数\n\n56 数字编码\n\n77\n\n长方形和正方形\n\n79\n\n分数的初步认识\n\n89,857,0,unknown,text-extracted,,2.0,义务教育教科书_·_数学三年级上册,0,998,2025-07-21T14:23:05.872Z,2.0,2025-07-20T04:14:41.552Z,三年级,[object Object],node-poppler,unknown,0.7040673211781207,0.7999999999999999,0.857,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/小学/数学/人教版/义务教育教科书 · 数学三年级上册.pdf,义务教育教科书 · 数学三年级上册.json,数学,33488
义务教育教科书_·_数学三年级上册_chunk_1,1,目录\n\n时、分、秒\n\n万以内的加法和减法（一）\n\n测量\n\n21\n\n万以内的加法和减法（二） 36\n\n倍的认识\n\n50\n\n多位数乘一位数\n\n56 数字编码\n\n77\n\n长方形和正方形\n\n79\n\n分数的初步认识\n\n89\n\n数学广角— 集合\n\n104\n\n10\n\n总复习\n\n108 1\n\n时、分、秒\n\n10、9、8、7、6、\n5、4、3、2、1。 新年的钟声敲响了！ 9 秒。 2\n\n1 分钟到，115 个。 计量很短的时间，常用秒。秒是比分更小的时间单位。 钟面上最长最细的针是秒针。秒针走 1 小格的时间是 1 秒。 观察一下，秒针走一圈，分针走多少小格。你发现了什么？ 1 分 =（\n\n）秒有的电子表可以显示到秒。 6 时 55 分 57 秒这些是秒表。一般在体育运动中用来记录以秒为单位的时间。 1 秒有多长？ 钟表滴答一声是 1 秒。 1 秒钟可以做哪些事情呢？ 3 做一做\n30 秒有多长？分别用 30 秒进行下面的活动，记录结果。 1\n\n深呼吸走路次\n\n写数米\n\n从 1 写到另选一项活动，做 30 秒。像上面那样记录活动的结果。 1 分钟有多长？ 2\n\n1，2，3，…，59，60。 试一试 1 分钟你能做些什么。 1\n\n2 时 =（\n\n）分\n2 时是（\n\n1 时是 60 分。 想一想：3 分 = （\n\n）个 60 分。 ）秒做一做\n60 秒 =（\n\n）分\n\n4 时 =（\n\n）分\n\n1 分 40 秒 =（\n\n）秒 2\n\n小明从家走到学校用了多长时间？ 离家到校阅读与理解问题是什么？ 需要利用哪些信息？ 分析与解答可以直接数一数，分针走了\n3 个大格，是 15 分钟。 8：05\n\n我直接计算。 回顾与反思\n\n8：20\n\n20- 5=15（分）\n\n8：05 过 15 分钟就是 8：20。 解答正确。 答：小明从家走到学校用了 15 分钟。 做一做现 在才 上午 8：40， 我还要等多久才开门呢？ 5 练习一圈出合适的答案。 1\n\n登鹳雀楼 [ 唐 ] 王之涣白日依山尽，黄河入海流。 欲穷千里目，更上一层楼。 读一遍这首古诗少于 1 分钟,876,0,unknown,text-extracted,,2.0,义务教育教科书_·_数学三年级上册,1,996,2025-07-21T14:23:05.872Z,2.0,2025-07-20T04:14:41.552Z,三年级,[object Object],node-poppler,unknown,0.6759530791788856,0.7999999999999999,0.876,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/小学/数学/人教版/义务教育教科书 · 数学三年级上册.pdf,义务教育教科书 · 数学三年级上册.json,数学,33488
义务教育教科书_·_数学三年级上册_chunk_2,2,8：20\n\n20- 5=15（分）\n\n8：05 过 15 分钟就是 8：20。 解答正确。 答：小明从家走到学校用了 15 分钟。 做一做现 在才 上午 8：40， 我还要等多久才开门呢？ 5 练习一圈出合适的答案。 1\n\n登鹳雀楼 [ 唐 ] 王之涣白日依山尽，黄河入海流。 欲穷千里目，更上一层楼。 读一遍这首古诗少于 1 分钟在（\n\n做一遍广播体操多于 1 分钟少于 1 分钟多于 1 分钟\n\n）里填上合适的时间单位。 （1）小红每天大约睡 10（\n\n）。 （2）小亮系红领巾大约需要 20（\n\n（3）爸爸做一顿饭大约需要 35（\n\n）。 ）。 记录自己完成下面的事情分别要用多长时间。 3\n\n照样画估计用： 在教室里按绿线走实际用： 估计用： 实际用： 在里填上“>”“<”或“=”。 4\n\n9分\n3时\n\n90 秒\n\n200 分\n\n24 分\n\n140 秒\n\n4时\n\n2分\n\n1 分 15 秒\n1 时 30 分\n\n65 秒\n90 分 5\n\n做下面的事情，大约要用多长时间？ （1）打开一盏电灯用。 （2）唱一首歌用。 （3）刷牙用。 6\n\n运动前，1 分钟心跳约（\n）下， 呼吸约（\n）次。 运动前，1 分钟心跳约（\n）下， 呼吸约（\n）次。 7\n\n运动后，1 分钟心跳约（\n）下， 呼吸约（\n）次。 跑 50 米运动后，1 分钟心跳约（\n）下， 呼吸约（\n\n跳 80 下\n\n）次。 小组中的一名同学计时，其他同学闭上眼睛，如果认为到了\n30 秒，就把手举起来。 （1）核对一下，每人估计的 30 秒实际是多长时间。 （2）比一比，看谁估计得最准。请这名同学说说自己是怎么估计的。 （3）如果估得不准，你打算怎样调整自己估计的方式？ 8\n\n（20 分）\n11：20\n\n）： （： （\n\n）： （： ）： 7 某市 1 号线地铁运行全程需要 35 分钟。9：15 从始发站发出的\n\n列车，什么时候能到达终点站？ 10\n\n连一连。 我跑得最快。 11\n\n（1）上午第一节课是多长时间？ （2） 上午 10：02 同学 们正 在做\n什么？,869,0,unknown,text-extracted,,2.0,义务教育教科书_·_数学三年级上册,2,975,2025-07-21T14:23:05.872Z,2.0,2025-07-20T04:14:41.552Z,三年级,[object Object],node-poppler,unknown,0.6479076479076479,0.7999999999999999,0.869,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/小学/数学/人教版/义务教育教科书 · 数学三年级上册.pdf,义务教育教科书 · 数学三年级上册.json,数学,33488
义务教育教科书_·_数学三年级上册_chunk_3,3,（20 分）\n11：20\n\n）： （： （\n\n）： （： ）： 7 某市 1 号线地铁运行全程需要 35 分钟。9：15 从始发站发出的\n\n列车，什么时候能到达终点站？ 10\n\n连一连。 我跑得最快。 11\n\n（1）上午第一节课是多长时间？ （2） 上午 10：02 同学 们正 在做\n什么？ （3）如果你从家到学校要走 10 分钟，你最晚什么时候从家里出发才能不迟到？说说你的我跑得最慢。 蓝天小学作息时间表（上午）\n8：20—8：40\n8：40—9：20\n\n9：30—10：10\n\n10：10—10：15\n10：25—11：05\n\n早操第一节课第二节课眼保健操第三节课第四节课理由。 （4）你能发现上课时间的规律吗？请你填出上午第四节课的上课时间。 本单元结束了， 你有什么收获？ 成长小档案\n\n1 分钟能做好多事情呢！ 我的收获是： 2\n\n万以内的加法和减法（一）\n\n我们要去参观植物园啦！ 9 1\n\n（1）一年级一共需要多少个座位？ 3 5 +3 4=\n你是怎样口算的？和同学交流一下。 先算 35+30=65， 再算 65+4……\n\n3 5 +3 4 =6 9\n30 4\n65\n\n先算 30+30=60， 再算 5+4=9……\n\n3 5 +3 4 =6 9\n\n30 5 30 4\n60 9\n\n（2）二年级一共需要多少个座位？ 3 9 +4 4=\n先算 39 + 40 = 79，再算 79 + 4……\n\n3 9 +4 4 =8 3\n40 4\n79\n\n想一想：还可以怎样算？ 做一做请你利用上页主题图中的信息完成下面的题目，并说说是怎样计算的。 （1）三年级一共需要多少个座位？ （2）四年级一共需要多少个座位？ （3）你还能提出其他数学问题并解答吗？ 10 2\n\n45 元\n\n34 元\n\n（1）折扇比水杯贵多少元？ 8元\n\n（2）书签比折扇便宜多少元？ 45-34=\n\n45-28=\n\n想：先算 45 - 30 = 15， 再算 15 - 4。 4 5 - 3 4 =1 1\n\n28 元想：先算 45 再算\n\n=，。 你是怎样想的？把你的想法和同学说一说。 30 4\n\n15\n\n你还能提出其他数学问题并解答吗？ 做一做,914,0,unknown,text-extracted,,2.0,义务教育教科书_·_数学三年级上册,3,995,2025-07-21T14:23:05.873Z,2.0,2025-07-20T04:14:41.552Z,三年级,[object Object],node-poppler,unknown,0.5620736698499318,0.7999999999999999,0.914,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/小学/数学/人教版/义务教育教科书 · 数学三年级上册.pdf,义务教育教科书 · 数学三年级上册.json,数学,33488
义务教育教科书_·_数学三年级上册_chunk_4,4,45 元\n\n34 元\n\n（1）折扇比水杯贵多少元？ 8元\n\n（2）书签比折扇便宜多少元？ 45-34=\n\n45-28=\n\n想：先算 45 - 30 = 15， 再算 15 - 4。 4 5 - 3 4 =1 1\n\n28 元想：先算 45 再算\n\n=，。 你是怎样想的？把你的想法和同学说一说。 30 4\n\n15\n\n你还能提出其他数学问题并解答吗？ 做一做\n\n23\n\n35\n\n+6 5\n\n-26\n\n56\n\n27\n\n-24\n\n+1 8\n\n47\n\n86\n\n+3 6\n\n-37\n\n11 练习二\n13\n\n34+\n\n21\n32\n\n38\n24\n\n=\n\n44\n\n+1 6 =\n\n56\n62\n\n口算。 54+ 28=\n74+ 16=\n\n7 6 +2 3 =\n\n4 8 +2 9 =\n\n6 4 +2 2 =\n\n1 4 +7 3 =\n\n3 3 +4 5 =\n\n1 4 +3 7 =\n\n我买一个和一个一共 _____ 元。， 72 元\n\n58 元\n\n25 元\n\n37 元小组一组二组个数\n\n36\n\n27\n\n我买……\n\n两个小组回收矿泉水瓶的情况见右表。这两个小组一共回收了多少个矿泉水瓶？ 5\n\n12\n\n35\n\n+1 2\n\n- 28\n\n+3 3\n\n- 42 6\n\n照样子算一算。 57+36=93\n\n57 - 36=21\n\n39 48 57 62 40 51 43 50\n9 36 17\n\n上半场比赛结束了。 2 8 4 3\n一队\n\n5 28 30 24 19\n\n全场比赛结束了。 6 7 4 5\n\n二队二队一队\n\n（1）上半场二队领先多少分？ （2）下半场二队得了多少分？ 8\n\n（1）上衣比裤子贵多少���？ （2）上衣和裤子一共多少元？ 46 元\n\n38 元一辆公交车从车站出发时，车内有乘客 42 人。到下一站时， 下去 5 人，上来 18 人，这时车内有乘客多少人？ 10\n\n三年级共有 96 人，每人都参加了周三下午的一项社团活动。 参加科技类的有 33 人，参加文艺类的有 27 人。参加其他社团活动的有多少人？ 13 3\n\n植物园里的一个纪念品商店，上午卖出 380 个钥匙扣，下午卖出 550 个钥匙扣。,899,0,unknown,text-extracted,,2.0,义务教育教科书_·_数学三年级上册,4,966,2025-07-21T14:23:05.873Z,2.0,2025-07-20T04:14:41.552Z,三年级,[object Object],node-poppler,unknown,0.4922360248447205,0.7999999999999999,0.899,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/小学/数学/人教版/义务教育教科书 · 数学三年级上册.pdf,义务教育教科书 · 数学三年级上册.json,数学,33488
义务教育教科书_·_数学三年级上册_chunk_5,5,38 元一辆公交车从车站出发时，车内有乘客 42 人。到下一站时， 下去 5 人，上来 18 人，这时车内有乘客多少人？ 10\n\n三年级共有 96 人，每人都参加了周三下午的一项社团活动。 参加科技类的有 33 人，参加文艺类的有 27 人。参加其他社团活动的有多少人？ 13 3\n\n植物园里的一个纪念品商店，上午卖出 380 个钥匙扣，下午卖出 550 个钥匙扣。 （1）上午和下午一共卖出多少个钥匙扣？ 3 8 0 +5 5 0 =\n3 8 + 55= 93\n3 8 0 + 550= 930\n\n百十 个\n\n+ 51 5\n\n我是列竖式计算的。 0\n\n为什么得数的百位上不是 8？ 二年级卫生评比\n（2）下午比上午多卖出多少个钥匙扣？ 550- 380=\n5 5 - 38= 17\n5 5 0 - 380= 170\n\n百十 个\n\n15\n\n-3\n\n\n我是列竖式计算的。 0\n\n为什么百位上要用 4 减 3？ 做一做列竖式计算。 410+ 2 5 0\n\n280 - 16 0\n14\n\n9 7 0-4 8 0\n\n6 3 0 +2 9 0\n\n3 4 0 +3 7 0\n\n450-260\n\n3 6 0 +2 4 0\n\n800-150 4\n\n一到三年级来了 223 人， 四到六年级来了 234 人。 科技馆的影院有 445 个座位，六个年级的学生同时看电影坐得下吗？ 阅读与理解问题是什么？ 需要利用哪些信息？ 分析与解答判断能不能坐得下，估一估就行。 把 223 看成 220， 把 234 看成 230。 223 > 200，234 > 200， 223+234 一定大于 400， 但还是不能确定是否大于 445。 223>220，234>230， 220+230=450， 223+234 一定大于 450， 450 大于 445，坐不下。 回顾与反思我的估算合理吗？ 答：六个年级的学生同时看电影坐不下。 做一做两所初中分别有 196 名和 226 名学生，这两所初中的学生同时去这家影院看电影，坐得下吗？ 15 练习三\n\n230\n+ 540\n\n320\n+ 180\n\n490\n- 130\n\n240\n- 160,905,0,unknown,text-extracted,,2.0,义务教育教科书_·_数学三年级上册,5,996,2025-07-21T14:23:05.873Z,2.0,2025-07-20T04:14:41.552Z,三年级,[object Object],node-poppler,unknown,0.53737658674189,0.7999999999999999,0.905,0.95,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/小学/数学/人教版/义务教育教科书 · 数学三年级上册.pdf,义务教育教科书 · 数学三年级上册.json,数学,33488
义务教育教科书_·_数学三年级上册_chunk_6,6,223+234 一定大于 450， 450 大于 445，坐不下。 回顾与反思我的估算合理吗？ 答：六个年级的学生同时看电影坐不下。 做一做两所初中分别有 196 名和 226 名学生，这两所初中的学生同时去这家影院看电影，坐得下吗？ 15 练习三\n\n230\n+ 540\n\n320\n+ 180\n\n490\n- 130\n\n240\n- 160\n\n360\n+ 240\n\n420\n+ 390\n\n570\n- 380\n\n920\n- 860\n\n一年级有 150 名学生，二年级有 170 名学生。两个年级的学生一起接种疫苗，一共需要多少个一次性注射器？ 3\n\n张阿姨家去年收了 780 千克苹果，今年收了 850 千克苹果。 今年比去年多收了多少千克苹果？ 4\n\n按要求把下面的数填在相应的圈中。 （1） 20 3\n\n195\n\n123\n\n285\n\n308\n\n（2） 45 2\n\n441\n\n447\n\n459\n\n436\n\n接近 100\n\n接近 440\n\n16\n\n接近 200\n\n接近 450\n\n215\n\n114\n\n458\n\n463\n\n接近 300\n\n接近 460 5\n\n连一连。 720 - 112\n\n258+171\n\n349+22 6\n\n8 6 4 - 243\n\n525 - 239\n\n106+438\n\n比 500 大\n\n619 - 203\n\n比 400 小\n\n119+201\n\n北京到郑州，飞机票价 700 元，高铁票价 309 元。从北京到郑州，坐高铁比坐飞机大约便宜多少钱？ 7\n\n36 0\n71 0\n22 0\n\n490\n\n+2 8 0 =\n\n-270=\n\n800\n320\n\n650\n\n+2 0 0\n\n-160\n\n博物馆三天的进馆参观人数见右表。这三天一共有多少人进馆参观？ +2 8 0\n\n-450\n\n时间参观人数第一天\n\n230\n\n第二天\n\n360\n\n第三天\n\n340\n\n17 10\n\n某工程队计划维修道路 840 米，上午维修了 350 米，下午维修了 240 米。还剩多少米道路没有维修？ 11\n\n一本书有 237 页，小丽读了 143 页。 大约还有多少页没读？ 12\n\n妈妈想买右面的两件商品， 400 元够吗？ 245 元\n\n187 元\n13,922,0,unknown,text-extracted,,2.0,义务教育教科书_·_数学三年级上册,6,964,2025-07-21T14:23:05.873Z,2.0,2025-07-20T04:14:41.552Z,三年级,[object Object],node-poppler,unknown,0.48255813953488375,0.7999999999999999,0.922,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/小学/数学/人教版/义务教育教科书 · 数学三年级上册.pdf,义务教育教科书 · 数学三年级上册.json,数学,33488
义务教育教科书_·_数学三年级上册_chunk_7,7,-450\n\n时间参观人数第一天\n\n230\n\n第二天\n\n360\n\n第三天\n\n340\n\n17 10\n\n某工程队计划维修道路 840 米，上午维修了 350 米，下午维修了 240 米。还剩多少米道路没有维修？ 11\n\n一本书有 237 页，小丽读了 143 页。 大约还有多少页没读？ 12\n\n妈妈想买右面的两件商品， 400 元够吗？ 245 元\n\n187 元\n13\n\n电影院的 1 号放映厅有 336 个座位，2 号放映厅有 142 个座位。 1 号放映厅大约比 2 号放映厅多多少个座位？ 14\n\n上午卖出\n\n219 根下午卖出\n\n402 根原有\n\n528 瓶卖出\n\n184 瓶\n\n（1）小军说今天卖出的雪糕不到 600 根，他说的对吗？ （2）你还能提出其他数学问题并解答吗？ 18 整理和复习计算两位数加、减两位数和几百几十加、减几百几十时要注意什么？它们之间有什么联系？ 650 减 340，其实就是 65 个十减 34 个十。 相同数位上的数才能相加减。 1\n\n口算。 86-34=\n\n52+3 5 =\n\n36+2 0 =\n\n62-18=\n\n2 3 +6 9 =\n\n70 - 2 6 =\n\n4 7 +3 3 =\n\n65-15=\n\n2 5 +4 5 =\n\n计算下面各题。 650 +3 4 0\n\n840 - 5 6 0\n\n3 7 0 +4 8 0\n\n750-540\n\n3 9 0 +2 5 0\n\n440-150\n\n5 2 0 +3 0 0\n\n600-240\n\n中央广播电视塔东方明珠广播电视塔广州塔高 405 米高 468 米高 600 米\n\n（1）广州塔比中央广播电视塔大约高几百米？ （2）你还能提出其他数学问题并解答吗？ 19 练习四\n\n自己想一些几百几十的数，照样子做做看。 3 4 0 +180=520\n\n360\n\n450\n\n340\n\n在里填上“>”“<”或“=”。 62+ 1 3\n\n306+ 4 3 2\n\n180\n\n340 - 180=160\n\n78\n\n800\n\n83-26\n\n1 3 8 +5 8 7\n\n57\n\n700\n\n3 8 +4 7\n\n644-328\n\n92-17\n\n350,902,0,unknown,text-extracted,,2.0,义务教育教科书_·_数学三年级上册,7,957,2025-07-21T14:23:05.873Z,2.0,2025-07-20T04:14:41.552Z,三年级,[object Object],node-poppler,unknown,0.4828101644245142,0.7999999999999999,0.902,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/小学/数学/人教版/义务教育教科书 · 数学三年级上册.pdf,义务教育教科书 · 数学三年级上册.json,数学,33488
义务教育教科书_·_数学三年级上册_chunk_8,8,练习四\n\n自己想一些几百几十的数，照样子做做看。 3 4 0 +180=520\n\n360\n\n450\n\n340\n\n在里填上“>”“<”或“=”。 62+ 1 3\n\n306+ 4 3 2\n\n180\n\n340 - 180=160\n\n78\n\n800\n\n83-26\n\n1 3 8 +5 8 7\n\n57\n\n700\n\n3 8 +4 7\n\n644-328\n\n92-17\n\n350\n\n邮局、电影院和超市在笔直的创业大路的同一侧，邮局距超市\n280 米，电影院距超市 350 米。邮局距电影院多少米？ 有几种可能？ 4\n\n小玲做一道加法题，把一个加数 26 错看成了 62，得到的结果是 84。这道加法题的正确结果是多少？ 本单元结束了， 你有什么收获？ 成长小档案\n\n20\n\n我会利用两位数加、\n减两位数的方法来计 算几 百几 十加、\n减几百几十。 我的收获是： 3\n\n测量毫米、分米的认识\n\n估一估数学书的长、宽和厚各是多少厘米。 宽大约是……\n\n数学书的长大约是……\n\n厚大约是……\n\n26\n\n同学们估得准确吗？用尺子量量看！ 2\n\n25\n1cm\n\n24\n26\n\n17\n\n18\n\n19\n\n量出的宽是……\n\n25\n\n量出的长是……\n\n16\n\n数学书的厚度不到\n1 厘米，怎么办？ 量比较短的物体的长度或者要求量得比较精确时，可以用毫米（mm）作单位。 21 1 厘米里的每一个小格的长度是 1 毫米。 数一数，1 厘米里有多少毫米。 1 厘米 =10 毫米先用手势表示出 1 毫米的长度，再说一说哪些物品的长度大约是 1 毫米。 身份证大约厚 1 毫米。 说一说，生活中测量哪些物品一般用毫米作单位。 做一做\n\n填一填。 ____ 厘米 ____ 毫米\n\n____ 厘米 ____ 毫米\n\n量一量。 ____ 毫米\n22\n\n____ 毫米\n\n____ 毫米量物体的长度有时也用分米（dm）作单位。 2\n\n在直尺上，指出 10 厘米的长度。10 厘米是 1 分米。 1 分米\n\n1 分米 =10 厘米用手势表示出 1 分米的长度。 0\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15,882,0,unknown,text-extracted,,2.0,义务教育教科书_·_数学三年级上册,8,994,2025-07-21T14:23:05.873Z,2.0,2025-07-20T04:14:41.552Z,三年级,[object Object],node-poppler,unknown,0.6157205240174672,0.7999999999999999,0.882,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/小学/数学/人教版/义务教育教科书 · 数学三年级上册.pdf,义务教育教科书 · 数学三年级上册.json,数学,33488
义务教育教科书_·_数学三年级上册_chunk_9,9,____ 毫米\n\n____ 毫米量物体的长度有时也用分米（dm）作单位。 2\n\n在直尺上，指出 10 厘米的长度。10 厘米是 1 分米。 1 分米\n\n1 分米 =10 厘米用手势表示出 1 分米的长度。 0\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n想一想：1 米等于多少分米？ 1 米 =10 分米\n\n70 厘米\n\n3 厘米\n\n3 厘米 = （ ）毫米\n\n70 厘米 =（ ）分米想：1 厘米是 10 毫米， 想：10 厘米是 1 分米， 3 厘米是（ ）个 10 毫米。 70 厘米里面有（ ）个 10 厘米。 做一做\n8 分米 =（ ）厘米\n\n5 米 =（ ）分米\n\n60 毫米 =（ ）厘米\n23 练习五\n\n量出每条边的长度（以毫米作单位）。 ）\n（\n\n）\n\n（\n\n（\n\n）\n\n90 厘米 =（\n\n（\n\n）\n\n长 16（\n\n） 100 毫米 = （\n\n）分米\n\n6 分米 =（\n\n）厘米\n\n）\n\n）分米\n）厘米先估计，再测量。 要测量的量\n\n24\n\n）\n\n粗 7（\n\n）\n\n2 米 =（\n\n）\n\n）\n\n（\n\n（\n\n在（ ）里填上合适的长度单位。 高 1（\n\n）\n\n）\n\n（\n\n）\n\n（\n\n（\n\n）\n\n（\n\n先判断下面哪个图形是正方形，再量一量，看你判断得是否正确。 （\n\n估计测量粉笔的长厘米厘米毫米文具盒的宽厘米厘米毫米 6\n\n按要求画线段。 （1）画一条长 5 厘米 8 毫米的线段。 （2）画一条长 1 分米的线段。 7\n\n在（ ）里填上合适的单位或数。 身长 6（\n\n一步长 5（\n\n）\n\n厚（\n\n）毫米\n\n6 厘米\n\n60 毫米在 里填上“>”“<”或“= ”。 5 分米\n1米\n\n）\n\n5 毫米\n7 分米\n\n8 毫米\n9 毫米\n\n2 厘米\n3 分米\n\n4 分米\n\n4米把一根长 2 米的木料，锯成同样长的 4 根做凳子腿。这个凳子的高大约是多少？ 10,815,0,unknown,text-extracted,,2.0,义务教育教科书_·_数学三年级上册,9,958,2025-07-21T14:23:05.873Z,2.0,2025-07-20T04:14:41.552Z,三年级,[object Object],node-poppler,unknown,0.5870736086175943,0.7999999999999999,0.815,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/小学/数学/人教版/义务教育教科书 · 数学三年级上册.pdf,义务教育教科书 · 数学三年级上册.json,数学,33488
