Chunk_ID,Chunk_Index,Content,Content_Length,Quality_Score,Reliability,Source_Type,Original_Content,Enhancement_Version,book_name,chunk_index,enhancementTimestamp,enhancementVersion,filename,grade,processing_method,publisher,qualityMetrics_chineseCharRatio,qualityMetrics_coherenceScore,qualityMetrics_lengthScore,qualityMetrics_ocrConfidence,semester,source,source_file,subject,total_chunks
义务教育教科书_·_数学二年级上册_chunk_0,0,"和和\n让\n2022\n多\nAW\n: qH\n\n到 ZNA/\n痪 |\n有 Wi\nEl |LE\n1IN\n|\n|\n现二 |\n| |\n一一 |\n有 AI\nAAS\n中 Se 1 ) B\n) | 局全 NS\n加人 仆\nTAR 从 FEE|]\n用本 Ttx:\n(出有 oh /\n| 下 | 由 Sa\nWU 二到\nARpRL ZA 55 <Ba 多 -h A\nWEI AP\nANIE 6—>\nFI\N al a\n二年 级人 民教 育出 版社 课程教材研究所\n小学 数学教材编 委会\n力 3 »\nAAT hrsi 2\n.北京 : 绘图: 中央 美术 学院 小学 数学教材插图绘制团队责任编辑 : 刘丽\n美术编辑 : HiEE 王苗\n义务教育教科书 ”数学二 年级 上册\n人民 教育 出版 社 ”课程教材研究所\n小学 数学教材编 委会\n出版 AALdxmzt\n(北京市 海淀区 中关 村南大街 17 号院 1 号楼 邮编: 100081)\n网址 http:/www.pep-com.cn\n重印 xxx 出版 社发 行 xxx 新华 书店印 刷 xxx 印刷三\n版次 2022 年 8 月第 2 版印 “次年 月第 次印刷开 本 ”787 毫米 x 1092 毫米 ”1/16\n印张 7\n字数 140 千字\n印 “ 数册\n书号 JISBN 978-7-107-36923-0\n 元\n版权 所有 “ 未经 许可不 得采用任何方式擅自复制或 使用 本产品任何部 分 "" 违者 必究\n如发 现印 、 装质量问题， 影响 阅读， 请与 本社 联系。 电话 : 400-810-5788",675,0,unknown,text-extracted,,2.0,义务教育教科书_·_数学二年级上册,0,2025-07-21T14:23:05.986Z,2.0,义务教育教科书 · 数学二年级上册,二年级,ocr,unknown,0.514344262295082,0.5,0.675,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/小学/数学/人教版/义务教育教科书 · 数学二年级上册.pdf,义务教育教科书_·_数学二年级上册.json,数学,52
义务教育教科书_·_数学二年级上册_chunk_1,1,Ce 站 RN\nREME\n亲爱的 同学 :\n新学 期开始了， 你还 记得聪 聪吗 ? 它会 继续与 你一 起探索数学世界。 这个 学期， 你将 继续学 习加 法， 并在 加法 的基础上\n学习 一种 新的 运算一 一乘法， 你还 将学 习长 度单位 、 观察\n物体 ……. 全人\nma\nAh 区\n(人 2\nfi ; y a\n1 A\n\n\n有 A\n让我 们一 起进入神奇的 数学世界吧 !\n编者\n2022 年 7 月 Ra- 未\n@ 长度 单位 :|\n回 lootummmiL |， 和减法 (二 ) )\n© 角的 初步认识 as |\n4 表内 乘法 (一 ) 4 )\n回。 允这 物体 (一 ) 6 | 0O。 关内乘法 (二 ) 72\n所量 一量， 比一 比二\n名认识 Hj 间 o0\n\n© 将学 六一 # 呈 (-) o\n@@ 总复习 to | ”ww\n(1) 长度 单位\n(1] 很久 以前， 人们 用 1 广 (tuo)、1 托 (zha) 等作\n为测量长 度的 单位。 朗一 >\n[0\n0 SrcasseFca\n用指 作单位量 一量 课棵 的长。 Ca P S\n“AT\n多 2\nLe 六” 国\n| | E |\n量的 都是 课桌 的长， 为什么量 的结果不 一样 呢 ? 因为他 们的 “ 托 ” 不一 样长。 为了 便于交流， 需要 使用 统一的\n长度 单位。 2,585,0,unknown,text-extracted,,2.0,义务教育教科书_·_数学二年级上册,1,2025-07-21T14:23:05.986Z,2.0,义务教育教科书 · 数学二年级上册,二年级,ocr,unknown,0.6015037593984962,0.5,0.585,0.95,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/小学/数学/人教版/义务教育教科书 · 数学二年级上册.pdf,义务教育教科书_·_数学二年级上册.json,数学,52
义务教育教科书_·_数学二年级上册_chunk_2,2,"(2] 尺子是 测量长 度的 工具， 尺子 上的 “厘米 ”就是 一个 统一的 长度 单位。 厘米 可以 用 “cm” 表示。 这是 1 厘米， 像这 样比 画 ®)\n: 一下 1 厘米的 长度。 5\n时 AR\n哪些物体的 长度 大约 是二 厘米 ?\n食指宽 便利贴 宽大 约 1 厘米大 约 1 厘米量 比较短 的物体， 可以 用厘米作 单位。 (3] 量一 量下 面纸 条的 长度。 ( )EX\n下把 尺子的 刻度 0 对准 纸条 的左 端， mm)\n再看 纸条 的右 端对 着刻度几。。 广 ->\n3 矿做 一做\n看一 看 , 铅笔长 人 ) 厘米。 本有\n下一、\n& F, ”和\nsae 4 [?7 & |\nJ- 内量 比较长 的物体 ,通常用 "" 米 ” 作单位。 米可 以用 “m”\n表示。 去拿 一把 米尺， 看看 2 人和\n1 米有 多长。 AP 98)\n区 |\n(5] 在米 尺上 看看 1 米里 面有 多少 个 1 厘米。 俏做 一做\n拿一 根绳子， 量出 1 米 、2 米 …… 给大 家看。 4 16」 拉紧 的一 段线， 可以 看作 一条 线段。 黑板的 边 、 桌子 的边 、 书的 边都 可以 看作 线段。 国生 | 的还 有哪些东西的 边可 以看 作线段 ?\n下面 这些 都是 线段。 一一 一一 一线段是 直的， 可以 量出 长度。 用尺子量 出上 面三 条线段的 长度。 有\n@@ 指出下 面哪些是 线段。 人 @ 把每 两个 点用 线段连接起 来， 一共 画出 了几 条线段 ? 你能\n看出 是什么图 形吗 ?",674,0,unknown,text-extracted,,2.0,义务教育教科书_·_数学二年级上册,2,2025-07-21T14:23:05.986Z,2.0,义务教育教科书 · 数学二年级上册,二年级,ocr,unknown,0.7473002159827213,0.5,0.674,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/小学/数学/人教版/义务教育教科书 · 数学二年级上册.pdf,义务教育教科书_·_数学二年级上册.json,数学,52
义务教育教科书_·_数学二年级上册_chunk_3,3,(7) 画一 条 3 厘米长 的线段。 从刻度 0 的位 置开 始， 画起， 画到 3 厘米的\nYA 一 E\nLTTT |\n人加\n帮做 一做\n人 @@ 可出 一条 和下 面线段同样长 的线段。 人 @ 在距离六 3 砷米 处画 一采 辐，5 夺米 处画 一哥 中\n10 厘米处 盏一 个二.\n4 NM\n@ 你知道吗 ?\n下面 是一 些测量长 度的 工具。 sa 0\n软尺 N Ad\n£R AH A\n四 、… po 外皮 尺鄙人测量轮 ”会吕\n6 (8] 一根 雇村 的高 度是 13 厘米还 是 13 米 ?\n解决什么问题 ?\n要判断旗杆高 13 厘米还 是 13 米。 人性 朋一 13 厘米差不多\nTERELE) ©CD 全 1 并其， 验村\n击人 不可 能这 么绑。 A|\n| .5\n局 CT\n我高 1 米多，10 个我\n的身高加 起来 差不多和 旗杆一 样高。 旗杆 ”\n应该 是 13 米高。 解答合理吗 ? _ 号人\n一支 新铅笔都 不止 13 厘米长， ~\n旗杆的 高度 应该 是 13 米。 — #\n\ 'S\nA SRY2Y =\n在 ( ) 里填 上 “厘米 ” 或 “ 米 ” 4\n(1) 课桌 长 60( )。 (2 ) 麻管 的足 印长 3 )。 (3 ) 篮球场 长 28( )o\n说说 你是 怎样确定 ( ) 里的 长度 单位 的。 7,581,0,unknown,text-extracted,,2.0,义务教育教科书_·_数学二年级上册,3,2025-07-21T14:23:05.986Z,2.0,义务教育教科书 · 数学二年级上册,二年级,ocr,unknown,0.6227848101265823,0.5,0.581,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/小学/数学/人教版/义务教育教科书 · 数学二年级上册.pdf,义务教育教科书_·_数学二年级上册.json,数学,52
义务教育教科书_·_数学二年级上册_chunk_4,4,"4 练习一 |\nO 估计下 图中 的实物各 有几 厘米 长， 再量 一量。 CS 一 —_—\n1 厘米估计 : (， ) 厘米估计 : (， ) 厘米测量 (， ) 厘米测量 : (， ) 厘米鸯\n人 @@ 照样子 量一 量， 填一 填。 从\nSNY\nA | SS\ny MA\n区 r— 区手掌宽 约 13EKY 1 步长 约\n(， ) 厘米 ( )EE (， ) 厘米\n® 量一 量 9》 填一 填。 (1) 大约 (， ) 支铝 笔连 起来 长 1 米。 (2) 大约 ( ) 根筷子连 起来 长 1 米。 人 @@ 选择合适的 答案， 在 |] 里画 “v”。 比 1 米长 | ]， 比 1 米高 |] 比 1 米长 下]\n比 1 米短 | |] 比 1 米矮 | | 比 1 米短 | |\n8 O 四样子量 一量， 填一 填。 Si\n(\n已机\n& 4 |\n. 2 (N\n六 4 B\n约 ( ) 米 ( ) 米 ( ) 厘米\n@ 先估计， 再用 尺子量。， —\nr 、 、 当站\nBEANG, ® x 和\n\n( )EX ( )EXR 本 ( )EX\n量长 方形和 正方形， 你发 现了 什么 ?\n人看 看哪 条线段长， 再量 一量。 中 @\n\n人 @@ 下面 的长 度单位对 吗 ? 把不 对的 改正在 () 里。 (1) 数学书 长 26 米。 )\n(2) 灯管 长 50 厘米。 )\n(3) 房间高 3 厘米。 )\n(4) 字典厚 6 米。 )\n(5) 大树 高 8 米。 )\n(6) 教室长 10 厘米。 )",660,0,unknown,text-extracted,,2.0,义务教育教科书_·_数学二年级上册,4,2025-07-21T14:23:05.986Z,2.0,义务教育教科书 · 数学二年级上册,二年级,ocr,unknown,0.5198135198135199,0.5,0.66,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/小学/数学/人教版/义务教育教科书 · 数学二年级上册.pdf,义务教育教科书_·_数学二年级上册.json,数学,52
义务教育教科书_·_数学二年级上册_chunk_5,5,人 @@ 下面 的长 度单位对 吗 ? 把不 对的 改正在 () 里。 (1) 数学书 长 26 米。 )\n(2) 灯管 长 50 厘米。 )\n(3) 房间高 3 厘米。 )\n(4) 字典厚 6 米。 )\n(5) 大树 高 8 米。 )\n(6) 教室长 10 厘米。 )\n\n9 @ 图出 合适的 答案。 fre 1\n比 10 厘米比 1 米比 1 米长 短 | 帘党 | 长得\n比 10 厘米比 1 米比 1 米测量长 短 | 帘党 | 长得\n© 哪个测量的 结果对 ? 在 ( ) 里画 “”。 To\n长 5 厘米长 4 厘米大 约 5 厘米长\n( ) ( ) ( )\n图量 一量， 乌龟 要爬 ( ) 厘米才能吃 到小 香。 “一请 你提出一 个数学问题并 解答。 Ia 我知道 1 厘米和\n知道为 什么需 尖到 底在 多长\n本单元结束了， ES 1 米到 底有 多长 了。 你想 说些 什么 ?\n成长 小档案\n\nEQ\no 大\n10 \ 时忆 100 以内 的加 法和 减法 (二 )\n\n是全 党 = I\n一本\n于站 站本 极 ”\nEee Ti 加和 攻 : 一全 二\nNA 二 5 岂 - Inli h [本一 汪汪\nse Eeezo : Eee\n二和 县是 放 | AAAa\nESIMORSA ye |\nay 六 4 AAA\n畴 9 人本 df 全设\n和隐 和人\n区四 轴蚂\n5 J 人区 H=\n/ 7 =\n|\n/ 人\n\n11 上不 进位加 )\na 二 (1) $ SE\n] 一共有多 少人 ?\n35+2=\n网 rofssrr\n十个 十个 h\n4 人秒 35 _35 _ 35\n这这 23 这好 / | + 2 + 2 十 2\n个位 与个 位要 对齐。 乡做 一做\n@@ 32+6= 24+3= 5+43=\n3 2 ( ) 5\n+ ( ) + ( ) +( )\n( ) ( ) ( )\n想 : 怎样对 位 ?\n?和\n21 元 3 元 4 元 33 元\n~ 一一 ~— —\n? 元 ? 元\n2 1 4\n+ 3 + 人 )\n12,866,0,unknown,text-extracted,,2.0,义务教育教科书_·_数学二年级上册,5,2025-07-21T14:23:05.986Z,2.0,义务教育教科书 · 数学二年级上册,二年级,ocr,unknown,0.5044722719141324,0.5,0.866,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/小学/数学/人教版/义务教育教科书 · 数学二年级上册.pdf,义务教育教科书_·_数学二年级上册.json,数学,52
义务教育教科书_·_数学二年级上册_chunk_6,6,"(2] 二 (1) 班和 二 (2) 班一 共有多 少名 学生 ?\n35 人 32 人\n35+32=\n十个 十个\n人 hpM :ss :ss 3:\nbphL] :2 :2 322\n| 国 6 7\n相同数位要 对齐。 上面 的紧 式， 是从 哪位 加起 的 ? 你是 怎样算 的 ?\n做人\nO 摆一 摆， 算一 算。 v . ;\ngp & 9 十 ( )\n\n办 C)\n\n@ 24+61= 53+22= 37+40=\n\n2 4 ( ) ( )\n\n+ ( ) + 22 + ( )\n\n( ) ( ) ( )\n\n13 上进位加 )\n(3] 二 (1) 班和 二 (3) 班一 共有多 少名 学生 ?\n1 35 人 1 — h\n35+37=\n人 5 3 5\n& 鳃 & 区 / | +317 一二 31 7\nhhAHM 一了\n#~- 个位 上 5 加 7 得 12，。 向十 位进 1， 个位 写 2。， 个位 相加 满十， 向十 位进 1。 依做 一做\n56+37= 46+24= 29+5=\n5 6 4 6 0\n+37 +24 +(\n( ) 0 0\n想 : 个位 上 6 加 7 得 : 想 : 个位 上 6 加 4 得 |\n( “)， 该怎样号” (), HEHEF?\n本\n18 ,27 左边的 算式有 什么规律 ? 名 :\n9099 99 这样 的算式你 还能 写出 几个 ?\n14",590,0,unknown,text-extracted,,2.0,义务教育教科书_·_数学二年级上册,6,2025-07-21T14:23:05.986Z,2.0,义务教育教科书 · 数学二年级上册,二年级,ocr,unknown,0.3828125,0.5,0.59,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/小学/数学/人教版/义务教育教科书 · 数学二年级上册.pdf,义务教育教科书_·_数学二年级上册.json,数学,52
义务教育教科书_·_数学二年级上册_chunk_7,7,"4 练习二\n@ 86 4 2 9 5 2 17\n+ 3 +54 +40 +46 +71\n@ 30+20= 50+26= 92+4= 61+25=\n37+32= 3+45= 13+72= 44+53=\n图小 兰喜欢收集邮票 ,下面是 她收集邮票的 种类 和枚 数。 (1) 风景邮票和 人物 邮票 共有 多少 枚 ?\n(2 ) 动物邮票和 建筑邮票共有多 少枚 ?\n(3 ) 你还 能提出其 他数学问题并 解答吗 ?\n四 47 2 3 6 4 3 9 1 8\n+16 +17 + 9 +27 +33\n回下 面的 计算对 吗 ? 把不 对的 改正过 来。 4 9 2 1 2 7\n+44 +39 + 4\n8 3 6 6 7\n@ | |] 里应 该填 几 ?\n26+48=[ |4 39+14=[ ]3 60+39=] |9\n37+12=[]9 54+16=] |0 45+8=[ |3\n15 @ 25+63= 76+5= 37+38=\n45+47= 32+18= 9+56=\n8 在 ( ) 里填 上 “r “<” 或 “_” .\n4+38()40+38 76+21()99-5\n57-5()38+17 25+47()35+35\n67+9()69+7 83-3()83-8\nW i\nj<! 0 下\n\n© 算出每 张卡片上 两个 数的 和。 @@ -一过 洪 \、、\nTU 1\n人 <\n23 元 14 元 27 元 30 元\n(1 ) 买一 辆玩具汽车和 一列 玩具 火车， 一共 多少 钱 ?\n(2 ) 小玲 有 50 元钱， 可以 买哪 几样 玩具 ?\n(3 ) 你还 能提出其 他数学问题并 解答吗 ?\n16 B mm\n上 s = e\nk 了了 | hk 下向 久本 i\n人 CORE\n#lyh ping 了六 — ro\n二全 脚 fis 一\na Y B\n\n2008 年北京奥运会 金牌榜 前 5 名如 下。 Ta\n有\nTe\n¢ vi\n\nIE 1\n.\n\n吕 C 日 17",835,0,unknown,text-extracted,,2.0,义务教育教科书_·_数学二年级上册,7,2025-07-21T14:23:05.986Z,2.0,义务教育教科书 · 数学二年级上册,二年级,ocr,unknown,0.327150084317032,0.5,0.835,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/小学/数学/人教版/义务教育教科书 · 数学二年级上册.pdf,义务教育教科书_·_数学二年级上册.json,数学,52
义务教育教科书_·_数学二年级上册_chunk_8,8,"B mm\n上 s = e\nk 了了 | hk 下向 久本 i\n人 CORE\n#lyh ping 了六 — ro\n二全 脚 fis 一\na Y B\n\n2008 年北京奥运会 金牌榜 前 5 名如 下。 Ta\n有\nTe\n¢ vi\n\nIE 1\n.\n\n吕 C 日 17 上不 退位减 )\n加 [Ta\n四 | 全 | PERKBSSSHAR:\n48-36=\nole 48 48 48\n®(® -36 >-36-> -36\n和 | 有一 一一 一一 一妆 | 妆 2 12\nN eeemeneneneneenenenenas oo Le\nSS\nS。 列坚 式计算应 注意什么 ?\n仇做 一做\n@ 二个 45-3= 十 | 个 64- =\n@ | @ 4 5 @ |@ ( )\n@l@ _ @l@ _\nola ~C ) 息 | 让 ( )\n°I§ (0 ) RS ( )\n\n@ 48-18= 25-21=\n4 8 2 5\n-18 -2 1\n) ( )\n想 : 个位 上得 几 ? 怎样写 ”，” 想 : 十位 上得 几 ?\n18 有退位碱 )\n2) | 《4 二四 | amn\n国 36 | 美国比 英国多 多少 补爹 作 ?\n个位 上 6 减 9 不够减， 六 16\n3 ER 3 6\n人 29- 219\n0 |\n1 08IO OOGION1 个位 上 6 减 9 不够 减， Ni 册 es\n、 加 6 得 16, 16 减 9 得 7。， 个位 不够 减， 从十 位退 1。 想一 想 : 从十 位减 起方便吗 ?\n3) so-24-\n50\n-24\n( ) 想 : 从十 位退 1 后， 个位 要算 几减 几 ?\n仇做 一做\n6 5 4 3 3 0 8 0\n-37 - 8 -23 - 5\n( ) ( ) ( ) ( )\n19 4 练习三\n() 98-80= 98-8= 98-88=\n9 8 9 8 ( )\n\n一人 ) -( ) 一人 )\n@ 39-23= 74-34= 99-14= 57-26=\n图小 红比 小亮 多捡 了多 少个 贝壳 ?\n\n一的 一 | 总",879,0,unknown,text-extracted,,2.0,义务教育教科书_·_数学二年级上册,8,2025-07-21T14:23:05.986Z,2.0,义务教育教科书 · 数学二年级上册,二年级,ocr,unknown,0.3188908145580589,0.5,0.879,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/小学/数学/人教版/义务教育教科书 · 数学二年级上册.pdf,义务教育教科书_·_数学二年级上册.json,数学,52
义务教育教科书_·_数学二年级上册_chunk_9,9,"4 练习三\n() 98-80= 98-8= 98-88=\n9 8 9 8 ( )\n\n一人 ) -( ) 一人 )\n@ 39-23= 74-34= 99-14= 57-26=\n图小 红比 小亮 多捡 了多 少个 贝壳 ?\n\n一的 一 | 总\n\n@ 43-29= 72-27= 61-3= 54-16=\n© 下面 各题 得数 的十 位上 是几 ?\n20 © 下面 的计算对 吗 ? 把不 对的 改正过 来。 4 0 8 3 7 9 5 3\n-28 -35 -67 - 4\n2 2 4 8 2 5 7\n@54-27= 66-49= 43-37= 95-63=\n72-9= 36-28= 87-38= 54-36=\n9 g 人起\n回先 算出每 张卡 片上两 个数 的和， 再算出它们的 差。 和和 : _&pNN_ A 人一 Le ___\n2:/0 @©= W/kN__J)/ © _\nO® 37 8 0 7 6 6 5\n-19 -5 1 +2 2 - 8\n8 2 4 6 2 6 7 1\n-57 -3 0 +6 4 - 6\n21 ®\nFE\n二中 一 eisafeses s (\nES 8.\n13+47| [66-17 X\n| Eee =\nG0-38] [7i-19\nf2-23 li6vaz\n® 四个 人拍 球。 拍球 的个 数 | 34 | 41 | 45 | 39 |\n(1) 小明 比小 丽少 拍多 少个 ?\n(2 ) 小红 和小 亮一 共拍 了多 少个 ?\n(3 ) 你能 提出其 他数学问题吗 ? 列式 算一 算。 © 按规律填 一填。 (1) 24, 32, 40, , b6, ,\n(2)93,86, 79, ,65,， _\n人在 门里 填上 合适的 数。 5[ [17 国 | 国\n+ 回 4 - 2 口 -2 口\n8 7 2 6 8\n22",775,0,unknown,text-extracted,,2.0,义务教育教科书_·_数学二年级上册,9,2025-07-21T14:23:05.986Z,2.0,义务教育教科书 · 数学二年级上册,二年级,ocr,unknown,0.2822429906542056,0.7999999999999999,0.775,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/小学/数学/人教版/义务教育教科书 · 数学二年级上册.pdf,义务教育教科书_·_数学二年级上册.json,数学,52
