Chunk_ID,Chunk_Index,Content,Content_Length,Quality_Score,Reliability,Source_Type,Original_Content,Enhancement_Version,book_name,chunk_index,enhancementTimestamp,enhancementVersion,filename,grade,processing_method,publisher,qualityMetrics_chineseCharRatio,qualityMetrics_coherenceScore,qualityMetrics_lengthScore,qualityMetrics_ocrConfidence,semester,source,source_file,subject,total_chunks
义务教育教科书_·_数学五年级上册_chunk_0,0,"入和\n教育部 审定\n2022\n\nh § 上 \\n人人 人、 人全 Ge\n— 国 …\nTANNTL 本和 人 7 f 机 AN & AAA\nf STATE\n全\n\n全六 /人人 只)\nA SSSS\n了\n& 网下 时了 ] )\n于这 AE\nCE|\n|/ hot \ - 二站 用一\n而 ,SN\n人属 本 VE Ap\ny, 可证 4\nANV —a\n五年 级人 民教 育出 版社 课程教材研究所\n小学 数学教材编 委会\nAR §wrh2\ndbx- 绘图: 中央 美术 学院 小学 数学教材插图绘制团队责任编辑 : 能华\n美术编辑 : £ # KWE\n义务教育教科书 ”数学五 年级 上册\n人民 教育 出版 社 ”课程教材研究所\n小学 数学教材编 委会\n出版 AALdxmzt\n(北京市 海淀区 中关 村南大街 17 号院 1 号楼 邮编: 100081 )\n网址 http:/www.pep-com.cn\n重印 xxx 出版 社发 行 xxx 新华 书店印 刷 xxx 印刷三\n版次 “2022 年 8 月第 2 版印 “次年 月第 次印刷开 本 ”787 毫米 x 1092 毫米 1/16\n印 “ 张 775\n字数 155 千字\n印 “ 数册\n书号 JISBN 978-7-107-36926-1\n 元\n版权 所有 “ 未经 许可不 得采用任何方式擅自复制或 使用 本产品任何部 分违 者必 究如 发现 印 、 装质量问题， 影响 阅读， 请与 本社 联系。 电话 : 400-810-5788 0 人\nS 各者 的 L 酉 2\n亲爱的 同学 :\n\n新的 学期 开始了， 你准备好 探索更 广阔的 数学世界了 吗 ?",705,0,unknown,text-extracted,,2.0,义务教育教科书_·_数学五年级上册,0,2025-07-21T14:23:06.036Z,2.0,义务教育教科书 · 数学五年级上册,五年级,ocr,unknown,0.5759368836291914,0.5,0.705,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/小学/数学/人教版/义务教育教科书 · 数学五年级上册.pdf,义务教育教科书_·_数学五年级上册.json,数学,85
义务教育教科书_·_数学五年级上册_chunk_1,1,"0 人\nS 各者 的 L 酉 2\n亲爱的 同学 :\n\n新的 学期 开始了， 你准备好 探索更 广阔的 数学世界了 吗 ?\n\n在前 面的 学习 中， 相信 你已 经认识了 小数， 学会 了小 数加 、 减法 的运算。 本学 期， 我们 将一 起探索小 数乘 、 除法 的计算方法， 体会 它们和\n整数乘 、 除法 的联系 ; 进一步学 习用 字母表示未 知数， 根据 等量 关系列\n出方程， 解决 实际问题。 本学 期， 我们 将学 习数 学上 表示位 置的 新方法一 一数 对， 探索 平行\n四边 形 、 三角形 、 梯形 等多 边形 的面积计算方法， 感受 数形 结合 、 转化\n等数学思想的 美妙之 处。 此外， 我们 还将 在摸 球 、 击鼓 传花 等游戏活动中 感受简单的 随机现象， 在数学广角中 发现 植树问题背后列 含的 数学模型 ……:\n\n\ aA Jid\nAr SSc\nSRZ9) * Sa\nSS 一 # 全全\n全 <。 呆人\nY 人\nSN of : H,\n一分 耕耘， 一分 收获。 让我 们一 起努力， 共同 进步 !\n编者\n2022 年 7 月 B =\n@ 小数 乘法 2 |\n2 位置 19 |\n© 小数 除法 24 |\n4 可能 性 44 |\n名 PH—9 50 | en «\n0O zwwmmEs sa\n€©。 效学 广角 -一植 枯问题 o\n\n©O 总和 3 1 |",599,0,unknown,text-extracted,,2.0,义务教育教科书_·_数学五年级上册,1,2025-07-21T14:23:06.036Z,2.0,义务教育教科书 · 数学五年级上册,五年级,ocr,unknown,0.7063106796116505,0.5,0.599,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/小学/数学/人教版/义务教育教科书 · 数学五年级上册.pdf,义务教育教科书_·_数学五年级上册.json,数学,85
义务教育教科书_·_数学五年级上册_chunk_2,2,"B =\n@ 小数 乘法 2 |\n2 位置 19 |\n© 小数 除法 24 |\n4 可能 性 44 |\n名 PH—9 50 | en «\n0O zwwmmEs sa\n€©。 效学 广角 -一植 枯问题 o\n\n©O 总和 3 1 | 下\n《 小数 乘法\n上小 数乘 整数 )\n(1] 买 3 个 YP 需要多 少钱， Ne\n%3%) I= De 中全 和区 天 :让 EN A Dps 入人 — hr | | 出 |\n一 1 月此\n站 | 蛤\nNS 二\nN - i\nEy | Bij\n9.5x3=\n小红 这样 算 : 95 小亮 这样 算 : 9.5 元 =9 元 5 角\n98 9 元 xX3=27 元一 85 5 角 x3=15 角\n27 元 +15 角 =28.5 元可 以把 9.5 元 °.\n9.5 元 —> 95 角\nx 3 x 3\n28.5 元 < 一一 285 角\n\n从做 一做\n@@ 天 6 个 &ip 需要多少钱 ? @@ 40 元天 7 个 &h Bn?\n2 3] 0725-\n| 0.72 不是 价钱， 能不 能转化成\n怎样计算 ? 整数来 计算 ?\n» )\nh B\n ) 二\n| 4ES)\nxloo _ __\n072 一一 72\nX 5， X 5 |\n360 @ «—9%% ""360\n最后 的 0 可以 去掉。 作做 一做\n全计算下 面各 题。 7 0.7 25 2.5\nx 4 x 4 x 5 x 5\n想一 想 : 小数 乘整 数与 整数乘 整数 有什么不 同 ?\n加给 下面 各题 的积 点上 小数 点。 4.6 4.6 0.46 0.46\nx 3 x 30 x 30 x 300\n138 1 3 80 1 380 1 3800\n外计算下 面各 题。 12.4 2.3 2.05 3.13\nx 7 x 12 x 6 x 53",776,0,unknown,text-extracted,,2.0,义务教育教科书_·_数学五年级上册,2,2025-07-21T14:23:06.036Z,2.0,义务教育教科书 · 数学五年级上册,五年级,ocr,unknown,0.358974358974359,0.5,0.776,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/小学/数学/人教版/义务教育教科书 · 数学五年级上册.pdf,义务教育教科书_·_数学五年级上册.json,数学,85
义务教育教科书_·_数学五年级上册_chunk_3,3,4 练习一\n团列 坚式 计算下 面各 题。 0.86x7 3.3x16 12.8x42 0.19x40\n@ 先读 出课本的 单价， 再计算总 价。 课 | 从元 | 5 本 | 1 本 | 2 本\nE=T\nEEC\nEE\n王国是\n@ (1) 小亮 家到 学校 大约 1.3 km， 他每 天往返两 次。 他每 天走 : 1.3x4= (km)\n他周一到 周五 共走，__，x5= (km)\n(2 ) 先估计自己家 到学 校的 路程， 再计算每 天从 家到 学校 往返要 走的 路程\n和周一到 周五 共走 的路 程。 O) 根据第 一列 的积， 写出 其他 各列 的积。 本 | 2 | 30 | | 32 | | w |o%\nmE| 全 | 15 | 0 | 15 | 15 | ofs | 15\n| | | |\n© 要下 而了， 小用 看见 远处 有闪电，4 秒后 听到 了雷 吉， 闪电 的地 方离 小厅\n大约 有多 远 ? ( 雷声 在空气中 的传播速度约 是 0.34 千米 / 秘。)\n4 | 小数 乘小 数 )\n(3] 给一 个长 2.4m、 宽 0.8 mm\n的长 方形宣传栏 刷油漆， A i 本每 平方米 要用 油漆 0.9 kg。 多一 共需 要多 少干 克油漆 ? — 3\nL]\n先算 宣传栏 的面积有 多大，|| 两个 因数都 是小 数怎么计算呢 ?\n再算 需要多 少千 克油 漆。 可以 把它们看 作整 数来 计算吗 ?\n& ~\nM 2.4x0.8= >s\n= 3\n\n| x10 : <\nx 08 一 » x 8 |\n192 -102\n1.92x0.9=\n192 一- 1192\nx 09 | 一 -xx 9 !\n1728 -一 ”1728 |\n矿做 一做\n计算下 面各 题。 6.7x0.3 2.4x6.2 5.4x1.07 0.45x0.6\n观察例 3 和上 面各 题中 因数与 积\nta 的小 数位数， 你能 发现 什么 ?\nfm 产,832,0,unknown,text-extracted,,2.0,义务教育教科书_·_数学五年级上册,3,2025-07-21T14:23:06.036Z,2.0,义务教育教科书 · 数学五年级上册,五年级,ocr,unknown,0.5051546391752577,0.7999999999999999,0.832,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/小学/数学/人教版/义务教育教科书 · 数学五年级上册.pdf,义务教育教科书_·_数学五年级上册.json,数学,85
义务教育教科书_·_数学五年级上册_chunk_4,4,"大家 来讨论 : 小数 乘法应 该怎样计算 ?\n工 1 先按 照整数乘法算出积， 再点 ;\n2 2 点时 ,看中 一共有几 位小 数， 就从 积的\n+ 右边起 数出 几位， 点上 小数 点。 (4] 0.56x0.04=\n乘得 的积 的小 数位数 不够， | 0.5 6.……: 两位 小数 | 怎样点 小数 点 ?\n| x 0.0 4.……: 两位 小数\n| 224………( ) 位小 数 |\n站入\n要在 前面 用 0 补足\n0.5 6 位数， 再点 小数 点。 义 004\n0.0224 R-\n\n仇做 一做\n@ 计算下 面各 题。 3.7x4.6 0.48x15 0.29x0.07 0.056x0.15\n2.4x 到间 1.2x A\n分别 比较 积和 第一 个因数的 大小， 你能 发现 什么 ?\n一个 数 (0 除外 ) 乘大 于 1 的数， 积比 原来的 数 ( ).\n一个 数 (0 除外 ) 乘小 于 1 的数， 积比 原来的 数 ( )。 6 (5] 非洲野 狗奔跑时 的最 高速度是 56 千米 /时， 能鸟 奔跑 时的 最高 速度是 非洲野 狗的 1.3 倍。 能乌 奔跑 时的 最高 速度是 多少 ?\n~ FS\n\n全全身 \)). GF =,。 知人 RAR\n56x1.3=\n小红 这样 算 : 5 6\nx 1.3\n168\n5 6\n7.2 8\n她算得对 吗 ? 请验算一 下。 把因数的 位置 交换一 下， 也可 以用 计算\nSA 一条 一这， 看对 不对 器未 验算。 5,\ns 有 SN\n、 56x1.3， 积应 该比 56 大， { 所以 肯定计算错 了。 人乡 做一 做下 面各 题算得对 吗 ” 把不 对的 改正过 来。 3.2x2.5=0.8 2.6x1.08=2.708",753,0,unknown,text-extracted,,2.0,义务教育教科书_·_数学五年级上册,4,2025-07-21T14:23:06.036Z,2.0,义务教育教科书 · 数学五年级上册,五年级,ocr,unknown,0.549718574108818,0.7999999999999999,0.753,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/小学/数学/人教版/义务教育教科书 · 数学五年级上册.pdf,义务教育教科书_·_数学五年级上册.json,数学,85
义务教育教科书_·_数学五年级上册_chunk_5,5,"4 练引 |\n@ 计算下 面各 题。 1.8x23 0.37x0.4 1.06x25 0.082x0.14\n7x0.86 0.6x0.39 27x0.43 0.055%x0.06\n@ 计算下 面各 种商品的 总价。 N\n人全 化从 全必 全上 人\nSS 背 ea A NS A\n图判断下 面各 个积 的小 数位数 有没有错误。 56.7x38=2154.6 2.8x5.6=1.568 0.37x0.94=3.478\n1.23%x29.2=359.16 1.56x0.9=1.404 0.78x6.1=47.58\n多一 张照片的 冲印费 是 0.85 元， 冲印 14 张照片要 花多 少钱 ?\n峰地 球直径约 1.28 万千 米 , 月球 到地 球的 距离约 是地 球直径的 30 倍。 月球\n到地 球有 多远 ?\nAN\n全 \、_ ao\n8 (计算下 面各 题并 验算。 0.39x2.9 0.58x0.08 3.7x200\n0.18x8.45 4.5x0.002 0.072x0.15\n) 一头 蓝鲸 体重 150 t， 体长 25.9 m。 一棵 巨杉 的质量是 这头 蓝鲸 体重的\n18.7 倍， 高是 这头 蓝鲸 体长 的 3.2 倍。 这棵 巨杉 重多 少吨 ”高多 少米 ?\nv 时\n» 4 2\n4 也四\n|\n加一 只梅花鹿 高 1.46 m， 一只 长颈 鹿的 高度 是梅花鹿 的 3.5 倍。 这只 长颈 鹿高 多少 米 ? 梅花鹿 比长 颈鹿 然多 少米 ?\n全计算下 面各 图形 的面积。( 单位 : cm ) 4 23\n3.2\n4:5 59\n6.25\n4.5\n10) 先调查下 面这 些水 果的 单价， 再计算总 价。 ] wi 2) | ovia | 2se TOTa\n2 一二 二二 一动 N N",763,0,unknown,text-extracted,,2.0,义务教育教科书_·_数学五年级上册,5,2025-07-21T14:23:06.036Z,2.0,义务教育教科书 · 数学五年级上册,五年级,ocr,unknown,0.41361256544502617,0.7999999999999999,0.763,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/小学/数学/人教版/义务教育教科书 · 数学五年级上册.pdf,义务教育教科书_·_数学五年级上册.json,数学,85
义务教育教科书_·_数学五年级上册_chunk_6,6,"全哥哥去 上大 学要 坐 3.4 小时 的汽车， 汽车 的平均速度是 70.5 千米 / 时。 他坐 汽车的 路程 是多 少干 米 ?\n® 在下 面的 〇 里填 上 “>” 或 “<""。 756x0.9()756 1x0.94()1\n4.25x1.1()4.25 31.4x1.2()31.4\n®\n|\n节能冰箱 -天 | | 普通冰箱一 天的 耗电 量是 的耗 电量 是\n0.22FEM, | 0.8F RLH.\n节能冰箱普通冰箱\n(1 ) 普通冰箱使 用一 天的 电费是 多少 ?\n(2 ) 节能冰箱使 用一 天的 电费是 多少 ?\n(3 ) 你还 能提出其 他数学问题并 解答吗 ?\n人根据 65x39=2535， 在下 面的 括号里 填上 合适的 数。 253.5=( )x( ) 2.535=( )x( )\n=( )x( ) =( )x( )\n25.35=( )x( ) 0.2535=( )x( )\n=( )x( ) =( )x( )\n\n有两 个水 桶， 小水 桶能 盛水 4 kg， 大水 桶能 盛水 11 kg。 Q-\n怎样用 这两 个水 桶盛 出 5 kg 水 ?\n10 上积 的近似数 )\n\n在实际应 用中， 小数 乘法的 积往往不 需要保留很 多的 小数位数， 这时 可以\n根据需要， 按 “四舍 五人 ”法保留一 定的 小数位数， 求出 积的 近似数。 (6] 人的 嗅觉细胞约 有 0.049 亿个， 狗的 嗅觉细胞个 数是 人的 45 倍。 狗约 有多 少亿 个嗅觉细胞 ? 〈 得数 保留 一位 小数。)\n1 党用\n和嘲 所\nTi\n上 h & r Wr\n0.049x45=2.2 (fZ1>)\n0.049\nX 4 5\n245\n196\n2.2 : 2 0<5, 4%045,\n得数 保留一 位小 数。 答 ; 狗约 有人 忆个 嗅觉细胞。 仇做 一做\nO 计算下 面各 题。 6.8x6 (得数 保留整数 )\n\n0.8x0.9 《得数 保留 一位 小数 )",841,0,unknown,text-extracted,,2.0,义务教育教科书_·_数学五年级上册,6,2025-07-21T14:23:06.036Z,2.0,义务教育教科书 · 数学五年级上册,五年级,ocr,unknown,0.5089430894308943,0.7999999999999999,0.841,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/小学/数学/人教版/义务教育教科书 · 数学五年级上册.pdf,义务教育教科书_·_数学五年级上册.json,数学,85
义务教育教科书_·_数学五年级上册_chunk_7,7,6.8x6 (得数 保留整数 )\n\n0.8x0.9 《得数 保留 一位 小数 )\n\n1.7x0.45( 得数 保留 两位 小数 )\n\n@ 一种 大米 的价格是 每千克 3.85 元， 买 2.5 kg 应付 多少 钱 ?\n11 上整数乘法运算律 推广到 小数 )\n小数 四则 混合运算的 顺序跟 整数 四则 混合运算的 顺序相同。 我们 已经 学过 整数乘法的 运算律， 这些 运算 律在 小数 运算 中还 适用吗 ?\n计算下 面每 组的 两个 算式， 看看 它们有 什么关系。 0.7x1.2()1.2x0.7\n(0.8x0.5)x0.4()0.8x(0.5%x0.4)\n(2.4+3.6 )x0.5()2.4x0.5+3.6x0.5\nCT\n全根据以 上计算可 以发 现， 整数 乘法的 交换律 、 结合 律和 分配 律， 对于 小数\n乘法也 适用。 应用 乘法的 运算律， 可以 使一 些计算简便。 (7] 0.25x4.78x%x4 0.65x202\n= 0.25%x4x4.78 = 0.65x(200+2)\n一 [|]x[ = 0.65x200+0.65x2\n= -| +\n仇做 一做\n@ 让据 运算 律填空。 42x169=-[ |x[\n2.5x(0.77x0.4)=([ jx ]x[ |\n7.2x8.4+2.8x8.4=(| |+ |)xL |\n@ 用简便方法计算下 面各 题。 0.034x0.5x0.6 101x0.45\n4.75x99+4.75 2.73x99\n12,644,0,unknown,text-extracted,,2.0,义务教育教科书_·_数学五年级上册,7,2025-07-21T14:23:06.036Z,2.0,义务教育教科书 · 数学五年级上册,五年级,ocr,unknown,0.39453125,0.7999999999999999,0.644,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/小学/数学/人教版/义务教育教科书 · 数学五年级上册.pdf,义务教育教科书_·_数学五年级上册.json,数学,85
义务教育教科书_·_数学五年级上册_chunk_8,8,"4 练习 |\nO 按要 求计算下 面各 题。 (1 ) 得数 保留一 位小 数。 1.2x1.4 0.37x8.4 3.14x3.9\n(2 ) 得数 保留两 位小 数。 0.86x1.6 2.34x0.15 1.05x0.26\n人回 一全 大楼 有 21 层每 层高 2.84 m。 这昼 大楼 高约 多少 米 ? ( 得数 保留整数。 )\n© 世界上 第一 台电子 计算机 很大 它的 质量固 壮和 | 这相当于 6 头 5.85 { 重的 大象。 这台 计算 机 [ECE ERI\n二 q\n有多 重 ?( 得数 保留整数。) 本 = 、 | |\n江上上 |\nss 这二 用让\nWap TS 出\nfx 产 TS : 渤 jiR “a\nO) 用简便方法计算下 面各 题。 4.8x0.25 0.78x98 0.5x2.33x8\n1.5x105 0.3x2.5x0.4 1.2x2.5+0.8%x2.5\n© 回收 1t 废纸 ,可以 保护 16 棵树。 回收 54.5t 废纸 可以 保护多 少棵 树 ?\n人 @@ 小玲 的爸爸 、 妈妈 带着 她和 2 名同学去 公园游玩。 公园 成人 票每 张 5 元， 儿童票 每张 2.5 元， 他们 买门票一 共需 要多 少钱 ?\n13",539,0,unknown,text-extracted,,2.0,义务教育教科书_·_数学五年级上册,8,2025-07-21T14:23:06.036Z,2.0,义务教育教科书 · 数学五年级上册,五年级,ocr,unknown,0.4770408163265306,0.5,0.539,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/小学/数学/人教版/义务教育教科书 · 数学五年级上册.pdf,义务教育教科书_·_数学五年级上册.json,数学,85
义务教育教科书_·_数学五年级上册_chunk_9,9,"@ 纯和 水每 眶 13 元 ,， 买 5 箱纯净 “FE —\n水一 共要 花多 少钱 ? DR 下志\n= SS\n= na _J _JE —\n“< 人人 @@ 下面 各题 算得对 吗 ” 把不 对的 改正过 来。 50.4x1.9-1.8 3.76x0.25+25.8\n=50.4x0.1 =0.094+25.8\n=5.04 =25.894\n© 计算下 面各 题， 怎样 简便就 怎样计算。 2.02x8.5 1.25+4.6+0.75 1.6x7.5%x1.25\n56x1.25 3.4x7x1.5 0.8x0.25%x0.4x12.5\n人 @@ —ABEF005ke, —MEEMFHRRLNGEMS5M., XEEA\n多重 ?\n人 @@ 1 公顷松柏林 每天 分泌 杀菌素 30 kg，24.5 公顷 松柏林 31 天分泌杀 菌素 多少 二克 ?\n松柏林 可以 净化空气， 还可\n以降低噪声 、 美化 环境。 b ~ o\nTe -. - x\n14",426,0,unknown,text-extracted,,2.0,义务教育教科书_·_数学五年级上册,9,2025-07-21T14:23:06.036Z,2.0,义务教育教科书 · 数学五年级上册,五年级,ocr,unknown,0.3151515151515151,0.7999999999999999,0.426,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/小学/数学/人教版/义务教育教科书 · 数学五年级上册.pdf,义务教育教科书_·_数学五年级上册.json,数学,85
