Chunk_ID,Chunk_Index,Content,Content_Length,Quality_Score,Reliability,Source_Type,Original_Content,Enhancement_Version,book_name,chunk_index,enhancementTimestamp,enhancementVersion,filename,grade,processing_method,publisher,qualityMetrics_chineseCharRatio,qualityMetrics_coherenceScore,qualityMetrics_lengthScore,qualityMetrics_ocrConfidence,semester,source,source_file,subject,total_chunks
义务教育教科书_·_数学四年级上册_chunk_0,0,"^^\nALLL\n2022\n\""/\n\\n\n| 一二\nLi\n:\n全加 . YA ’\n一一 一一\nNE\n————— — ml |/\n? 4 E 人 |\n|\n一一 \ | 由\nAN 上国生丰 |\n/ vi a SS\n/由四 尿 eV\n| N [\nAi WE Ap\nINI o—=>\nIN 一产。 四年 级人 民教 育出 版社 课程教材研究所\n小学 数学教材编 委会\nAKA 区\ndbx- 绘图 : 中央 美术 学院 小学 数学教材插图绘制团队责任编辑 : 刘福 林美术编辑 : 房海 莹朱 颖义务教育教科书 数学四 年级 上册\n人民 教育 出版 社 “课程教材研究所\n小学 数学教材编 委会\n出版 AALAxmat\n(北京市 海淀区 中关 村南大街 17 号院 1 号楼 邮编: 100081 )\n网址 http:/www.pep-com.cn\n重印 xxx 出版 社发 行 xxx 新华 书店印 刷 xxx 印刷厂\n版 “次 2022 年 8 月第 2 版印 “次年 ”月第 次印刷开 本 787 毫米 x 1092 毫米 “LU16\n印张 7.75\n字数 155 千字\n印 “ 数册\n书 “号 JISBN 978-7-107-36927-8\n 元\n版权 所有 “' 未经 许可不 得采用任何方式擅自复制或 使用 本产品任何部 分违 者必 究如 发现 印 、 装质量问题， 影响 阅读， 请与 本社 联系。 电话 : 400-810-5788",618,0,unknown,text-extracted,,2.0,义务教育教科书_·_数学四年级上册,0,2025-07-21T14:23:07.009Z,2.0,义务教育教科书 · 数学四年级上册,四年级,ocr,unknown,0.5466666666666666,0.5,0.618,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/小学/数学/人教版/义务教育教科书 · 数学四年级上册.pdf,义务教育教科书_·_数学四年级上册.json,数学,81
义务教育教科书_·_数学四年级上册_chunk_1,1,"0 人各 者的 L 酉人\n亲爱的 同学 :\n新学 期开始了， 你已 经是 一名 四年 级学 生了。 现在 让我 们一 起走 进数 学王国， 去探索数学的 奥秘吧 !\n在前 面的 学习 中， 我们 已经 认识了 万以 内的 数， 本学 期我 们将\n学习 更大 的数， 了解数字 、 计算 工具产生的 过程。 接下 来， 我们 还将 认识更 大的 面积单位， 感受 1 公顷 、1 平方千 米的 大小。 在几何方面， 我们 将进一步认识角 、 平行 四边 形， 并结识梯形。 在数 的运\n算方面， 我们 将进一步探索乘 数 、 除数 是两 位数 的乘除法， 增长 计算 技能， 欣赏 并领悟神奇的 运算规律 ……:\n\np sa\n人\n2 人要 全 Sr\n区要\n已人 和 [一一\n7 A 仙人人\nRN， 有 : 世素 一了 Sw | 网 MCA\nfi? 1 和 ep 5\n本次 数学之 旅不 仅能 使我 们学 到知识， 增长 本领， 还会 让我 们感受到 数学思想方法的 魅力。 让我 们出 发吧 !\n编者\n2022 年 7 月目 =\n@ 大数 的认识 2 |\n图 1 亿有 多大 s |\n@ 公顷和 平方千 米 s4 |\n© 角的 度量 aa |\n\n一一\n\nERE\n\n三位 数乘 两位 数 4 QQ\n© 六六 ,和",554,0,unknown,text-extracted,,2.0,义务教育教科书_·_数学四年级上册,1,2025-07-21T14:23:07.009Z,2.0,义务教育教科书 · 数学四年级上册,四年级,ocr,unknown,0.7710526315789473,0.7999999999999999,0.554,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/小学/数学/人教版/义务教育教科书 · 数学四年级上册.pdf,义务教育教科书_·_数学四年级上册.json,数学,81
义务教育教科书_·_数学四年级上册_chunk_2,2,"目 =\n@ 大数 的认识 2 |\n图 1 亿有 多大 s |\n@ 公顷和 平方千 米 s4 |\n© 角的 度量 aa |\n\n一一\n\nERE\n\n三位 数乘 两位 数 4 QQ\n© 六六 ,和 » 的 * 加大 效的 认识下 面是 2020 年第 七次 全国人口 普查 部分 地区 的数据。 和\n“人\nRS 本\n2 肌北京 : 21893095 人广东 : 126012510 人\nto\nns 了 J\no W \ ‘ 时入 Ii;\n|\n’ LN 由并 5 ” :\n4 上 NE\n山东 : 101527453 人河南 : 99365519 人\n3 条人\n-Eeemae 1 一 =\n| 二 Te aa， 站 -\n3 Er- ea ar -一 E | 1\nq q 二一\n区和 办“ Gik 二江苏 : 84748016 人四 川 : 83674866 人\n2 和亿 以内 数的 认识 )\n(1] 在日 常生活 和生产中， 我们 经常用到 比万 大的 数。 TU\nmv 个数字的 含义吗 ?\n一\nTS &)\nee\n上 ea = 人北京市 人口 : 21893095 人\nJUlL- - 1)\n一万 一万 地数，10 个一 万是 十万。 继续 数下 去 :\n10 个十 万是 一百 万， (个 (一入 十 、 百 、\n10 个百 万是 一二 万， 千 、 万 …… 亿都 四)\n_ 是计数单位。 10 个千 万是 一亿。 <\n想一 想 : 每相 邻两 个计数单位之 间有 什么关系 ?\n在用 数字表示数 的时 候， 这些 计数 单位要 按照一 定的 顺序排列起 来， 它们 所占 的位 置叫 作数位。 一人\n表示 8 个十 万说 说其 他数位上 的数 各表示多 少。 “按照我 国的 计数习惯， 从右边起 , 每四 个数位是 一级。 3",762,0,unknown,text-extracted,,2.0,义务教育教科书_·_数学四年级上册,2,2025-07-21T14:23:07.009Z,2.0,义务教育教科书 · 数学四年级上册,四年级,ocr,unknown,0.5722543352601156,0.5,0.762,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/小学/数学/人教版/义务教育教科书 · 数学四年级上册.pdf,义务教育教科书_·_数学四年级上册.json,数学,81
义务教育教科书_·_数学四年级上册_chunk_3,3,"仇做 一做\n@ 在计数器 上技 数。 (1 ) 一万 一万 地数， 从九 十六 万数 到一 百堆 三万。 (2 ) 十万 十万 地数， 从七 十万 数到 一百 万。 (3 ) 一千 万一 千万 地数， 从八 千万 数到 一亿。 @@ 你能 填写下 列数位顺序表 吗 ? 试一 试。 (1 ) 从低位到 高位， 按顺序说 出个 级和 万级 的每 一个 数位。 (2 ) 从个 位起， 第几 位是 万位 ? 第几 位是 亿位 ?\n(3 ) 万位 的右面一 位是 什么数位 ? 左面一 位呢 ?\n4 ,\n@ 你知道吗 ?\n1 b 4 1 亿名 小学 生\nEEC ES 国手拉手可 以终 地球\nCO 赤道 3 圈半。 岂记 芭为 5 ”AI\n二二 大每 秒 & _ 个 1 月 1 日 | on。 3n J\nA \\n点， 一刻 不停 地画。 全 )\n画 1 亿个 点， 有要 百 “RAR ET\n3 年 2 个多 月。 =Y 2",410,0,unknown,text-extracted,,2.0,义务教育教科书_·_数学四年级上册,3,2025-07-21T14:23:07.010Z,2.0,义务教育教科书 · 数学四年级上册,四年级,ocr,unknown,0.6752767527675276,0.5,0.41,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/小学/数学/人教版/义务教育教科书 · 数学四年级上册.pdf,义务教育教科书_·_数学四年级上册.json,数学,81
义务教育教科书_·_数学四年级上册_chunk_4,4,"(2] 读出 下面 各数。 千百 十万 , 千百 十个\n万万 万位 位位 位 ;位位 位位\n2496 读作\nNE\n308:0000\n4050:0000\nv- ALE 外天 47 %\n| \ L7 正二\n| ET |\n\ er\n[]\n哪种 读法 比较简便 ? 试读 上面 剩下 的两 个数。 万级 的数 和个 级的 数在 读法\n(3] 读出 下面 各数 上有 什么相同点 和不 同点 ? =\n人千 百十 万 ! 千百 十个\n万万 万位 位位 位 ;位位 位位\n5:4 621 读作 :五万 四千 六百 二十 一\n640;7000 读作\n1003;0040 读作 __\n含有两 级的 数怎 么读 ?\n站 1. 先读 _ 级 ,再读 _ 级。 I 2. 万级 的数， 要按照个 级的 数的 读法 来读， 再在 后面 如上\n]- 一个 “万 ” 字。 2 3 每级 末尾不 管有 几个 0， 都， 其他 数位上 有\nJ 一个 0 或连续几 个 0， 都。 5 秦做 一做\n@ 读出 下面 每组 数。 34 和 34 0000 3004 和 3004;0000\n340 和 340 0000 3040 和 3040 0000\n@ 读一 读。 千百 十万 , 千百 十个\n万万 万， 位位 位位 ;位位 位位\n56 19 200\n370:6 000\n4008 '050 1\n回小 组交流， 下面 各个 数怎样读 比较 方便。 32680 5205000 1200605 107070\n470050 3070800 30600900 100000000\n¥' | 312680\n— ~24200605\n了人\n@ 你知道吗 ?\n生活中， 我们 有时 会看 到三 位一 分节 的大 数。 地球 和月 球之 间的 平均距离约 是 384 400 Fk\n2021 年我 国出 生人 口约 10 620 000 人。 这与 一些 国家 以三 位分 级读数的 方法有 关。 6",825,0,unknown,text-extracted,,2.0,义务教育教科书_·_数学四年级上册,4,2025-07-21T14:23:07.010Z,2.0,义务教育教科书 · 数学四年级上册,四年级,ocr,unknown,0.5068027210884354,0.7999999999999999,0.825,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/小学/数学/人教版/义务教育教科书 · 数学四年级上册.pdf,义务教育教科书_·_数学四年级上册.json,数学,81
义务教育教科书_·_数学四年级上册_chunk_5,5,"(4] 北京大 钟寺 的永乐大 钟内 外共 铸了 二十 三万\n一百人十 四个 字。 村千 百十 万 , 千百 十个\n万万 万位 位位 位 ;位位 位位\n二十 三万 零一 百入 十四 写作 23 0184.\n&\n atam 训级 千位 上一 个单位 @\nd 3 也没有， 写 0。 -\n\n+r-fzwwti 写作三 百零 二万 六千 写作二 千零 四十 万零 七百 写作 :\n含有两 级的 数怎 么写 ?\n工 1. 先写 级， 再写 _ 级。 了 2. 哪个数位上 一个 单位也 没有， 就在 那个数位上 写 “。 乡做 一做\n千百 十万 , 千百 十个\n万万 万 |\n位位 位位 ;位位 位位\n三百 二十 六万 七千 五百 写作 L\n四万 零九 十 “写作 :， 九千 零二 十万 零三 百写作 oo\n一百 万 “写作 :， 7 4 练习一\n鲫 ” 写出 横线 上的 数字表示的 含义。 3 2086 93787 107398 69 0250\n人 @@ 照样子 说一 说。 g 47578 28 0064 中全 侈 ”| 表示 4 个万， 表示 28 个万 ,| ”区 〖 二\n7578 个一。 64 个一。 NS\n全\n498909 2700006 55523870\n图读 出下 面各 数。 1053600 563004 45000600 5320190\nO 写出 下面 横线 上的 数。 (1) 一个 人的 心脏一 年大 约跳 动四 千二 百万 次。 (2 ) 地球 赤道 周长 约四 二有 零七 万五 千七 百米。 (3 ) 一头 蓝鲸 重十 二万 五千 千克， 相当 于 23 头大 象的 体重。 本\n(人\nMRBR )\nSN B ieninie\nNE 30)19171719)3\m))",747,0,unknown,text-extracted,,2.0,义务教育教科书_·_数学四年级上册,5,2025-07-21T14:23:07.010Z,2.0,义务教育教科书 · 数学四年级上册,四年级,ocr,unknown,0.5798479087452472,0.5,0.747,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/小学/数学/人教版/义务教育教科书 · 数学四年级上册.pdf,义务教育教科书_·_数学四年级上册.json,数学,81
义务教育教科书_·_数学四年级上册_chunk_6,6,"O 写出 下面 各数。 三百 六十 万二 千五 十四 万零 三百 七十\n六万 八千 九百 二十 四千 六百 四十 一万\n十万 零五 一千 零五 十万 零三 十\nO 你能 用不 同的 方式表示下 面的 数吗 ?\n4853000 6009500 80000040\n& 440000 多\n| ¥ od\n[ ) 这个 数由 四十 万入\n和四 万组 成。 - - 一车\n440000=400000+40000\n@@ 月本 书附 页中 的 PN 转了 6 次， 组成\n图片 做一 个转盘 ,WA RN\n练习读数 、 写效。 骨 4 se 一人 @@。 写出 横线 上的 数。 我的 眼量 上半 部分\n专看 远处， 下半 部分\nNd 人 £2 四\n\ ¢ 各\n1O)< 靖\nTAN = su\n光每 秒大 约传播二 十九 万九 千晴 蜂的 眼睛最 多由 二万 八千 多八 百千 米。 只小 眼组 成。 9",394,0,unknown,text-extracted,,2.0,义务教育教科书_·_数学四年级上册,6,2025-07-21T14:23:07.010Z,2.0,义务教育教科书 · 数学四年级上册,四年级,ocr,unknown,0.63003663003663,0.5,0.394,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/小学/数学/人教版/义务教育教科书 · 数学四年级上册.pdf,义务教育教科书_·_数学四年级上册.json,数学,81
义务教育教科书_·_数学四年级上册_chunk_7,7,© 连线。 九千 六百 万一 千三 百九 十万 九千\n13090034 96000000 860100 13909000\n八十 六万 零一 百一 千三 百零 九万 零三 十四\n多在 家长 帮助下 收集有 关大 数的 信息， 与全 班同学交流。 @ 上听 考师 读数， 看谁 写得 对。 四千 入百 三十 二万 二万 八千 五百人入 十七\n七百 堆三 万五 千十 四万 二千 九百 五十\n六万 零一 百二 十三 三千 七百 万零 四十\n© 写出 下面 的数。 (1) 由四 再万 、 八十 万 、 五万 和三 千组 成的 数。 (2) 六千 零九 万震 五百。 (3) 4000000 + 600000 + 70000 + 8000 + 2。 @ 图下 面哪些说 法不 合理 ? ~ 和我 今天卖 了两 千 | ”LE 本二 人\nrr 我们 学校有 | | 多万 根冰棍。 & \ 十万 人。 5 |\n县外 二\nA 我们 学校 有 = - 人\n® 五百 多人。 = 4)\n全\n@ 用 0、0、0、1、2、3、4 七个 数字按 要求 组成 一个 七位 数。 (1) 读两 个 0。 (2 ) 只读 一个 0。 (3) 所有 的 0 都不 读。 (4) 读三 个 0。 10,534,0,unknown,text-extracted,,2.0,义务教育教科书_·_数学四年级上册,7,2025-07-21T14:23:07.010Z,2.0,义务教育教科书 · 数学四年级上册,四年级,ocr,unknown,0.6151761517615176,0.5,0.534,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/小学/数学/人教版/义务教育教科书 · 数学四年级上册.pdf,义务教育教科书_·_数学四年级上册.json,数学,81
义务教育教科书_·_数学四年级上册_chunk_8,8,(5] 下面 是 2020 年黑龙江 省主要农产品的 产量 (单位 : 吨 )。 / 必 Fe\n“二用 演 |\nis 一的 这村 和， 站\n| 下这 | I §\n水稻 : 28962000 小麦 : 187000\n全和 人\nNS\n网伍\nTa Z=\n高梁 : 115000 大豆 : 9203000\n按照万 以内 的数 比较 大小 的方法， 选择 两种 农产品的 产量， 比较 它们 的大 小。 1 下的\n位数 相同的 数呢 ? ) 人党 if\n位数 相同 的两 个数， 从最 高位 比起， 最高 位上 的数 大的 那个数\n就， 如果 最高 位上 的数 相同， 就比较下 一个 数位上 的数。 仇做 一做\n@@ 比较下 面每 组中 两个 数的 大小。 92504() 103600 50140()63140\n28906 () 28890 620300 () 307300\n@ 按照从 小到 大的 顺序排列下 面各 数。 50500 500500 55000 40005\n11,436,0,unknown,text-extracted,,2.0,义务教育教科书_·_数学四年级上册,8,2025-07-21T14:23:07.010Z,2.0,义务教育教科书 · 数学四年级上册,四年级,ocr,unknown,0.5205047318611987,0.7999999999999999,0.436,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/小学/数学/人教版/义务教育教科书 · 数学四年级上册.pdf,义务教育教科书_·_数学四年级上册.json,数学,81
义务教育教科书_·_数学四年级上册_chunk_9,9,ee 05%\n©00°\n©005 o 人尝 - ee doe59 白细胞 : 能消灭滴 菌， 四 GOYO GOB 和 rw 清洁血液。 6e 风人 “人 ©\n全\n6S 9 2o .\n6 SS 红细胞 : 能输送\nCE\n一小 滴血 液大 约含有 ;\n红细胞 : 25000000 个 = 2500 万个\n和白细胞: 30000 个 =_ 万个\n有时 为了 读写 方便， 把整 万的 数 、\n改写成 用 “万 ” 作单 位的 数。 ak\n# 做一 做\n@@ 把下 面的 数改写成 用 “万 ” 作单位的 数。 250000 3200000 7580000\n@ 读出 下面 各数， 然后 把它们改写成 用 “万 ” 作单 位的 数。 (1) 一个 人的 头发约 有 80000 到 90000 根。 (2 ) 一个 人的 血管总 长约 96000000 米。 (3 ) 一个 人一 年蚂 眼睛 约 15000000 次。 (4 ) 2022 年， 参与 北京冬 奥会 城市志愿服务的 志愿者 共有约\n200000 人次。 12,461,0,unknown,text-extracted,,2.0,义务教育教科书_·_数学四年级上册,9,2025-07-21T14:23:07.010Z,2.0,义务教育教科书 · 数学四年级上册,四年级,ocr,unknown,0.49544072948328266,0.5,0.461,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/小学/数学/人教版/义务教育教科书 · 数学四年级上册.pdf,义务教育教科书_·_数学四年级上册.json,数学,81
