Chunk_ID,Chunk_Index,Content,Content_Length,Quality_Score,Reliability,Source_Type,Original_Content,Enhancement_Version,book_name,chunkIndex,chunkSize,enhancementTimestamp,enhancementVersion,extractedAt,grade,loc_lines,method,publisher,qualityMetrics_chineseCharRatio,qualityMetrics_coherenceScore,qualityMetrics_lengthScore,qualityMetrics_ocrConfidence,semester,source,source_file,subject,textLength
义务教育教科书·体育与健康七年级全一册_chunk_0,0,®\n\nYIWU JIAOYU JIAOKESHU\n义务\n\nTIYU YU JIANKANG\n\n教育\n\n全国优秀教材二等奖七年级教\n科书\n\n体育与健康七年级义务教育教科书全一册全一册体\n育与\n健康\n\n体育与\n健康七年级全一册 产品初中封面体育七年级-改书脊绿色.indd 1\n\n2022/6/9 16:34 义务教育教科书体育与健康七年级全一册人民教育出版社课程教材研究所编著体育课程教材研究开发中心\n\n·北京· 主编：耿培新副 主编：陈珂琦余小鸣主要编写人员（以编写顺序为序）： 耿培新余小鸣胡 滨陈世雄鹿崇云施履冰责任编辑：高琬鑫美术编辑：王喆\n版面设计： 王喆\n插图： 王平（封面）\n文鲁插图工作室图片提供： 徐永春示 范生： 第二章田径第三章足球第四章篮球第五章排球第六章乒乓球第七章体操第八章武术何自强郭丰源贾易承王 琴钱弘雨王夕铭王羽辰义务教育教科书体育与健康人民教育出版社课程教材研究所出\n\n曾澍楠于松海姜易同马雨萌李家驹陈 欣张逸峰七年级体育课程教材研究开发中心李志刚王建华廖辉帆刘\n\n虎全一册编著版\n（北京市海淀区中关村南大街 17 号院 1 号楼网\n\n陈珂琦吴慧云址\n\n邮编：100081）\n\nhttp://www.pep.com.cn\n\n版权所有·未经许可不得采用任何方式擅自复制或使用本产品任何部分·违者必究如发现内容质量问题，请登录中小学教材意见反馈平台：jcyjfk.pep.com.cn\n如发现印、装质量问题，影响阅读，请与 ××× 联系调换。电话：×××-×××××××× 致同学,655,0,unknown,text-extracted,,2.0,义务教育教科书·体育与健康七年级全一册,0,786,2025-07-21T14:23:07.502Z,2.0,2025-07-20T04:01:04.887Z,七年级,[object Object],node-poppler,unknown,0.7580372250423012,0.7999999999999999,0.655,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/体育与健康/人教版-人民教育出版社/七年级/义务教育教科书·体育与健康七年级全一册.pdf,义务教育教科书·体育与健康七年级全一册.json,体育,36439
义务教育教科书·体育与健康七年级全一册_chunk_1,1,网陈珂琦吴慧云址\n\n邮编：100081）\n\nhttp://www.pep.com.cn\n\n ·未经许可不得采用任何方式擅自复制或使用本产品任何部分·违者必究如发现内容质量问题，请登录中小学教材意见反馈平台：jcyjfk.pep.com.cn\n如发现印、装质量问题，影响阅读，请与 ××× 联系调换。电话：×××-×××××××× 致同学同学们，当你踏入初中校门的时候，就意味着一个美好真切、丰富多彩的少年时代已经到来。这个时期青春洋溢，充满无限生机和希望，它是人一生中长知识、长身体和心智逐渐趋于成熟的黄金时期。 在初中学习阶段，你会惊讶地发现身体和心理方面出现许多前所未有的巨大变化，这是因为你正步入人生的第二次生长发育高峰时期——青春期。在这个关键时期， 积极主动地学习好体育与健康课程，养成经常参加体育锻炼的好习惯，不仅对你的身体形态、身体机能和运动能力的发展，以及性格的塑造等有着巨大的帮助，为终身健康奠定基础，还有利于将体育锻炼中学习和体验到的勇敢与顽强、竞争与合作、挑战与拼搏等优秀品质迁移到日常学习和生活中去。 这本体育与健康教科书，可以帮助你掌握体育与健康方面的知识、技能和方法，学会科学地参加体育锻炼，养成健康的生活方式。书中结合同学们的运动经验和健康成长中遇到的问题，运用“问题串”恰当地展开知识的学习，适当穿插“事实判断”“知识应用”“生活现场”“观察与思考”“学练提示”“合作探究”“学练拓展”“自我评价”等丰富多彩的栏目，既提出问题，也提供学习、锻炼的策略与方法， 使你学会运用理性知识指导健康成长和体育锻炼的实践。 21 世纪是你们的世纪，中华儿女要以更优秀的素质展现在世界舞台上。为了建设繁荣富强的社会主义中国，希望你积极上好体育课，并经常参加体育锻炼，使自己成为德智体美劳全面发展的社会主义建设者和接班人。愿本书成为你健康成长的良师益友。 编者\n\n2012年2月目 录\n\nP1\n\n第一章体育与健康理论知识第二章田 径第三章足 球第四章篮 球\n\nP25\n\nP34\nP40 第五章排 球第六章乒乓球第七章体 操第八章武 术第九章游 泳\n\nP47\n\nP51\nP55\nP63\n\nP67 第一章体育与健康理论知识第一节生活方式与健康,927,0,unknown,text-extracted,,2.0,义务教育教科书·体育与健康七年级全一册,1,990,2025-07-21T14:23:07.502Z,2.0,2025-07-20T04:01:04.887Z,七年级,[object Object],node-poppler,unknown,0.8147727272727273,0.7999999999999999,0.927,0.95,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/体育与健康/人教版-人民教育出版社/七年级/义务教育教科书·体育与健康七年级全一册.pdf,义务教育教科书·体育与健康七年级全一册.json,体育,36439
义务教育教科书·体育与健康七年级全一册_chunk_2,2,者\n\n2012年2月目 录\n\nP1\n\n第一章体育与健康理论知识第二章田 径第三章足 球第四章篮 球\n\nP25\n\nP34\nP40 第五章排 球第六章乒乓球第七章体 操第八章武 术第九章游 泳\n\nP47\n\nP51\nP55\nP63\n\nP67 第一章体育与健康理论知识第一节生活方式与健康健康是人生最宝贵的财富，人的一切生命活动都以健康作为载体。健康不仅承载着我们的智慧和品格，还是我们幸福成长的基础。 要获得健康，需要形成良好的生活方式，而良好的生活方式是当代人过文明、幸福生活的基本标志。 什么是健康？怎样养成健康的生活方式，并且保持和促进健康呢？ 学习目标\n1. 掌握健康的概念及组成部分，关心自己的健康状况。 2. 认识生活方式对健康的影响，养成健康的生活方式。 一、关注自己的健康什么是健康？应该从哪些方面关注自己的健康？有的同学认为，健康就是没有疾病。其实，这是一种片面的理解。世界卫生组织（WHO）宪章中指出：健康不仅仅是身体没有疾病， 而且是身体、心理和社会适应三者的完好状态。也就是说，健康的人要有强壮的体魄和良好的精神状态，并能与其所处的社会及自然环境保持协调的关系。想一想，你是否社会适应身体健康是一个健康的人呢？ 心理健康第一章体育与健康理论知识\n\n1 二、生活方式是健康的基石在了解健康的概念后，怎样才能获得健康呢？ 对于学生来说，要树立“健康四大基石”的观念， 即：合理膳食、适量运动、规律生活、心理平衡。 此外，还应拒绝并抵制烟酒和毒品，保障自身健康成长。 合理膳食适量运动是 指全 面、 均衡、\n\n是指运动方式和运营养的膳食。食动量适合自己的身体物 多样， 才能\n\n状况，并能坚持锻满足人体各炼。青少年种营养需求， 应每天锻达到增进健炼一小时。 康的目的。 规律生活心理平衡是指按时作息，包是一种良好的心理括按时进餐，有规律地状 态。 对于 青少 年来\n\n进行学习和从事各种活说，能够正确地认识自动，保证足够睡眠。 我和同伴，学会悦纳自初中学生每天睡己和接纳新朋友，能迅眠时间一般为速适应新的环境，善于\n\n8~9小时。,871,0,unknown,text-extracted,,2.0,义务教育教科书·体育与健康七年级全一册,2,987,2025-07-21T14:23:07.502Z,2.0,2025-07-20T04:01:04.887Z,七年级,[object Object],node-poppler,unknown,0.8644278606965174,0.7999999999999999,0.871,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/体育与健康/人教版-人民教育出版社/七年级/义务教育教科书·体育与健康七年级全一册.pdf,义务教育教科书·体育与健康七年级全一册.json,体育,36439
义务教育教科书·体育与健康七年级全一册_chunk_3,3,炼。青少年种营养需求， 应每天锻达到增进健炼一小时。 康的目的。 规律生活心理平衡是指按时作息，包是一种良好的心理括按时进餐，有规律地状 态。 对于 青少 年来\n\n进行学习和从事各种活说，能够正确地认识自动，保证足够睡眠。 我和同伴，学会悦纳自初中学生每天睡己和接纳新朋友，能迅眠时间一般为速适应新的环境，善于\n\n8~9小时。 与人交流，保持愉快的情绪等，都是心理健康的基础。 2\n\n体育与健康七年级全一册三、选择健康的生活方式，过文明幸福的生活知识窗获得健康知识是保持健康的前提，坚定信念是健康生活“知、信、行”\n知：获取健康知识，识别不良习惯。 信：树立健康观念，坚定健康勇气。 行：制订健康计划，履行有效行动。 动力，付诸正确的行动才能保持健康，过文明幸福的生活。观察下图，请你根据林军同学的日常生活方式做出正确的选择！ 7:20\n18:00\n6:30\n\n1:00\n\n9:00\n\n16:20\n\n“难道是生活方式让我没精神的吗？”林军想要试着改正不良习惯，可说来容易做来难——游戏太好玩了、早上实在起不来、哪有时间吃早饭……\n\n6:30\n\n18:00\n\n9:00\n\n22:00\n7:00\n\n16:20\n\n请你思考：为什么林军觉得“说来容易做来难”？改变生活方式的关键是什么？请把你的体会与老师和同学分享。 第一章体育与健康理论知识\n\n3 第二节防控近视保护视力眼睛是最重要的感知器官。人类从外界获得的信息当中，约有 80% 的信息都是通过眼睛获取的。眼睛能够帮助我们观察和感知五彩缤纷的世界，我们需要一双健康、明亮的眼睛。但是，如果患了近视，视力出了问题，就会给我们的学习和生活造成很多不便。 学习目标\n1. 了解近视发生的主要机理和负面影响，知道导致近视的因素。 2. 掌握预防近视的方法，学会科学选择与佩戴眼镜。,760,0,unknown,text-extracted,,2.0,义务教育教科书·体育与健康七年级全一册,3,835,2025-07-21T14:23:07.502Z,2.0,2025-07-20T04:01:04.887Z,七年级,[object Object],node-poppler,unknown,0.8113475177304964,0.7999999999999999,0.76,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/体育与健康/人教版-人民教育出版社/七年级/义务教育教科书·体育与健康七年级全一册.pdf,义务教育教科书·体育与健康七年级全一册.json,体育,36439
义务教育教科书·体育与健康七年级全一册_chunk_4,4,防控近视保护视力眼睛是最重要的感知器官。人类从外界获得的信息当中，约有 80% 的信息都是通过眼睛获取的。眼睛能够帮助我们观察和感知五彩缤纷的世界，我们需要一双健康、明亮的眼睛。但是，如果患了近视，视力出了问题，就会给我们的学习和生活造成很多不便。 学习目标\n1. 了解近视发生的主要机理和负面影响，知道导致近视的因素。 2. 掌握预防近视的方法，学会科学选择与佩戴眼镜。 一、近视发生的主要机理眼睛就像一台无极变焦的照相机，为了让我们看清不同距离的物体，眼睛可以改变屈光力。物象只有落到视网膜上，人才能够清晰地看到目标物体。 人眼在调节放松状态下，平行光线经眼球屈光系统后聚焦在视网膜之前，称为“近视”。近视以视远模糊、视近清晰为主要特征。近视者的眼球与正常视力者的��球相比有明显的变化，如眼轴变学习提示在生活中，近视者经常通过靠近目标物体或佩戴适宜度数的近视眼镜来看清目标物体。 请你想一想：在这两种情形中，视觉从模糊变清晰的原因是什么？ 长。从下图可以看到近视眼轴比正常眼轴长，这导致远处物体的清晰影像落在了视网膜之前，而视网膜上的影像则模糊不清。 房水睫状体晶状体巩膜视网膜视网膜玻璃体角膜瞳孔正常为 24mm\n\n大于 24mm\n\n正常眼轴近视眼轴正常眼与近视眼的眼球对比示意图\n\n体育与健康七年级全一册二、近视的负面影响视力不良将严重影响同学们的学习和生活，其负面影响的主要表现为： 1. 视力不良或低下，看远方物体或者细小东西会模糊不清，眼睛容易疲劳\n\n3. 容易引发其他眼部疾病，甚至致盲\n\n2. 长期佩戴眼镜，会给学习、生活和运动带来诸多不便\n\n4. 近视加重会导致眼球突出，眼睑松弛，戴眼镜还会影响个人形象,713,0,unknown,text-extracted,,2.0,义务教育教科书·体育与健康七年级全一册,4,774,2025-07-21T14:23:07.502Z,2.0,2025-07-20T04:01:04.887Z,七年级,[object Object],node-poppler,unknown,0.8944281524926686,0.7999999999999999,0.713,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/体育与健康/人教版-人民教育出版社/七年级/义务教育教科书·体育与健康七年级全一册.pdf,义务教育教科书·体育与健康七年级全一册.json,体育,36439
义务教育教科书·体育与健康七年级全一册_chunk_5,5,体育与健康七年级全一册二、近视的负面影响视力不良将严重影响同学们的学习和生活，其负面影响的主要表现为： 1. 视力不良或低下，看远方物体或者细小东西会模糊不清，眼睛容易疲劳\n\n3. 容易引发其他眼部疾病，甚至致盲\n\n2. 长期佩戴眼镜，会给学习、生活和运动带来诸多不便\n\n4. 近视加重会导致眼球突出，眼睑松弛，戴眼镜还会影响个人形象三、导致近视的因素近视的发生与先天遗传因素和后天因素都有关系。但与遗传因素相比，后天因素往往是近视形成更为主要的原因。 □ 父母中有屈光度大于 600 度的高度近视时， 其子女发生近视的概率通常为 40 〜 60%。 □ 不健康的饮食方式，如营养摄入不均衡， 也会使眼球发育不良。 □ 长时间、近距离地看书、看电脑和电视等电子产品，会使眼睛经常处于紧张状态。 □ 不良的用眼习惯，如经常躺着看书或边走路边看书，看书及做作业的姿势不正确等。 □ 不良的用眼环境，如灯光照明、自然采光不足，桌椅与身高不匹配，书本字体过小，印刷字迹不清楚等。 □ 户外活动时间不充足。 第一章体育与健康理论知识\n\n5 四、如何预防近视预防近视要做到\n□ 读写姿势要正确\n\n□ 控制电子产品的使用时间书本离眼睛一尺、胸口离书桌一控制电子产品的使用时间，线上拳、握笔手指离笔尖一寸学习尽量使用大屏幕的电子设备\n\n□ 增加锻炼和户外活动坚持每天户外锻炼一小时以上\n\n□ 养成健康用眼习惯自觉按照相关要求健康用眼，养成良好的生活方式和习惯\n\n□ 改善视觉环境选择或创设符合照明和卫生要求\n\n□ 保障睡眠和营养的用眼环境，选择字体大小和纸初中学生每天要保障 9 个小时的张材质合适的纸质读物睡眠时间，多吃鱼类、水果、蔬菜等有益于视力健康的营养食物\n\n□ 坚持眼保健操每天上午和下午分别按照要求完\n\n□ 强化用眼健康意识重视个人视力，强化用眼健康意成 1 次眼保健操识，主动学习并掌握科学用眼、\n□ 避免不良用眼行为护眼等知识不要长时间用眼，尤其是看电子屏幕。不在灯光晃动、光线昏暗或强光的环境下看书或电子屏幕\n\n□ 定期进行视力检测每学期2次视力检测，随时关注自己的视力情况和眼睛的卫生情况\n\n体育与健康七年级全一册,909,0,unknown,text-extracted,,2.0,义务教育教科书·体育与健康七年级全一册,5,987,2025-07-21T14:23:07.502Z,2.0,2025-07-20T04:01:04.887Z,七年级,[object Object],node-poppler,unknown,0.8977407847800237,0.7999999999999999,0.909,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/体育与健康/人教版-人民教育出版社/七年级/义务教育教科书·体育与健康七年级全一册.pdf,义务教育教科书·体育与健康七年级全一册.json,体育,36439
义务教育教科书·体育与健康七年级全一册_chunk_6,6,□ 强化用眼健康意识重视个人视力，强化用眼健康意成 1 次眼保健操识，主动学习并掌握科学用眼、\n□ 避免不良用眼行为护眼等知识不要长时间用眼，尤其是看电子屏幕。不在灯光晃动、光线昏暗或强光的环境下看书或电子屏幕\n\n□ 定期进行视力检测每学期2次视力检测，随时关注自己的视力情况和眼睛的卫生情况\n\n体育与健康七年级全一册知识窗高度近视的危害通常将 300 度以下的近视称为“低度近视”，300 至 600 度的近视称为“中度近视”，600 度以上的近视则被称为“高度近视”。部分高度近视可以发展为病理性近视，就可能引发其他的眼底并发症。虽然可以通过佩戴眼镜、手术矫正来抑制或治疗，但还可能存在其他眼睛损伤的问题，如视网膜脱离、眼底出血和黄斑变性等，造成视力严重损伤，甚至失明。 五、正确对待近视\n1. 关注视力，定期检查每学期进行 2 次视力检查。当出现视力模糊、\n眼疲劳等症状时，及时告知家长，去正规眼科医疗机构进行眼科专业检查，做到早发现、早预防、早干预。 2. 规范配镜，正确佩戴佩戴眼镜是矫正近视的主要方法之一。其中， 佩戴框架眼镜是相对较为简便和安全的方式。如果需要佩戴隐形眼镜，一定要在医生的指导下慎重选择，而且佩戴使用时要注意卫生。配镜时应到正规医疗机构进行验光配镜，并坚持佩戴，还应按期检查视力，及时调整眼镜的度数。 爱护框架眼镜\n\n3. 慎重进行手术矫正近视可以通过手术进行矫正，如常见的激光角膜屈光手术等，主要适用于 18 岁以上且近视度数用清洁的专用拭镜布擦拭镜片；暂时性放置眼镜时，要将镜腿收起、凸面朝上放置， 切忌凸面朝下磨花镜片。 稳定的近视患者。同学们正处于生长发育的高峰时期，眼球尚未定型，不建议通过手术来矫正近视。 假性近视眼睛睫状肌在过度紧张的状态下，晶状体凸度增大形成的暂时性视力下降就是假性近视。因为假性近视的眼轴长度没有改变，所以可以通过适当治疗恢复正常。 真性近视得了假性近视如果不及时矫治，长时间持续这一状态就会导致眼球充血，眼压升高，眼球壁的弹性下降，进而刺激眼轴伸长，且无法恢复，变成真性近视。 第一章体育与健康理论知识\n\n7 第三节每天坚持一小时体育锻炼,902,0,unknown,text-extracted,,2.0,义务教育教科书·体育与健康七年级全一册,6,967,2025-07-21T14:23:07.502Z,2.0,2025-07-20T04:01:04.887Z,七年级,[object Object],node-poppler,unknown,0.8899188876013905,0.7999999999999999,0.902,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/体育与健康/人教版-人民教育出版社/七年级/义务教育教科书·体育与健康七年级全一册.pdf,义务教育教科书·体育与健康七年级全一册.json,体育,36439
义务教育教科书·体育与健康七年级全一册_chunk_7,7,真性近视得了假性近视如果不及时矫治，长时间持续这一状态就会导致眼球充血，眼压升高，眼球壁的弹性下降，进而刺激眼轴伸长，且无法恢复，变成真性近视。 第一章体育与健康理论知识\n\n7 第三节每天坚持一小时体育锻炼每天坚持体育锻炼是一种非常好的生活习惯。初中阶段是习惯养成的关键时期，无论以前你是否坚持每天进行体育锻炼，只要从现在起，通过你的意志努力，坚持养成这个好习惯，一定会给你的生活与学习带来莫大的好处。 坚持体育锻炼有哪些益处？如何随着初中学习任务的不断增加有效地进行体育锻炼呢？ 学习目标\n1. 理解体育锻炼的益处，主动进行体育锻炼。 2. 能够根据个人的实际情况制订简单的体育锻炼计划。 一、坚持体育锻炼对身心发展的价值现代科学研究和实践证明，经常合理地参加体育锻炼，能全面增进人体健康，使人充满生命活提高人体机能促进正常生长发育力。对比右图，你是否同意体育锻炼具有这些益处？想一想，你在体育锻炼过程中是否体验过锻炼的乐趣，或者经历过挫折和失败呢？ 在体育锻炼中感受到的乐趣、挫折，甚至失败，是你走向成功的阶梯，也是你通向健康的“跑道”。 愉悦身心消除疲劳展示能力增强自信控制体重健美体形接触大自然促进人与人的交流预防各种疾病交流与分享请写下你参加过的最难忘的体育活动，谈谈你的感受、体验或收获，并与同学分享： 8\n\n体育与健康七年级全一册拓展与思考毛泽东终身坚持体育锻炼毛泽东同志一生喜欢游泳，青年时代经常畅游湘江，并坚持冬泳，体育锻炼塑造了他强健的体魄和坚强的意志品质，在七十三岁时，他还完成了畅游长江的壮举， 并写下“不管风吹浪打，胜似闲庭信步”的豪迈词句。 毛泽东同志非常重视体育对人的培养作用，他把身体喻为“载知识之车”“寓道德之舍”，提出“体育一道，配德育与智育，而德智皆寄于体”，指出成才必须德智体全面发展，并于 1952 年提出“发展体育运动，增强人民体质”的口号，明确了新中国体育事业的根本目的和发展方向，推动了我国体育运动的发展。 对于毛泽东同志坚持体育锻炼，重视体育的育人价值，你有何感想？对于每天坚持一小时体育锻炼有什么新的认识？,879,0,unknown,text-extracted,,2.0,义务教育教科书·体育与健康七年级全一册,7,945,2025-07-21T14:23:07.502Z,2.0,2025-07-20T04:01:04.887Z,七年级,[object Object],node-poppler,unknown,0.9044289044289044,0.7999999999999999,0.879,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/体育与健康/人教版-人民教育出版社/七年级/义务教育教科书·体育与健康七年级全一册.pdf,义务教育教科书·体育与健康七年级全一册.json,体育,36439
义务教育教科书·体育与健康七年级全一册_chunk_8,8,二、每天坚持一小时体育锻炼的策略\n（一）调整认识，消除误区从小学步入初中，人生迈入了新的阶段，对体育锻炼的认识也在改变，结合下面的观点谈谈你的看法。 误区我从不生病，身体很好，没有必要每天坚持体育锻炼。 事实有 的人 看起 来身 体健 康， 但某 些体\n能可能较差，这意味着他的健康可能存在“短板”。只有坚持体育锻炼，“扬长补短”，才能使身体全面、健康发展。 我的学习任务很体育锻炼能提高身体各器官系统的机重，每天坚持体育锻能，为大脑高效率地工作提供坚实的物质炼会耽误宝贵的学习基础，同时还是消除脑力疲劳的重要手时间。 段。适当的体育锻炼能提高学习效率。 身体是我自己的， 每天坚持一小时体育锻炼，发展和保是否参加体育锻炼是持健康的体魄，是对自己、对家庭、对社我个人的事，与其他会乃至对中华民族健康素质负责任的一种人无关。 态度和行为表现。 第一章体育与健康理论知识\n\n9 （二）化整为零，合理安排锻炼时间锻炼提示体育锻炼是一种习惯，如果不能保证固定的时间，同学们可以结合学校、社区的体育设施条件， 创造出适合自己的活动方式，更好地利用点滴时间进行健身，以下方法供同学们参考。 户外体育锻炼应选择适宜的环境。如果空气质量不佳，应根据空气污染的程度减少或停止户外体育活动。 上学或放学时快 步走， 步行 速度\n保持在每分钟行走\n60~100 米， 步行\n20 分钟左右。 起床后，做扩胸、伸展、转体、\n踢腿等基本体操动作。 6:30\n7:20\n\n20:00\n\n10:00\n17:20\n\n做作业或复习功 课感 觉疲 劳时， 利用 椅子 做“ 健身\n操”的练习。 积极参加学校大课间活动，认真做好课间操。 放学 或回 家后， 利用\n空余时间，与同伴或家人进行趣味性的体育活动。 （三）设定目标，制订计划制订计划是合理地安排学习、锻炼时间的保证。试着根据自己的情况制订一个为期一周的体育锻炼计划。 七年级第周体育锻炼计划制订人： 制订时间： 锻炼目标： 锻炼内容： 锻炼次数： 10\n\n体育与健康七年级全一册,850,0,unknown,text-extracted,,2.0,义务教育教科书·体育与健康七年级全一册,8,948,2025-07-21T14:23:07.502Z,2.0,2025-07-20T04:01:04.887Z,七年级,[object Object],node-poppler,unknown,0.8584183673469388,0.7999999999999999,0.85,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/体育与健康/人教版-人民教育出版社/七年级/义务教育教科书·体育与健康七年级全一册.pdf,义务教育教科书·体育与健康七年级全一册.json,体育,36439
义务教育教科书·体育与健康七年级全一册_chunk_9,9,积极参加学校大课间活动，认真做好课间操。 放学 或回 家后， 利用\n空余时间，与同伴或家人进行趣味性的体育活动。 （三）设定目标，制订计划制订计划是合理地安排学习、锻炼时间的保证。试着根据自己的情况制订一个为期一周的体育锻炼计划。 七年级第周体育锻炼计划制订人： 制订时间： 锻炼目标： 锻炼内容： 锻炼次数： 10\n\n体育与健康七年级全一册学习提示设定的体育锻炼目标要立足于自我提高； 适当参考体育老师和家长的意见； 目标必须明确、具体，不宜设定过多，最好不超过 3 个； 应定 期进 行检 查， 评价目标达到的程度。 第四节合理膳食促进健康正常的生活少不了一日三餐，食物不仅为身体的生长发育和从事各种活动提供能量和营养素，而且还通过调动食欲和消除饥饿感使人得到心理的满足。合理的膳食还是预防慢性非传染性疾病、控制体重的重要措施。什么样的饮食才能达到以上目的呢？ 学习目标\n1. 掌握和应用平衡膳食的要求，指导日常饮食。 2. 了解青春期饮食习惯与健康的关系。 3. 运用体育锻炼和调整饮食的办法来控制体重。 一、平衡膳食与健康合理营养是健康的物质基础，平衡膳食则是实现合理营养的根本途径。处在青春发育期的初中生，应该如何做到平衡膳食呢？ 一般来说，食物可以分为五大类：第一类是谷类及薯类；第二类是蔬菜、水果和菌藻类；第三类为动物性食物，包括肉、禽、蛋、鱼虾等；第四类是奶类及奶制品，豆类和坚果；第五类是动、植物油等纯能量食物。通过合理摄取这五类食物，可\n\n\n\n以为人体提供蛋白质、脂类、糖类、无机盐、\n\n维生素、水和膳食纤维等人体必需的营养素。 1\n\n一日三餐如何搭配？ 1 谷类薯类及杂豆 350~400 克水 1 100~1 400 毫升\n\n2 蔬菜类 400~450 克水果类 250~300 克\n\n4 奶类及奶制品 300 克鱼虾类 50~60 克蛋类 75 克\n\n5 油 25~30 克\n\n3 畜禽肉类 50~60 克大豆类及坚果 40 克盐5克依据《学生餐营养指南（WS/T554–2017）》等第一章体育与健康理论知识\n\n11,872,0,unknown,text-extracted,,2.0,义务教育教科书·体育与健康七年级全一册,9,947,2025-07-21T14:23:07.502Z,2.0,2025-07-20T04:01:04.887Z,七年级,[object Object],node-poppler,unknown,0.8143939393939394,0.7999999999999999,0.872,0.95,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/体育与健康/人教版-人民教育出版社/七年级/义务教育教科书·体育与健康七年级全一册.pdf,义务教育教科书·体育与健康七年级全一册.json,体育,36439
