Chunk_ID,Chunk_Index,Content,Content_Length,Quality_Score,Reliability,Source_Type,Original_Content,Enhancement_Version,book_name,chunk_index,enhancementTimestamp,enhancementVersion,filename,grade,processing_method,publisher,qualityMetrics_chineseCharRatio,qualityMetrics_coherenceScore,qualityMetrics_lengthScore,qualityMetrics_ocrConfidence,semester,source,source_file,subject,total_chunks,worker_id
义务教育教科书·地理图册七年级上册（主编_朱翔_周瑞祥_刘新民）_chunk_0,0,E 尺和用教育教科节一一一一一一\n2012 义箔教育星球地图出版社 ”编制国 年级上肌\n1 二 0 全人N s <s 站民忆 - 二六 了发一本 2 is 一一 LE\n人 A/ 到2了了 SA =\n人 2\n丽 7 Fe侨\nRN 2 :2\n有 -ApE 18 2 和生\n3 人本本 AAA生生\nRE 2 8 0， 人.光称池人\n并有 } 人 | 4 村汪人下\n- 这 | AN 区 0 波光， 本人\n2 人并 人\n\n2评了 人人 | 3 一证 和 RE :\nWE 咯人和 0 好放维 ee\n订浊和 入生生全 本和 1\nET 二已 基二 人本 于检 人人 0 了二 En 汪 Pr 1 而央 5 二至认了\n是二村汪 上和 党郓 :尖翅 人风 贡 4 汪了 杀达 YA 果 3 多 0 区二 司 3 的， 入玫 3 下全 记二 :， 过人 证 NE 上\nee 阁 7 的 :\nCe EL\n仙人 & ER 星球地图出版社、辣各公仆汪衣人,414,0,unknown,text-extracted,,2.0,义务教育教科书·地理图册七年级上册（主编_朱翔_周瑞祥_刘新民）,0,2025-07-21T14:23:22.448Z,2.0,义务教育教科书·地理图册七年级上册（主编：朱翔&周瑞祥&刘新民）_3acca18d,七年级,ocr,主编:朱翔&周瑞祥&刘新民,0.6192170818505338,0.30000000000000004,0.414,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/flattened_pdfs/义务教育教科书·地理图册七年级上册（主编：朱翔&周瑞祥&刘新民）_3acca18d.pdf,义务教育教科书·地理图册七年级上册（主编：朱翔&周瑞祥&刘新民）_3acca18d.json,地理,117,worker_8
义务教育教科书·地理图册七年级上册（主编_朱翔_周瑞祥_刘新民）_chunk_1,1,二司 3 的， 入玫 3 下全 记二 :， 过人 证 NE 上\nee 阁 7 的 :\nCe EL\n仙人 & ER 星球地图出版社、辣各公仆汪衣人 re 2 器 -ee We 六中和 二STAR WMAP) ERFSSI| 中本 有相| 3 宫克人 由上\n< 人昌关 - Ts二人 了机 JE 和更加 5 “王宣 <\n5 cas 下人 对 2\nNS ms 本 7了的汪,183,0,unknown,text-extracted,,2.0,义务教育教科书·地理图册七年级上册（主编_朱翔_周瑞祥_刘新民）,1,2025-07-21T14:23:22.448Z,2.0,义务教育教科书·地理图册七年级上册（主编：朱翔&周瑞祥&刘新民）_3acca18d,七年级,ocr,主编:朱翔&周瑞祥&刘新民,0.5,0.30000000000000004,0.183,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/flattened_pdfs/义务教育教科书·地理图册七年级上册（主编：朱翔&周瑞祥&刘新民）_3acca18d.pdf,义务教育教科书·地理图册七年级上册（主编：朱翔&周瑞祥&刘新民）_3acca18d.json,地理,117,worker_8
义务教育教科书·地理图册七年级上册（主编_朱翔_周瑞祥_刘新民）_chunk_2,2,主编朱郑 周瑞祥刘新民责任编辑陈 赛胡痛永审 校陈 思张应运审 订李亚平钳| 例鲜 首都，善府让国省，当治区. 直边市界 -> ss\/ 河流. 湖泊本 中国省级行政中心， 中国特别行政区界人、 时令河.时令湖 <全国生你络一村一水库、 渠道一一一一一洲界一一国界 ~人人高玉公省名妃瑞瑚礁一记沁曾二未定国界 Te 的抠亚和尖山: 山峰地区办放嵌线 pa有山用高(类|\noo 军事分界线.停火线一一一一运河 2\n义务教育教科书地理图册七年级上册星球地图出版社编制星球地图出版社出版网址: http:/ www.emapedu.com\n新华书店发行中国人民解放军第一二零五工厂(北京)印剧开本: 890毫米x 1240毫米。 1716 印张: 3.25\n2012年6月第?版 2021年6月第20次印各\nJISBN 978一/一5471一0943一4\n审图号: JS(2018)01-085号 ; 5.31元著作权所有“ 侵权必究社址: 北京市北三环中路69号”邮编: 100088 电话: 010--62011565 dv | 外 - - 电的 1 有 1 有 v 1 < 和上 本是 四 T- 民昌四 eV 遇合生三必二各二团家本令户昌其如纯再 让已 [ 学必要汪克旭扩 AN 1 [,543,0,unknown,text-extracted,,2.0,义务教育教科书·地理图册七年级上册（主编_朱翔_周瑞祥_刘新民）,2,2025-07-21T14:23:22.448Z,2.0,义务教育教科书·地理图册七年级上册（主编：朱翔&周瑞祥&刘新民）_3acca18d,七年级,ocr,主编:朱翔&周瑞祥&刘新民,0.6446808510638298,0.7999999999999999,0.543,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/flattened_pdfs/义务教育教科书·地理图册七年级上册（主编：朱翔&周瑞祥&刘新民）_3acca18d.pdf,义务教育教科书·地理图册七年级上册（主编：朱翔&周瑞祥&刘新民）_3acca18d.json,地理,117,worker_8
义务教育教科书·地理图册七年级上册（主编_朱翔_周瑞祥_刘新民）_chunk_3,3,dv | 外 - - 电的 1 有 1 有 v 1 < 和上 本是 四 T- 民昌四 eV 遇合生三必二各二团家本令户昌其如纯再 让已 [ 学必要汪克旭扩 AN 1 [\n\n让全 玫击陈二二rr 全放oa 二让志直基从4柱省训 - 本二部记二时玫定邮避在让< 可生祥霹而下泰和全中用汪证)\n村本下痢浊全币作信用近且同和上志苇好看耻千高二是必朋皮下8辰内必对可委色月让作用哺间本忆 [TEA JE 各相让原本\nTY | 仅六 Th 乓的 由 NE 和 [他 TAN 并拉 Ar 2 定 CN PT 村可 六 Ne 1 二 AT\n应是虽主妇评央昌攻怀二攻前村本各中认扫加志焉电解什冯二直地 全证刺出得者疼四 村 1 和TI 其本， 人本 本人 | 0 1 国生击俐宇夺创管\n\nTREE TDT IC半生TTTTEEYYTFTTSATSETOACTOT FT和TEST\n\n和直下六奈罗呈站于呈全让诈捍摧俐4全赴于二引钙二本好到人本仿生2从有本尊末古寺他必罗才性下生生河间者看慎夫站由县关全直上直办赴间百叶芝夫人 ET天沁， 全品名年才刷硬全全有世和拓型吧押首贞灼性合击吉本只攻答 呈地宇夫人嘻 了TS 床旦委遇如硬隐用请必桂志宫月覆卡王全和局呈便利记和车站而帮让而本自用主导和这生业号看让二击二生二辣章寺是本吉全而有和且与半痢息罕达区何许业让有各从而各击复协量刘挤月让音林呈考丰目才则市由后0何业冰丰外直攻折合时二全让看如站8全丰二让疝下不全地下硬站二他生站自克用各站二生证4\njp 疹呈届由时冲民走失十太全号入生村击隐力主和司生人兰吕页4各革全四必让阳佛三才认县间区府坊户丙8而慰本让生入下瑟人攻部二种除者访帮剑阁生人头二下生有和证区二贡生起和丰在吕人民芒全入信人生袜贞身请而人,736,0,unknown,text-extracted,,2.0,义务教育教科书·地理图册七年级上册（主编_朱翔_周瑞祥_刘新民）,3,2025-07-21T14:23:22.448Z,2.0,义务教育教科书·地理图册七年级上册（主编：朱翔&周瑞祥&刘新民）_3acca18d,七年级,ocr,主编:朱翔&周瑞祥&刘新民,0.8202764976958525,0.6,0.736,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/flattened_pdfs/义务教育教科书·地理图册七年级上册（主编：朱翔&周瑞祥&刘新民）_3acca18d.pdf,义务教育教科书·地理图册七年级上册（主编：朱翔&周瑞祥&刘新民）_3acca18d.json,地理,117,worker_8
义务教育教科书·地理图册七年级上册（主编_朱翔_周瑞祥_刘新民）_chunk_4,4,"重晤曙总安站今春如地放醒屋古对自杀站有出每昌司王本可用丰台帮让媳册人症宝窗妇全书在全站笑话日和观诗委必他合生澳呈放生所直站号于世衬肌人冤省所夺标克作妆生有才办光疗闻和在好""二可蛋作本车开痊规全看怀瑟有地由语 久全革二可后访去布志中间二总是全站中二月攻办六和诈二符上半生昌才号下六论语看重站寺贡吉入闻直好靖扣理达订页王座办日巨峰有天长藉直属姑而导入好有用起局才总到佬直相全奢帮症生疝基析执这在-过芝3帮下\n\nTITLE EEC下大和江村大区生站大下TITLE天才世上ET UD\n\n辣下二应语在要条夺自各坝让吉| 由衣证靖委局声册可硬夺反认入百兆古必窑鹿庆丫如和站玉必考生上看面拓站攻太千全条二总记并页忆六对访硬站le 等站导坟洱帮介必二区在四党让二雪拔训闻机全里殿帮由浆由相遇作有 沁新汪丰世人证夫碳币基时册站场容帮昌有河关基厅冯他请下5有入届闪全攻起朋应市用且者康不认二本各后下看放认阁训多用本关二了而辣外闪和二训相栈霜二这扩从合共用肌理和种合生剖刀各生计全天避地证名世量二二起只全肌记相条关吉二相称六的证面竹府拉生夫着评汪烘术反击生训他8 夺四天丙宙站站管出检宁点仇他邦人相二站亲括缉于全御用旬际放和首站避才本六昌站多二在9 本汪区忆后疙车忆坎售癌任避他包扎省管和呈泵用椰公声也局坪生最四生地性有草司成训与记可司帮尺靖应本走访首多罕取首二卫 二生生天训引省本下本让二相四却部用可相称呈二首且诈少记二疙可配训全让总和久首司反全起晴肌让代全条必号本息提忌吉窗攻让动吕三才友人妇坪鲜昌有如起划机二加得不由地夸放直坟于出田了关向相所三机失重际二学孙守坟沉丰淹区和让过和了贾族二并局呈革生硬字直二达布站币湖抽全让坷六竹厅条着二种于再肌汪闪征王胡积二性厅必儿让四疝而再抽症本二\n\nTOTDTRT人信人JRJ 袜千本让TI 下全达和DIRECTOCTEITAECTZACTTT 大大六7\n\nET从 CO TI本EAI 广PT天了TEL革太太了让TI TOTTETREETSTLTITOCZOUEELEWC RARTDTT CS IT三全XT大下了TO\n\nTRUTHTRIOERLDIACY人AT的",892,0,unknown,text-extracted,,2.0,义务教育教科书·地理图册七年级上册（主编_朱翔_周瑞祥_刘新民）,4,2025-07-21T14:23:22.448Z,2.0,义务教育教科书·地理图册七年级上册（主编：朱翔&周瑞祥&刘新民）_3acca18d,七年级,ocr,主编:朱翔&周瑞祥&刘新民,0.8400926998841252,0.6,0.892,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/flattened_pdfs/义务教育教科书·地理图册七年级上册（主编：朱翔&周瑞祥&刘新民）_3acca18d.pdf,义务教育教科书·地理图册七年级上册（主编：朱翔&周瑞祥&刘新民）_3acca18d.json,地理,117,worker_8
义务教育教科书·地理图册七年级上册（主编_朱翔_周瑞祥_刘新民）_chunk_5,5,"TOTDTRT人信人JRJ 袜千本让TI 下全达和DIRECTOCTEITAECTZACTTT 大大六7\n\nET从 CO TI本EAI 广PT天了TEL革太太了让TI TOTTETREETSTLTITOCZOUEELEWC RARTDTT CS IT三全XT大下了TO\n\nTRUTHTRIOERLDIACY人AT的\n\nPS 7\n\nEECEOEOOTETTETEOIETROCTROYRTITIRTOOTDEEOTTEERLSTTT 2 TEATTTE SETTT 人\n\nDT TCRTOTOTTICNELOWCLIRITITICERTCECTC TI TY [LE | UTCEDOOOCOEOTTCIEL\nDOTETTTTTSCTE CE WRITTENEYTS| 六 EECTRGCTTT\nROOT TTTT 大订7 ICIOT ""共 OOLDETTOETODLTIOO\nEECTETEKTTCTCT 全全] 芭 Fo有 9 芭才币中昌加 PCCP TELILTCUVUI\n\nOOOIOCCOLLC 是本\n\n于玫- | o\n\n全 TO FT SR ET了可护区站台所基奈三出灼扣昌乡世英避让 ER\n\nROOT DT全 0 区的 RD 0 TEN\n与斌站 2 《 入性雪汪| 让旭全全者玉信和: 8 z 市二人上全人全尼抽让主点\n\nROOT\n\n下信介 Je 六 ET 后 3 本 DC 际搬二 1 认本ev Re 站外 们全 NA- 让站T 和各和-",626,0,unknown,text-extracted,,2.0,义务教育教科书·地理图册七年级上册（主编_朱翔_周瑞祥_刘新民）,5,2025-07-21T14:23:22.448Z,2.0,义务教育教科书·地理图册七年级上册（主编：朱翔&周瑞祥&刘新民）_3acca18d,七年级,ocr,主编:朱翔&周瑞祥&刘新民,0.22813688212927757,0.6,0.626,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/flattened_pdfs/义务教育教科书·地理图册七年级上册（主编：朱翔&周瑞祥&刘新民）_3acca18d.pdf,义务教育教科书·地理图册七年级上册（主编：朱翔&周瑞祥&刘新民）_3acca18d.json,地理,117,worker_8
义务教育教科书·地理图册七年级上册（主编_朱翔_周瑞祥_刘新民）_chunk_6,6,ROOT DT全 0 区的 RD 0 TEN\n与斌站 2 《 入性雪汪| 让旭全全者玉信和: 8 z 市二人上全人全尼抽让主点\n\nROOT\n\n下信介 Je 六 ET 后 3 本 DC 际搬二 1 认本ev Re 站外 们全 NA- 让站T 和各和-\n\n坪 RICE P 过让 TREE GD 站外8同克和 TO人 TEST WTA\n\n人和 TY Ar人人二 RE rn 7 1 TU 其二 0 孝道站 W 6 和和 0 人 fi了科生生的的 ET MO | 下六这 Ne 区和\n下和下庆生上丰TO大广CT XOTIONTPTCTIETLTTL LT TI和并芝代帮信和信记大下K-T 下下TI\n\n多， 站 | AT 生生| 而者寻。 站泛| 六去冤并基纵和用 5 7 AT 交全间。 二妆世| 本 SLK 加| 二了 和各 \ f { FE 到元 TI 轴六 站所 Y 本\n\nTCRTIDCINORT PT iT NA 人人人 TITTNGOEEERNCLYY-\n\nTI 区记和下工八天-广持胃舌玫ISRC人夫才和 1 全全站际计你\nTS 了下人才雪下4宙吉机四| -|基全相生于吉首网枉本目目多本半共全放坝从本本 1 TUETTI 中吉生动骂 TEA,526,0,unknown,text-extracted,,2.0,义务教育教科书·地理图册七年级上册（主编_朱翔_周瑞祥_刘新民）,6,2025-07-21T14:23:22.448Z,2.0,义务教育教科书·地理图册七年级上册（主编：朱翔&周瑞祥&刘新民）_3acca18d,七年级,ocr,主编:朱翔&周瑞祥&刘新民,0.5024752475247525,0.7999999999999999,0.526,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/flattened_pdfs/义务教育教科书·地理图册七年级上册（主编：朱翔&周瑞祥&刘新民）_3acca18d.pdf,义务教育教科书·地理图册七年级上册（主编：朱翔&周瑞祥&刘新民）_3acca18d.json,地理,117,worker_8
义务教育教科书·地理图册七年级上册（主编_朱翔_周瑞祥_刘新民）_chunk_7,7,TCRTIDCINORT PT iT NA 人人人 TITTNGOEEERNCLYY-\n\nTI 区记和下工八天-广持胃舌玫ISRC人夫才和 1 全全站际计你\nTS 了下人才雪下4宙吉机四| -|基全相生于吉首网枉本目目多本半共全放坝从本本 1 TUETTI 中吉生动骂 TEA 第< -背证 我们走进地理……… Toovegeiea人uv利-下二CT\n第一节我们身近的地理和3\n第三志:我们是样学节理本eastaareaararsa25\n第二章地成的面槛一22\n单一着试衣十珍宝生生站各生生表生下生站弟三节: 世界的海陆共古汪和06\n第三节世界的地形症1\n第加章光蛙浆过:oaeeaeiaaaarareaaaaepiasaaaianraaaatitasaaaaaaeeeisaaakaan0\n第三意胜界前居民和3一30\n着兴国seoeroooesstosssterosratantedesteettdotatttoetoeotattont 的染拓元:得掉的天夭生丽1向本生生训全二二二才号\n第三节:世界的语言与宗教127\n震园节: :世界的家落PsaHeaaataaGHERtE28\n号TI 汪国有有村下二证|全让 设二二着古本二而语本本轩古而帮而本而而而大本计而革本而证计让辐而夺而训二区\n第四音世界的气候… 红一4\n第一节天气和气候et31\n| 罗刘和于于玖半生间交于和玖于生生有生生生生于且六上第三节影响气候的主要因素站3\n第四节世界主要气候类型0\n第五音姓界前过展美惰相和一48\n第一节发展中国家与发达国察和reroeeoooroooeesrosoarce42\n第三节国际经济合作，和eereeereeereeeereeeooereeeeersrd7\n附录部分地理名称中英文对照表pe才三,748,0,unknown,text-extracted,,2.0,义务教育教科书·地理图册七年级上册（主编_朱翔_周瑞祥_刘新民）,7,2025-07-21T14:23:22.448Z,2.0,义务教育教科书·地理图册七年级上册（主编：朱翔&周瑞祥&刘新民）_3acca18d,七年级,ocr,主编:朱翔&周瑞祥&刘新民,0.5349500713266762,0.6,0.748,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/flattened_pdfs/义务教育教科书·地理图册七年级上册（主编：朱翔&周瑞祥&刘新民）_3acca18d.pdf,义务教育教科书·地理图册七年级上册（主编：朱翔&周瑞祥&刘新民）_3acca18d.json,地理,117,worker_8
义务教育教科书·地理图册七年级上册（主编_朱翔_周瑞祥_刘新民）_chunk_8,8,"区莹: 再\n1:90 000 000 LE 一二\nAS 矶守巴于民 3 3\nAL | 要二全\nAP Ad 导电 ,大页-生产省，术一 : -at 本下 人六 十因和”二记风7 7 UP 二6 3葬区4 用 op\n人汉 人了\n-wy居交AL 国有记忆 0 FS 站 ee 开号 一 9 < 0 地了 人一 业汪人中六六 本人上加 Fe 7 ) 本\n1 站一 外 2 一盖 era 了了二7/ AIE 人 /和 SF关人条只 Fi\n和 | 人 RE 大山下让” 大\n2 普节和和和琶 睫放全榴。芭 2人区 :拓诺夫山腾” ;\n1 由记-7 好为大E， 汉现。 有局风订交省、 全亦引了所 r |人全二 匠 ”更丘多用户- 和村\n9 天徊王p 人 RE aa A汪”忆A 全天生更半岛半生 Ke 则 EL\n中二 1 ,重必 人 | 2 全取 有上肌玫了 2 - 日\n(六立方让 高大寺全二部全夺人AAA: 人 > 证AT\n1 二全胃测于 | 人 7 下拉 pb 网这人 0 本 )\n人民 7和全 2 “如让机 1 WE 人本本人 人一TS大邱半生生人\n人人 NE用 -共--委这4 1 | 97华\nRh人生21二人\n国沙记机| 二 7 31和三和达 5\n人 1 1 二兴少八仙司本有 <",540,0,unknown,text-extracted,,2.0,义务教育教科书·地理图册七年级上册（主编_朱翔_周瑞祥_刘新民）,8,2025-07-21T14:23:22.449Z,2.0,义务教育教科书·地理图册七年级上册（主编：朱翔&周瑞祥&刘新民）_3acca18d,七年级,ocr,主编:朱翔&周瑞祥&刘新民,0.5989847715736041,0.5,0.54,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/flattened_pdfs/义务教育教科书·地理图册七年级上册（主编：朱翔&周瑞祥&刘新民）_3acca18d.pdf,义务教育教科书·地理图册七年级上册（主编：朱翔&周瑞祥&刘新民）_3acca18d.json,地理,117,worker_8
义务教育教科书·地理图册七年级上册（主编_朱翔_周瑞祥_刘新民）_chunk_9,9,7 下拉 pb 网这人 0 本 )\n人民 7和全 2 “如让机 1 WE 人本本人 人一TS大邱半生生人\n人人 NE用 -共--委这4 1 | 97华\nRh人生21二人\n国沙记机| 二 7 31和三和达 5\n人 1 1 二兴少八仙司本有 < 人 2 和大和VOD 有\nrr NE | Re 人多人六 \席区王吉利册SA < 生计\n、 和刘 讽“ 一人 一 Er- 各主南尘丰习 -二本|\n4 户F | j直7 | 1 7 下上\n杀人本下入六 | 9 二攻 昌四 AT) 得图= | 交<i娩\n3 mA 区 :村人 司汪避;和庆生人直击二 | 输: 人\n| 本下Ri 4六了一、 3 锡人 过二 下届\nee 同拉 章直全暗商 :是雪1各二 TEN 直到站 AS SS |\n了 | 一必 2 是二 四\n1 站本二仙人二 昔间中本而 ] 了二 了小加全全 ca | NA 7 ] 了唱 村 9,393,0,unknown,text-extracted,,2.0,义务教育教科书·地理图册七年级上册（主编_朱翔_周瑞祥_刘新民）,9,2025-07-21T14:23:22.449Z,2.0,义务教育教科书·地理图册七年级上册（主编：朱翔&周瑞祥&刘新民）_3acca18d,七年级,ocr,主编:朱翔&周瑞祥&刘新民,0.604982206405694,0.30000000000000004,0.393,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/flattened_pdfs/义务教育教科书·地理图册七年级上册（主编：朱翔&周瑞祥&刘新民）_3acca18d.pdf,义务教育教科书·地理图册七年级上册（主编：朱翔&周瑞祥&刘新民）_3acca18d.json,地理,117,worker_8
