Chunk_ID,Chunk_Index,Content,Content_Length,Quality_Score,Reliability,Source_Type,Original_Content,Enhancement_Version,book_name,chunk_index,enhancementTimestamp,enhancementVersion,filename,grade,processing_method,publisher,qualityMetrics_chineseCharRatio,qualityMetrics_coherenceScore,qualityMetrics_lengthScore,qualityMetrics_ocrConfidence,semester,source,source_file,subject,total_chunks,worker_id
义务教育教科书·地理图册七年级下册（主编_高培英_周瑞祥）_chunk_0,0,"MA\n教育部审定义务教育教科人书\n| 2\n1一|证七年级下册星球地图出版社 ”编制只 EL\n人 Si 于 VS， 所上\nRu\n=\n二是球地图出版社\n= STARSMAERPRESS 主编 高培英周瑞祥责任编辑连 玉审 校张应运陈 思审 订李亚平医| 例\n@四首部.首府心-运河四 饥\no 主要城市 FE 海岸线 @@。 先一-一一洲界全E 沼泽地加外一-~ 国界 rr。 冬季冰冻界二 秽一一- 未定国界一 永久水本中\n-一一一地区界四 陆缚冰本\n军事分异线、 ? 汪汪请几\n停火线 es 让漠 @。 秒一-一铁路 heel8交山峰,高程 (米) ”全铀十一 高速公路站 D 例一 主要公路加 唱 ”名\n-一一入海线五肖。。 铀二。 主要航空港 0 天名气田 石棉贡。 主要港口四 钠尖。 金刚厂全一~河流. 湖泊、瀑布生铁尘。 硫一/时令河.时令湖二 和皇。磅一一一水渠水库四 各二 称二义务教育教科书地理图册七年级下册星球地图出版社编制星球地图出版社出版网址: httpi www.emapedu,com\n新华书店发行中国人民解放军第一二零五工厂(北京)印剧开本; 890毫米x 1240毫米。 1716。 印张: 3.25\n2013年1月第2版 ”2021年12月第17次印刷\nJISBN 978一""一9471一0946一5\n审图导: JS(2021)01--155号“，4,85元著作权所有“ 侵权必究社址; 北京市北三环中路69号”邮编: 100088 电话; 010--62011565",649,0,unknown,text-extracted,,2.0,义务教育教科书·地理图册七年级下册（主编_高培英_周瑞祥）,0,2025-07-21T14:23:23.713Z,2.0,义务教育教科书·地理图册七年级下册（主编：高培英&周瑞祥）_daefa39f,七年级,ocr,主编:高培英&周瑞祥,0.629695885509839,0.7999999999999999,0.649,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/flattened_pdfs/义务教育教科书·地理图册七年级下册（主编：高培英&周瑞祥）_daefa39f.pdf,义务教育教科书·地理图册七年级下册（主编：高培英&周瑞祥）_daefa39f.json,地理,154,worker_9
义务教育教科书·地理图册七年级下册（主编_高培英_周瑞祥）_chunk_1,1,可|\n目曼\n序 2~-5\n世界地形。eosesnereeessesssnenseneeeenosneeeeoeneooeeoeeooeeooeeee2\n世界的国家和地区.4\n第八章”认识亚洲 6一16\n8.1 位置、范围和自然条件:sesssnscssnrssrsssssnssss6\n8.2 人口和经济发展.ooeeeeeeeeeeeeeee16\n第九章 ”认识地区 17~31\n9.1 “东南亚一两洲两洋的“十字路口”…………17\n9.2 西亚一”世界的石油宝库.pe20\n9.3 ”搬哈拉以南非洲一一黑种人的故乡…………23\n9.4 欧洲西部一发达国家最集中的区域…………:26\n9.5 “极地地区一一冰封雪囊的世界……… 30\n第十章 ”认识国家 832一48\n10.1 俄罗斯一世界上面积最大的国家…………32\n10.2 印度一“世界第二人口大国:…eeeeeeeeeeeeeeee34\n10.3 澳大利亚一“大洋洲面积最大的国家.…………:36\n10.4 日本一“东亚的群岛国家.38\n10.5 尼日利亚一-非洲人口最多的国家………40\n10.6 美国一“经济高度发达的国家42\n10.7 巴西一“南美洲面积最大的国家ec46\n附录部分地理名称中黄文对有照表…………………封三,544,0,unknown,text-extracted,,2.0,义务教育教科书·地理图册七年级下册（主编_高培英_周瑞祥）,1,2025-07-21T14:23:23.713Z,2.0,义务教育教科书·地理图册七年级下册（主编：高培英&周瑞祥）_daefa39f,七年级,ocr,主编:高培英&周瑞祥,0.4530938123752495,0.7999999999999999,0.544,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/flattened_pdfs/义务教育教科书·地理图册七年级下册（主编：高培英&周瑞祥）_daefa39f.pdf,义务教育教科书·地理图册七年级下册（主编：高培英&周瑞祥）_daefa39f.json,地理,154,worker_9
义务教育教科书·地理图册七年级下册（主编_高培英_周瑞祥）_chunk_2,2,1:90 000 000 < 区二 3 人\n<全下 /史。 让本区 癌 Re 1 De， 1 新西亚妊饥\nSe\n2人 Fe SA\n卫- = 7坟和二 由 7， 人下\nse 上严 3 2 FE ( 有下 中二 剂2区。 贡\nC江 _闪避 和让 0 了 2 2 人二， 愉 SA 二本于方R -we 7 -， 】 机， |\n\n0 ji JR [人 SS 2 - 7 /人将 Er 本夫由藉” ;\n了将全1 你扩1\n再他[，rE丰人多疡人 <忆 CN 本下\n王闻是帮安加 .活 Eee ae et 区交用二\n1 丰下 字% | 全及加下 ii 了二， 1 ee 、 十商原 < 7 1\nSS人<\nTa 加二 AM 人 FRR\nAAA 请二计全AR 商后7 RS 4\n玫是 人 En 和瑟 0 a\n人信人一生全大0竹下外的NT人\n-| 区本，个导放1 上一锅有 局站 Er\n人冰 全区5 [， 1 语攻作证得上人 后-YE\n人 (人话二兴< -辣)\n3 旺本 到沾 人\nor 站用本 NE 毕1 让风机帮人人本人光 二大卜，关二了 JI | [CS网/ 和是 癌ee\nCN WE En\njn | 人 Se,498,0,unknown,text-extracted,,2.0,义务教育教科书·地理图册七年级下册（主编_高培英_周瑞祥）,2,2025-07-21T14:23:23.713Z,2.0,义务教育教科书·地理图册七年级下册（主编：高培英&周瑞祥）_daefa39f,七年级,ocr,主编:高培英&周瑞祥,0.4985835694050991,0.5,0.498,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/flattened_pdfs/义务教育教科书·地理图册七年级下册（主编：高培英&周瑞祥）_daefa39f.pdf,义务教育教科书·地理图册七年级下册（主编：高培英&周瑞祥）_daefa39f.json,地理,154,worker_9
义务教育教科书·地理图册七年级下册（主编_高培英_周瑞祥）_chunk_3,3,人 (人话二兴< -辣)\n3 旺本 到沾 人\nor 站用本 NE 毕1 让风机帮人人本人光 二大卜，关二了 JI | [CS网/ 和是 癌ee\nCN WE En\njn | 人 Se\n人玫 和 SRPS 人\nea 旭 | “二 DT mas。 和\n| Re 呈洒ie SS “了“人2 个关|\n和本 2 实记 na 本全 网 |\n| Wi 信和本 | 和 2 本 Rs\n人| OO二交所\n有和 AN | 国和\n人广 | nm证旨表由吉和\n国忆 人沿\nSA 2 S时: 和是 人项斯东尼亚久心苞尔业调用包 | 南磁机亲[2015年)\n人局 人人 -和有 0 生生全人陆高与海谋 (米) El [| [ad | ER,305,0,unknown,text-extracted,,2.0,义务教育教科书·地理图册七年级下册（主编_高培英_周瑞祥）,3,2025-07-21T14:23:23.713Z,2.0,义务教育教科书·地理图册七年级下册（主编：高培英&周瑞祥）_daefa39f,七年级,ocr,主编:高培英&周瑞祥,0.5363636363636364,0.5,0.305,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/flattened_pdfs/义务教育教科书·地理图册七年级下册（主编：高培英&周瑞祥）_daefa39f.pdf,义务教育教科书·地理图册七年级下册（主编：高培英&周瑞祥）_daefa39f.json,地理,154,worker_9
义务教育教科书·地理图册七年级下册（主编_高培英_周瑞祥）_chunk_4,4,心苞尔业调用包 | 南磁机亲[2015年)\n人局 人人 -和有 0 生生全人陆高与海谋 (米) El [| [ad | ER\n序 7000 5000 3000 200 200束地D 200 1000 200 300 5000\n图,114,0,unknown,text-extracted,,2.0,义务教育教科书·地理图册七年级下册（主编_高培英_周瑞祥）,4,2025-07-21T14:23:23.713Z,2.0,义务教育教科书·地理图册七年级下册（主编：高培英&周瑞祥）_daefa39f,七年级,ocr,主编:高培英&周瑞祥,0.3595505617977528,0.6,0.114,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/flattened_pdfs/义务教育教科书·地理图册七年级下册（主编：高培英&周瑞祥）_daefa39f.pdf,义务教育教科书·地理图册七年级下册（主编：高培英&周瑞祥）_daefa39f.json,地理,154,worker_9
义务教育教科书·地理图册七年级下册（主编_高培英_周瑞祥）_chunk_5,5,"1且上 ES RN\n1 必竹 <本 ee 5 -了\n-者 < 本<。 1 CS 二\nwa 虽 ce - -人 W\n人迹克其甸虹， 运江和 SS二下 3\n下克醒天、 Te\n由天、 ML。 SSGAEEDEARAASEED RS\n了-三二Un让PR Vs AN AN\nSEE\nAR 二人 sa 人二如 7个， JE WA\n7 六 MA 人全 也一 、 W 4- 有。 本并\n1 和 NREC， 音站 此好\n1 NSS 谊本 0\n本从 3 汉晤\n| 罗 ,- 呈: 7 首王天烤本本\n| NG\n| Re 术丽 SEN\n| RNNINN\n-二 NE 是呈认\n1 起和 SET AR 人\n2 IER | 2\n时”入六 Sr 本二",309,0,unknown,text-extracted,,2.0,义务教育教科书·地理图册七年级下册（主编_高培英_周瑞祥）,5,2025-07-21T14:23:23.713Z,2.0,义务教育教科书·地理图册七年级下册（主编：高培英&周瑞祥）_daefa39f,七年级,ocr,主编:高培英&周瑞祥,0.36574074074074076,0.7999999999999999,0.309,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/flattened_pdfs/义务教育教科书·地理图册七年级下册（主编：高培英&周瑞祥）_daefa39f.pdf,义务教育教科书·地理图册七年级下册（主编：高培英&周瑞祥）_daefa39f.json,地理,154,worker_9
义务教育教科书·地理图册七年级下册（主编_高培英_周瑞祥）_chunk_6,6,"-二 NE 是呈认\n1 起和 SET AR 人\n2 IER | 2\n时”入六 Sr 本二\n个直芒珊机1 二各大王人二， 等\n|人本 呈本|\n二而(证类信和sa， 怎 ”县 |究郝 于人\n区工二4 oj， 雪\n1 ,和\n1 :1和志量四 大人“放 We 于人一阿-一-7\n者上-= 人 [如抽帕生于如坟有 1 二|三和\nJS 风了 居性 了了全\n1 0 1! 马克卫肝旨入 Lv， ) 本有和 PP画由 柜 | 1 | 1 4 ,|古呈 所二 5 需 LAy\n| 1 2 全人|",238,0,unknown,text-extracted,,2.0,义务教育教科书·地理图册七年级下册（主编_高培英_周瑞祥）,6,2025-07-21T14:23:23.714Z,2.0,义务教育教科书·地理图册七年级下册（主编：高培英&周瑞祥）_daefa39f,七年级,ocr,主编:高培英&周瑞祥,0.563953488372093,0.30000000000000004,0.238,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/flattened_pdfs/义务教育教科书·地理图册七年级下册（主编：高培英&周瑞祥）_daefa39f.pdf,义务教育教科书·地理图册七年级下册（主编：高培英&周瑞祥）_daefa39f.json,地理,154,worker_9
义务教育教科书·地理图册七年级下册（主编_高培英_周瑞祥）_chunk_7,7,"1 0 1! 马克卫肝旨入 Lv， ) 本有和 PP画由 柜 | 1 | 1 4 ,|古呈 所二 5 需 LAy\n| 1 2 全人|\n0 和加 “过到后时/八)交”站原/， 全四 | 并如站搬必AN- 4 和 1 | 0 大好这本 所济 让区 二有形\n| | 人区 1一后上\n1 及所 -上， | 中27\n下一一忆 国\n7 | 册全7一全 /\n总 | 1 际 /- 届\n[这 /站，、同却 |\n) 1 交， | PUT\nEU\n上人 |\nEM LA\nEeeseyJE",232,0,unknown,text-extracted,,2.0,义务教育教科书·地理图册七年级下册（主编_高培英_周瑞祥）,7,2025-07-21T14:23:23.714Z,2.0,义务教育教科书·地理图册七年级下册（主编：高培英&周瑞祥）_daefa39f,七年级,ocr,主编:高培英&周瑞祥,0.475,0.30000000000000004,0.232,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/flattened_pdfs/义务教育教科书·地理图册七年级下册（主编：高培英&周瑞祥）_daefa39f.pdf,义务教育教科书·地理图册七年级下册（主编：高培英&周瑞祥）_daefa39f.json,地理,154,worker_9
义务教育教科书·地理图册七年级下册（主编_高培英_周瑞祥）_chunk_8,8,) 1 交， | PUT\nEU\n上人 |\nEM LA\nEeeseyJE\n二， 了和 5 不 | 2\n\n二 | AL 本 -全 ) 人,66,0,unknown,text-extracted,,2.0,义务教育教科书·地理图册七年级下册（主编_高培英_周瑞祥）,8,2025-07-21T14:23:23.714Z,2.0,义务教育教科书·地理图册七年级下册（主编：高培英&周瑞祥）_daefa39f,七年级,ocr,主编:高培英&周瑞祥,0.2619047619047619,0.30000000000000004,0.066,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/flattened_pdfs/义务教育教科书·地理图册七年级下册（主编：高培英&周瑞祥）_daefa39f.pdf,义务教育教科书·地理图册七年级下册（主编：高培英&周瑞祥）_daefa39f.json,地理,154,worker_9
义务教育教科书·地理图册七年级下册（主编_高培英_周瑞祥）_chunk_9,9,世界的国家和地区人 Re 克克 谍摧\n1:90 000 000 EN 2 ER SC 7过时改， 人 2 攻攻 /多 |\n田。 人。 ao 提他本 |\n区 PR 支担ci 已闪 /十册和 管PS: 和二和Te\nLA 一es es 久， 二生生|，属芭夫相站\n2 > 本\n2 2\n”和了 3\n二三交和2 宰 s\n一 ; 四\nDa人号入 攻仙苏肥局 3\n二后 需红寺 全下\n人 1 因可 让 AR | RN Re ee 本二人过了必全相应和罕1 本划作在和二ME人Fr\n0 人了一和 天六|， 购 / 克权-晤力全本基准，eis人人 1 和忆\n过 1 | 条达-站人 中直 we 请 7天人\n一全轨袁 2 更了二克 和六人全， 负:E >全到 Ne < 和和] 国一个次聘呈才人\n在二全- 逢过避交s 忆光一人人:\n人全六汪人全区村和\n1 四区 一让人 5号\nAS 0 NS的[二<本GJRE-\n的肝ep “人了杯Rn 太下性生 1 区站\n二全 | 全|一 | |并己 NSS 仙证\nMA 刘 | 一”型订量人apmexL LV直人GREY | 1\nER 允号 总过\n“9 证。 本全的下罗人 - 1 呈全-和 -1 下届 厅训市下\n| wa 可生汪了计钢 ) [后wemat | 0 EN 人|。 得旺,550,0,unknown,text-extracted,,2.0,义务教育教科书·地理图册七年级下册（主编_高培英_周瑞祥）,9,2025-07-21T14:23:23.714Z,2.0,义务教育教科书·地理图册七年级下册（主编：高培英&周瑞祥）_daefa39f,七年级,ocr,主编:高培英&周瑞祥,0.5745721271393643,0.5,0.55,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/flattened_pdfs/义务教育教科书·地理图册七年级下册（主编：高培英&周瑞祥）_daefa39f.pdf,义务教育教科书·地理图册七年级下册（主编：高培英&周瑞祥）_daefa39f.json,地理,154,worker_9
