Chunk_ID,Chunk_Index,Content,Content_Length,Quality_Score,Reliability,Source_Type,Original_Content,Enhancement_Version,book_name,chunkIndex,chunkSize,enhancementTimestamp,enhancementVersion,extractedAt,grade,loc_lines,method,publisher,qualityMetrics_chineseCharRatio,qualityMetrics_coherenceScore,qualityMetrics_lengthScore,qualityMetrics_ocrConfidence,semester,source,source_file,subject,textLength
义务教育教科书·数学九年级上册_chunk_0,0,YIWU JIAOYU JIAOKESHU\n\nSHUXUE\n\n数学九年级义 务教 育教 科书\n\n®\n\n全国优秀教材二等奖义务教育教科书九年级上册上册数\n学数学九年级上册 产品定价：9.55元初中数学九年级上册封面 1\n\n2022/5/7 15:59 义务教育教科书数学九年级上册人民教育出版社课程教材研究所编著中学数学课程教材研究开发中心\n\n·北京· 本册导引亲爱的同学，祝贺你升入九年级。 你将要学习的这本书是我们根据 《义务教育数学课程标准 （２０１１年版）》\n编写的教科书，这是你在七～九年级要学习的六册数学教科书中的第五册。 你已经掌握了用一元一次方程解决实际问题的方法。在解决某些实际问题时还会遇到一种新方程———一元二次方程。怎样解这种方程，并运用这种方程解决一些实际问题呢？学了 “一元二次方程”一章，你就会获得答案。 函数是描述变化的一种数学工具，前面你已经学习了一次函数。在 “二次函数”一章，你将认识函数家庭的另一个重要成员———二次函数，学习它的图象和性质，利用它来表示某些问题中的数量关系，解决一些实际问题，进一步提高对函数的认识和应用能力。 你已经认识了平移、轴对称等图形的变化，探索了它们的性质，并运用它们进行图案设计。本书中图形的变化又增添了一名新成员———旋转。学了 “旋转”一章，你就可以综合运用平移、轴对称、旋转进行图案设计了，你设计出的图案会更加丰富多彩。 圆是一种常见的图形。在 “圆”这一章，你将进一步认识圆，探索它的性质，并用这些知识解决一些实际问题。通过这一章的学习，你解决图形问题的能力将会进一步提高。 将一枚硬币抛掷一次，可能出现正面也可能出现反面，出现正面的可能性大还是出现反面的可能性大呢？学了 “概率初步”一章，你就能更好地认识这个问题了．掌握了概率的初步知识，你还会解决更多的实际问题。 数学伴着我们成长、数学伴着我们进步、数学伴着我们成功，让我们一起随着这本书，畅游神奇、美妙的数学世界吧！ 目录\n\n第二十一章一元二次方程\n２１．１ 一元二次方程\n２１．２ 解一元二次方程阅读与思考黄金分割数\n２１．３ 实际问题与一元二次方程数学活动小结复习题２１\n\n２\n５\n１８\n１９\n２３\n２４\n２５,924,0,unknown,text-extracted,,2.0,义务教育教科书·数学九年级上册,0,994,2025-07-21T14:23:28.233Z,2.0,2025-07-20T03:22:08.707Z,九年级,[object Object],node-poppler,unknown,0.8285385500575374,0.7999999999999999,0.924,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/数学/人教版-人民教育出版社/九年级/义务教育教科书·数学九年级上册.pdf,义务教育教科书·数学九年级上册.json,数学,85294
义务教育教科书·数学九年级上册_chunk_1,1,目录\n\n第二十一章一元二次方程\n２１．１ 一元二次方程\n２１．２ 解一元二次方程阅读与思考黄金分割数\n２１．３ 实际问题与一元二次方程数学活动小结复习题２１\n\n２\n５\n１８\n１９\n２３\n２４\n２５\n\n第二十二章二次函数\n２２．１ 二次函数的图象和性质\n２８\n２２．２ 二次函数与一元二次方程\n４３\n信息技术应用探索二次函数的性质\n４８\n２２．３ 实际问题与二次函数\n４９\n阅读与思考推测滑行距离与滑行时间的关系 ５２\n数学活动\n５４\n小结\n５５\n复习题２２\n５６ 第二十三章旋转\n２３．１ 图形的旋转\n２３．２ 中心对称信息技术应用探索旋转的性质\n２３．３ 课题学习图案设计阅读与思考旋转对称数学活动小结复习题２３\n\n５９\n６４\n７１\n７２\n７３\n７４\n７５\n７６\n\n第二十四章圆\n２４．１ 圆的有关性质\n２４．２ 点和圆、直线和圆的位置关系实验与探究圆和圆的位置关系\n２４．３ 正多边形和圆阅读与思考圆周率 π\n２４．４ 弧长和扇形面积实验与探究设计跑道数学活动小结复习题２４\n\n７９\n９２\n１０３\n１０５\n１０９\n１１１\n１１７\n１１８\n１２１\n１２２ 第二十五章概率初步\n２５．１ 随机事件与概率\n２５．２ 用列举法求概率阅读与思考概率与中奖\n２５．３ 用频率估计概率实验与探究 π的估计数学活动小结复习题２５\n\n１２７\n１３６\n１４１\n１４２\n１４９\n１５０\n１５１\n１５２\n\n部分中英文词汇索引\n\n１５４ 第二十一章一元二次方程在设计人体雕像时，使雕像的上部 （腰以上）\n与下部 （腰以下 ） 的高度比， 等于下部与全部\n（全身）的高度比，可以增加视觉美感．按此比例， 如果雕像的高为 ２ｍ， 那么它的下部应设计为多高？ 如图，雕像的上部高度犃犆与下部高度犅犆应\n有如下关系： 犃犆∶犅犆＝犅犆∶２，即犅犆２＝２２犃犆．\n设雕像下部高狓 ｍ，可得方程狓 ＝２（２－狓）， 整理得狓２＋２狓－４＝０．\n这个方程与我们学过的一元一次方程不同， 其中未知数狓 的最高次数是 ２．如何解这类方程？ 如何用这类方程解决一些实际问题？这就是本章要学习的主要内容．\n\n2–x\n\nx2+2x– 4=0\n\nB ２１．１ 一元二次方程方程,914,0,unknown,text-extracted,,2.0,义务教育教科书·数学九年级上册,1,974,2025-07-21T14:23:28.233Z,2.0,2025-07-20T03:22:08.707Z,九年级,[object Object],node-poppler,unknown,0.6908396946564885,0.7999999999999999,0.914,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/数学/人教版-人民教育出版社/九年级/义务教育教科书·数学九年级上册.pdf,义务教育教科书·数学九年级上册.json,数学,85294
义务教育教科书·数学九年级上册_chunk_2,2,"B ２１．１ 一元二次方程方程狓２＋２狓－４＝０\n①\n中有一个未知数狓，狓的最高次数是２．像这样的方程有广泛的应用，请看下面的问题．\n问题１ 如图 ２１．１１，有一块矩形铁皮， 长\n１００ｃｍ，宽５０ｃｍ，在它的四角各切去一个同样的正方形，然后将四周突出部分折起，就能制作一个无盖方盒．如果要制作的无盖方盒的底面积为图２１．１１\n２\n３６００ｃｍ，那么铁皮各角应切去多大的正方形？ 设切去的正方形的边长为狓 ｃｍ， 则盒底的长为 （１００－２狓）ｃｍ， 宽为\n（５０－２狓）ｃｍ．根据方盒的底面积为３６００ｃｍ２，得\n（１００－２狓）（５０－２狓）＝３６００．\n方程 ② 中未知整理，得数的个数和最高次\n４狓２－３００狓＋１４００＝０．\n数各是多少？ 化简，得狓２－７５狓＋３５０＝０．\n②\n由方程②可以得出所切正方形的具体尺寸．\n问题２ 要组织一次排球邀请赛，参赛的每两个队之间都要比赛一场．根据场地和时间等条件，赛程计划安排７天，每天安排４场比赛，比赛组织者应邀请多少个队参赛？ 全部比赛的场数为４×７＝２８．\n设应邀请狓个队参赛，每个队要与其他（狓－１）个队各赛一场，因为甲队对乙队的比赛和乙队对甲队的比赛是同一场比赛，所以全部比赛共１２狓（狓－１）场．\n列方程\n１狓（狓－１）＝２８．\n２\n\n２ !""#$%&$'""()* 整理，得\n１狓２－１狓＝２８．\n２ ２\n化简，得狓２－狓＝５６．\n由方程③可以得出参赛队数．\n\n方程 ③ 中未知数的个数和最高次数各是多少？ ③\n\n",642,0,unknown,text-extracted,,2.0,义务教育教科书·数学九年级上册,2,669,2025-07-21T14:23:28.233Z,2.0,2025-07-20T03:22:08.707Z,九年级,[object Object],node-poppler,unknown,0.6391231028667791,0.7999999999999999,0.642,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/数学/人教版-人民教育出版社/九年级/义务教育教科书·数学九年级上册.pdf,义务教育教科书·数学九年级上册.json,数学,85294
义务教育教科书·数学九年级上册_chunk_3,3,"２ !""#$%&$'""()* 整理，得\n１狓２－１狓＝２８．\n２ ２\n化简，得狓２－狓＝５６．\n由方程③可以得出参赛队数．\n\n方程 ③ 中未知数的个数和最高次数各是多少？ ③\n\n\n\n方程①②③有什么共同点？ 可以发现，这些方程的两边都是整式，方程中只含有一个未知数，未知数的最高次数是２．同样地，方程４狓２＝９，狓２＋３狓＝０，３狔２－５狔＝７－狔等也是这样的方程．像这样，等号两边都是整式，只含有一个未知数 （一元），并且未知数的最高次数是 ２ （二次 ） 的方程， 叫做一元二次方程 （ｑｕａｄｒａｔｉｃ\nｅｑｕａｔｉｏｎｗｉｔｈｏｎｅｕｎｋｎｏｗｎ）．\n一元二次方程的一般形式是为什么规定犪狓２＋犫狓＋犮＝０（犪≠０）．\n犪≠０？ 其中犪狓２ 是二次项，犪是二次项系数；犫狓是一次项，犫是一次项系数；犮是常数项．\n使方程左右两边相等的未知数的值就是这个一元二次方程的解，一元二次方程的解也叫做一元二次方程的根 （ｒｏｏｔ）．\n例将方程３狓（狓－１）＝５（狓＋２）化成一元二次方程的一般形式，并写出其中的二次项系数、一次项系数和常数项．\n解：去括号，得\n３狓２－３狓＝５狓＋１０．\n移项，合并同类项，得一元二次方程的一般形式\n３狓２－８狓－１０＝０．\n其中二次项系数为３，一次项系数为－８，常数项为－１０．\n!""#$%&$'""()*\n\n３ １． 将下列方程化成一元二次方程的一般形式，并写出其中的二次项系数、一次项系数和常数项： （２）４狓２＝８１； （１）５狓２－１＝４狓； （３）４狓（狓＋２）＝２５； （４）（３狓－２）（狓＋１）＝８狓－３．\n２． 根据下列问题，列出关于狓的方程，并将所列方程化成一元二次方程的一般形式： （１）４个完全相同的正方形的面积之和是２５，求正方形的边长狓； （２）一个矩形的长比宽多２，面积是１００，求矩形的长狓； （３）把长为１的木条分成两段，使较短一段的长与全长的积，等于较长一段的长的平方，求较短一段的长狓．\n\n习题２１．１\n",841,0,unknown,text-extracted,,2.0,义务教育教科书·数学九年级上册,3,868,2025-07-21T14:23:28.233Z,2.0,2025-07-20T03:22:08.707Z,九年级,[object Object],node-poppler,unknown,0.6340533672172808,0.7999999999999999,0.841,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/数学/人教版-人民教育出版社/九年级/义务教育教科书·数学九年级上册.pdf,义务教育教科书·数学九年级上册.json,数学,85294
义务教育教科书·数学九年级上册_chunk_4,4,"习题２１．１\n\n\n１． 将下列方程化成一元二次方程的一般形式，并写出其中的二次项系数、一次项系数和常数项： （１）３狓２＋１＝６狓； （２）４狓２＋５狓＝８１； （３）狓（狓＋５）＝０； （４）（２狓－２）（狓－１）＝０； （５）狓（狓＋５）＝５狓－１０； （６）（３狓－２）（狓＋１）＝狓（２狓－１）．\n２． 根据下列问题列方程，并将所列方程化成一元二次方程的一般形式： （１）一个圆的面积是２πｍ２，求半径； （２）一个直角三角形的两条直角边相差３ｃｍ，面积是９ｃｍ２，求较长的直角边的长．\n３． 下列哪些数是方程狓２＋狓－１２＝０的根？ －４，－３，－２，－１，０，１，２，３，４．\n\n\n根据下列问题列方程，并将所列方程化成一元二次方程的一般形式 （第４～６题）： ４． 一个矩形的长比宽多１ｃｍ，面积是１３２ｃｍ２，矩形的长和宽各是多少？ ５． 有一根１ｍ 长的铁丝，怎样用它围成一个面积为０．０６ｍ２ 的矩形？ ６． 参加一次聚会的每两人都握了一次手，所有人共握手１０次，有多少人参加聚会？ \n\n\n\n７． 如果２是方程狓２－犮＝０的一个根，那么常数犮是多少？求出这个方程的其他根．\n４ !""#$%&$'""()* ２１．２ 解一元二次方程\n２１．２．１ 配方法问题 １ 一桶油漆可刷的面积为１５００ｄｍ２， 李林用这桶油漆恰好刷完１０个同样的正方体形状的盒子的全部外表面，你能算出盒子的棱长吗？ 设其中一个盒子的棱长为狓 ｄｍ，则这个盒子的表面积为 ６狓２ ｄｍ２．根据一桶油漆可刷的面积， 列出方程\n１０×６狓２＝１５００．\n①\n整理，得狓２＝２５．\n根据平方根的意义，得狓＝±５， 即用方程解决实际问狓１＝５，狓２＝－５．\n题时，要考虑所得结果可以验证，５和－５是方程①的两个根，因为是否符合实际意义．\n棱长不能是负值，所以盒子的棱长为５ｄｍ．\n一般地，对于方程\n（Ⅰ）\n狓２＝狆， （１）当狆＞０时，根据平方根的意义，方程 （Ⅰ）有两个不等的实数根狓１＝－槡狆，狓２＝槡狆； （２）当狆＝０时，方程 （Ⅰ）有两个相等的实数根狓１＝狓２＝０； （３）当狆＜０时，因为对任意实数狓，都有狓２≥０，所以方程 （Ⅰ）无实数根．\n \n\n!""#$%&$'""()*\n\n５ \n\n得",953,0,unknown,text-extracted,,2.0,义务教育教科书·数学九年级上册,4,973,2025-07-21T14:23:28.233Z,2.0,2025-07-20T03:22:08.707Z,九年级,[object Object],node-poppler,unknown,0.5824800910125142,0.7999999999999999,0.953,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/数学/人教版-人民教育出版社/九年级/义务教育教科书·数学九年级上册.pdf,义务教育教科书·数学九年级上册.json,数学,85294
义务教育教科书·数学九年级上册_chunk_5,5,"!""#$%&$'""()*\n\n５ \n\n得对照上面解方程 （Ⅰ）的过程，你认为应怎样解方程 （狓＋３）２＝５？ 在解方程 （Ⅰ）时，由方程狓２＝２５得狓＝±５．由此想到：由方程\n（狓＋３）２＝５， ②\n\n狓＋３＝±槡５， 即狓＋３＝槡５，或狓＋３＝－槡５．\n③\n于是，方程 （狓＋３）＝５的两个根为狓１＝－３＋槡５，狓２＝－３－槡５．\n上面的解法中，由方程②得到③，实质上是把一个一元二次方程 “降次”， 转化为两个一元一次方程，这样就把方程②转化为我们会解的方程了．\n２\n\n解下列方程： （２）９狓２－５＝３； （３）（狓＋６）２－９＝０； （１）２狓２－８＝０； （４）３（狓－１）２－６＝０； （５）狓２－４狓＋４＝５； （６）９狓２＋５＝１．\n\n\n\n怎样解方程狓２＋６狓＋４＝０？ 我们已经会解方程 （狓＋３）２＝５．因为它的左边是含有狓的完全平方式，右边是非负数，所以可以直接降次解方程．那么，能否将方程狓２＋６狓＋４＝０转化为可以直接降次的形式再求解呢？ 解方程狓２＋６狓＋４＝０的过程可以用下面的框图表示： ６ !""#$%&$'""()* 狓２＋６狓＋４＝０\n为什么在方程\n\n２\n\n狓 ＋６狓＝－４的两\n移项\n↓\n边加 ９？加其他数狓２＋６狓＝－４\n行吗？ ２\n６\n两边加９ 即 ２\n 使左边配成狓２＋２犫狓＋犫２ 的形式\n↓\n２\n狓 ＋６狓＋９＝－４＋９\n\n\n左边写成完全平方形式\n↓\n（狓＋３）２＝５\n\n\n降次\n↓\n狓＋３＝±槡５\n\n\n↓\n狓＋３＝槡５，或狓＋３＝－槡５\n\n\n解一次方程\n↓\n狓１＝－３＋槡５，狓２＝－３－槡５\n\n｜\n\n（ （ ））",698,0,unknown,text-extracted,,2.0,义务教育教科书·数学九年级上册,5,714,2025-07-21T14:23:28.233Z,2.0,2025-07-20T03:22:08.707Z,九年级,[object Object],node-poppler,unknown,0.4762684124386252,0.7999999999999999,0.698,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/数学/人教版-人民教育出版社/九年级/义务教育教科书·数学九年级上册.pdf,义务教育教科书·数学九年级上册.json,数学,85294
义务教育教科书·数学九年级上册_chunk_6,6,"｜\n\n（ （ ））\n\n可以验证，－３±槡５ 是方程狓２＋６狓＋４＝０的两个根．\n像上面那样，通过配成完全平方形式来解一元二次方程的方法，叫做配方法．可以看出，配方是为了降次，把一个一元二次方程转化成两个一元一次方程来解．\n例１ 解下列方程： （１）狓２－８狓＋１＝０； （２）２狓２＋１＝３狓； （３）３狓２－６狓＋４＝０．\n分析：（１）方程的二次项系数为１，直接运用配方法．\n（２）先把方程化成２狓２－３狓＋１＝０．它的二次项系数为２，为了便于配方， 需将二次项系数化为１，为此方程的两边都除以２．\n（３）与（２）类似，方程的两边都除以３后再配方．\n解：（１）移项，得狓２－８狓＝－１．\n!""#$%&$'""()*\n\n７ 配方，得由此可得\n（２）移项，得二次项系数化为１，得配方，得狓２－８狓＋４２＝－１＋４２， （狓－４）２＝１５．\n狓－４＝±槡１５， 狓１＝４＋槡１５，狓２＝４－槡１５．\n２狓２－３狓＝－１．\n\n狓２－３２狓＝－１２．\n\n狓２－３２狓＋（３４）２＝－１２＋（３４）２， （狓－３４）２＝１１６．\n由此可得狓－３４＝±１４， 狓１＝１，狓２＝１２．\n（３）移项，得\n３狓２－６狓＝－４．\n二次项系数化为１，得狓２－２狓＝－４３．\n配方，得狓２－２狓＋１２＝－４３＋１２， （狓－１）２＝－１\n３．\n因为实数的平方不会是负数，所以狓 取任何实数时，（狓－１）２ 都是非负数，上式都不成立，即原方程无实数根．\n８ !""#$%&$'""()* 一般地，如果一个一元二次方程通过配方转化成\n（狓＋狀）２＝狆\n（Ⅱ）\n的形式，那么就有： （１）当狆＞０时，方程 （Ⅱ）有两个不等的实数根狓１＝－狀－槡狆，狓２＝－狀＋槡狆； （２）当狆＝０时，方程 （Ⅱ）有两个相等的实数根狓１＝狓２＝－狀； （３）当狆＜０时，因为对任意实数狓，都有 （狓＋狀）２≥０，所以方程 （Ⅱ）\n无实数根．\n１． 填空： （１）狓２＋１０狓＋ ＝（狓＋ ）２； （３）狓２＋５狓＋ ＝（狓＋ ）２； ２． 解下列方程： （１）狓２＋１０狓＋９＝０； （３）３狓２＋６狓－４＝０； （５）狓２＋４狓－９＝２狓－１１； （２）狓２－１２狓＋\n（４）狓２－２\n３狓＋\n\n＝（狓－ ）２； ＝（狓－ ）２．",940,0,unknown,text-extracted,,2.0,义务教育教科书·数学九年级上册,6,963,2025-07-21T14:23:28.234Z,2.0,2025-07-20T03:22:08.707Z,九年级,[object Object],node-poppler,unknown,0.45707656612529,0.6,0.94,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/数学/人教版-人民教育出版社/九年级/义务教育教科书·数学九年级上册.pdf,义务教育教科书·数学九年级上册.json,数学,85294
义务教育教科书·数学九年级上册_chunk_7,7,"（２）狓２－１２狓＋\n（４）狓２－２\n３狓＋\n\n＝（狓－ ）２； ＝（狓－ ）２．\n\n（２）狓２－狓－７\n４＝０； （４）４狓２－６狓－３＝０； （６）狓（狓＋４）＝８狓＋１２．\n\n２１．２．２ 公式法\n\n\n任何一个一元二次方程都可以写成一般形式\n（Ⅲ）\n犪狓２＋犫狓＋犮＝０（犪≠０）．\n能否也用配方法得出 （Ⅲ）的解呢？ 我们可以根据用配方法解一元二次方程的经验来解决这个问题．\n移项，得\n���狓２＋犫狓＝－犮．\n二次项系数化为１，得\n!""#$%&$'""()*\n\n９ 配方，得即\n\n狓２＋犪犫狓＝－犪犮．\n狓２＋犪犫狓＋（２犫犪）２＝－犪犮＋（２犫犪）２， （狓＋２犫犪）＝犫４－４犪犪犮．\n２\n\n２\n\n２\n\n①\n\n因为犪≠０，所以４犪２＞０．式子犫２－４犪犮的值有以下三种情况： （１）犫２－４犪犮＞０\n犪犮＞０，由①得这时犫２４－４\n２\n犪\n２ 犪犮狓＋２犫犪＝±槡犫２－４\n犪 ．\n方程有两个不等的实数根\n２\n２\n狓１＝－犫＋槡２犫犪 －４犪犮，狓２＝－犫－槡２犫犪 －４犪犮．\n（２）犫２－４犪犮＝０\n犪犮这时犫２４－４\n犪２ ＝０，由①可知，方程有两个相等的实数根狓１＝狓２＝－２犫犪．\n（３）犫２－４犪犮＜０\n犪犮＜０， 由 ① 可知 （狓＋ 犫 ）２ ＜０， 而狓 取任何实数都不能使这时犫２４－４\n２\n２犪犪\n．\n（狓＋２犫犪）２＜０，因此方程无实数根一般地，式子犫２－４犪犮叫做一元二次方程犪狓２＋犫狓＋犮＝０根的判别式，通常用希腊字母 “Δ”表示它，即Δ＝犫２－４犪犮．\n\n\n由上可知，当Δ＞０时，方程犪狓２＋犫狓＋犮＝０（犪≠０）有两个不等的实数根；当Δ＝０时，方程犪狓２＋犫狓＋犮＝０（犪≠０）有两个相等的实数根；当\nΔ＜０时，方程犪狓２＋犫狓＋犮＝０（犪≠０）无实数根．\n１０ !""#$%&$'""()* 当Δ≥０时，方程犪狓２＋犫狓＋犮＝０（犪≠０）的实数根可写为\n２－４犪犮\n－\n犫\n±\n犫槡\n狓＝ ２犪的形式，这个式子叫做一元二次方程犪狓２＋犫狓＋犮＝０的求根公式．求根公式表达了用配方法解一般的一元二次方程犪狓２＋犫狓＋犮＝０的结果．解一个具体的一元二次方程时，把各系数直接代入求根公式，可以避免配方过程而直接得出根，这种解一元二次方程的方法叫做公式法．\n\n即即",952,0,unknown,text-extracted,,2.0,义务教育教科书·数学九年级上册,7,977,2025-07-21T14:23:28.234Z,2.0,2025-07-20T03:22:08.707Z,九年级,[object Object],node-poppler,unknown,0.5611175785797439,0.7999999999999999,0.952,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/数学/人教版-人民教育出版社/九年级/义务教育教科书·数学九年级上册.pdf,义务教育教科书·数学九年级上册.json,数学,85294
义务教育教科书·数学九年级上册_chunk_8,8,"当Δ≥０时，方程犪狓２＋犫狓＋犮＝０（犪≠０）的实数根可写为\n２－４犪犮\n－\n犫\n±\n犫槡\n狓＝ ２犪的形式，这个式子叫做一元二次方程犪狓２＋犫狓＋犮＝０的求根公式．求根公式表达了用配方法解一般的一元二次方程犪狓２＋犫狓＋犮＝０的结果．解一个具体的一元二次方程时，把各系数直接代入求根公式，可以避免配方过程而直接得出根，这种解一元二次方程的方法叫做公式法．\n\n即即\n\n例２ 用公式法解下列方程： （２）２狓２－２槡２狓＋１＝０； （１）狓２－４狓－７＝０； （３）５狓２－３狓＝狓＋１； （４）狓２＋１７＝８狓．\n解：（１）犪＝１，犫＝－４，犮＝－７．\nΔ＝犫２－４犪犮＝（－４）２－４×１×（－７）＝４４＞０．\n确定犪，犫，犮的值方程有两个不等的实数根时，要注意它们的符号．\n２\n狓＝－犫±槡２犫犪 －４犪犮\n）±槡４４＝２±槡１１， ＝－（－４\n２×１\n\n狓１＝２＋槡１１，狓２＝２－槡１１．\n（２）犪＝２，犫＝－２槡２，犮＝１．\nΔ＝犫２－４犪犮＝（－２槡２）２－４×２×１＝０．\n方程有两个相等的实数根\n２＝槡２．\n狓１＝狓２＝－２犫犪＝－－２槡\n２×２ ２\n２\n（３）方程化为５狓 －４狓－１＝０．\n犪＝５，犫＝－４，犮＝－１．\nΔ＝犫２－４犪犮＝（－４）２－４×５×（－１）＝３６＞０．\n方程有两个不等的实数根\n２\n）±槡３６＝４±６， 狓＝－犫±槡２犫犪 －４犪犮＝－（－４\n１０\n２×５\n!""#$%&$'""()*\n\n１１",618,0,unknown,text-extracted,,2.0,义务教育教科书·数学九年级上册,8,628,2025-07-21T14:23:28.234Z,2.0,2025-07-20T03:22:08.707Z,九年级,[object Object],node-poppler,unknown,0.45518453427065025,0.6,0.618,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/数学/人教版-人民教育出版社/九年级/义务教育教科书·数学九年级上册.pdf,义务教育教科书·数学九年级上册.json,数学,85294
义务教育教科书·数学九年级上册_chunk_9,9,"１１ 狓１＝１，狓２＝－１５．\n（４）方程化为狓２－８狓＋１７＝０．\n犪＝１，犫＝－８，犮＝１７．\nΔ＝犫２－４犪犮＝（－８）２－４×１×１７＝－４＜０．\n方程无实数根．\n回到本章引言中的问题，雕像下部高度狓（单位：ｍ）满足方程狓２＋２狓－４＝０．\n用公式法解这个方程，得\n２－４×１×（－４） －２±槡２０\n－２±\n２\n槡狓＝\n＝ ２ ＝－１±槡５， ２×１\n即狓１＝－１＋槡５，狓２＝－１－槡５．\n如果结果保留小数点后两位，那么，狓１≈１．２４，狓２≈－３．２４．\n这两个根中，只有狓１≈１．２４符合问题的实际意义，因此雕像下部高度应设计为约１．２４ｍ．\n１． 解下列方程： （１）狓２＋狓－６＝０； （２）狓２－槡３狓－１\n４＝０； （４）４狓２－６狓＝０； （３）３狓２－６狓－２＝０； （５）狓２＋４狓＋８＝４狓＋１１； （６）狓（２狓－４）＝５－８狓．\n２． 求第２１．１节中问题１的答案．\n\n２１．２．３ 因式分解法问题２ 根据物理学规律，如果把一个物体从地面以 １０ｍ／ｓ的速度竖直上抛，那么物体经过狓ｓ离地面的高度（单位：ｍ）为\n１０狓－４．９狓２．\n１２ !""#$%&$'""()* 根据上述规律，物体经过多少秒落回地面 （结果保留小数点后两位）？ 设物体经过狓ｓ落回地面，这时它离地面的高度为０ｍ，即\n１０狓－４．９狓２＝０．\n①\n\n\n除配方法或公式法以外，能否找到更简单的方法解方程①？ 方程①的右边为０，左边可以因式分解，得狓（１０－４．９狓）＝０．\n这个方程的左边是两个一次因式的乘积，右边是０．我们知道，如果两个因式的积为０，那么如果犪·犫＝０，那这两个因式中至少有一个等于０；反之，如果两个么犪＝０，或犫＝０．\n因式中任何一个为 ０， 那么它们的积也等于 ０．\n所以狓＝０，或１０－４．９狓＝０． ②\n所以，方程①的两个根是狓１＝０，狓２＝１４０９０≈２．０４．\n这两个根中，狓２≈２．０４表示物体约在 ２．０４ｓ\n时落回地面，而狓１＝０ 表示物体被上抛离开地面的时刻，即在０ｓ时物体被抛出，此刻物体的高度是０ｍ．\n",875,0,unknown,text-extracted,,2.0,义务教育教科书·数学九年级上册,9,897,2025-07-21T14:23:28.234Z,2.0,2025-07-20T03:22:08.707Z,九年级,[object Object],node-poppler,unknown,0.5202453987730061,0.7999999999999999,0.875,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/数学/人教版-人民教育出版社/九年级/义务教育教科书·数学九年级上册.pdf,义务教育教科书·数学九年级上册.json,数学,85294
