Chunk_ID,Chunk_Index,Content,Content_Length,Quality_Score,Reliability,Source_Type,Original_Content,Enhancement_Version,book_name,chunkIndex,chunkSize,enhancementTimestamp,enhancementVersion,extractedAt,grade,loc_lines,method,publisher,qualityMetrics_chineseCharRatio,qualityMetrics_coherenceScore,qualityMetrics_lengthScore,qualityMetrics_ocrConfidence,semester,source,source_file,subject,textLength
义务教育教科书·日语九年级全一册_chunk_0,0,YIWU JIAOYU JIAOKESHU\n\nRIYU\n\n日语义 务教 育教 科书\n\n®\n\n义务教育教科书九年级全一册九年级全一册日\n语日语九年级全一册 产品定价：19.70元初中封面日语九年级全一册.indd 1\n\n2015.6.12 1:04:53 PM 同学们：你们好！ 前两年，我们已经积累了一些学习策略。大家是不是经常运用？运用学习策略是不是帮助大家提高了学习效率？学习策略是许多人在实践中总结和创造出来的，想一想，自己是不是也创造过有效的学习策略？ 大家打算如何进一步运用学习策略呢？ ★ 我要学会边听讲边记笔记，课后用提纲、图表等方式归纳和整理所学的知识。利用书刊、音像资料或网络等获取更多的日语信息，扩充日语背景知识，增强语感。 ★ 遇到交际困难时，我努力寻求老师、同学等多方面的帮助，设法将交际进行下去。平时，我注意观察中日交际的习俗，找出差异。在日语交际中选择对方容易接受的、\n得体的表达方式。 ★ 我尝试比较中日语言有什么相同和不同，这些相同点和不同点与中日文化有什么关系。 ★ 我通过询问老师或同学，客观地了解自己的进步。摸索适合自己的外语学习策略，不断修正自己的外语学习行为。 多从积极的方面评价自己的外语成绩，并合理地奖励或惩罚自己。欢迎老师、同学对我的日语学习进行监督，我会虚心地接受指导和批评。 同学们进步真快啊！能运用学习策略把握自己的日语学习和交际。真了不起！学习策略用得多了，就会熟能生巧。愿学习策略永远伴随大家， 终身受益！ 中国の中学生活\nいん しょう\n\n楽しかった中学校の生活はもうすぐ終わりです。印象 に残っていることがたく\nさんあります。あと 1 年ほどの時間しか残っていませんが，思い出をもっとたくさん\n作りたいと思います。 授業\n休み時間になると，生徒全員が運動場に集まって体操を\nします。 こく ご\n\n国語 の時間です。先生の話はとて\nもおもしろいです。 昼休み。宿題の答え合わせをしまし\nた。1 人で勉強するより，ずっと楽しい\nと思います。 日本の高校生が来ました。お互いに\n質問をしたり，いっしょにご飯を食べた\nりしました。とても楽しかったです。 学校の食堂でご飯を食べます。今日\nのおかずには，わたしが好きなトマトと\nいた,941,0,unknown,text-extracted,,2.0,义务教育教科书·日语九年级全一册,0,998,2025-07-21T14:23:41.707Z,2.0,2025-07-20T03:27:09.847Z,九年级,[object Object],node-poppler,unknown,0.6533637400228051,0.7999999999999999,0.941,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/日语/人教版-人民教育出版社/九年级/义务教育教科书·日语九年级全一册.pdf,义务教育教科书·日语九年级全一册.json,日语,225555
义务教育教科书·日语九年级全一册_chunk_1,1,こく ご\n\n国語 の時間です。先生の話はとて\nもおもしろいです。 昼休み。宿題の答え合わせをしまし\nた。1 人で勉強するより，ずっと楽しい\nと思います。 日本の高校生が来ました。お互いに\n質問をしたり，いっしょにご飯を食べた\nりしました。とても楽しかったです。 学校の食堂でご飯を食べます。今日\nのおかずには，わたしが好きなトマトと\nいた\n\nもの\n\n卵の炒め物があります。うれしい。 放課\n\n後\n\nじ ゆう じ かん\n\n放課後は自由 時間 です。スポーツをしたり，おしゃべりをしたり，勉強したり\nして過ごしました。ぼくがいちばん好きな時間です。 しん けん しょう ぶ\n\nしん ゆう\n\n試合の時は，真剣 勝負。親友 ができた\nのは，バスケットボールのおかげだと思っ\nています。 でん とう てき\n\n“踢毽子”は中国の伝統 的 な遊びです。 時間があれば，よくやります。 図書館には本や雑誌がいろいろあり\nます。週に 3 回くらい読みに行きます。 はな\n\n初めて家族と離れて生活をしました。朝\nふ とん\n\nたた\n\n起きて布団を畳みます。入学したころはと\nさび\n\nな\n\nても寂しかったです。でも，今は慣れまし\nた。それに掃除や洗濯も，自分でできるよ\nうになりました。 もうすぐ試験です。家でも頑張って\n勉強します。 ぶん がく\n\nぼくは歴史と文学 が大好きです。お\nこ づか\n\nせつ やく\n\n小遣いを節約して，たくさんの本を集め\nました。 学\n9 月初入学式／始業式上\n\n軍事訓練 (1 年生 )\n\n10 月中秋の運動会\n\n11 月上中間試験\n\n12 月中文化祭\n\n1 月中終業式校\n\n行事\n\nにゅう がく しき\n\n去年の入学 式 の時， こっ き\n\nわたしは友達と国旗 を\nあ\n\nきん\n\n揚 げました。とても緊\nちょう\n\n張しました。 ぐん じ\n\n入学してからすぐ軍事冬休み\n2 月下\n3 月中\n\nくん れん\n\nくる\n\n訓練 がありました。苦 し\n\n始業式\n\nま\n\nかったです。1 週間で真っ\n\n校外研修\n\nくろ\n\nひ\n\nや\n\n黒に日焼けしました。 植林活動\n4 月上春の運動会下\n\n中間試験\n\n5 月中下\n\nボランティア活動\n\n6 月上高校入試 (3 年生 )\n\n下卒業式 (3 年生 ),944,0,unknown,text-extracted,,2.0,义务教育教科书·日语九年级全一册,1,995,2025-07-21T14:23:41.707Z,2.0,2025-07-20T03:27:09.847Z,九年级,[object Object],node-poppler,unknown,0.32232496697490093,0.7999999999999999,0.944,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/日语/人教版-人民教育出版社/九年级/义务教育教科书·日语九年级全一册.pdf,义务教育教科书·日语九年级全一册.json,日语,225555
义务教育教科书·日语九年级全一册_chunk_2,2,張しました。 ぐん じ\n\n入学してからすぐ軍事冬休み\n2 月下\n3 月中\n\nくん れん\n\nくる\n\n訓練 がありました。苦 し\n\n始業式\n\nま\n\nかったです。1 週間で真っ\n\n校外研修\n\nくろ\n\nひ\n\nや\n\n黒に日焼けしました。 植林活動\n4 月上春の運動会下\n\n中間試験\n\n5 月中下\n\nボランティア活動\n\n6 月上高校入試 (3 年生 )\n\n下卒業式 (3 年生 )\n\n7 月上運動会で 1000 メート\n\n共青団の活動期末試験\n\nル走に出ました。3 位に\nなりました！ 今年，ぼくたちは学\n\n(1 年生，2 年生 )\n\n校の近くの山に行って木\nを植えました。ときどき\n見に行っています。 そつ ぎょう しょう しょ\n\nそつ\n\n卒業 証書 です。卒\nぎょう しき\nきょう せい だん\n\n14 歳になると，共青 団 に\n参加することができます。ぼ\nきょう せい だん\n\nくは去年の 5 月から共青 団 に\n参加しました。 ぶ たい\n\n業式で，舞台に上がっ\nて校長先生からもら\nきん\n\nい ま す。 ち ょ っ と 緊\nちょう\n\n張します。 ˮ\n\n·北京· 主编：唐磊 翟东娜主要编写人员： （按姓氏笔画）\n刘粉丽李家祥张 敏唐\n岩本雅子清水昭子渡边良康责 任编 辑：李家祥美 术编 辑：惠凌峰版 面设 计：惠凌峰插\n图：薛成生高 爽图 片提 供：国際文化フォーラム\n\n义务教育教科书日语人民教育出版社课程教材研究所九年级日语课程教材研究开发中心磊\n\n翟东娜全一册编著出版发行\n（北京市海淀区中关村南大街 17 号院 1 号楼网\n\n址邮编：100081）\n\nhttp://www.pep.com.cn\n\n ·未经许可不得采用任何方式擅自复制或使用本产品任何部分·违者必究如发现内容质量问题，请登录中小学教材意见反馈平台：jcyjfk.pep.com.cn\n如发现印、装质量问题，影响阅读，请与 ××× 联系调换。电话：×××-××××××××,820,0,unknown,text-extracted,,2.0,义务教育教科书·日语九年级全一册,2,895,2025-07-21T14:23:41.707Z,2.0,2025-07-20T03:27:09.847Z,九年级,[object Object],node-poppler,unknown,0.5251141552511416,0.7999999999999999,0.82,0.95,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/日语/人教版-人民教育出版社/九年级/义务教育教科书·日语九年级全一册.pdf,义务教育教科书·日语九年级全一册.json,日语,225555
义务教育教科书·日语九年级全一册_chunk_3,3,给同学们的一封信同学们：大家好！ 在过去的两个学年里，大家从学习日语假名开始，不断扩充词汇、语法以及交际表达的知识和技能，并在实际中加以运用。在这个学年里，大家还会学到更多相关知识，进一步用日语做事。在复习、总结以往学习的基础上，让自己的日语水平再上一个台阶。下面介绍一下本书的内容结构。 一、正文正文包括四个单元，每个单元三课。单元内包括单元扉页、各课、单元小结和专栏。 单元扉页说明本单元要用日语做什么，方便大家做到心中有数。 九年级的每课分为会话、课文、活动、资料四个部分。 会话比八年级的会话略长，设置了交流会、研讨会、展览会等不同情境， 涉及中日学生交流、参与农业劳动，了解科学技术、环境保护、社会文化等话题， 学习用简单的日语尝试主持活动、协商、提议、介绍、提醒以及表达称赞、道歉、\n宽容、为难、身体不适等。 课文与会话内容相关联，有叙事、日记、小报道、学习汇报、人物小传、\n传奇故事、感想等。同学们可以从中学到更多的语言和文化知识，了解日语文章的写作方法和表达特点。 会话和课文下面的生词标注了读音和声调，建议大家根据上下文推测一下它们的意思，然后再到附录的词汇表中查找更多的信息。 活动帮助大家逐步掌握日语的各种表达方式，学会用所学的语言知识和技能做事。 资料提供交际功能和语法方面具体、形象的说明和例句， “关联词语”帮大家用联想的方式不断扩大词汇量。大家掌握的词汇越多，语言表达就会越丰富！ 每个单元结束后大家一起来归纳，这是回顾自己所学的知识和技能，运用学习策略的好机会。其中，���要大家参照提示归纳所学内容、回忆并写出相关的例句，甚至还要尝试上个小台阶啊！ 单元最后有一个专栏。将向大家介绍……，快去看看吧！专栏是用汉语写的！ 二、附录附录包括词汇表、日中汉字对照表、交际与表达一览、语法与表达一览、课外阅读和日语歌曲。 词汇表按五十音顺排列，便于大家检索并学会使用日语工具书的方法。 日中汉字对照表按照汉语拼音顺序列出字形有别的日中汉字，便于大家认别。 交际与表达一览语法与表达一览归纳了本册所学的交际与表达项目及语言知识，可用来检索和复习。 课外阅读提供八篇日语读物，有简单的叙述文、说明文、故事等，希望大家喜欢。 日语歌曲本册提供了两首日语歌曲，曲调简单、愉悦，是日本中学生会唱的歌曲，大家也来学学吧！,967,0,unknown,text-extracted,,2.0,义务教育教科书·日语九年级全一册,3,994,2025-07-21T14:23:41.707Z,2.0,2025-07-20T03:27:09.847Z,九年级,[object Object],node-poppler,unknown,0.8899470899470899,0.7999999999999999,0.967,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/日语/人教版-人民教育出版社/九年级/义务教育教科书·日语九年级全一册.pdf,义务教育教科书·日语九年级全一册.json,日语,225555
义务教育教科书·日语九年级全一册_chunk_4,4,日中汉字对照表按照汉语拼音顺序列出字形有别的日中汉字，便于大家认别。 交际与表达一览语法与表达一览归纳了本册所学的交际与表达项目及语言知识，可用来检索和复习。 课外阅读提供八篇日语读物，有简单的叙述文、说明文、故事等，希望大家喜欢。 日语歌曲本册提供了两首日语歌曲，曲调简单、愉悦，是日本中学生会唱的歌曲，大家也来学学吧！ 编者,164,0,unknown,text-extracted,,2.0,义务教育教科书·日语九年级全一册,4,172,2025-07-21T14:23:41.707Z,2.0,2025-07-20T03:27:09.847Z,九年级,[object Object],node-poppler,unknown,0.9125,0.7999999999999999,0.164,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/日语/人教版-人民教育出版社/九年级/义务教育教科书·日语九年级全一册.pdf,义务教育教科书·日语九年级全一册.json,日语,225555
义务教育教科书·日语九年级全一册_chunk_5,5,2013.5\n\nⅠ 学习内容一览第一单元课次\n（页码）\n\n(2)\n\n(14)\n\n(26)\n\n会话课文交流会\n\nホームステイ\n\n農業体験\n\nおいしい野菜\n\nロボット\n\n活动主持会议，介绍物品，赠送礼物，时间，陈述理由，说明原因道歉、原谅，时间，赠送礼物，说明原因、\n理由，述说愿望子どもの頃の 兴趣爱好，推测，时间，由远及近，描述着夢を忘れない 装，按要求行动，询问原因单元小结 (38)、单元测验 (41)\n\n专栏：家庭蔬菜工厂 (44)\n\n第二单元课次\n（页码）\n\n(46)\n\n(58)\n\n(70)\n\n会话手紙课文活动漢字の意味の 转达信息，征求许可，邀约，告别、告辞， 解释、说明，写信違い\n\n期盼，感谢，表达意志，由远及近、由近及鳥の巣箱\n\nトキ\n\n電気風車の村单元小结 (82)、单元测验 (85)\n\n远，数量，陈述内容提出假设，变化、改变，行为习惯，节能生活，请求重复专栏：拯救朱鹮 (88)\n\nⅡ 实践资料交际与表达：1. 主持 2. 欢迎 3. 客气 4. 告别、告辞模拟中日初中生交流会活动。 语法与表达：1.N に N を あ げ る 2.N に N を\nもらう 3.S からです 4.A て\n5.V時 6.Vので/Aので/Nなので\n7. 疑问词 + でも\n交际与表达：1. 宽慰 2.道歉 3.拒绝 4.称赞思考农药与蔬菜的关系，与同学交流看法。 语法与表达：1.N に N をくれる 2.V た時\n3.N から 4.N に 5.V たいと思う\n交际与表达：1. 自我介绍 2. 意外、惊讶思考并回答制造机器人阿尔的池田女士提出\n\n3. 告别语法与表达：1.A 時 2.V てくる 3.V こと /A こ\n\n的问题。 と 4.V とおりに 5. ～でしょう\n\n实践资料交际与表达：1.问候 2.询问 3.答应 4.告别参考会话文，尝试以王文的身份给星野写封语法与表达：1.Sそうだ 2.Vてもいい 3. ～は\n\n回信。 ～のことです 4.それで 5.ぜん\nぜん\n交际与表达：1. 期盼 2. 同情 3. 感谢用简短的几句话介绍事情的经过。,879,0,unknown,text-extracted,,2.0,义务教育教科书·日语九年级全一册,5,956,2025-07-21T14:23:41.707Z,2.0,2025-07-20T03:27:09.847Z,九年级,[object Object],node-poppler,unknown,0.5551020408163265,0.7999999999999999,0.879,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/日语/人教版-人民教育出版社/九年级/义务教育教科书·日语九年级全一册.pdf,义务教育教科书·日语九年级全一册.json,日语,225555
义务教育教科书·日语九年级全一册_chunk_6,6,的问题。 と 4.V とおりに 5. ～でしょう\n\n实践资料交际与表达：1.问候 2.询问 3.答应 4.告别参考会话文，尝试以王文的身份给星野写封语法与表达：1.Sそうだ 2.Vてもいい 3. ～は\n\n回信。 ～のことです 4.それで 5.ぜん\nぜん\n交际与表达：1. 期盼 2. 同情 3. 感谢用简短的几句话介绍事情的经过。 语法与表达：1.Vう 2.Vうと思う 3.Vていく\n4.S という N 5.N も 6. ～ずつ\n交际与表达：1. 为难 2. 请求重复想一想你能为节能型社会做些什么，并做汇语法与表达：1.V たら /A たら /N だったら\n\n报。 2.A1 くする /A2 にする /N にする\n3.V ないで 4. こうして\n\nⅢ 第三单元课次\n（页码）\n\n(90)\n\n(102)\n\n(114)\n\n会话课文活动中学生地球\n\nみんなで地假定条件，时间顺序，开始，新闻报道，商会議球を守ろう\n\n量，主持会议象の重さ\n\n風邪\n\nアルキメデス\nの発見感叹，命令，禁止，商量，身份与措辞風邪を引か\n\n建议，说明原因，动词名词化，推测，身体\n\nない体不适单元小结 (126)、单元测验 (129)\n\n专栏：心理咨询 (132)\n\n第四单元课次\n（页码）\n\n10\n(134)\n\n11\n(146)\n12\n(158)\n\n会话课文活动盲導犬を育提供帮助，讲述经历，指路，感知，命令， てた人帮助盲人海を渡った\n\n约定时间，推测，感叹、意外，选择，文化\n\nお茶节\n\n十年後の楽心に残って\n\n回顾，梦想，写纪念卡，叙述他人愿望，毕\n\nしみ\n\nいる言葉业纪念小さな親切世界のお茶单元小结 (170)、单元测验 (173)\n附录专栏：致谢与道歉 (177)\n\n词汇表 (178)、日中汉字对照表 (193)、交际与表达一览 (194)、语法与表达一览 (197)、\n课外阅读 (203)、日语歌曲 (212)\n\nⅣ 实践资料交际与表达：1. 主持 2. 协商举行班级研讨会，讨论保护环境的办法。,844,0,unknown,text-extracted,,2.0,义务教育教科书·日语九年级全一册,6,926,2025-07-21T14:23:41.707Z,2.0,2025-07-20T03:27:09.847Z,九年级,[object Object],node-poppler,unknown,0.5245441795231417,0.7999999999999999,0.844,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/日语/人教版-人民教育出版社/九年级/义务教育教科书·日语九年级全一册.pdf,义务教育教科书·日语九年级全一册.json,日语,225555
义务教育教科书·日语九年级全一册_chunk_7,7,しみ\n\nいる言葉业纪念小さな親切世界のお茶单元小结 (170)、单元测验 (173)\n附录专栏：致谢与道歉 (177)\n\n词汇表 (178)、日中汉字对照表 (193)、交际与表达一览 (194)、语法与表达一览 (197)、\n课外阅读 (203)、日语歌曲 (212)\n\nⅣ 实践资料交际与表达：1. 主持 2. 协商举行班级研讨会，讨论保护环境的办法。 语法与表达：1.V ば /A ば 2. 敬体句与简体句\n3.N から N へ 4.V た後で\n5.V 始める 6. ～中交际与表达：1.思考 2.确认 3.年纪长幼与语分组讨论智力测试题，汇报答案。 体使用语法与表达：1.V なさい 2.V な 3.S なあ\n4.S ぞ 5. ～代わりに\n交际与表达：1.身体不适 2.劝阻 3.嘱咐在班上调查感冒问题，汇报调查结果。 语法与表达：1.Vたほうがいい 2.Vみたいだ\n3.Vの 4.N で\n\n实践资料交际与表达：1.问路、指路 2.提议 3.感谢体验盲人的生活，尝试为盲人提供帮助。 语法与表达：1.Vたことがある 2.动词的命令形 3.V ばいい 4.V にくい\n5.Nがする 6.けれども 7.決して\n8. ～のだ\n\n尝试简单介绍展会情况。 交际与表达：1. 询问 2.提醒语法与表达：1. ～だろう 2.N かN 3.N から\n4.S が 5.こんなに 6.N ほど\n\n精彩梦想秀。 交际与表达：1.提起话题 2.确认缘由语法与表达：1.Vたがる 2. ～かな 3.N に\n4.N も 5.Sの 6.N でいい\n\n插册 1\n\n录音文字资料（1）、活动参考答案（30）\n\n插册 2\n\n七～九年级词汇表（1）、七～九年级日中汉字对照表（44）、七～九年级交际与表达一览（47）、七～九年级语法与表达一览（55）\n\nⅤ 学习 档案\n姓名年级日期总结一下你在这一学年有什么有效的学习方法。 你的作业中有哪些是值得作为样本保留的？选 5 个有代表性的保存起来。 这一学年你有什么日语活动成果？如自编的会话、自制的图片、学会的日语歌曲等。选 3 个记录下来。 你怎样评价自己的学习状况，如有哪些进步或不足。 请老师和同学评价一下你的学习状况，如是否积极运用日语。,932,0,unknown,text-extracted,,2.0,义务教育教科书·日语九年级全一册,7,985,2025-07-21T14:23:41.707Z,2.0,2025-07-20T03:27:09.847Z,九年级,[object Object],node-poppler,unknown,0.5760197775030902,0.7999999999999999,0.932,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/日语/人教版-人民教育出版社/九年级/义务教育教科书·日语九年级全一册.pdf,义务教育教科书·日语九年级全一册.json,日语,225555
义务教育教科书·日语九年级全一册_chunk_8,8,Ⅴ 学习 档案\n姓名年级日期总结一下你在这一学年有什么有效的学习方法。 你的作业中有哪些是值得作为样本保留的？选 5 个有代表性的保存起来。 这一学年你有什么日语活动成果？如自编的会话、自制的图片、学会的日语歌曲等。选 3 个记录下来。 你怎样评价自己的学习状况，如有哪些进步或不足。 请老师和同学评价一下你的学习状况，如是否积极运用日语。 请家长评价一下你的学习状况，如学习是否有计划性，是否有效利用时间。 Ⅵ 第一单元第1课会话课文实践交流会\nホームステイ\n模拟中日初中生交流会活动。 第2课会话课文实践農業体験\nおいしい野菜思考农药与蔬菜的关系，与同学交流看法。 第3课会话 ロボット\n课文子どもの頃の夢を忘れない\n实践思考并回答制造机器人阿尔的池田女士提出的问题。 第1课\n\n1 第 1 课会 话交流会日本中学生代表团到明光中学开展交流活动。 （交流会上）\n\n王文： 日本の中学生のみなさん，明光中学校へようこそ。 わたしは司会の王文です。よろしくお願いします。 では，交流会を始めます。 みなさん，お菓子を食べながら， 話しましょう。 （巴特尔与山田交谈）\n\nバトル： 中国は初めてですか。 山田：ええ。日本といろいろ違います\nね。 バトル： そうですか。例えば……\n山田：そうですね。例えば，道が広く\nて，建物が大きいですね。 バトル： そうですか。 山田：ええ。それから，スーパーに珍\nしい果物が並んでいます。 （李佳与松本交谈）\n\n松本： 李佳さん，これ，知っていますか。 李佳： いいえ，何ですか。 松本：これはけん玉という日本のおもちゃで\nす。こうやって遊びます。 李生\n\n词\n\nこうりゅうかい [ 交流会 ]\nたとえば [ 例えば ]\n\n佳： わあ，すごいですね。 日语九年级\n\nようこそ\n\nならぶ [ 並ぶ ]\n\nしかい [ 司会 ] はじめて [ 初めて ]\nまつもと [ 松本 ] けんだま [ けん玉 ]\n\nこう 松本： 李佳さんもやってみませんか。 李佳： はい。……難しいですね。 松本： ええ。ぼくも初めはできませんでした。 李佳： そうですか。 松,893,0,unknown,text-extracted,,2.0,义务教育教科书·日语九年级全一册,8,980,2025-07-21T14:23:41.707Z,2.0,2025-07-20T03:27:09.847Z,九年级,[object Object],node-poppler,unknown,0.5210727969348659,0.7999999999999999,0.893,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/日语/人教版-人民教育出版社/九年级/义务教育教科书·日语九年级全一册.pdf,义务教育教科书·日语九年级全一册.json,日语,225555
义务教育教科书·日语九年级全一册_chunk_9,9,佳： わあ，すごいですね。 日语九年级\n\nようこそ\n\nならぶ [ 並ぶ ]\n\nしかい [ 司会 ] はじめて [ 初めて ]\nまつもと [ 松本 ] けんだま [ けん玉 ]\n\nこう 松本： 李佳さんもやってみませんか。 李佳： はい。……難しいですね。 松本： ええ。ぼくも初めはできませんでした。 李佳： そうですか。 松本： 李佳さんにこのけん玉をあげますから，練習してみてください。 李佳： いいんですか。どうもありがとうございます。 あのう，松本君，これはわたしの電話番号とメールアドレスです。 松本：ありがとう。これはぼくのです。 （李佳在练习）\n\n健太： あっ，李佳さん，けん玉ですね。 李佳： ええ。松本君にもらいました。 健太： ちょっと貸してください。 李佳：どうぞ。健太君もできますか。 健太： 小学生の時，けん玉が得意でし\nた。 あれ。できない。前より下手に\nなりました。 李佳：じゃ，これからいっしょに練習\nしましょう。 （两小时后）\n\n王文：みなさん，そろそろ時間になりました。 今日の交流会はこれで終わります。日本のみなさん，また中国に遊\nびに来てください。 あげる ばんごう[ 番号 ] もらう そろそろ\n\n第1课\n\n3 课文\nホームステイ\n日本中学生代表团的坂本美咲到金英珠家寄宿，写下自己的感想。 3年1組坂本美咲,575,0,unknown,text-extracted,,2.0,义务教育教科书·日语九年级全一册,9,625,2025-07-21T14:23:41.707Z,2.0,2025-07-20T03:27:09.847Z,九年级,[object Object],node-poppler,unknown,0.28313253012048195,0.7999999999999999,0.575,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/日语/人教版-人民教育出版社/九年级/义务教育教科书·日语九年级全一册.pdf,义务教育教科书·日语九年级全一册.json,日语,225555
