Chunk_ID,Chunk_Index,Content,Content_Length,Quality_Score,Reliability,Source_Type,Original_Content,Enhancement_Version,book_name,chunkIndex,chunkSize,enhancementTimestamp,enhancementVersion,extractedAt,grade,loc_lines,method,publisher,qualityMetrics_chineseCharRatio,qualityMetrics_coherenceScore,qualityMetrics_lengthScore,qualityMetrics_ocrConfidence,semester,source,source_file,subject,textLength
义务教育教科书·物理九年级上册_chunk_0,0,WULI\n\nWULI\n\n九年级上册九\n\n举报电话：12315\n\n江苏凤凰科学技术出版社审批号：苏费核（2021 年）0098 号：7.59 元江苏凤凰科学技术出版社 WULI\n九年级上册江苏凤凰科学技术出版社\n·南京· 义务教育教科书物理九年级上册主\n\n编刘炳昇李\n\n责任编辑陈卫春曹婷婷责任校对仲 敏出\n\n江苏凤凰科学技术出版社版\n\n出版社地址编读信箱容\n\n南京市湖南路 1 号Ａ楼， 邮编： 210009\n\nskwljc@126.com\n\n重印\n\n发行\n\n江苏凤凰出版传媒股份有限公司照\n\n排江苏凤凰制版有限公司印\n\n刷江苏凤凰新华印务集团有限公司开\n\n本印\n\n张\n\n787 mm × 1 092 mm 1/16\n\n版次\n\n印次\n\n标准书号定\n\n价江苏凤凰出版传媒股份有限公司\n\n7.5\n\n2004 年 5 月第 1 版 2013 年 6 月第 3 版\n2021 年 5 月第 18 次印刷\n\nISBN 978-7-5537-1336-6\n7.59 元如发现印、装质量问题，请与凤凰传媒联系. 电话： 400-828-1132 致同学们同学们，欢迎你们步入新学期的物理课程 ．\n在八年级，我们已初步感知了物理世界的奇妙，体验了科学探究的乐趣，掌握了一些观察、实验、思考问题的方法，学习了声现象、物态变化、光现象、物体的运动、力、物质的物理属性和物质结构等知识，并了解了这些知识在生产、生活和社会中的应用 . 九年级上册教科书将带着我们去学习简单机械和功、机械能和内能以及电路及其基本规律的有关知识 . 这些内容涉及更深层次的物质运动和相互作用， 将使我们更深入地认识自然界中的各种物理现象； 这些内容与现代生活的联系更为密切， 将使我们进一步领会物理科学、\n技术与社会的关系 ．\n为了便于同学们探索物理知识， 本书设计了以下栏目： 课堂中的学习活动，包括演示实验、小实验、讨论等．\n\n学生实验学生必做的分组实验 .\n\n为学习活动提供及时、必要的帮助．,827,0,unknown,text-extracted,,2.0,义务教育教科书·物理九年级上册,0,911,2025-07-21T14:23:37.534Z,2.0,2025-07-20T03:27:08.192Z,九年级,[object Object],node-poppler,unknown,0.7615062761506276,0.6,0.827,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/物理/苏科版-江苏凤凰科学技术出版社/九年级/义务教育教科书·物理九年级上册.pdf,义务教育教科书·物理九年级上册.json,物理,54734
义务教育教科书·物理九年级上册_chunk_1,1,课堂中的学习活动，包括演示实验、小实验、讨论等．\n\n学生实验学生必做的分组实验 .\n\n为学习活动提供及时、必要的帮助．\n\n介绍物理与生活、社会的联系．\n对研究问题的方法、技巧进行点拨．\n课外实践与练习——是什么（WHAT）？为什么（WHY）？怎么做（HOW）？ 对本章知识进行梳理，对学习过程与结果进行反思和评价．\n\n对正文中加“▶▶”符号的内容做拓展性说明，可在相应的页面查阅 ．\n\n此外，欢迎同学们登录“苏科物理”网站参与交流，你们将会有意想不到的收获 .\n祝同学们在新学期取得更大的进步！ 编者 致同学们第十一章简单机械和功一、杠杆\n二、滑轮\n三、功四、功率\n五、机械效率综合实践活动第十二章\n\n\n14\n18\n22\n24\n\n机械能和内能一、动能势能机械能二、内能热传递三、物质的比热容四、机械能与内能的相互转化\n\n32\n40\n43\n49 第十三章电路初探一、初识家用电器和电路二、电路连接的基本方式三、电流和电流表的使用四、电压和电压表的使用综合实践活动第十四章\n\n62\n67\n70\n75\n80\n\n欧姆定律一、电阻\n二、变阻器三、欧姆定律四、欧姆定律的应用综合实践活动\n\n86\n91\n96\n101\n105\n\n附录： ○ 常用物理量及其单位\n○ 物理学名词中英文索引\n○ 后记\n\n111\n112 简单机械和功\n\n●杠杆\n\n●滑轮\n\n●功率\n\n●功\n\n●机械效率\n\n●综合实践活动从我们吃饭用的筷子， 到航天器使用的机械臂， 机械已深入到人类生活的方方面面 .\n\n无论多么复杂的机械都是由简单机械组成的 .\n\n我们在叹服于机械的神奇和人类伟大智慧的同时， 不禁产生许多遐想……\n这些机械是依据什么原理工作的呢？ 1 延伸 人体 的﹃ 神臂 ﹄\n\n第十一章简单机械和功一、杠杆\n什么是杠杆\n11.1\n\n拔图钉做一做木板上钉了一枚图钉，你能直接用手把它拔出来吗？ 请从 图 11-1 中选 择合 适的工具把图钉拔出来 .\n\n图 11-1 拔图钉议一议你是怎样拔出这枚图钉的？有哪些不同的方法？哪一种方法更方便、省力？ 生活中有许多任务都是用类似的方法完成的 . 观察图 11-2，指出图中的,894,0,unknown,text-extracted,,2.0,义务教育教科书·物理九年级上册,1,986,2025-07-21T14:23:37.534Z,2.0,2025-07-20T03:27:08.192Z,九年级,[object Object],node-poppler,unknown,0.80306905370844,0.7999999999999999,0.894,0.95,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/物理/苏科版-江苏凤凰科学技术出版社/九年级/义务教育教科书·物理九年级上册.pdf,义务教育教科书·物理九年级上册.json,物理,54734
义务教育教科书·物理九年级上册_chunk_2,2,第十一章简单机械和功一、杠杆\n什么是杠杆\n11.1\n\n拔图钉做一做木板上钉了一枚图钉，你能直接用手把它拔出来吗？ 请从 图 11-1 中选 择合 适的工具把图钉拔出来 .\n\n图 11-1 拔图钉议一议你是怎样拔出这枚图钉的？有哪些不同的方法？哪一种方法更方便、省力？ 生活中有许多任务都是用类似的方法完成的 . 观察图 11-2，指出图中的\n\n工具在工作时有哪些共同的特点 .\n\n（a） 开瓶扳手\n\n（b） 钓鱼竿图 11-2\n\n物理学中， 将在力的作用下可绕一固定点转动的硬棒称为杠杆（lever）.\n\n为了了解杠杆的作用，我们先以螺丝刀撬图钉（图 11-3）为例来认识几个与杠杆有关的名词 . 简单机械和功支点：杠杆绕着转动的点，即图中的 O 点 .\n\n力的作用线动力：使杠杆转动的力，即图中\n\nF1\n\n的 F1 .\n\nl1\n\n阻力：阻碍 杠杆 转动 的力，即\n\nO l2\n\n图中的 F2 .\n\n延伸 人体 的﹃ 神臂 ﹄\n\n第十一章动力臂：从支点到动力作用线的距离，即图中的 l1 .\n\nF2\n\n阻力臂：从支点到阻力作用线图 11-3 用螺丝刀撬图钉的距离，即图中的 l2 .\n\n杠杆的平衡条件学生实验杠杆静止或匀速转动， 探究杠杆的平衡条件我们就说此时杠杆处于平衡状态 .\n\n实验与记录\n1. 安装好杠杆，调节杠杆两端的平衡螺母，使之在水平位置平衡 .\n\n2. 如图 11-4 所示，在杠杆左边挂上一定数量的钩码，用弹簧测力计在某一位置竖直拉住杠杆 . 设在水平位置平衡时，弹簧测力计对杠杆竖直向下的拉力 F1 是动力， 动力臂为 l1，钩码对杠杆的拉力 F2 是阻力，阻力臂为 l2 .\n\n3. 在下列情况下测量并记录动力\n\nF1、动力臂 l1、\n阻力 F2、阻力臂 l2 的大小 .\n\n（1） 保持钩码和弹簧测力计的位置不变，改变钩码的数量； （2） 保持钩码的数量和位置不变， 改变弹簧测力计的位置； （3） 保持弹簧测力计的位置和钩图 11-4\n\n码的数量不变， 改变钩码的位置 .\n\n3 延伸 人体 的﹃ 神臂 ﹄\n\n第十一章简单机械和功测量序号\n\nF1 / N\n\nl1 / cm\n\nF2 / N\n\nl2 / cm,916,0,unknown,text-extracted,,2.0,义务教育教科书·物理九年级上册,2,994,2025-07-21T14:23:37.534Z,2.0,2025-07-20T03:27:08.192Z,九年级,[object Object],node-poppler,unknown,0.7693315858453473,0.7999999999999999,0.916,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/物理/苏科版-江苏凤凰科学技术出版社/九年级/义务教育教科书·物理九年级上册.pdf,义务教育教科书·物理九年级上册.json,物理,54734
义务教育教科书·物理九年级上册_chunk_3,3,（1） 保持钩码和弹簧测力计的位置不变，改变钩码的数量； （2） 保持钩码的数量和位置不变， 改变弹簧测力计的位置； （3） 保持弹簧测力计的位置和钩图 11-4\n\n码的数量不变， 改变钩码的位置 .\n\n3 延伸 人体 的﹃ 神臂 ﹄\n\n第十一章简单机械和功测量序号\n\nF1 / N\n\nl1 / cm\n\nF2 / N\n\nl2 / cm\n\n①\n②\n③\n…\n\n交流与小结分析表中的数据，找出它们之间的关系 . 你从中有什么发现？ 实验表明， 杠杆平衡时用字母表示可写成动力 × 动力臂 ＝ 阻力 × 阻力臂\nF1 l1 ＝ F2 l2\n\n杠杆的平衡条件也称为杠杆原理，最早是由古希腊学者阿基米德总结出来的 . 我国古人也对杠杆进行过深入的研究▶▶（p.28）， 并将杠杆广泛应用于生产和生活中，为推动人类文明的进步作出了重大贡献 .\n\n图 11-5 阿基米德： “只要给我一个支点，我就可以移动地球 .”\n\n应用杠杆原理分析前面图 11-2（a）中开瓶扳手的例子可知，由于动力臂大于阻力臂，因此动力小于阻力，这类杠杆是省力杠杆 . 如果动力臂小于阻力臂，要使杠杆平衡，动力就必须大于阻力，这类杠杆是费力杠杆，图 11-2（b）\n中的钓鱼竿就是这类杠杆，使用它可以减小动力作用点移动的距离 . 还有一类杠杆，其动力臂等于阻力臂，这类杠杆被称为等臂杠杆 . 简单机械和功如图 11-6 所示的常见器具都应用了杠杆，请分别说出它们各属于哪类杠杆，并说明理由 .\n\n（a） 托盘天平延 伸人 体的﹃ 神臂 ﹄\n\n第十一章\n\n（b） 独轮车\n\n（e） 船桨\n（c） 筷子\n\n（d） 笤帚图 11-6\n\n生活中的剪刀剪刀（图 11-7）是生活中常见的工具，它也是一种杠杆 . 你是否注意到， 从事不同行业的人所用的剪刀各有特点？ （a） 裁衣的剪刀\n\n（b） 理发的剪刀\n\n（c） 剪铁皮的剪刀\n\n（d） 修枝的剪刀图 11-7\n\n裁缝用的剪刀刀刃比平常家用剪刀的刀刃长得多，完成一次剪裁动作可以裁剪较长的布料 .\n\n理发师用的剪刀手柄比较短，他们剪发时手的动作幅度较小，可提高剪发的频率 .\n\n5 延伸 人体 的﹃ 神臂 ﹄\n\n第十一章简单机械和功,917,0,unknown,text-extracted,,2.0,义务教育教科书·物理九年级上册,3,981,2025-07-21T14:23:37.534Z,2.0,2025-07-20T03:27:08.192Z,九年级,[object Object],node-poppler,unknown,0.7804878048780488,0.7999999999999999,0.917,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/物理/苏科版-江苏凤凰科学技术出版社/九年级/义务教育教科书·物理九年级上册.pdf,义务教育教科书·物理九年级上册.json,物理,54734
义务教育教科书·物理九年级上册_chunk_4,4,从事不同行业的人所用的剪刀各有特点？ （a） 裁衣的剪刀\n\n（b） 理发的剪刀\n\n（c） 剪铁皮的剪刀\n\n（d） 修枝的剪刀图 11-7\n\n裁缝用的剪刀刀刃比平常家用剪刀的刀刃长得多，完成一次剪裁动作可以裁剪较长的布料 .\n\n理发师用的剪刀手柄比较短，他们剪发时手的动作幅度较小，可提高剪发的频率 .\n\n5 延伸 人体 的﹃ 神臂 ﹄\n\n第十一章简单机械和功剪铁皮的剪刀，其动力臂比阻力臂长，只要用较小的力，就能把���硬的金属片剪开 .\n\n园艺师使 用的 剪刀 有很 多种，如修 整冬 青树 的剪 刀 、剪花 枝的 剪刀\n\n等，它们各有特点 . 请你调查一下，园艺师使用了哪些剪刀？它们各有什么特点？为什么这样设计？ 例题据报道，一位物理老师在动物园内，用弹簧测力计称出了一头大象的质量 . 在称象过程中，他还用到了吊车、铁笼和一根很长的槽钢等辅助工具，如图 11-8（a）所示 . 他首先将铁笼系于槽钢上的 B 点，当吊车吊钩在槽钢上的悬吊点移至 O 点时， 槽钢在水平位置平衡， 测得 OB = 7 cm . 将大象引入铁笼，用弹簧测力计竖直向下拉住槽钢的另一端， 使之再次在水平位置平衡，测得 OA = 9 m， 弹簧测力计的示数为 200 N . 试计算大象的质量（g 取 10 N/kg）.\n\n（a）\n\n（b）\n\n图 11-8 用杠杆称象分析该称象过程运用了杠杆原理， 据题意可画出杠杆示意图 . 由于在称象前已调节挂有铁笼的槽钢在水平位置平衡（相当于天平使用前的调节）， 这样在称象时就不需考虑槽钢和铁笼重力的影响， 即图 11-8（b）中的 F2 与大象的重力大小相等 ．\n解槽 钢是 一个 杠杆，O 为支 点，人通 过弹 簧测 力计 对杠 杆的 拉力\n\nF1 ＝ 200 N 为动力，动力臂 l1 ＝ 9 m，铁笼对杠杆的拉力 F2 为阻力，阻力臂简单机械和功\n\nl2 ＝ 7 cm ＝ 0.07 m .\n\n根据杠杆原理 F1 l1＝F 2 l 2，得\nFl\nF 2 = 1 1 = 200 N × 9 m ≈ 2.57 × 104 N\nl2\n0.07 m,887,0,unknown,text-extracted,,2.0,义务教育教科书·物理九年级上册,4,964,2025-07-21T14:23:37.534Z,2.0,2025-07-20T03:27:08.192Z,九年级,[object Object],node-poppler,unknown,0.7397820163487738,0.7999999999999999,0.887,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/物理/苏科版-江苏凤凰科学技术出版社/九年级/义务教育教科书·物理九年级上册.pdf,义务教育教科书·物理九年级上册.json,物理,54734
义务教育教科书·物理九年级上册_chunk_5,5,F1 ＝ 200 N 为动力，动力臂 l1 ＝ 9 m，铁笼对杠杆的拉力 F2 为阻力，阻力臂简单机械和功\n\nl2 ＝ 7 cm ＝ 0.07 m .\n\n根据杠杆原理 F1 l1＝F 2 l 2，得\nFl\nF 2 = 1 1 = 200 N × 9 m ≈ 2.57 × 104 N\nl2\n0.07 m\n\n铁笼对杠杆的拉力 F2 与大象所受的重力大小相等，即 F 2＝G＝mg .\n所以大象的质量\n\n\nm = 2 = 2.57 × 10 N = 2.57 × 103 kg ＝ 2.57 t\n\n10 N/kg\n答延 伸人 体的﹃ 神臂 ﹄\n\n第十一章大象的质量约为 2.57 t .\n\n人体中的杠杆骨骼、肌肉和关节构成了人体的运动系统，尽管人体的各种运动相当复杂，但最基本的运动都是由骨骼绕关节转动产生的，其模型就是杠杆 . 例肱二头肌如，当手 握哑 铃向 上运 动时（图\n11-9），上臂中的肱三头肌伸展、肱二头肌收缩产生的力使前臂骨骼绕肘关节转动 . 在这里，前臂骨骼可以看成杠杆，肘关节是支点，哑铃对手的前臂肘关节压力是阻力，上臂中的肌肉对前臂骨骼施加的力则是动力 .\n屈肌肱三头肌图 11-9 举哑铃如图 11-10 所示，当手托住铁球并绕腕关节向上转动时， 手就是一个杠杆 . 铁球压在掌心上的力是阻力，腕关节是支点，前臂中的伸肌伸展和屈肌收缩产生动力，使托住铁腕关节伸肌图 11-10 托铁球球的手向上转动 .\n\n人体有 600 多块肌肉，它们在神经系统的控制下，分别负责各部位的运动 . 当你做抬腿、\n伸臂、\n点头、叩齿等动作时，你就用到了身上各种各样的杠杆 .\n\n人体中的杠杆为科技工作者的创造和发明提供了很多启示，机器人和国际空间站上的机械臂▶▶（p.29）的发明就是其生动的体现 .\n\n7 延伸 人体 的﹃ 神臂 ﹄\n\n第十一章简单机械和功\n\n1. 指出图 11-11 中各种杠杆工作时的支点、动力、动力臂、阻力和阻力臂，并说明这些杠杆中哪些是省力的，哪些是费力的 .\n\n（a） 羊角锤\n\n（c） 夹子\n\n（b） 镊子图 11-11\n\n2. 在“探究杠杆的平衡条件”实验中，我们也可用在杠杆支点的两边分别挂钩码的方,917,0,unknown,text-extracted,,2.0,义务教育教科书·物理九年级上册,5,992,2025-07-21T14:23:37.534Z,2.0,2025-07-20T03:27:08.192Z,九年级,[object Object],node-poppler,unknown,0.7100130039011704,0.6,0.917,0.95,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/物理/苏科版-江苏凤凰科学技术出版社/九年级/义务教育教科书·物理九年级上册.pdf,义务教育教科书·物理九年级上册.json,物理,54734
义务教育教科书·物理九年级上册_chunk_6,6,7 延伸 人体 的﹃ 神臂 ﹄\n\n第十一章简单机械和功\n\n1. 指出图 11-11 中各种杠杆工作时的支点、动力、动力臂、阻力和阻力臂，并说明这些杠杆中哪些是省力的，哪些是费力的 .\n\n（a） 羊角锤\n\n（c） 夹子\n\n（b） 镊子图 11-11\n\n2. 在“探究杠杆的平衡条件”实验中，我们也可用在杠杆支点的两边分别挂钩码的方法，来探究杠杆的平衡条件 . 如图 11-12 所示，在杠杆的左边距支点 20 cm 处挂了四个钩\n\n码，要使杠杆在水平位置平衡，如何在杠杆的右边挂钩码？ （钩码的质量相等）\n3. 小制作： 蜡烛跷跷板 .\n\n将一支蜡烛的两端削尖，在中间垂直插入一枚大号缝衣针，把缝图 11-12\n\n衣针的两端分别放在两个玻璃杯上，就做成了一个蜡烛跷跷板 . 用小刀对蜡烛的两端进 行加 工，使跷 跷板\n\n能在水平位置平衡 .\n点燃 蜡烛 的两 端（图\n11-13），蜡烛 跷跷 板图 11-13 蜡烛跷跷板会 怎样 运动？你能 说明其中的道理吗？ 注意安全 . 简单机械和功二、滑轮\n我家住在四楼，装修时，长木料无法通过楼梯运上楼 . 用什么方法才能延 伸人 体的﹃ 神臂 ﹄\n\n第十一章把木料运上楼呢？ 你可以用滑轮（pulley）\n试一试！ 图 11-14 如何把木料运上楼定滑轮和动滑轮在完成类似提升重物的任务时，人们常常用到滑轮这种简单机械 . 滑轮的主要部分是能绕轴转动的轮子 . 下图是应用滑轮的实例 . 你还能列举出其他应用滑轮的例子吗？ 图 11-15 升旗图 11-16 吊木箱工作时，轴的位置固定不动的滑轮，称为定滑轮（fixed pulley），如图 11-15\n\n所示 . 高楼大厦的电梯▶▶（p.29）中就使用了定滑轮 . 轴的位置随被拉动的物体一起运动的滑轮，称为动滑轮（movable pulley），如图 11-16 所示 .\n\n9 延伸 人体 的﹃ 神臂 ﹄\n\n第十一章简单机械和功\n\n11.2\n\n探究定滑轮和动滑轮工作时的特点\n\n（一） 定滑轮工作时的特点做一做\n1. 按图 11-17 组装定滑轮 . 在它的左侧挂,883,0,unknown,text-extracted,,2.0,义务教育教科书·物理九年级上册,6,964,2025-07-21T14:23:37.534Z,2.0,2025-07-20T03:27:08.192Z,九年级,[object Object],node-poppler,unknown,0.7486772486772487,0.7999999999999999,0.883,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/物理/苏科版-江苏凤凰科学技术出版社/九年级/义务教育教科书·物理九年级上册.pdf,义务教育教科书·物理九年级上册.json,物理,54734
义务教育教科书·物理九年级上册_chunk_7,7,所示 . 高楼大厦的电梯▶▶（p.29）中就使用了定滑轮 . 轴的位置随被拉动的物体一起运动的滑轮，称为动滑轮（movable pulley），如图 11-16 所示 .\n\n9 延伸 人体 的﹃ 神臂 ﹄\n\n第十一章简单机械和功\n\n11.2\n\n探究定滑轮和动滑轮工作时的特点\n\n（一） 定滑轮工作时的特点做一做\n1. 按图 11-17 组装定滑轮 . 在它的左侧挂上钩码，竖直向下拉弹簧测力计，使钩码匀速上升 . 读出弹簧测力计的示数 .\n\n2. 改变钩码的个数，重复实验，把测得的数据填入下表 .\n\n实验序号图 11-17 用定滑轮提升钩码钩码的重力 G / N\n\n弹簧测力计的示数 F / N\n\n①\n②\n③\n10\n\n议一议通过实验， 你发现使用定滑轮有什么特点？ （二） 动滑轮工作时的特点做一做\n1. 测出钩码和动滑轮的总重力，然后按图\n\n11-18 组装动滑轮 . 竖直向上拉弹簧测力计， 使钩码匀速上升， 读出弹簧测力计的示数 .\n\n2. 改变钩码的个数，重复实验，把测得的数据填入自己设计的表格中 .\n\n图 11-18 用动滑轮拉起钩码简单机械和功议一议通过实验， 你发现使用动滑轮有什么特点？ 实验表明，使用定滑轮不能省力，但可以改变施力的方向；使用单个动滑轮最多可以省一半力， 但不改变施力的方向 .\n\n延伸 人体 的﹃ 神臂 ﹄\n\n第十一章\n\n■ 读一读滑轮实质上是杠杆的变形 . 我们注意到，定滑轮可以看成等臂杠杆，它的转轴 O 是支点，如图 11-19（a）所示 .\n由杠杆平衡条件可知，动力 F1 与阻力\n\nF2大小相等， 使用它可以改变施力的方向， O\n\n2r\n\nF1\n\nr O r\n\n但不省力 .\n\n如图 11-19（b）所示，动滑轮可以看成支点在一侧的不等臂杠杆， 它的支点在滑轮左侧边缘的O 点处， 动力臂是阻力臂的两倍， 使用它最多可以省一半的力 .\n\nF1\n\nF2\n\nF2\n（a）\n\n（b）\n\n图 11-19 滑轮实质上是杠杆的变形滑轮组\n\n11\n\n在实际使用中，人们常将动滑轮和定滑轮组合成滑轮组，这样既可以省力又可以改变施力的方向 .\n\n如图 11-20 所示是由一个动滑轮和,908,0,unknown,text-extracted,,2.0,义务教育教科书·物理九年级上册,7,961,2025-07-21T14:23:37.534Z,2.0,2025-07-20T03:27:08.192Z,九年级,[object Object],node-poppler,unknown,0.7611548556430446,0.7999999999999999,0.908,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/物理/苏科版-江苏凤凰科学技术出版社/九年级/义务教育教科书·物理九年级上册.pdf,义务教育教科书·物理九年级上册.json,物理,54734
义务教育教科书·物理九年级上册_chunk_8,8,成支点在一侧的不等臂杠杆， 它的支点在滑轮左侧边缘的O 点处， 动力臂是阻力臂的两倍， 使用它最多可以省一半的力 .\n\nF1\n\nF2\n\nF2\n（a）\n\n（b）\n\n图 11-19 滑轮实质上是杠杆的变形滑轮组\n\n11\n\n在实际使用中，人们常将动滑轮和定滑轮组合成滑轮组，这样既可以省力又可以改变施力的方向 .\n\n如图 11-20 所示是由一个动滑轮和一个定滑轮组成的滑轮组 . 图（a）中的重物由三段绳子吊着，每段绳子承担物重的三分之一 . 用这个滑轮组提起重物，所用的拉力为物重的三分之一 .\n\n用滑轮组起吊重物时，滑轮组用几段绳子吊物体，提起物体的力就是物重的几分之一 .\n\n想一想，图 11-20（b）中提起重物的力是物重的几分之一？ （a）\n\n（b）\n图 11-20 延伸 人体 的﹃ 神臂 ﹄\n\n第十一章简单机械和功\n\n（b） 起重机上也使用了滑轮组\n（a） 小明用滑轮组能轻松地吊起摩托车图 11-21\n\n轮轴\n在生产、生活中，人们经常会用到轮轴 . 轮轴由具\n\nr R\n\n有公共转轴的轮和轴组成 . 轮轴也可看成是杠杆的变形，轴心 O 为支点，轮半径 R 和轴半径 r 分别为动力臂\n\n12\n\n和阻力臂（图 11-22）. 根据杠杆原理可得\n\nF1 R ＝ F2 r （或 1 ＝ r ）\nF2\n\nF1\nF2\n\n当 R ＞ r 时，F1 ＜ F2，这种轮轴��当于一种能省力的杠杆 .\n\n门把手、\n汽车方向盘和扳手都是轮轴的实例，如图\n\n11-23 所示 .\n\n（a）门把手图 11-22 轮轴\n\n（b）汽车方向盘图 11-23\n\n你能再举一些应用轮轴的例子吗？ （c）扳手简单机械和功\n\n1. 工人师傅用动滑轮将重 600 N 的木箱吊到阳台上（p.9 图 11-16），至少要用多大的拉力？ 延伸 人体 的﹃ 神臂 ﹄\n\n第十一章\n\n2. 用绳和木棍体验“滑轮组”的威力 .\n\n两位同学各持一根较光滑的木棍，在相距 1 m 处面对面站立 . 另外一位同学取一根绳子，将绳子的一端系在其中一根木棍上，再按图 11-24\n所示依次绕过两根木棍，然后缓慢地拉动绳子的另一端， 结果会怎样？ 图 11-24\n\n13\n\n注意 安全，拉动 绳子时不要用力过猛！,932,0,unknown,text-extracted,,2.0,义务教育教科书·物理九年级上册,8,994,2025-07-21T14:23:37.534Z,2.0,2025-07-20T03:27:08.192Z,九年级,[object Object],node-poppler,unknown,0.7351421188630491,0.7999999999999999,0.932,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/物理/苏科版-江苏凤凰科学技术出版社/九年级/义务教育教科书·物理九年级上册.pdf,义务教育教科书·物理九年级上册.json,物理,54734
义务教育教科书·物理九年级上册_chunk_9,9,延伸 人体 的﹃ 神臂 ﹄\n\n第十一章\n\n2. 用绳和木棍体验“滑轮组”的威力 .\n\n两位同学各持一根较光滑的木棍，在相距 1 m 处面对面站立 . 另外一位同学取一根绳子，将绳子的一端系在其中一根木棍上，再按图 11-24\n所示依次绕过两根木棍，然后缓慢地拉动绳子的另一端， 结果会怎样？ 图 11-24\n\n13\n\n注意 安全，拉动 绳子时不要用力过猛！ 3. 观察自行车（图 11-25）， 它使用了哪些简单机械？其作用分别是什么？ 图 11-25 自行车延 伸人 体的﹃ 神臂 ﹄\n\n第十一章简单机械和功三、功什么是功当你举高物体时，你就应用储存于身体内的化学能，使物体的位置升高了 . 在物理学中，就说力对物体做了功 . 举起的高度相同时，物体的重力越大，举起它所需的力越大，力做的功就越多；对于同样重的物体，举起的高度越大，力做的功也越多 .\n\n物理学中，把力与物体在力的方向上通过的距离的乘积称为机械功\n\n（mechanical work）， 简称功（work）.\n\n若用 W 表示功，F 表示力，s 表示物体在力的方向上通过的距离，则功的公式为\nW ＝ Fs\n在国际单位制中，力的单位是牛（N），距离的单位是米（m），则功的单位就是牛·米（N·m）. 为了纪念英国物理学家焦耳（James Prescott Joule，1818—1889）对科学的贡献，人们将功的单位命名为图 11-26 焦耳焦耳（joule）， 简称焦， 用字母 J 表示 .\n\n14\n\n1 J ＝ 1 N·m\n\n1 J 的功有多大呢？从地上拿起一个约 50 g 的鸡蛋，并把它缓缓举过头顶（图 11-27），在此过程中你对鸡蛋做的功大约为 1 J .\n图 11-27 1 J 的功有多大做功了吗根据功的公式可知，对物体做功有两个必要条件：一是对物体要有力的作用，二是物体要在力的方向上通过一定的距离 . 简单机械和功在如图 11-28 所示的几种情景中，人做功了吗？为什么？ （b）学生背着书包在水平路面上匀速前进\n\n（a）女孩把一箱报刊搬起来\n\n（c）司机费了九牛二虎之力，汽车还是纹丝不动图 11-28\n\n（d）足球被踢后，在草地上滚动了一段距离例题,920,0,unknown,text-extracted,,2.0,义务教育教科书·物理九年级上册,9,990,2025-07-21T14:23:37.534Z,2.0,2025-07-20T03:27:08.192Z,九年级,[object Object],node-poppler,unknown,0.7229064039408867,0.7999999999999999,0.92,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/物理/苏科版-江苏凤凰科学技术出版社/九年级/义务教育教科书·物理九年级上册.pdf,义务教育教科书·物理九年级上册.json,物理,54734
