Chunk_ID,Chunk_Index,Content,Content_Length,Quality_Score,Reliability,Source_Type,Original_Content,Enhancement_Version,book_name,chunkIndex,chunkSize,enhancementTimestamp,enhancementVersion,extractedAt,grade,loc_lines,method,publisher,qualityMetrics_chineseCharRatio,qualityMetrics_coherenceScore,qualityMetrics_lengthScore,qualityMetrics_ocrConfidence,semester,source,source_file,subject,textLength
义务教育教科书·物理九年级全一册_chunk_0,0,YIWU JIAOYU JIAOKESHU\n\nWULI\n\n物理九年级义 务教 育教 科书\n\n®\n\n义务教育教科书全一册全一册物\n理九年级全一册 产品定价：11.40元九年级物理义务教育教科书物理九年级全一册人民教育出版社课程教材研究所编著物理课程教材研究开发中心\n\n·北京· 主编：彭前程副 主编：杜敏\n编写人员：付荣兴孙 新张大昌杜 敏谷雅慧张 颖苗元秀金新喜秦晓文黄恕伯彭 征彭前程责任编辑：张颖 彭征\n美术编辑：王艾\n版式设计：李宏庆张 静插\n\n图：李思东工作室义务教育教科书物理九年级人民教育出版社课程教材研究所物理课程教材研究开发中心出\n\n全一册编著版\n（北京市海淀区中关村南大街 17 号院 1 号楼网\n\n址邮编：100081）\n\nhttp://www.pep.com.cn\n\n版权所有·未经许可不得采用任何方式擅自复制或使用本产品任何部分·违者必究如发现内容质量问题，请登录中小学教材意见反馈平台：jcyjfk.pep.com.cn\n如发现印、装质量问题，影响阅读，请与 ××× 联系调换。电话：×××-×××××××× 目录第十三章第1节第2节第3节内能\n\n分子热运动内能比热容\n\n第十四章第1节第2节第3节\n\n11\n\n内能的利用\n\n16\n\n热机热机的效率能量的转化和守恒\n\n17\n\n第十五章\n\n22\n27\n\n电流和电路\n\n31\n\n第1节第2节第3节第4节两种电荷电流和电路串联和并联电流的测量\n\n32\n\n第5节串、并联电路中电流的规律\n\n49\n\n36\n41\n45\n\n目录\n\n1 第十六章第1节第2节第3节第4节\n\n目录\n\n54\n55\n60\n63\n68\n\n73\n74\n78\n80\n83\n\n电功率\n\n86\n\n电能电功电功率测量小灯泡的电功率焦耳定律\n\n87\n\n第十九章第1节第2节第3节欧姆定律电流与电压和电阻的关系欧姆定律电阻的测量欧姆定律在串、并联电路中的应用第十八章第1节第2节第3节第4节电阻电压串、并联电路中电压的规律电阻变阻器,826,0,unknown,text-extracted,,2.0,义务教育教科书·物理九年级全一册,0,982,2025-07-21T14:23:37.592Z,2.0,2025-07-20T03:27:13.399Z,九年级,[object Object],node-poppler,unknown,0.7412587412587412,0.7999999999999999,0.826,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/物理/人教版-人民教育出版社/九年级/义务教育教科书·物理九年级全一册.pdf,义务教育教科书·物理九年级全一册.json,物理,96264
义务教育教科书·物理九年级全一册_chunk_1,1,目录\n\n54\n55\n60\n63\n68\n\n73\n74\n78\n80\n83\n\n电功率\n\n86\n\n电能电功电功率测量小灯泡的电功率焦耳定律\n\n87\n\n第十九章第1节第2节第3节欧姆定律电流与电压和电阻的关系欧姆定律电阻的测量欧姆定律在串、并联电路中的应用第十八章第1节第2节第3节第4节电阻电压串、并联电路中电压的规律电阻变阻器第十七章第1节第2节第3节\n*\n第4节电压生活用电家庭电路家庭电路中电流过大的原因安全用电\n\n91\n96\n99\n\n104\n105\n109\n113 第二十章第1节第2节第3节第4节第5节电与磁磁现象电生磁电磁铁电动机磁生电第二十一章第1节第2节第3节第4节磁场\n\n119\n124\n\n电磁继电器\n\n129\n133\n138\n\n信息的传递\n\n144\n\n现代顺风耳——电话电磁波的海洋广播、电视和移动通信越来越宽的信息之路第二十二章第1节第2节第3节第4节\n\n118\n\n145\n150\n154\n158\n\n能源与可持续发展\n\n165\n\n能源核能太阳能能源与可持续发展\n\n166\n170\n174\n178\n\n索引\n\n182\n\n目录\n\n3 第十三章内能远处的山峰上，火光冲天、烟雾弥漫，炽热的岩浆犹如一条火龙。这是火山在爆发。 地球内部有高温、高压的岩浆。在极大的压力下，岩浆会从地壳薄弱的地方喷涌而出，无情的火舌毁坏它途经的一切，大量火山灰冲上万米高空……\n火山爆发时，炽热的岩浆携带着大量与热有关的能量。那么，覆盖火山的皑皑白雪有没有与岩浆相同形式的能量？如果有，这种能量的多少与哪些因素有关呢？ 第十三章内能\n\n1 第1 节分子热运动盛夏时节，百花绽放。四溢的花香引来了长喙天蛾，它们悬浮在空中吸食花蜜。花香是如何传播的呢？ 物质的构成很久以前就有人猜想：我们在远处就可以闻到花香，是因为有花香的“原子”飘到我们鼻子里。 现代科学研究发现， 常见的物质是由极其微小的粒子——分子（molecule）、原子（atom）构成的。 如果把分子看成球形的，一般分子的直径只有百亿\n−,841,0,unknown,text-extracted,,2.0,义务教育教科书·物理九年级全一册,1,948,2025-07-21T14:23:37.592Z,2.0,2025-07-20T03:27:13.399Z,九年级,[object Object],node-poppler,unknown,0.7649402390438247,0.7999999999999999,0.841,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/物理/人教版-人民教育出版社/九年级/义务教育教科书·物理九年级全一册.pdf,义务教育教科书·物理九年级全一册.json,物理,96264
义务教育教科书·物理九年级全一册_chunk_2,2,内能\n\n1 第1 节分子热运动盛夏时节，百花绽放。四溢的花香引来了长喙天蛾，它们悬浮在空中吸食花蜜。花香是如何传播的呢？ 物质的构成很久以前就有人猜想：我们在远处就可以闻到花香，是因为有花香的“原子”飘到我们鼻子里。 现代科学研究发现， 常见的物质是由极其微小的粒子——分子（molecule）、原子（atom）构成的。 如果把分子看成球形的，一般分子的直径只有百亿\n−\n\n分之几米，人们通常以 10 10 m 为单位来量度分子。 分子如此之小，人们用肉眼和光学显微镜都分辨不出它们。不过，电子显微镜可以帮助我们观察到这些分子、原子（图 13.1-1）。 2\n\n物理九年级图13.1-1 电子显微镜下的金原子构成物质的分子是静止的还是运动的？相互之间有没有作用力？虽然用肉眼不能直接观察到分子，但人们可以通过物体的一些宏观表现来推断构成物体的分子的情况。 分子热运动演示\n\n፧ึ\n\n在装着红棕色二氧化氮气体的瓶子上面，倒扣一个空瓶子，使两个瓶口相对，之间用一块玻\n\nᄂᅆ೙\n\n璃板隔开 ( 图 13.1-2)。抽掉玻璃板后，会发生什么\n\n˽โӝๆ\n\n变化？ 二氧化氮的密度比空气大，它能进到上面的瓶子里去吗？ 图 13.1-2\n\n气体扩散的实验由实验可以看到，两个瓶子内的气体会混合在一起，最后颜色变得均匀。像这样，不同的物质在互相接触时彼此进入对方的现象，叫做扩散\n（diffusion）。 扩散现象也可以发生在液体之间。在量筒里装一半清水，用细管在水的下面注入硫酸铜的水溶液。由于硫酸铜溶液比水的密度大，会沉在量筒的下部，因此可以看到无色的清水与蓝色硫酸铜溶液\n\n10日后开始时之间明显的界面。静放几天，界面就逐渐变得模糊不清了 ( 图 13.1-3)。 固体之间也能发生扩散。把磨得很光滑的铅片和金片紧压在一起，在室温下放置 5 年后再将它们切开，可以看到它们互相渗入约 1 mm 深。 20日后图13.1-3\n\n30日后液体扩散的实验第十三章内能\n\n3 演示在一个烧杯中装半杯热水，另一个同样的烧杯中装等量的凉水。用滴管分别在两个杯中滴入一滴墨水，观察哪个烧杯中墨水扩散得快。扩散的快慢跟温度有什么关系？ 扩散现象等大量事实表明，一切物质的分子都通过直接感知的,934,0,unknown,text-extracted,,2.0,义务教育教科书·物理九年级全一册,2,992,2025-07-21T14:23:37.592Z,2.0,2025-07-20T03:27:13.399Z,九年级,[object Object],node-poppler,unknown,0.819954128440367,0.7999999999999999,0.934,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/物理/人教版-人民教育出版社/九年级/义务教育教科书·物理九年级全一册.pdf,义务教育教科书·物理九年级全一册.json,物理,96264
义务教育教科书·物理九年级全一册_chunk_3,3,20日后图13.1-3\n\n30日后液体扩散的实验第十三章内能\n\n3 演示在一个烧杯中装半杯热水，另一个同样的烧杯中装等量的凉水。用滴管分别在两个杯中滴入一滴墨水，观察哪个烧杯中墨水扩散得快。扩散的快慢跟温度有什么关系？ 扩散现象等大量事实表明，一切物质的分子都通过直接感知的在不停地做无规则的运动。这种无规则运动叫做分现象，推测无法直接子的热运动（thermal motion）。分子运动越剧烈， 感知的事物，这是物物体温度越高。 理学 中常 用的 方法。 关于这种方法，你还分子间的作用力能举出其他例子吗？ 扩散现象表明，分子在不停地运动。既然分子在运动，那么通常固体和液体中的分子为什么不会飞散开，而总是聚合在一起，保持一定的体积呢 ?\n\n演示如图 13.1-4，将两个铅柱的底面削平、削干净， 然后紧紧地压在一起，两个铅柱就会结合起来，甚至下面吊一个重物都不能把它们拉开。 两个铅柱没有被重物拉开，主要是因为铅柱的分子之间存在引力。分子之间的引力使得固体和液体的分子不致散开，因而固体和液体能保持一定的体积。 从扩散现象还可以看出，物体的分子不是紧密地挤在一起，而是彼此间存在间隙。那么，为什么压缩固体和液体很困难呢？这是因为除了引力以外分子之间还存在斥力。 图13.1-4\n\n物理九年级分子之间有引力图 13.1-6\n\n图 13.1-5,572,0,unknown,text-extracted,,2.0,义务教育教科书·物理九年级全一册,3,625,2025-07-21T14:23:37.592Z,2.0,2025-07-20T03:27:13.399Z,九年级,[object Object],node-poppler,unknown,0.8400735294117647,0.7999999999999999,0.572,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/物理/人教版-人民教育出版社/九年级/义务教育教科书·物理九年级全一册.pdf,义务教育教科书·物理九年级全一册.json,物理,96264
义务教育教科书·物理九年级全一册_chunk_4,4,"物理九年级分子之间有引力图 13.1-6\n\n图 13.1-5\n\n分子之间既有引力又有斥力。当固体被压缩时，分子间的距离变小，作用力表现为斥力；当固体被拉伸时，分子间的距离变大，作用力表现为引力。固体分子间的距离小，不容易被压缩和拉伸，具有一定的体积和形状（图 13.1-5）。 如果分子相距很远，作用力就变得十分微弱， 可以忽略。气体分子之间的距离就很远，彼此之间几乎没有作用力，因此，气体具有流动性，容易被压缩（图 13.1-6）。 通常液体分子之间的距离比气体的小，比固体的大；液体分子之间的作用力比固体的小，分子没有固定的位置，运动比较自由。这样的结构使得液体较难被压缩 , 没有确定的形状，具有流动性（图\n13.1-7）。 常见的物质是由大量的分子、原子构成的；物质内的分子在不停地做热运动；分子之间存在引力和斥力。这就是人们用来解释热现象的分子动理论的初步知识。 图 13.1-7\n\n第十三章内能\n\n5 Ү੣Үᑧߥྫྷူ\n1. 把分子看成球体，一个挨着一个紧密平铺成一层\n（像每个围棋格子中放一个棋子一样），组成一个单层分子的正方形，边长为 1 cm。该正方形中约有多少个分子？这些分子数目大约是全球人口数目的多少倍？ 2. 扩散现象跟人们的生活密切相关，它有时对人们有用，例如腌制鸭蛋就是通过扩散使盐进入蛋中；它有时又对人们有害，如人造木板黏结剂中的甲醛扩散在空气中造成环境污染。请你分别列举一个扩散现象有用和有害的实例。 3. 两个杯子中分别盛有质量相同的冷水和热水，向其中分别放入同样的糖块，经过一段相同的时间（两杯中的糖块都还没有全部溶解），品尝杯中的水，哪一杯更甜？为什么？ 4. 把干净的玻璃板吊在弹簧测力计的下面（例如用吸盘吸住玻璃板或用细线绑住玻璃板），读出测力计的示数。使玻璃板水平接触水面，然后稍稍用力向上拉玻璃板（图 13.1-8）。 弹簧测力计的示数有什么变化？解释产生这个现象的原因。 5. 下表归纳了固、液、气三态物质的宏观特性和微观特性，请完成这个表格。 微观特性物态分子间距离固态\n\n较大气态很大物理宏观特性分子间作用力很大液态九年级图 13.1-8 测力计的示数有变化吗？ 较大有无固定形状有无固定体积",922,0,unknown,text-extracted,,2.0,义务教育教科书·物理九年级全一册,4,994,2025-07-21T14:23:37.592Z,2.0,2025-07-20T03:27:13.399Z,九年级,[object Object],node-poppler,unknown,0.8373151308304891,0.7999999999999999,0.922,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/物理/人教版-人民教育出版社/九年级/义务教育教科书·物理九年级全一册.pdf,义务教育教科书·物理九年级全一册.json,物理,96264
义务教育教科书·物理九年级全一册_chunk_5,5,分子间距离固态\n\n较大气态很大物理宏观特性分子间作用力很大液态九年级图 13.1-8 测力计的示数有变化吗？ 较大有无固定形状有无固定体积第2 节内能内能想想议议装着开水的暖水瓶，有时瓶塞会弹起来。 推动瓶塞的能量来自哪里？ 我们知道，运动的物体具有动能，运动的分子也同样具有动能（图 13.2-1）。构成物质的分子在不停地做热运动，温度越高，分子热运动的速度越大，它们的动能也就越大。除此之外，由于分子之间存在类似弹簧形变时的相互作用力，所以分子也具有势能，这种势能叫做分子势能（图 13.2-2）。 构成物体的所有分子，其热运动的动能与分子势能的总和，叫做物体的内能（internal energy）。 图13.2-1 运动着的足球具有动能，运动着的分子也具有动能。 内能的单位是焦耳（J），各种形式能量的单位都是焦耳。 飞在空中的足球，离开地面，具有重力势能； 足球在空中飞行，还具有动能。空中运动的足球除了整体具有机械能外，同时还具有内能。机械能与整个物体的机械运动情况有关，而内能与物体内部分子的热运动和分子之间的相互作用情况有关，内图13.2-2 弹簧形变时具有势能，互相吸引或排斥的分子也具有势能。 能是不同于机械能的另一种形式的能。 第十三章内能\n\n7 一切物体，不论温度高低，都具有内能。炙热的铁水具有内能；冰冷的冰块，温度虽然低， 其中的水分子仍然在做热运动，所以也具有内能\n（图 13.2-3）。物体温度降低时内能减少，温度升高时内能增加。 物体内能的改变图13.2-3 铁水很热，冰块很冷，但它们都具有内能。 如果把烧热的工件放到冷水中，工件会凉下来， 而冷水会变热，这是因为在此过程中发生了热传递。 发生热传递时，高温物体内能减少，低温物体内能增加。热传递可以改变物体的内能。 在热传递过程中，传递能量的多少叫做热量\n（quantity of heat），热量的单位也是焦耳。物体吸为什么冬天人们常搓手？,815,0,unknown,text-extracted,,2.0,义务教育教科书·物理九年级全一册,5,888,2025-07-21T14:23:37.592Z,2.0,2025-07-20T03:27:13.399Z,九年级,[object Object],node-poppler,unknown,0.8153846153846154,0.7999999999999999,0.815,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/物理/人教版-人民教育出版社/九年级/义务教育教科书·物理九年级全一册.pdf,义务教育教科书·物理九年级全一册.json,物理,96264
义务教育教科书·物理九年级全一册_chunk_6,6,物体内能的改变图13.2-3 铁水很热，冰块很冷，但它们都具有内能。 如果把烧热的工件放到冷水中，工件会凉下来， 而冷水会变热，这是因为在此过程中发生了热传递。 发生热传递时，高温物体内能减少，低温物体内能增加。热传递可以改变物体的内能。 在热传递过程中，传递能量的多少叫做热量\n（quantity of heat），热量的单位也是焦耳。物体吸为什么冬天人们常搓手？ 收热量时内能增加，放出热量时内能减少。物体吸收或放出的热量越多，它的内能改变越大。 冬天用热水袋取暖，人体逐渐感觉暖和，热水袋慢慢凉下来；发烧时用冷毛巾给头部降温，过一段时间后，毛巾温度升高，体温降低。这些都是热传递改变物体内能的例子。 除了热传递外，还有什么途径可以改变物体的内能？结合图 13.2-4 思考、讨论。 8\n\n物理九年级下滑时有什么感觉？ 图 13.2-4 你有过这些体验吗？ 这是为什么？ 演示\n1. 如图 13.2-5 甲，在一个配有活塞的厚玻璃筒里放一小团硝化棉，把活塞迅速压下去，观察发生的现象。 2. 如图13.2-5乙，烧瓶(或可乐瓶)内盛少量水。 给瓶内打气，当瓶塞跳出时，观察瓶内的变化。 在上述实验中，通过什么途径改变了玻璃筒和烧瓶内空气的内能？ 甲空气被压缩时内能增大图 13.2-4 所示的情形说明摩擦可以产生热，这部分内能是哪里来的呢？是物体克服摩擦力做功而来的。图 13.2-5 甲，棉花燃烧起来，是因为活塞压缩气体做功，使空气的内能增大，温度升高，达到硝化棉的燃点。图 13.2-5 乙，瓶内水上方存在着无色透明、无法看到的水蒸气；当塞子跳起来时，可以看到瓶内出现白雾，说明水蒸气液化成了可以看到的小水滴。在这个过程中，气体膨胀对外做功， 温度降低，内能减小。 由此可见，做功也可以改变物体的内能。 乙空气推动塞子时，内能减少。 图13.2-5\n\n做功改变物体的内能,789,0,unknown,text-extracted,,2.0,义务教育教科书·物理九年级全一册,6,825,2025-07-21T14:23:37.592Z,2.0,2025-07-20T03:27:13.399Z,九年级,[object Object],node-poppler,unknown,0.8058902275769746,0.7999999999999999,0.789,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/物理/人教版-人民教育出版社/九年级/义务教育教科书·物理九年级全一册.pdf,义务教育教科书·物理九年级全一册.json,物理,96264
义务教育教科书·物理九年级全一册_chunk_7,7,乙空气推动塞子时，内能减少。 图13.2-5\n\n做功改变物体的内能科学世界地球的温室效应太阳通过热辐射把能量输送到地面，温暖了地球，养育了万物。 地表受热后，也会产生热辐射，向外传递热量。由于地球表面有一层大气层，大气中的二氧化碳气体会减弱这种向外的热辐射，因此地表的温度会维持在一个相对稳定的水平。这就是温室效应。适度的温室效应是维持地球上生命生存环境的必要保证。 大气层中的大部分二氧化碳是自然产生的，然而现代工业大量燃烧煤炭和石油， 产生了更多的二氧化碳；另外，由于人类大量砍伐森林，削弱了植物因光合作用对二氧化碳的消耗。这些都加剧了地球的温室效应。这是近年来全球气候变暖的重要原因。 第十三章内能\n\n9 如果地球表面的温度过高，将会导致两极的冰雪融化，使得海平面上升，淹没城市，大片良田盐碱化。温度的升高还会影响全球气候，使得一些地区暴雨成灾，而另外一些地区干旱少雨，促使土地荒漠化。 以“温室效应”为关键词在互联网上进行搜索，你就能从中学到更多有关温室效应的知识。 Ү੣Үᑧߥྫྷူ\n1. 请分析在以下过程中，冰粒、火箭箭体和子弹的内能是在增大还是减小？机械能在增大还是减小？ （1）云中形成的冰粒在下落中，温度渐渐升高变成了雨滴。 （2）火箭从地面向上发射过程中，火箭外壳和大气摩擦后温度越来越高。 （3）子弹击中一块木板，温度升高。 2. 用物体内能改变的方式说明“炙手可热”和“钻木取火”的含义。 3. 生活中有时通过加强热传递直接利用内能，有时又通过阻碍热传递防止内能转移。请你各举两个实例。 4. 把图钉按在铅笔的一端，手握铅笔使图钉钉帽在粗糙的硬纸板上来回摩擦，然后用手感觉图钉温度的变化，并解释这种变化。（进行这个活动时要注意安全。）\n\n10\n\n物理九年级第3 节比热容烈日炎炎的夏季，白天海滩上的沙子热得烫脚，但海水却非常凉爽；傍晚太阳西落，沙子很快凉了下来，但海水却仍然暖暖的。同样的日照条件，为什么沙子和海水的温度不一样？,825,0,unknown,text-extracted,,2.0,义务教育教科书·物理九年级全一册,7,862,2025-07-21T14:23:37.592Z,2.0,2025-07-20T03:27:13.399Z,九年级,[object Object],node-poppler,unknown,0.8732747804265998,0.7999999999999999,0.825,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/物理/人教版-人民教育出版社/九年级/义务教育教科书·物理九年级全一册.pdf,义务教育教科书·物理九年级全一册.json,物理,96264
义务教育教科书·物理九年级全一册_chunk_8,8,10\n\n物理九年级第3 节比热容烈日炎炎的夏季，白天海滩上的沙子热得烫脚，但海水却非常凉爽；傍晚太阳西落，沙子很快凉了下来，但海水却仍然暖暖的。同样的日照条件，为什么沙子和海水的温度不一样？ 比热容实验比较不同物质吸热的情况加热质量相同的水和食用油，使它们升高相同的温度。比较它们吸收热量的多少，看看这两种物质的吸热情况是否存在差异。 可以使用的实验器材有：相同规格的电加热器、\n玻璃杯、温度计……\n如图 13.3-1 和图 13.3-2，利用电加热器来加热水和食用油。电加热器每秒放出的热量是一定的，当它水\n图 13.3-1\n\n浸没在液体中时，可认为液体每秒吸收的热量相同。 请思考怎样得到相同质量的水��油、怎样比较水和油吸收热量的多少。设计表格，记录并分析实验数据。 实验结果表明，不同物质，在质量相等、升高的温度相同时，吸收的热量不同。 怎样表示不同物质这种性质上的差别呢 ? 物理学中引入了比热容这个物理量。一定质量的某种物食用油图 13.3-2\n\n第十三章内能\n\n11 质，在温度升高时吸收的热量与它的质量和升高的温度乘积之比，叫做这种物质的比热容（speciﬁc\nheat capacity）。比热 容用 符号 c 表示， 它的 单位\nC)。 是焦每千克摄氏度，符号是 J/(kg · °\n单位质量的某种物质，温度降低 1 °C 所放出的热量，与它温度升高 1 °C 所吸收的热量相等，数值上也等于它的比热容。 比热容是反映物质自身性质的物理量。不同的物质，比热容一般不同。 小资料一些物质的比热容比热容\nc/［J · (kg · °C)-1］\n\n物质物质水\n\n4.2×103\n\n铝酒精\n\n2.4×103\n\n干泥土约0.84×103\n\n煤油\n\n2.1×103\n\n铁、钢\n\n0.46×103\n\n冰\n\n2.1×103\n\n铜\n\n0.39×103\n\n色拉油\n\n1.97×103\n\n水银\n\n0.14×103\n\n沙石约0.92×103\n\n铅\n\n0.13×103,831,0,unknown,text-extracted,,2.0,义务教育教科书·物理九年级全一册,8,885,2025-07-21T14:23:37.592Z,2.0,2025-07-20T03:27:13.399Z,九年级,[object Object],node-poppler,unknown,0.7104194857916103,0.7999999999999999,0.831,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/物理/人教版-人民教育出版社/九年级/义务教育教科书·物理九年级全一册.pdf,义务教育教科书·物理九年级全一册.json,物理,96264
义务教育教科书·物理九年级全一册_chunk_9,9,物质物质水\n\n4.2×103\n\n铝酒精\n\n2.4×103\n\n干泥土约0.84×103\n\n煤油\n\n2.1×103\n\n铁、钢\n\n0.46×103\n\n冰\n\n2.1×103\n\n铜\n\n0.39×103\n\n色拉油\n\n1.97×103\n\n水银\n\n0.14×103\n\n沙石约0.92×103\n\n铅\n\n0.13×103\n\n质量相同的不同物质，当吸收或放出同样热量时，比热容较大的物质温度变化较小。因此，比热容大的物质对调节温度有很好的作用。从表中可以看出，水的比热容较大。当环境温度变化较快的时候，水的温度变化相对较慢。生物体内水的比例很高，有助于调节生物体自身的温度，以免温度变化太快对生物体造成严重损害。 水的比热容是沙石的 4 倍多。质量相同的水和沙石，要使它们上升同样的温度，水会吸收更多的热量；如果吸收或放出的热量相同，水的温度变化\n12\n\n比热容\nc/［J · (kg · °C)-1］\n\n物理九年级\n\n0.88×103 比沙石小得多。夏天，阳光照在海上，尽管海水吸收了许多热量，但是由于它的比热容较大，所以海水的温度变化并不大，海边的气温变化也不会很大。而在沙漠，由于沙石的比热容较小，吸收同样的热量，温度会上升很多，所以沙漠的昼夜温差很大（图 13.3-3）。 图 13.3-3 海边昼夜温度变化比沙漠中小，适于居住。 想想议议我国北方楼房中的“暖气”用水作为介数据采集线质，把燃料燃烧时产生的热量带到房屋中取暖。用水做输运能量的介质有什么好处？生活中、各种产业中，还有没有用水来加热或散热的情况？ 扩展性实验用传感器比较不同物质的比热容不同物质吸热的差异还可以用图 13.3-4 所示的实验很快比较出来。 温度传感器红外加热器用铁夹将温度传感器及分别盛有质量相同的水和色拉油的两个试管固定在铁架台上，温度传感器的探头部分要与试管内的水或色拉油良好接触，两图 13.3-4\n\n比热容实验装置第十三章内能\n\n13 只温度传感器通过数据采集线与计算机相连接。 在计算机上打开与此仪器配套的专用软件，点击“开始记录”，同时打开红外加热器开关，对盛有水和油的试管进行加热，在计算机上可以得到相应的实验图线。,898,0,unknown,text-extracted,,2.0,义务教育教科书·物理九年级全一册,9,958,2025-07-21T14:23:37.592Z,2.0,2025-07-20T03:27:13.399Z,九年级,[object Object],node-poppler,unknown,0.7711864406779662,0.7999999999999999,0.898,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/物理/人教版-人民教育出版社/九年级/义务教育教科书·物理九年级全一册.pdf,义务教育教科书·物理九年级全一册.json,物理,96264
