Chunk_ID,Chunk_Index,Content,Content_Length,Quality_Score,Reliability,Source_Type,Original_Content,Enhancement_Version,book_name,chunkIndex,chunkSize,enhancementTimestamp,enhancementVersion,extractedAt,grade,loc_lines,method,publisher,qualityMetrics_chineseCharRatio,qualityMetrics_coherenceScore,qualityMetrics_lengthScore,qualityMetrics_ocrConfidence,semester,source,source_file,subject,textLength
义务教育教科书·科学七年级上册_chunk_0,0,批准文号：浙发改价格［2019］319号、［2020］331号举报电话：12345、12315\n定价：10.94元主编朱清时浙江教育出版社前\n\n言少年时代的你，脑袋里可能时常会冒出许许多多的问题：天空为什么是蓝色的？我们脚下的地球是怎么形成的？最早的人是从哪来的？那些巨大的恐龙为什么会灭绝？……你的这些问题都是科学所关心的问题。事实上，科学就是起因于人类的好奇心和对自然界无尽的追问。学习了《科学》，你将获得很多问题的答案，同时也会萌生出更多新的问题。 学习《科学》时，我们将会接触到大量科学概念、规律和各种科学符号，由此，我们将从纷繁复杂的生活世界走进简单有序的科学世界，对周围的世界也将会有一个全新的认识。就拿树来说，你会认为树是由树干、树枝、树叶，以及藏在地下的树根构成。但在学习科学之后，你将惊异地发现树的构成材料居然主要是水和空气中的二氧化碳！你把树焚烧了，树就会变回原来的水和二氧化碳释放到空气中。在火焰中散发出来的，则是原先用来把水和二氧化碳转化为树并贮藏在树里的太阳的光和热。对自然奥秘的这种理性认识，将会使你获得无比的愉悦感和充实感。 科学并不是简单地对自然规律加以揭示，更重要的是找到研究自然规律的方法。例如，意大利科学家伽利略（1564~1642）正是被一盏从教堂穹顶上悬挂下来吊灯的来回摆动所吸引，通过仔细观察和反复实验，从而得出了“摆的等时性原理”。后来人们利用这一原理发明了机械摆钟。学习《科学》不能只是记住书本中的结论，学习《科学》的中心环节是学会科学的研究方法。 当你进入科学殿堂并领略科学的辉煌成果时，你就会感受到科学的美妙和神奇；当你学会了科学研究的方法时，你就得到了一把开启科学之门的金钥匙。 我们正生活在一个科学技术突飞猛进的时代。科学的未来就在你们身上。让我们站在科学巨人的肩膀上，揭开更多的科学之谜，创造更加灿烂的科技文明！ 中国科学院院士第 1章科学入门第１节科学并不神秘· ··············\n\n第２节走进科学实验室··············\n\n第３节科学观察· ·················\n\n13\n\n第４节科学测量· ·················\n\n18\n\n第５节,921,0,unknown,text-extracted,,2.0,义务教育教科书·科学七年级上册,0,978,2025-07-21T14:23:48.086Z,2.0,2025-07-20T03:32:08.816Z,七年级,[object Object],node-poppler,unknown,0.7937569676700111,0.7999999999999999,0.921,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/科学/浙教版-浙江教育出版社/七年级/义务教育教科书·科学七年级上册.pdf,义务教育教科书·科学七年级上册.json,科学,92792
义务教育教科书·科学七年级上册_chunk_1,1,中国科学院院士第 1章科学入门第１节科学并不神秘· ··············\n\n第２节走进科学实验室··············\n\n第３节科学观察· ·················\n\n13\n\n第４节科学测量· ·················\n\n18\n\n第５节科学探究· ·················\n\n27\n\n第 2章观察生物第１节生物与非生物· ··············\n\n34\n\n第２节细胞·····················\n\n37\n\n第３节生物体的结构层次· ···········\n\n47\n\n第４节常见的动物·················\n\n56\n\n第５节常见的植物·················\n\n69\n\n第６节物种的多样性· ··············\n\n74\n\n第 3章人类的家园——地球第１节地球的形状和内部结构· ········\n\n83\n\n第２节地球仪和地图· ··············\n\n86\n\n第３节组成地壳的岩石··············\n\n94\n\n第４节地壳变动和火山地震···········\n\n99\n\n第５节泥石流· ··················\n\n106 第６节地球表面的板块··············\n\n110\n\n第７节地形和地形图· ··············\n\n114\n\n第 4章物质的特性第１节物质的构成·················\n\n123\n\n第２节质量的测量·················\n\n129\n\n第３节物质的密度·················\n\n133\n\n第４节物质的比热·················\n\n138\n\n第５节熔化与凝固·················\n\n143\n\n第６节汽化与液化·················\n\n147\n\n第７节升华与凝华·················\n\n155\n\n第８节物理性质与化学性质···········\n\n159\n\n研究性学习课题一\n\n收集生物样品，尝试生物分类· ·······\n\n164\n\n二观察动物的形态和生活习性· ········\n\n164,915,0,unknown,text-extracted,,2.0,义务教育教科书·科学七年级上册,1,997,2025-07-21T14:23:48.086Z,2.0,2025-07-20T03:32:08.816Z,七年级,[object Object],node-poppler,unknown,0.34007585335018964,0.6,0.915,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/科学/浙教版-浙江教育出版社/七年级/义务教育教科书·科学七年级上册.pdf,义务教育教科书·科学七年级上册.json,科学,92792
义务教育教科书·科学七年级上册_chunk_2,2,143\n\n第６节汽化与液化·················\n\n147\n\n第７节升华与凝华·················\n\n155\n\n第８节物理性质与化学性质···········\n\n159\n\n研究性学习课题一\n\n收集生物样品，尝试生物分类· ·······\n\n164\n\n二观察动物的形态和生活习性· ········\n\n164\n\n三调查当地主要岩石类型· ···········\n\n165\n\n四蒸馏法海水淡化·················\n\n165\n\n附录常用法定计量单位· ··············\n\n166 科学七年级上册\nKEXUE QINIANJISHANGCE\n\n6 第章\n\n科学\n\n入怎\n\n门\n\nDIYIZHANG KEXUERUMEN\n\n1章科 学入 门第\n\n么才能让肥皂泡吹得更大？为什么会发生地震、火山等自然灾害？地球上的生命是如何产生的？如何寻找疾病产生的原因并找到根治的方法？……人类有太多的问题需要回答，科学家们已解决了很多，但仍然有很多问题有待于人们去解决，而且现在或今后还会不断地出现新的问题。 科学的任务就是发现、回答或解决关于自然和人类遇到的各种问题，掌握相关的科学规律并为人类服务。 让我们一起迈进科学的大门，探究科学的奥秘，感受科学研究的乐趣。 1 科学七年级上册\nKEXUE QINIANJISHANGCE\n\n第\n\n1 节科学并不神秘生活中，许多奇妙的现象可以用相关的科学原理进行解释。人们在探索科学的同时，享受着科学带来的成果和乐趣。 科学在我们身边我们周围有许多奇妙的现象。火山为什么会爆发？鸟蛋为什么会孵出小鸟？铅笔为什么会在水中“折断”？你想知道产生这些现象的原因吗？ 图1-1 壮观的火山爆发图1-2\n\n破壳而出的小鸟图1-3 铅笔在水中被“折断”\n\n我们仔细观察，还可以发现周围的各种事物都在发生着变化。种子在一定条件下会发芽，有些昆虫会蜕皮，有时天上会有流星……你想知道发生这些变化的原因吗？ 图1-4\n\n种子长成幼苗图1-5\n\n昆虫蜕皮图1-6\n\n流星,860,0,unknown,text-extracted,,2.0,义务教育教科书·科学七年级上册,2,925,2025-07-21T14:23:48.086Z,2.0,2025-07-20T03:32:08.816Z,七年级,[object Object],node-poppler,unknown,0.6709677419354839,0.7999999999999999,0.86,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/科学/浙教版-浙江教育出版社/七年级/义务教育教科书·科学七年级上册.pdf,义务教育教科书·科学七年级上册.json,科学,92792
义务教育教科书·科学七年级上册_chunk_3,3,图1-1 壮观的火山爆发图1-2\n\n破壳而出的小鸟图1-3 铅笔在水中被“折断”\n\n我们仔细观察，还可以发现周围的各种事物都在发生着变化。种子在一定条件下会发芽，有些昆虫会蜕皮，有时天上会有流星……你想知道发生这些变化的原因吗？ 图1-4\n\n种子长成幼苗图1-5\n\n昆虫蜕皮图1-6\n\n流星科学要研究各种自然现象，寻找它们产生、发展的原因和规律。学习科学可以帮助我们理解、解释和预测各种事物、现象及其变化。 人类社会的进步与科学发展密切相关。科学的不断进步与发展极大地促进了人类社会的进步。 2 第章\n\nDIYIZHANG KEXUERUMEN\n\n科学 入门\n\n火药\n\n1300多年前，中国古人发明了火药并用于医药和军事。 图1-7\n\n2008年，我国用火箭将宇航员送到太空并出舱活动。 从火药到火箭中国古代指南针的发明开启了远洋航海时代。 图1-8\n\n“ 北斗”卫星导航系统能帮助人们顺利到达目的地。 从指南针到卫星导航系统思考与讨论根据你的所见所闻，说说随着科学发展而出现的高科技项目或产品。 科学研究是从疑问开始的。一个小小的疑问都有可能引发科学发现。 奥斯特（Hans Christian Oersted）是在整理器材时偶然发现电流使磁针发生偏转的现象，从而进行持续研究，最终发现了电流的磁效应。因此，只要留心观察，从发现周围的问题着手，我们都可以进入科学的世界，科学就在我们身边。 活动当一只乒乓球略有凹陷时，有办法使它恢复球形吗？ 1．将稍微有点凹陷的乒乓球放入一只杯子中。 2．将热水倒入杯中，热水中的乒乓球会 __________。 你能解释这个现象吗？ 图1-9 乒乓球实验在长期的科学探索中，人们已经找到了自然界中许多问题的答案，但还有许多问题不能合理地解释或解答。在科学发展过程中，人们在解决问题的同时，也会出现新的问题。因此，科学是无止境的，我们要不断地去探索和发现问题，创造性地解决问题，推进科学与人类社会的发展与进步。 思考与讨论将自己最感兴趣的自然现象或问题与同学进行讨论。 3 科学七年级上册\nKEXUE QINIANJISHANGCE,884,0,unknown,text-extracted,,2.0,义务教育教科书·科学七年级上册,3,938,2025-07-21T14:23:48.086Z,2.0,2025-07-20T03:32:08.816Z,七年级,[object Object],node-poppler,unknown,0.7995198079231692,0.7999999999999999,0.884,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/科学/浙教版-浙江教育出版社/七年级/义务教育教科书·科学七年级上册.pdf,义务教育教科书·科学七年级上册.json,科学,92792
义务教育教科书·科学七年级上册_chunk_4,4,在长期的科学探索中，人们已经找到了自然界中许多问题的答案，但还有许多问题不能合理地解释或解答。在科学发展过程中，人们在解决问题的同时，也会出现新的问题。因此，科学是无止境的，我们要不断地去探索和发现问题，创造性地解决问题，推进科学与人类社会的发展与进步。 思考与讨论将自己最感兴趣的自然现象或问题与同学进行讨论。 3 科学七年级上册\nKEXUE QINIANJISHANGCE\n\n科学给我们带来了什么科学的发展改变着人们对自然��各种事物的认识，使人类的技术水平和生产能力逐渐提高。蒸汽机的发明使人类进入了工业化时代；电磁学的创立使人类进入了电气时代；计算机技术的发明使人类跨入了发达的信息时代；现代航天技术使人类能够探索宇宙的奥秘，遨游变幻莫测的太空； 科学家发现了 DNA，奠定了分子遗传学的基础……显然，是科学的进步给人类带来了这些巨变。 图1-10 “神舟十一号”与\n“天宫二号”对接图1-11\n\nDNA\n双螺旋结构图1-12 我国首台运算速度达9.3亿亿次/秒的超级计算机“神威·太湖之光”\n\n科学技术改变了人们的生活方式。它使我们的生活更方便、舒适，使各行各业的效率更高、更安全可靠。科学技术改变了世界。 图1-13\n\n利用机器人扫地图1－14 袁隆平的杂交水稻技术为世界粮食生产作出了巨大的贡献图1－15 CT（计算机体层成像）检查能发现人体内某些微小的变化科学也改变了人们的思维方式，人们学会了用科学的思维方式去解决各种复杂的问题，并能从表面现象揭示事物的本质特征或内在规律。 4 第章\n\nDIYIZHANG KEXUERUMEN\n\n科学 入门\n\n活动\n1. 了解并记录你家里的下列信息：________ 年买了电视机。________\n年又买了电视机。更新前后的两台电视机功能的不同点是 ________________\n__________________________________________________________________。 2. 向长辈了解近 30 年来你家家用电器在种类、功能、数量等方面的变化情况，分析这些变化体现了科学技术哪些方面的进步。 科学技术改变了我们的生活，促进了社会的进步。但是，如果使用不当，也会给自然环境和人类社会带来一些负面影响。,952,0,unknown,text-extracted,,2.0,义务教育教科书·科学七年级上册,4,998,2025-07-21T14:23:48.086Z,2.0,2025-07-20T03:32:08.816Z,七年级,[object Object],node-poppler,unknown,0.737885462555066,0.7999999999999999,0.952,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/科学/浙教版-浙江教育出版社/七年级/义务教育教科书·科学七年级上册.pdf,义务教育教科书·科学七年级上册.json,科学,92792
义务教育教科书·科学七年级上册_chunk_5,5,科学技术改变了我们的生活，促进了社会的进步。但是，如果使用不当，也会给自然环境和人类社会带来一些负面影响。 图1 - 16 塑料薄膜对环境的污染图1-17 汽车尾气的污染图1-18 日本福岛第一核电站泄漏事故人类在利用科学技术改变我们生活的同时，必须尽可能地减少滥用科技发明对人类造成的危害。 思考与讨论互联网给人们的生活与生产带来极大便利，但不合理的使用也会给社会与个人带来不利影响。谈谈互联网给我们带来的影响。 我们周围的各种自然现象都蕴含着科学道理。我们的日常生活离不开科学技术的成果。因此，学好科学，学会科学探究的方法，对我们今后的发展至关重要。我们要学会科学的思考方法，正确运用科学知识和科学方法，为人类创造更加美好的明天。 5 科学七年级上册\nKEXUE QINIANJISHANGCE\n\n阅读科学学习的内容科学的研究领域很广，初中阶段的科学主要学习科学探究，物质科学，生命科学，地球和宇宙，科学、技术、社会、环境等。随着学习的深入，研究的学科会越分越细。例如：到高中，物质科学可分成物理学与化学。到大学，物理学又可分为力学、电学、光学、热学和原子物理学，原子物理学又可分为许多学科；化学又可分为无机化学、有机化学、\n分析化学和物理化学等，而无机化学又可分为许多学科。 科学科学探究物质科学生命科学地球和宇宙科学、技术、\n社会、环境练习\n1. 在 3 只相同的啤酒瓶里分别加 1/4、1/2、3/4 的水，用铅笔或筷子分别敲打 3 只瓶子，听听发出的声音有什么不同。 2. 以自己生活的村子或小区为例，谈谈科技的发展给生活带来的好处。 3. 通过互联网查阅有关全球运算速度最快的计算机的资料，并了解高速计算机的应用领域。 第\n\n2 节走进科学实验室科学研究是以实验为基础的。我们在科学研究中提出的假设一般都要设计实验来验证。我们学习科学也需要经常在实验室做各种各样的实验。 6 第章\n\nDIYIZHANG KEXUERUMEN\n\n科学 入门\n\n科学实验室让我们一起来认识一下科学实验室。,849,0,unknown,text-extracted,,2.0,义务教育教科书·科学七年级上册,5,907,2025-07-21T14:23:48.086Z,2.0,2025-07-20T03:32:08.816Z,七年级,[object Object],node-poppler,unknown,0.8387096774193549,0.7999999999999999,0.849,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/科学/浙教版-浙江教育出版社/七年级/义务教育教科书·科学七年级上册.pdf,义务教育教科书·科学七年级上册.json,科学,92792
义务教育教科书·科学七年级上册_chunk_6,6,第\n\n2 节走进科学实验室科学研究是以实验为基础的。我们在科学研究中提出的假设一般都要设计实验来验证。我们学习科学也需要经常在实验室做各种各样的实验。 6 第章\n\nDIYIZHANG KEXUERUMEN\n\n科学 入门\n\n科学实验室让我们一起来认识一下科学实验室。 活动\n1. 学校实验室中共有存放器材的仪器室（实验准备室）____ 间，存放器材的柜子共有 ____ 个，供学生做实验的大间实验室（实验操作室）共有 ____\n间。你认识哪些器材？它们有什么用途？ ____________________________\n____________________________________________________。哪些器材不认识？试着查询这些器材的名称，并将它们填入下表。 表 1-1 记录表器\n\n材用\n\n途\n\n①\n②\n③\n④\n⑤\n⑥\n\n2. 下列设备分别在实验室的什么地方？ 电源插座急救箱灭火器消防桶图1-19 实验室里的设备除了上述实验室设备以外，实验室内有大量可供我们做实验时使用的器材和试剂。实验器材和试剂的存放点必须符合环境要求（如温度、湿度、光照与通风情况等）。它们被存放于实验仪器柜子内，并按不同的用途有序摆放，特殊的具有危险性的试剂或器材还必须按其规定要求存放于规定位置。 7 科学七年级上册\nKEXUE QINIANJISHANGCE\n\n以下是实验室里常见的器材，你知道它们的用途吗？ 温度计电流表电压表试管、试管架和试管夹分子模型酒精灯秒表放大镜显微镜天平烧杯图1-20 实验室里常见的器材思考与讨论你校实验室里的器材是怎样分类摆放的？ 实验室的安全实验时，有时会用到电源、明火、各种化学试剂和刀具等物品或工具， 如果我们没有按实验室规则进行操作或操作不当，就可能发生意外伤害事故。因此，我们必须严格遵守实验室的安全守则，防止意外事故的发生。 下面是某中学实验室的安全守则。 8 第章\n\nDIYIZHANG KEXUERUMEN\n\n科学 入门,839,0,unknown,text-extracted,,2.0,义务教育教科书·科学七年级上册,6,910,2025-07-21T14:23:48.086Z,2.0,2025-07-20T03:32:08.816Z,七年级,[object Object],node-poppler,unknown,0.7210796915167095,0.7999999999999999,0.839,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/科学/浙教版-浙江教育出版社/七年级/义务教育教科书·科学七年级上册.pdf,义务教育教科书·科学七年级上册.json,科学,92792
义务教育教科书·科学七年级上册_chunk_7,7,思考与讨论你校实验室里的器材是怎样分类摆放的？ 实验室的安全实验时，有时会用到电源、明火、各种化学试剂和刀具等物品或工具， 如果我们没有按实验室规则进行操作或操作不当，就可能发生意外伤害事故。因此，我们必须严格遵守实验室的安全守则，防止意外事故的发生。 下面是某中学实验室的安全守则。 8 第章\n\nDIYIZHANG KEXUERUMEN\n\n科学 入门\n\n实验室安全守则\n1. 听从老师的指示，未经老师的允许不能擅自进入实验室。 2. 察看实验室灭火器、急救箱等应急情况处理器材所在的位置，并牢记在心。 3. 不能用湿手接触实验室电源，不能将小刀、螺丝刀等物品插入电源插孔，以免发生触电事故。 4. 没有老师的指令，不得试嗅或直接接触任何化学试剂。 5. 没有老师的允许，不得随意改变实验程序或所用的化学试剂等实验材料，以免发生意外。 6. 打翻化学试剂或器皿时需立即处理，并及时向老师或实验室管理员汇报。 7. 任何物品在使用前先看说明书或产品提示语，挥发性、腐蚀性、有毒溶剂等应在排风柜子里取用，用完后立即封住容器。 8. 如果发生烫伤、烧伤、化学试剂灼伤皮肤或眼睛时，应及时用正确方法处理。实验过程中尤其要注意保护好自己的眼睛。 9. 不能将固体垃圾或有害有毒溶剂直接倒入水槽，以免造成管道堵塞或环境污染。实验完毕后，将你的实验区域清理干净，并清洗双手。 思考与讨论你校实验室有哪些安全守则？它们与上述守则有哪些不同？ 实验室内有一些危险品存放于特别指定的地点。危险品的容器外有相应的警告标志。我们必须在使用这些物品前看清物品上的警告标志，采取相应的防备措施。 有毒易燃易爆有腐蚀性图1-21 常见的危险警告标志\n\n9 科学七年级上册\nKEXUE QINIANJISHANGCE\n\n如果在实验室发生了意外伤害事故，如皮肤烫伤、被化学试剂灼伤、失火等，应立即报告老师，并保持镇定，也可参考图 1-22 中的方法进行处理。 意外事故烧伤或烫伤正确的处理方法用大量冷水冲洗受伤处图1-22\n\n意外事故正确的处理方法被化学试剂灼伤用缓缓流水冲洗\n1分钟以上意外事故的处理方法如果意外伤害较严重，则应在老师指导下及时去医务室或医院；如果实验室发生严重火灾，必须有序撤离并拨打火警电话119。,943,0,unknown,text-extracted,,2.0,义务教育教科书·科学七年级上册,7,998,2025-07-21T14:23:48.086Z,2.0,2025-07-20T03:32:08.816Z,七年级,[object Object],node-poppler,unknown,0.8502793296089386,0.7999999999999999,0.943,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/科学/浙教版-浙江教育出版社/七年级/义务教育教科书·科学七年级上册.pdf,义务教育教科书·科学七年级上册.json,科学,92792
义务教育教科书·科学七年级上册_chunk_8,8,烧伤或烫伤正确的处理方法用大量冷水冲洗受伤处图1-22\n\n意外事故正确的处理方法被化学试剂灼伤用缓缓流水冲洗\n1分钟以上意外事故的处理方法如果意外伤害较严重，则应在老师指导下及时去医务室或医院；如果实验室发生严重火灾，必须有序撤离并拨打火警电话119。 读图图 1-23 中，哪些同学的行为不符合实验室安全守则？ 图1-23\n\n实验室里的操作常见实验操作科学实验中，我们经常会使用一些仪器进行相关的操作，如物品加热、\n取用少量液体等。只有按规范的方法进行实验操作，才能保证实验安全。 10 第章\n\nDIYIZHANG KEXUERUMEN\n\n科学 入门\n\n做实验时，经常需要把少量的液体加入试管中。这时如果从容器中直接倾倒液体，取用液体的量就很难控制。我们可以用滴管来取用少量液体。 活动\n1. 轻压滴管的胶头，并将滴管口伸入试剂瓶的液体中。放松胶头后滴管内就吸入了一部分液体。 2. 将滴管移出溶剂瓶，取 1 支空试管，将滴管竖直、\n悬空、缓慢地向试管内滴入 10 滴液体。 3. 重复练习以上动作，直到熟练为止。 图1-24\n\n滴管注 意： ① 使用 滴管 时， 胶头在上，管口在下。②滴管口不能伸入受滴容器。③滴管用后应立即冲洗，未经洗涤的滴管严禁吸取其他试剂。 思考与讨论用滴管吸取液体或滴加液体时， 为什 么要 轻压 或缓 压胶 头， 不能用力过猛？ 活动一、酒精灯的使用。 有些科学实验需要在一定条件下才能进行。例如，有些化学物质在常温下反应缓慢，甚至不能反应。为使反应加快或促使其反应，需要对反应物加热。酒精灯是常用于加热的仪器。 外焰\n1. 按图 1-25 中的方法正确使用酒精灯。 内焰焰心图1-25 酒精灯点燃与熄灭的正确和错误的方法图1-26\n\n酒精灯的火焰图1-27 小木棒在焰心加热\n\n2. 仔细观察酒精灯的火焰，你可以发现火焰可分为外焰、内焰和焰心三层，如图 1-26 所示。 3. 将 1 根小木棒放到酒精灯焰心位置约 3 秒钟，如图 1-27，然后迅速拿出，观察小木棒的颜色变化，并将所观察到的现象记录在下表中。 4. 比较小木棒在酒精灯火焰的不同部位加热时的现象，判断火焰三部分温度的高低。 11,915,0,unknown,text-extracted,,2.0,义务教育教科书·科学七年级上册,8,982,2025-07-21T14:23:48.086Z,2.0,2025-07-20T03:32:08.816Z,七年级,[object Object],node-poppler,unknown,0.8247914183551848,0.7999999999999999,0.915,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/科学/浙教版-浙江教育出版社/七年级/义务教育教科书·科学七年级上册.pdf,义务教育教科书·科学七年级上册.json,科学,92792
义务教育教科书·科学七年级上册_chunk_9,9,图1-26\n\n酒精灯的火焰图1-27 小木棒在焰心加热\n\n2. 仔细观察酒精灯的火焰，你可以发现火焰可分为外焰、内焰和焰心三层，如图 1-26 所示。 3. 将 1 根小木棒放到酒精灯焰心位置约 3 秒钟，如图 1-27，然后迅速拿出，观察小木棒的颜色变化，并将所观察到的现象记录在下表中。 4. 比较小木棒在酒精灯火焰的不同部位加热时的现象，判断火焰三部分温度的高低。 11 科学七年级上册\nKEXUE QINIANJISHANGCE\n\n表 1-2 记录表小木棒所处的部位小木棒的颜色变化焰心内焰外焰结 论： 各层 火焰 中， 温度最高的是 _______；温度最低的是 _______；温度居中的是 _______。 5. 从上述探究可知，用酒精灯加热物体时，物体在 ___ 处温度升高最快。 二、放大镜的使用。 在观察一些较小的物体时，我们常借助于放大镜。 1. 一只手拿放大镜，另一只手拿一支铅笔，放在放大镜前方，前后移动放大镜或铅笔，以获得大而清晰的图像。 如果所要观察的物体 不能 移动， 可以 同时\n移动你的头部和放大镜， 以获得大而清晰的图像。 图1-28\n\n放大镜\n\n2. 再用放大镜观察指甲、头发、直尺上的刻度和教科书中的文字。 练习\n1. 滴管使用后，不经清洗不能用于吸取其他液体，其原因是 _________________\n__________________________________________________________________。 2. 当手上沾了实验试剂时，应该 ________________________________________。 3. 下列实验操作中，正确的是（ ）。 A．\n\nB．\n图1-29\n\n12\n\nC．\n实验操作方法\n\nD． 第章\n\nDIYIZHANG KEXUERUMEN\n\n3 节科学观察科 学入 门第\n\n观察（observation）是重要的科学研究方法，也是我们学习科学的重要方式。许多科学知识需要经过仔细、准确的观察和实验，并通过认真、严密的论证后，才能总结出来。,878,0,unknown,text-extracted,,2.0,义务教育教科书·科学七年级上册,9,926,2025-07-21T14:23:48.086Z,2.0,2025-07-20T03:32:08.816Z,七年级,[object Object],node-poppler,unknown,0.6093552465233881,0.7999999999999999,0.878,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/科学/浙教版-浙江教育出版社/七年级/义务教育教科书·科学七年级上册.pdf,义务教育教科书·科学七年级上册.json,科学,92792
