Chunk_ID,Chunk_Index,Content,Content_Length,Quality_Score,Reliability,Source_Type,Original_Content,Enhancement_Version,book_name,chunkIndex,chunkSize,enhancementTimestamp,enhancementVersion,extractedAt,grade,loc_lines,method,publisher,qualityMetrics_chineseCharRatio,qualityMetrics_coherenceScore,qualityMetrics_lengthScore,qualityMetrics_ocrConfidence,semester,source,source_file,subject,textLength
义务教育教科书·科学八年级上册_chunk_0,0,批准文号：浙发改价格［2019］319号、［2020］331号举报电话：12345、12315\n定价：10.71元前\n\n言少年时代的你，脑袋里可能时常会冒出许许多多的问题：天空为什么是蓝色的？我们脚下的地球是怎么形成的？最早的人是从哪来的？那些巨大的恐龙为什么会灭绝？……你的这些问题都是科学所关心的问题。事实上，科学就是起因于人类的好奇心和对自然界无尽的追问。学习了《科学》，你将获得很多问题的答案，同时也会萌生出更多新的问题。 学习《科学》时，我们将会接触到大量科学概念、规律和各种科学符号，由此，我们将从纷繁复杂的生活世界走进简单有序的科学世界，对周围的世界也将会有一个全新的认识。就拿树来说，你会认为树是由树干、树枝、树叶，以及藏在地下的树根构成。但在学习科学之后，你将惊异地发现树的构成材料居然主要是水和空气中的二氧化碳！你把树焚烧了，树就会变回原来的水和二氧化碳释放到空气中。在火焰中散发出来的，则是原先用来把水和二氧化碳转化为树并贮藏在树里的太阳的光和热。对自然奥秘的这种理性认识，将会使你获得无比的愉悦感和充实感。 科学并不是简单地对自然规律加以揭示，更重要的是找到研究自然规律的方法。例如，意大利科学家伽利略（1564~1642）正是被一盏从教堂穹顶上悬挂下来吊灯的来回摆动所吸引，通过仔细观察和反复实验，从而得出了“摆的等时性原理”。后来人们利用这一原理发明了机械摆钟。学习《科学》不能只是记住书本中的结论，学习《科学》的中心环节是学会科学的研究方法。 当你进入科学殿堂并领略科学的辉煌成果时，你就会感受到科学的美妙和神奇；当你学会了科学研究的方法时，你就得到了一把开启科学之门的金钥匙。 我们正生活在一个科学技术突飞猛进的时代。科学的未来就在你们身上。让我们站在科学巨人的肩膀上，揭开更多的科学之谜，创造更加灿烂的科技文明！ 中国科学院院士第1章水和水的溶液第1节地球上的水· ···············\n\n第2节水的组成··················\n\n第3节水的浮力··················\n\n11\n\n第4节物质在水中的分散状况· ········\n\n20\n\n第5节物质的溶解· ···············\n\n25\n\n第6节,938,0,unknown,text-extracted,,2.0,义务教育教科书·科学八年级上册,0,992,2025-07-21T14:23:51.489Z,2.0,2025-07-20T03:32:08.715Z,八年级,[object Object],node-poppler,unknown,0.7804610318331504,0.7999999999999999,0.938,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/科学/浙教版-浙江教育出版社/八年级/义务教育教科书·科学八年级上册.pdf,义务教育教科书·科学八年级上册.json,科学,94021
义务教育教科书·科学八年级上册_chunk_1,1,中国科学院院士第1章水和水的溶液第1节地球上的水· ···············\n\n第2节水的组成··················\n\n第3节水的浮力··················\n\n11\n\n第4节物质在水中的分散状况· ········\n\n20\n\n第5节物质的溶解· ···············\n\n25\n\n第6节物质的分离· ···············\n\n32\n\n第7节水资源的利用、开发和保护· ·····\n\n39\n\n第 2章天气与气候第1节大气层· ··················\n\n47\n\n第2节气温·····················\n\n51\n\n第3节大气的压强· ···············\n\n55\n\n第4节风和降水··················\n\n66\n\n第5节天气预报··················\n\n72\n\n第6节气候和影响气候的因素· ········\n\n75\n\n第7节我国的气候特征与主要气象灾害· ··\n\n81\n\n第 3章生命活动的调节第1节植物生命活动的调节···········\n\n90\n\n第2节人体的激素调节· ············\n\n96 第3节神经调节··················\n\n100\n\n第4节动物的行为· ···············\n\n109\n\n第5节体温的控制· ···············\n\n113\n\n第4章电路探秘第1节电荷与电流· ···············\n\n121\n\n第2节电流的测量· ···············\n\n129\n\n第3节物质的导电性与电阻···········\n\n134\n\n第4节变阻器· ··················\n\n138\n\n第5节电压的测量· ···············\n\n142\n\n第6节电流与电压、电阻的关系········\n\n148\n\n第7节电路分析与应用· ············\n\n154\n\n研究性学习课题一\n\n测定本地区的水质污染情况及分析原因· ·\n\n160\n\n二太阳黑子活动与本地区降水的关系· ····\n\n160\n\n三,900,0,unknown,text-extracted,,2.0,义务教育教科书·科学八年级上册,1,982,2025-07-21T14:23:51.489Z,2.0,2025-07-20T03:32:08.715Z,八年级,[object Object],node-poppler,unknown,0.37792207792207794,0.6,0.9,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/科学/浙教版-浙江教育出版社/八年级/义务教育教科书·科学八年级上册.pdf,义务教育教科书·科学八年级上册.json,科学,94021
义务教育教科书·科学八年级上册_chunk_2,2,变阻器· ··················\n\n138\n\n第5节电压的测量· ···············\n\n142\n\n第6节电流与电压、电阻的关系········\n\n148\n\n第7节电路分析与应用· ············\n\n154\n\n研究性学习课题一\n\n测定本地区的水质污染情况及分析原因· ·\n\n160\n\n二太阳黑子活动与本地区降水的关系· ····\n\n160\n\n三训练小动物建立某种条件反射········\n\n161\n\n四调查在自然界或生命活动中的电现象····\n\n161\n\n常用法定计量单位· ···············\n\n162\n\n附录 2 部分物质的溶解度表···············\n\n164\n\n附录 1 科学八年级上册\nKEXUE BANIANJISHANGCE\n\n6 第章\n\n水和水的溶液浩\n\nDIYIZHANG SHUIHESHUIDERONGYE\n\n1章水和水的溶液第\n\n瀚无际的大海、奔腾不息的江河、缓缓流淌的小溪、晶莹剔透的冰川……我们的周围充满了水。 水很神奇，它是孕育地球生命的摇篮，也是地球上各种生命赖以生存的必要条件。人类的生产和生活都离不开水。 水在地球上是怎样分布的？它具有哪些特性？水对人类社会有什么重要作用？我们应该如何保护水资源？ 1 科学八年级上册\nKEXUE BANIANJISHANGCE\n\n第\n\n1 节地球上的水地球表面大部分面积被水覆盖。除了地球，太阳系中再没有其他星球表面有如此丰富的水资源。正因为地球拥有大量的水，它才会如此丰富多彩，充满生机。 水的 分布\n地球上的水的总储量约为 1.386×1018 米 3，它以各种不同的形式分布在海洋、陆地、大气和生物体中，如图 1-1 所示。海洋水是咸水，是地球上最庞大的水体，约占地球总水量的 96.53%，还有 0.94% 是陆地咸水。地球上的淡水（包括陆地淡水和大气水）仅占总水量的 2.53%。 永冻土底冰 0.86%\n土壤水 0.05%\n冰川水\n68.69%\n\n海洋水\n96.53%\n\n地下淡水\n30.06%\n\n2.53%\n\n湖泊咸水和地下咸水 0.94%\n\n湖泊淡水 0.26%\n其他水体沼泽水 0.03%\n河流水 0.006%\n生物水 0.003%\n大气水 0.04%,949,0,unknown,text-extracted,,2.0,义务教育教科书·科学八年级上册,2,998,2025-07-21T14:23:51.489Z,2.0,2025-07-20T03:32:08.715Z,八年级,[object Object],node-poppler,unknown,0.5913461538461539,0.7999999999999999,0.949,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/科学/浙教版-浙江教育出版社/八年级/义务教育教科书·科学八年级上册.pdf,义务教育教科书·科学八年级上册.json,科学,94021
义务教育教科书·科学八年级上册_chunk_3,3,海洋水\n96.53%\n\n地下淡水\n30.06%\n\n2.53%\n\n湖泊咸水和地下咸水 0.94%\n\n湖泊淡水 0.26%\n其他水体沼泽水 0.03%\n河流水 0.006%\n生物水 0.003%\n大气水 0.04%\n\n图1-1 水的分布陆地淡水包括冰川水、地下淡水、湖泊淡水、土壤水、河水等。它虽然占总水量的比例很小，但水体的种类较多，并为人类提供了几乎全部的生活和生产用水。 水天一色的海水\n\n碧波荡漾的湖水神秘莫测的地下暗河第\n章\n\nDIYIZHANG SHUIHESHUIDERONGYE\n\n水和水的溶液碧波连天的咸水湖晶莹剔透的冰川图1-2\n\n地球上的水地球上大部分的水是以液体的形式存在的。在寒冷的极地和高山上， 水常常以固体形式存在。在空气中，水则主要以气体的形式存在。 思考与讨论你能用生活中观察到的现象说明在我们周围的空气中含有水吗？ 水的 循环\n分布在地球各处的水处于不断运动和相互转化之中。那么，这种运动和转化是怎样进行的呢？ 读图\n1．海洋水体和陆地水体是通过怎样的途径联系起来的？ 2．地球上水循环的途径是怎样的？ 冷却凝结成云水\n\n汽输\n\n送降水蒸发降水降水蒸发降水蒸发植物蒸腾地表径流下 渗地下径流*\n\n海洋\n\n*径流：陆地上接受降水后，沿地表或地下运动的水流。下渗的水补给植物、土壤、河流、海洋。 图1-3\n\n水的循环\n\n3 科学八年级上册\nKEXUE BANIANJISHANGCE\n\n从图 1-3 中我们可以知道，在一定的条件下，陆地上的河流水、湖泊水和海洋水以直接蒸发的形式，转化为大气水。植物体也会将根系吸收的水分，以蒸腾的形式释放出来。冰川在一定条件下，也会直接升华为水蒸气， 或融化成液态水补给河流、湖泊和地下水。空气中的水汽在一定的条件下， 又会重新凝结成为液态水或凝华为固态水，并以液态雨水或固态的雪、冰雹等形式降落到地表或海洋。降落到陆地上的水，一部分汇集成为河流水、\n湖泊水，或转化为冰川，另一部分则下渗转变为地下水和土壤水。汇集到河流、湖泊或渗透到地下的水，又会流入大海，成为海洋水体的一部分。 表 1-1 地球上主要水体的平均更新周期水体名称更新周期大气水\n\n9~11 天河水\n\n11~18 天,922,0,unknown,text-extracted,,2.0,义务教育教科书·科学八年级上册,3,993,2025-07-21T14:23:51.489Z,2.0,2025-07-20T03:32:08.715Z,八年级,[object Object],node-poppler,unknown,0.7907801418439716,0.7999999999999999,0.922,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/科学/浙教版-浙江教育出版社/八年级/义务教育教科书·科学八年级上册.pdf,义务教育教科书·科学八年级上册.json,科学,94021
义务教育教科书·科学八年级上册_chunk_4,4,更新周期大气水\n\n9~11 天河水\n\n11~18 天湖泊淡水\n\n10~100 年地下水\n\n100~1000 年海洋水约 5000 年冰川约 10000 年分布在地球各处的水通过蒸发、水汽输送、降水、下渗、沿地表或地下流动而紧密地联系在一起，进行着持续不断的循环。通过水循环过程， 地球上的水、大气、岩石和生物发生了密切的联系，共同构成了人类生存的自然环境。 人类在生产和生活的各种活动中，常常通过对地表的改造，影响地球上水循环的过程。 水资源的分布河流水、湖泊水和地下水大都是由大气降水汇集而成的。因此，对于一个区域来说，在一段时间内降水的总量和同期蒸发损失的水量之差，就是提供地表和地下径流的水量，也就是可供人们使用的水资源。显然，它和某个地区的水循环活跃程度密切相关。如果某地区的水循环十分活跃，该地区水资源就比较丰富。从全球范围看，赤道附近地区和沿海地区，水资源往往比较丰富，而内陆和沙漠地区，水资源则比较贫乏。据统计，全球大约有 60%\n的地区正经受着缺水的煎熬，甚至在一些水资源非常丰富的国家，如加拿大、美国等，一些城市的供水也越来越困难。 4 第章\n\nDIYIZHANG SHUIHESHUIDERONGYE\n\n为什么在水资源非常丰富的国家，一些城市也会发生供水困难？ 水和水的溶液思考与讨论活动\n1．根据表 1-2 中所提供的世界各大洲（有常住人口的洲）已知的数据进行相关的计算，并将计算结果填入相应的空格中，同时分析世界水资源的分布特点。 表 1-2 世界各大洲的水资源情况大洲平均年平均年平均年水资源人口数（亿人均年径人均水资降水量蒸发量径流量总量排人，据 2008\n流量\n（米 3） 源量排序\n（×1012 米3）\n（×1012 米3）\n（×1012 米3） 序年数据统计）\n\n亚洲\n\n31\n\n18\n\n40.54\n\n非洲\n\n21\n\n17\n\n9.73\n\n北美洲\n\n15\n\n3.37\n\n南美洲\n\n28\n\n16\n\n5.77\n\n欧洲\n\n7.32\n\n大洋洲\n\n0.34\n\n全球\n\n577\n\n530\n\n47\n\n67.07\n\n2．根据世界各大洲的年径流总量和人均年径流量的排序的不同， 谈谈你的看法。 地图审核号：浙S（2012）64号,921,0,unknown,text-extracted,,2.0,义务教育教科书·科学八年级上册,4,995,2025-07-21T14:23:51.489Z,2.0,2025-07-20T03:32:08.715Z,八年级,[object Object],node-poppler,unknown,0.7396593673965937,0.7999999999999999,0.921,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/科学/浙教版-浙江教育出版社/八年级/义务教育教科书·科学八年级上册.pdf,义务教育教科书·科学八年级上册.json,科学,94021
义务教育教科书·科学八年级上册_chunk_5,5,亚洲\n\n31\n\n18\n\n40.54\n\n非洲\n\n21\n\n17\n\n9.73\n\n北美洲\n\n15\n\n3.37\n\n南美洲\n\n28\n\n16\n\n5.77\n\n欧洲\n\n7.32\n\n大洋洲\n\n0.34\n\n全球\n\n577\n\n530\n\n47\n\n67.07\n\n2．根据世界各大洲的年径流总量和人均年径流量的排序的不同， 谈谈你的看法。 地图审核号：浙S（2012）64号图1-4\n\n我国是一个缺水较为严 重的 国家。 据统 计， 我国江河年平均径流总量约\n2.7×1012 米 3，居世界第六位。 但由于我国人口众多，人均拥有的水资源只有 2200 米 3， 仅为 世界 平均 水平 的 1／4， 是全球人均水资源最贫乏的国家之一。 我国不同地区水资源分布情况的比较\n\n5 科学八年级上册\nKEXUE BANIANJISHANGCE\n\n我国的水资源在地区分布上很不均匀，大量的淡水资源集中在南方， 北方淡水资源只有南方淡水资源的 1／4，如图 1-4 所示。据统计，全国 600\n多个城市中，有近 400 个城市缺水，其中一半以上严重缺水。 我国的水资源在时间分布上也很不均衡，突出表现在夏季丰富、冬季欠缺，江河径流量的年际变化很大，尤其在北方更加明显。 思考与讨论请根据图 1-4，讨论以下问题： 1．我国哪些地区水资源比较丰富，哪些地区水资源比较贫乏？ 2．寻找你家乡的所在位置，并查找资料，谈谈你家乡的水资源情况。 水与 生命\n科学研究表明，最早的生命出现在海洋中。 正是因为有水，生物才得以产生、生存和繁衍， 水是生物生存所必需的最基本的物质之一。如果没有水，地球上就没有生命。 水是植物的重要组成部分。在植物的各大图1-5 原始海洋景观想象图器官中都含有水，但同一株植物不同部位的含水量是不同的，如根尖、嫩芽等含水量为 60%~90%，干种子为 10%~40%。 不同植物的含水量也是不同的， 如水生植物的含水量高达 90%\n以上。 如果某地区持续干旱几个月，许多植物就会因缺水而枯萎死亡。但是生活在沙漠地区的生物具有储存水分的特殊本领。例如，一棵成熟的猴面包树（如图 1-6）最多可以储存\n5000 升水。 图1 6\n\n热带干旱地区生长的猴面包树第\n章,919,0,unknown,text-extracted,,2.0,义务教育教科书·科学八年级上册,5,975,2025-07-21T14:23:51.489Z,2.0,2025-07-20T03:32:08.715Z,八年级,[object Object],node-poppler,unknown,0.7440993788819876,0.7999999999999999,0.919,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/科学/浙教版-浙江教育出版社/八年级/义务教育教科书·科学八年级上册.pdf,义务教育教科书·科学八年级上册.json,科学,94021
义务教育教科书·科学八年级上册_chunk_6,6,热带干旱地区生长的猴面包树第\n章\n\nDIYIZHANG SHUIHESHUIDERONGYE\n\n水和水的溶液思考与讨论为了适应缺水的环 境， 仙人 掌（如图\n1-7）具有怎样的特殊结构，以保持体内水分的含量？ 图1-7\n\n热带沙漠中生长的仙人掌在水资源丰富的热带地区，茂密的雨林中生长着千姿百态的植物。 图1-8\n\n云南热带雨林动物也离不开水，水是动物生存的基本条件。一般动物体内的含水量高于植物，约为 70%~80%，其中水母（如图\n1-9）的含水量高达 98% 左右。一些动物有着自己特殊的结构，可以适应缺水的环境。有“沙漠之舟”美誉的骆驼，一次可以喝大量的水，并通过减少汗液的蒸发和尿液的排泄以节约水分，它之后几图1-9\n\n漂亮的水母\n\n7 科学八年级上册\nKEXUE BANIANJISHANGCE\n\n天不喝水也不会有生命危险。 对人的生命活动来说，水也是至关重要的物质。一个健康的成年人每天平均约需 2.5 升水。当人体内含水量不足时就会造成脱水，严重脱水时人就会有生命危险。 生物的各种生命活动都离不开水，水是生命的摇篮。 练习\n1．下列有关地球上水的分布、循环和利用的说法中，正确的是（\n）。 A．陆地淡水约占地球总水量的 96.53% B．水是生物生存所必需的最基本的物质之一 C．人类直接利用最多的水资源是海洋水 D．水循环的环节只有蒸发和降水\n2．在下列四个选项中，水循环最活跃的是（\n）。 A．地表裸露的沙漠地区 B．森林覆盖良好的水库区\nC．长江、黄河发源的地区 D．冰川广布的南极大陆\n3．你一天要摄入多少水？这些水是通过哪些途径获得的？ 4．调查你家乡的淡水资源分布情况。 第\n\n2 节水的组成水与我们的生命息息相关，我们每天都需饮用适量的水来维持我们的生命活动。但你可曾想过，水是由什么组成的呢？ 水的 电解\n我们知道水在自然界循环的过程中，形态上发生了变化，但并没有变成别的物质。如果在水中通直流电，这时会有什么现象产生？水会变成其他物质吗？ 8 第章\n\nDIYIZHANG SHUIHESHUIDERONGYE\n\n水和水的溶液,880,0,unknown,text-extracted,,2.0,义务教育教科书·科学八年级上册,6,952,2025-07-21T14:23:51.489Z,2.0,2025-07-20T03:32:08.715Z,八年级,[object Object],node-poppler,unknown,0.7711138310893513,0.7999999999999999,0.88,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/科学/浙教版-浙江教育出版社/八年级/义务教育教科书·科学八年级上册.pdf,义务教育教科书·科学八年级上册.json,科学,94021
义务教育教科书·科学八年级上册_chunk_7,7,第\n\n2 节水的组成水与我们的生命息息相关，我们每天都需饮用适量的水来维持我们的生命活动。但你可曾想过，水是由什么组成的呢？ 水的 电解\n我们知道水在自然界循环的过程中，形态上发生了变化，但并没有变成别的物质。如果在水中通直流电，这时会有什么现象产生？水会变成其他物质吗？ 8 第章\n\nDIYIZHANG SHUIHESHUIDERONGYE\n\n水和水的溶液活动\n1．在水电解器的玻璃管里注满水，接通直流电，如图 1 - 10 所示。 2．仔细观察：水的颜色、状态为 _________， 两个电极上出现了 _________，两支玻璃管内液面 _______________， 产生 的气 体的 体积 比约 为图1-10 电解水的装置\n__________________。 3．用点燃的火柴接近液面下降较多的玻璃管尖嘴，慢慢打开活塞，观察到 _______________；用带火星的木条接近液面下降较少的玻璃管尖嘴， 慢慢打开活塞，观察到 _______________。 实验中可燃烧并产生淡蓝色火焰的气体是氢气（hydrogen），能使带火星的木条复燃的气体是氧气（oxygen）。这个实验说明水在通电的条件下， 生成了氢气和氧气，即可表示为： 水通直流电氢气＋氧气水分子的构成在上述的实验中，我们发现水变成了两种不同的气体，它们的体积比是 2 ∶ 1。 思考与讨论\n1．回忆并讨论水、氢气和氧气都是由什么粒子构成的。 2．构成这些物质的粒子很小，但这些粒子中是否存在比它更小的粒子呢？ 这个实验可以说明水分子中含有两种不同的、更小的粒子，这种粒子就是原子（atom）。科学实验证明，一个水分子中含有两个氢原子和一个氧原子，如图 1-11 所示。 通电氧分子水分子氢分子代表氢原子代表氧原子图1-11 水电解的过程示意图\n\n9 科学八年级上册\nKEXUE BANIANJISHANGCE\n\n思考与讨论根据水电解的���程示意图及实验现象，分析水在通电情况下是如何分解产生氢气和氧气的。 水分子是由氢原子和氧原子构成的，因此我们可以说水是由氢和氧组成的。 科学·技术·\n社会·环境原\n\n子,898,0,unknown,text-extracted,,2.0,义务教育教科书·科学八年级上册,7,967,2025-07-21T14:23:51.489Z,2.0,2025-07-20T03:32:08.715Z,八年级,[object Object],node-poppler,unknown,0.7156511350059738,0.7999999999999999,0.898,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/科学/浙教版-浙江教育出版社/八年级/义务教育教科书·科学八年级上册.pdf,义务教育教科书·科学八年级上册.json,科学,94021
义务教育教科书·科学八年级上册_chunk_8,8,水分子氢分子代表氢原子代表氧原子图1-11 水电解的过程示意图\n\n9 科学八年级上册\nKEXUE BANIANJISHANGCE\n\n思考与讨论根据水电解的���程示意图及实验现象，分析水在通电情况下是如何分解产生氢气和氧气的。 水分子是由氢原子和氧原子构成的，因此我们可以说水是由氢和氧组成的。 科学·技术·\n社会·环境原\n\n子早 在 1803 年， 英国 科学 家道 尔顿（John\nDalton）就提出了原子的概念。他认为原子是组成物质的最小单位。道尔顿的原子论开辟了从微观世界认识物质及其变化的新纪元。现在，人们凭借扫描隧道显微镜（简称 STM）已经能够“看到”原子的图像。 图1-12 硅原子的扫描隧道显微镜图像练习\n1．如图 1-13 所示，在水中通直流电一段时间后，在\n_______ 极产生的气体体积较大。用点燃的火柴接近这种气体，发现它会 _____________，产生\n_________ 色的火焰。这种气体是 ____________。 A B\n另一极产生的气体体积较 ______，能使带火星的图1-13 电解水的简易装置木条复燃，说明这种气体是 ______________。 2．运用已学知识并结合生活实际，归纳水有哪些重要的物理性质。告诉你的同伴北冰洋上的冰山是怎样形成的。 10 第章\n\n中国 有句 古训， 叫做“水能 载舟， 亦能 覆舟”。 船既 能够浮在水面上，为什么有时又会在水中沉没呢？生活中时有发生人在江河湖海中溺水身亡的事件，但在中东地区的死海， 人为什么能悠然自得地躺在水面上看报呢？ 图1-14\n\nDIYIZHANG SHUIHESHUIDERONGYE\n\n3 节水的浮力水和水的溶液第\n\n死海浮 力对浮力这个概念你也许并不陌生，但对熟悉的事物我们并不一定就有深刻的认识。 活动\n1．将一个空塑料瓶的瓶盖旋紧，然后把它压入水中，如图 1-15 所示，你的手有什么感觉？ 2．将手松开后，观察瓶子运动的情况。 图1-15 手按矿泉水瓶在水中会上浮的物体受到水向上的浮力（buoyancy）。那么，在水中会下沉的物体是否也受到了水的浮力呢？,892,0,unknown,text-extracted,,2.0,义务教育教科书·科学八年级上册,8,976,2025-07-21T14:23:51.489Z,2.0,2025-07-20T03:32:08.715Z,八年级,[object Object],node-poppler,unknown,0.7165450121654501,0.7999999999999999,0.892,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/科学/浙教版-浙江教育出版社/八年级/义务教育教科书·科学八年级上册.pdf,义务教育教科书·科学八年级上册.json,科学,94021
义务教育教科书·科学八年级上册_chunk_9,9,水和水的溶液第\n\n死海浮 力对浮力这个概念你也许并不陌生，但对熟悉的事物我们并不一定就有深刻的认识。 活动\n1．将一个空塑料瓶的瓶盖旋紧，然后把它压入水中，如图 1-15 所示，你的手有什么感觉？ 2．将手松开后，观察瓶子运动的情况。 图1-15 手按矿泉水瓶在水中会上浮的物体受到水向上的浮力（buoyancy）。那么，在水中会下沉的物体是否也受到了水的浮力呢？ 活动\n1．如图 1-16 所示，将物体挂在弹簧测力计下， 弹簧测力计的 读数 F1=_________\n牛。 2．再将物体浸入水中，弹簧测力计的读数 F2=_________ 牛。 3．弹簧测力计的两次测量读数发生的变化说明了什么？ 图1-16\n\n弹簧测力计读数的变化\n\n11 科学八年级上册\nKEXUE BANIANJISHANGCE\n\n不仅是水，所有液体都会对浸入其中的物体产生一个向上的浮力。 需要注意的是： 这里所谓的“浸入”\n包括完全浸没和部分浸入。 思考与讨论从图 1-16 所示的活动中，你能否得出测量浮力大小的一种方法？这种方法的适用条件是什么？ 阿基米德原理以上两个实验使我们感受到浮力的存在，并获得测量浮力的一种方法， 但浮力的大小究竟跟哪些因素有关呢？ 探究浮力大小的相关因素\n1．在图 1-15 所示的活动中，塑料瓶浸入水中的体积越大，手会感觉越费劲。根据这一事实， 你认为浮力的大小可能跟哪些因素有关呢？ 2．我们可以建立这样的假设：浮力的大小跟物体排开液体的多少有关，排开的液体越多，受到的浮力越大。你还有什么生活经验为这个假设提供支持呢？ 3．用图 1-17 所示的器材，以小组为单位，定性研究浮力的大小跟物体排开水的多图1-17 研究浮力大小与排开水多少的关系少的关系。 4．和组内同学讨论： （1）要定量研究水的浮力大小与物体排开水的多少的关系，需要做什么？ （2）图 1-18中，量筒和溢杯在你的研究中有图1-18 量筒和溢杯什么用？ （3）实验中需要直接测量哪些物理量？ 5．在笔记本上写下简单的实验步骤，设计实验记录表。通过与其他同学交流，确定实验步骤，并完成如下实验记录表的设计。 12 第章,900,0,unknown,text-extracted,,2.0,义务教育教科书·科学八年级上册,9,968,2025-07-21T14:23:51.489Z,2.0,2025-07-20T03:32:08.715Z,八年级,[object Object],node-poppler,unknown,0.7859690844233056,0.7999999999999999,0.9,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/科学/浙教版-浙江教育出版社/八年级/义务教育教科书·科学八年级上册.pdf,义务教育教科书·科学八年级上册.json,科学,94021
