Chunk_ID,Chunk_Index,Content,Content_Length,Quality_Score,Reliability,Source_Type,Original_Content,Enhancement_Version,book_name,chunkIndex,chunkSize,enhancementTimestamp,enhancementVersion,extractedAt,grade,loc_lines,method,publisher,qualityMetrics_chineseCharRatio,qualityMetrics_coherenceScore,qualityMetrics_lengthScore,qualityMetrics_ocrConfidence,semester,source,source_file,subject,textLength
义务教育教科书·美术七年级上册_chunk_0,0,"义务\n\n义务\n\n教育\n\n教科\n\n书教\n育教\n\n美术 M E I S H U\n\n科书\n\nMEISHU\n\n美七年级上册术\n七年级上册 产品河 北美 术出 版社\n\n定价：6.05元河北美术出版社主 编：徐福厚副主编：齐龙腾编 者：齐龙腾朱兴华赵\n\n华杭 斌裴慧宏赵\n\n义华\n\n务教\n\n育教\n\n科策\n划：张基春责任编辑：郑亚萍刘大胜封面设计：翰墨文化／郗志强图书在版编目（ＣＩＰ）数据美术．七年级．上册／徐福厚，赵华主编．—修订本．—石家庄：河北美术出版社，2013.7（2021.5重印）\nISBN 978-7-5310-4739-1\nⅠ．①美… Ⅱ．①徐… ②赵… Ⅲ．①美术课—初中—教材 Ⅳ．①G634.955.1\n\nMEISHU\n七年级上册河北省教育科学研究所编\n\n中国版本图书馆CIP数据核字（2013）第143557号义务教育教科书美术七年级上册河北省教育科学研究所编\n出版：河北美术出版社（河北省石家庄市和平西路新文里8号）\n\n发行：河北省新华书店邮\n\n编：050071\n\n电话：0311-85915057\n\n制版：石家庄市翰墨文化艺术设计有限公司印\n\n刷：河北新华第一印刷有限责任公司开\n\n本：787毫米 × 1092毫米 1/16\n\n印张：３\n\n印数：1,970,401-2,100,400\n\n版次：2012年7月第1版印\n\n次：2021年5月第10次印刷书\n\n号：ISBN 978-7-5310-4739-1\n\n定价：6.05元冀发改价格﹝2019﹞761号\n\n85915046（传真）\n\n冀价审﹝2021﹞105149\n\n如有印装质量问题，请与本社联系调换。 版权所有·请勿擅用本书制作各类出版物·违者必究全国价格举报电话：12315\n\n河北 美术 出版 社书 承德避暑山庄及周围寺庙",750,0,unknown,text-extracted,,2.0,义务教育教科书·美术七年级上册,0,862,2025-07-21T14:23:54.418Z,2.0,2025-07-20T03:37:08.239Z,七年级,[object Object],node-poppler,unknown,0.5874233128834356,0.7999999999999999,0.75,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/美术/冀美版-河北美术出版社/七年级/义务教育教科书·美术七年级上册.pdf,义务教育教科书·美术七年级上册.json,美术,18858
义务教育教科书·美术七年级上册_chunk_1,1,"次：2021年5月第10次印刷书\n\n号：ISBN 978-7-5310-4739-1：6.05元冀发改价格﹝2019﹞761号\n\n85915046（传真）\n\n冀价审﹝2021﹞105149\n\n如有印装质量问题，请与本社联系调换。 版权所有·请勿擅用本书制作各类出版物·违者必究全国价格举报电话：12315\n\n河北 美术 出版 社书 承德避暑山庄及周围寺庙世界遗产承德避暑山庄是中国现存最大的皇家园林，又称“热河行宫”或“承德离宫”。坐落于中国北部河北省承德市中心以北的狭长谷地上，总面积560余万平方米。始建于清康熙四十二年（1703\n年），乾隆时扩建，最后完成于乾隆五十五年（1790年）。整个山庄由宫殿区、苑景区两大部分组成，拥有殿、堂、楼、馆、亭、榭、阁、轩、斋等建筑一百余处。康熙时只有三十六景，乾隆时增添园林景色三十六处，共七十二景。避暑山庄周围有12座建筑风格各异的寺庙，其中的8座由清政府直接管理，故被称为“外八庙”。庙宇按照建筑风格分为藏式寺庙、汉式寺庙和汉藏结合式寺庙三种。这些寺庙融和了汉、藏等民族建筑艺术的精华，气势宏伟，极具皇家风范。 新中国成立后，承德避暑山庄及周围寺庙得到妥善保护。1961年， 国务院将避暑山庄及周围部分寺庙列为第一批全国重点文物保护单位。 1982年，又将其列入全国44处重点风景名胜区之一。 承德避暑山庄及周围寺庙（英文名称：The Mountain Resort and its\nO u t l y i n g T e m p l e s,\nChengde）于1994年根据文化遗产遴选标准C（II）\n（IV）， 被联合国教科文组织列入《世界遗产名录》。（ 编号 :\n200-011）\n\n目录\n\n金山岛普陀宗乘之庙\n\n1 美术的世界\n\n2 用绘画介绍自己\n\n3 图形与联想\n\n10\n\n4 用线条表现\n\n12\n\n5 学画速写\n\n15\n\n6 中国的毛笔和书法\n\n17\n\n7 笔墨藤趣\n\n19\n\n8 绘画中的空间\n\n22\n\n9 色彩的感受与联想\n\n25\n\n10 绘画的色调\n\n29\n\n11 神奇的手\n\n32\n\n12 生活中的标志\n\n34\n\n13 会动的图画\n\n38\n\n14 我们爱动画\n\n40\n\n15 学收藏\n\n44",931,0,unknown,text-extracted,,2.0,义务教育教科书·美术七年级上册,1,982,2025-07-21T14:23:54.418Z,2.0,2025-07-20T03:37:08.239Z,七年级,[object Object],node-poppler,unknown,0.6679012345679012,0.7999999999999999,0.931,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/美术/冀美版-河北美术出版社/七年级/义务教育教科书·美术七年级上册.pdf,义务教育教科书·美术七年级上册.json,美术,18858
义务教育教科书·美术七年级上册_chunk_2,2,2 用绘画介绍自己\n\n3 图形与联想\n\n10\n\n4 用线条表现\n\n12\n\n5 学画速写\n\n15\n\n6 中国的毛笔和书法\n\n17\n\n7 笔墨藤趣\n\n19\n\n8 绘画中的空间\n\n22\n\n9 色彩的感受与联想\n\n25\n\n10 绘画的色调\n\n29\n\n11 神奇的手\n\n32\n\n12 生活中的标志\n\n34\n\n13 会动的图画\n\n38\n\n14 我们爱动画\n\n40\n\n15 学收藏\n\n44\n\n中国画家介绍——顾恺之、吴道子 48\n丽正门封面作品：青花缠枝莲双耳尊（清雍正）\n\n避暑山庄文园狮子林造型·表现欣赏·评述设计·应用综合·探索 1\n\n美术 的世 界我们生活在一个五彩缤纷的世界中，我们的生活离不开美术。 美术，也称为造型艺术或视觉艺术。美术的世界范围很广，尽管国内外对美术的范围并无统一的看法，但从国内美术界比较一致的看法来说，美术大体可以分成绘画、雕塑、设计、工艺、建筑、书法、篆刻和新媒体艺术等门类。在这些大类中，又可以分成若干小类，比如，按照绘画使用的工具材料，又可以分成中国画、油画、版画、水彩画等画种。了解美术的这些分类知识，有助于我们根据各类美术的主要特点，去欣赏美术作品。 干草车（油画） 1821 康斯泰布尔（英国）\n\n学习目标\n\n1.通过探究思考，认识到生活离不开美术， 美术在生活中发挥着重要作用。 2.了解美术的主要门类，能够根据各类美术的特点，欣赏美术作品。 怒吼吧，中国（版画） 现代李桦绘画是用线条、形体、色彩等手段， 以及纸、布等物质材料，在平面上创造形象或渲染气氛、情调，表达作者情感或传递信息的一种古老的艺术形式。 请大家谈一谈生活中哪些地方用到了绘画，绘画对于生活有什么作用和意义。 应当知道的美术名词术语： 绘画、雕塑、设艰苦岁月（雕塑）\n\n计、工艺、建筑、书现代潘鹤雕塑是运用多种材料通过雕、刻、塑以及堆、焊、敲击、编织等手段创作的具有实体形象的美术。主要形式有圆雕和浮雕等。 法、篆刻、新媒体艺术你在哪些地方见到过雕塑？这些雕塑主要的用途是什么？ 北京天安门广场人民英雄纪念碑浮雕之一——虎门销烟溪山行旅图（中国画）\n\n宋代范宽碧透秦淮（水彩画）\n\n现代李剑晨\n\n（浮雕）\n\n现代曾竹韶,911,0,unknown,text-extracted,,2.0,义务教育教科书·美术七年级上册,2,985,2025-07-21T14:23:54.418Z,2.0,2025-07-20T03:37:08.239Z,七年级,[object Object],node-poppler,unknown,0.8238213399503722,0.7999999999999999,0.911,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/美术/冀美版-河北美术出版社/七年级/义务教育教科书·美术七年级上册.pdf,义务教育教科书·美术七年级上册.json,美术,18858
义务教育教科书·美术七年级上册_chunk_3,3,现代潘鹤雕塑是运用多种材料通过雕、刻、塑以及堆、焊、敲击、编织等手段创作的具有实体形象的美术。主要形式有圆雕和浮雕等。 法、篆刻、新媒体艺术你在哪些地方见到过雕塑？这些雕塑主要的用途是什么？ 北京天安门广场人民英雄纪念碑浮雕之一——虎门销烟溪山行旅图（中国画）\n\n宋代范宽碧透秦淮（水彩画）\n\n现代李剑晨\n\n（浮雕）\n\n现代曾竹韶\n\n5 设计是运用一定的物质材料和手段，根据一定的功能和审美要求进行设计与创作， 达到传递与交流信息、提高人类生存环境和生活质量的新兴的实用艺术。功能与审美的结合是它的主要特点。 建筑是融科学技术和艺术，实用和审美紧密结合的美术门类。 建筑根据它的使用功能，可分为民居、公共建筑、宫殿建筑、园林、陵墓建筑等。请你说一说自己身边熟悉的建筑分别属于哪一类。 设计与生活息息相关，说说生活中哪些与设计有关。 玩具（设计）\n\n苏州网师园（局部建筑）世界文化遗产电子产品（设计）\n大连海之韵广场（设计）\n\n工艺主要是指用手工的方式设计和制作的主要供陈列和观赏的美术作品。可以分为传统工艺和现代工艺。实用与美观以及工艺的精湛，是它的主要特点。 亲亲小伙伴（摄影）\n\n当代翁荣儿新媒体艺术是运用影像设备与技术、计算机设备与技术以及互联网络表达观点、思想和情感的新兴视觉艺术形式。主要包括摄影、摄像、电脑美术等。 沙燕风筝（工艺）\n\n兰亭集序（局部东晋唐代冯承素摹本）（书法）\n\n书法一般是指我国以毛笔书写汉字的传统艺术。 篆刻是指中国传统的具有艺术价值的印章镌刻。 王羲之你还知道哪些美术形式的作品？ 学习活动建议霁青描金镂空转心游鱼瓶\n\n（工艺）\n\n清代桐荫仕女图（工艺）清代文章有神交有道（篆刻）\n\n近代吴昌硕\n\n1.说一说美术与生活的关系，想象一下，假如生活中没有了美术会是什么样？ 2.了解了美术的主要门类，谈谈今后应当怎样去欣赏各类美术作品。 7 2\n\n用绘画 介绍 自己绘画是一种视觉语言。大家刚进入一个新的学习环境，彼此不熟悉，我们可以用自画像的形式进行相互交流。形式不限，可充分发挥自己的聪明才智。 技法提示学习目标,874,0,unknown,text-extracted,,2.0,义务教育教科书·美术七年级上册,3,957,2025-07-21T14:23:54.418Z,2.0,2025-07-20T03:37:08.239Z,七年级,[object Object],node-poppler,unknown,0.8932038834951457,0.7999999999999999,0.874,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/美术/冀美版-河北美术出版社/七年级/义务教育教科书·美术七年级上册.pdf,义务教育教科书·美术七年级上册.json,美术,18858
义务教育教科书·美术七年级上册_chunk_4,4,文章有神交有道（篆刻）\n\n近代吴昌硕\n\n1.说一说美术与生活的关系，想象一下，假如生活中没有了美术会是什么样？ 2.了解了美术的主要门类，谈谈今后应当怎样去欣赏各类美术作品。 7 2\n\n用绘画 介绍 自己绘画是一种视觉语言。大家刚进入一个新的学习环境，彼此不熟悉，我们可以用自画像的形式进行相互交流。形式不限，可充分发挥自己的聪明才智。 技法提示学习目标在描绘自己前，应先想想自己的 脸型 、 发型 、 五官 和服 饰特 征以\n及习惯、爱好，然后大胆而简练地表现出来。表现方法不拘，可以以线描为主，也可以略施明暗，还可以涂色装饰。 1.能够运用图文结合的形式介绍自己。 2.促进同学间的相互了解，增进友谊。 应当知道的美术名词术语： 自画像自画像（素描）\n\n现代徐悲鸿各种类型的眉、眼、耳、口的画法学 生作 品自画像（漫画）\n\n1926\n\n丰子恺自画像三面自画像\n\n1960\n\n罗克威尔（美国）\n\n许多画家都画过自画像，从绘画的形式、风格上都反映了画家不同的思想和性格。仔细欣赏这些作品，试着从画面上揣摩一下艺术家的不同性格。再从形式上和表现重点上欣赏这些作品，看看对于用绘画介绍自己有没有什么启发。 8\n\n学习活动建议\n1.画一张自画像，并适当配一点相关文字。 2.完成作品后，与同学传看，相互交流、欣赏。 自画像（漫画） 1995 华君武自画像\n\n9 3\n\n图形与联想随手画一个图形，从它的形状、色彩、味道、声音等方面展开自由联想。要求经过几个环节，最终还回到起点。 联想是由一种事物想到另一种事物的心理过程，是现实事物之间的某种联系在人的头脑中的反映。联想可分为接近联想、类似联想、对比联想、因果联想等。联想在科学发明和艺术创作中具有极为重要的作用。 图形的联想是对物与物之间的联系进行有机的、系统的、连贯的形象思维。 进行图形联想训练可以激发人的灵感，提高想象的敏感性，并由此生发出创意。 学习目标\n\n1.掌握图形联想常见的一些方法，提高手绘能力。 2.在图形联想创意的过程中，体会创造的乐趣。 应当知道的美术名词术语： 图形、联想费舍尔出版社宣传招贴冈特·兰堡（德国）,889,0,unknown,text-extracted,,2.0,义务教育教科书·美术七年级上册,4,949,2025-07-21T14:23:54.418Z,2.0,2025-07-20T03:37:08.239Z,七年级,[object Object],node-poppler,unknown,0.8635265700483091,0.7999999999999999,0.889,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/美术/冀美版-河北美术出版社/七年级/义务教育教科书·美术七年级上册.pdf,义务教育教科书·美术七年级上册.json,美术,18858
义务教育教科书·美术七年级上册_chunk_5,5,1.掌握图形联想常见的一些方法，提高手绘能力。 2.在图形联想创意的过程中，体会创造的乐趣。 应当知道的美术名词术语： 图形、联想费舍尔出版社宣传招贴冈特·兰堡（德国）\n\n欣赏冈特·兰堡的招贴，仔细品味其中的设计韵味， 看看设计者是从哪些角度进行创意的。若是你来设计，看还能够有哪些适合出版单位宣传用的奇思妙想。 按一个指印，或者画个图形，以此为基础， 添加其他图形元素，使之产生多种意义。比一比， 看谁的创意多、创意巧。 学习活动建议关爱（对比联想）\n\n钳子（形的相似联想）\n\n10\n\n不拘泥于常理，不满足于现实解决问题的方式，释放心灵，进行奇思妙想。看看他们是利用什么方式过山崖的。请你也画几幅，看谁想得更好。 1.欣赏课本中图例的创意。 2.按课本提示，开展联想绘画活动。 3.全班分组开展联想绘画接力赛。 4.师生共同评选优秀的作品，欣赏其中的创意。 11 4\n\n用线条表现小\n\n自然和生活中有很多物象呈现着各种各样的线条，艺术家从中获得灵感，运用形态各异、丰富多变的线条描绘大千世界。 线是 最基 本的 视觉 传达 和交 流的 手段 之一， 是美术的语言要素之一。 在各种美术形式中运用广泛，中国历代画家更是将线作为自己的基本造型手段，并由此形成了中国传统绘画独特的造型特征。 线在绘画中的功能首先是限定形状，线作为物体的边缘和转折在绘画中运用，是最简洁和有效的造型手段。同时，线还可以通过粗细、曲直 、 刚柔 、\n浓淡、疏密、断续、闭合等变化，表达情感。 战笔水纹描蚯蚓描琴弦描资\n\n料以线造型是中国传统绘画的基本特征。在长期的绘画实践中，中国画家逐渐摸索并整理出一些用线的规律，其中著名的有十八种，俗称“十八描”。这些描法包括：1.高古游丝描；2.琴弦描；3.铁线描；4.混描；5.曹衣描；6.钉头鼠尾描； 7.橛头描；8.马蝗描；9.折芦描；10.橄榄描；11.枣核描；12.柳叶描；13.竹叶描；14.战笔水纹描；15.减笔描；16.枯柴描；17.蚯蚓描；18.行云流水描。 学习目标中外艺术家在绘画中都会使用到线条，试着说说他们用线的特点。,880,0,unknown,text-extracted,,2.0,义务教育教科书·美术七年级上册,5,934,2025-07-21T14:23:54.418Z,2.0,2025-07-20T03:37:08.239Z,七年级,[object Object],node-poppler,unknown,0.8187274909963985,0.7999999999999999,0.88,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/美术/冀美版-河北美术出版社/七年级/义务教育教科书·美术七年级上册.pdf,义务教育教科书·美术七年级上册.json,美术,18858
义务教育教科书·美术七年级上册_chunk_6,6,学习目标中外艺术家在绘画中都会使用到线条，试着说说他们用线的特点。 1.能够感受和体会线条的不同形态和组合会创造出不同的表现效果。 2.能够认识到线条在美术作品中的主要作用和意义。 3.能够体会到美术作品中的线条特征与所表现事物的特征、营造的氛围、画家的情感以及作品的风格有关。 枯柴描竹叶描钉头鼠尾描应当知道的美术名词术语： 线条、十八描、视觉传达、造型手段生活和自然中的各种物象都可以提炼出线条。 左图花卉为摄影作品，右图是线描作品。线描作品源于生活，但是又经过了艺术家的提炼和艺术加工。 永乐宫壁画（局部山西） （中国画）\n\n12\n\n元代春（局部木板蛋彩画）\n波提切利（意大利）\n\n约1478\n\n13 学画\n\n速\n\n写速 写是 指迅速 描绘 对象 的临 场习 作， 要求 在较 短时 间内， 使用 简单\n的绘画工具（炭笔、铅笔、钢笔等），以简练的线条（有时也有色彩）扼要地画出对象的形体特征、动势和神态。速写一般是记录形象，为创作收 集素 材， 同时 也能 够提 高我 们观 察的 敏锐 性，增强迅速 、 准确 、 生动\n和高度概括的造型能力。根据描绘对象的不同，一般可分为动物速写、景物速写、人物速写等。 学习目标\n\n1.能够明白速写的基本概念和要求。 2.能够运用铅笔或者其他工具进行速写练习。在练习中，能够关注对象的基本特征、比例、动态等。 应当知道的美术名词术语： 速写、造型能力巴基斯坦舞姿（中国画）\n\n现代叶浅予维摩诘像（局部中国画）\n\n北宋李公麟不同形态的线条可以表达不同的情感。 学生 作品\n\n狮子（速写）\n\n现代吴作人苹果和果篮学习活动建议小学生（速写）\n\n尝试用不同的线条表现一个物体，看看哪组线条能把你对这个物体的感受表现得最充分。 火龙果\n\n14\n\n1963\n\n黄胄看看这些速写作品和平时看到的绘画有什么不同，说说作者在描绘时更关注对象的哪些方面。 泰晤士河上的船（速写）\n\n1902\n\n莫奈（法国）\n\n15 中国的毛笔和书法,828,0,unknown,text-extracted,,2.0,义务教育教科书·美术七年级上册,6,925,2025-07-21T14:23:54.418Z,2.0,2025-07-20T03:37:08.239Z,七年级,[object Object],node-poppler,unknown,0.8655913978494624,0.7999999999999999,0.828,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/美术/冀美版-河北美术出版社/七年级/义务教育教科书·美术七年级上册.pdf,义务教育教科书·美术七年级上册.json,美术,18858
义务教育教科书·美术七年级上册_chunk_7,7,狮子（速写）\n\n现代吴作人苹果和果篮学习活动建议小学生（速写）\n\n尝试用不同的线条表现一个物体，看看哪组线条能把你对这个物体的感受表现得最充分。 火龙果\n\n14\n\n1963\n\n黄胄看看这些速写作品和平时看到的绘画有什么不同，说说作者在描绘时更关注对象的哪些方面。 泰晤士河上的船（速写）\n\n1902\n\n莫奈（法国）\n\n15 中国的毛笔和书法\n\n毛笔是中国人书写和作画的传统工具，两千多年来，我们的祖先用它创作出无数杰出的书法和绘画作品。 毛笔的构成分为笔头、笔杆两部分。笔头由笔锋、笔腰和笔根三部分构成。笔毫一般分硬毫、软毫和兼毫，如狼毫为硬毫，羊毫为软毫。使用软硬不同的笔毫和不同的运笔方法，会产生变化丰富的笔墨效果。 汉字书写讲究笔画、结体、章法以及笔墨趣味。历代书法家不懈的艺术探索，积累了丰富的经验，使中国书法艺术成为了书法艺苑中一朵绚丽的奇葩。 学习目标\n\n1.了解和辨识主要书体。 2.通过临摹体会毛笔的独特属性，在习字中体验用笔方法。 应当知道的美术名词术语： 书法、书体、章法\n《恶虎村》中的黄天霸（盖叫天饰）（速写）\n\n《贵妃醉酒》中的杨玉环（梅兰芳饰）（速写）\n\n现代现代叶浅予叶浅予祭祀狩猎涂朱牛骨刻辞叶浅予先生说： “画速写要目识、心记、\n意测。”你是怎样理解这句话的？自己试着用这种方法去画画，看看是否有帮助。 学生 作品\n\n初学书法，最好使用兼毫或者软毫，以免产生对笔的依赖。 （甲骨文） 商朝此作品字体瘦硬严整、风格豪放，字形生动、各尽其态，富有变化、自然潇洒，是甲骨文书法中的杰作。 了解笔的结构，说说什么是兼毫，什么是软毫。 书体独轮车学习活动建议\n1.临摹课本上的速写作品，体会速写的特点以及作者表现对象时的关注点，如结构、表情、动态、\n气氛等。 2.用速写的方式描绘物体、场景或者人物，注意对象的特征，并体会自己画速写时的关注点。 我的老师\n\n16\n\n秦峄山碑（局部石刻）\n秦代李斯书体为小篆，李斯的小篆被称为“玉箸篆”，在书法史上占有很重要的地位。 乙瑛碑（局部石刻）东汉书体为隶书，此碑历来被公���为“汉隶之最可师法者”。用笔起止法则明确清晰，规范工整，结体严谨方正，是初学汉隶的最佳入手碑帖。 17 笔,924,0,unknown,text-extracted,,2.0,义务教育教科书·美术七年级上册,7,993,2025-07-21T14:23:54.418Z,2.0,2025-07-20T03:37:08.239Z,七年级,[object Object],node-poppler,unknown,0.8536866359447005,0.7999999999999999,0.924,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/美术/冀美版-河北美术出版社/七年级/义务教育教科书·美术七年级上册.pdf,义务教育教科书·美术七年级上册.json,美术,18858
义务教育教科书·美术七年级上册_chunk_8,8,16\n\n秦峄山碑（局部石刻）\n秦代李斯书体为小篆，李斯的小篆被称为“玉箸篆”，在书法史上占有很重要的地位。 乙瑛碑（局部石刻）东汉书体为隶书，此碑历来被公���为“汉隶之最可师法者”。用笔起止法则明确清晰，规范工整，结体严谨方正，是初学汉隶的最佳入手碑帖。 17 笔伯远帖（局部书法）\n东晋王珣书体为行书，为乾隆的“三希”之一。此帖神采飞扬，晋人行书技巧表现得淋漓尽致。 自叙帖（局部书法） 唐代怀素书体为狂草，用笔圆转自如，字形变化丰富。临摹时要注意领会草书上下引带、连绵不断的艺术特色。 （局部书法）\n唐代欧阳询书体为楷体，碑刻书法结体端庄，用笔遒劲有力，历来是学习楷书的范本。临摹时要注意体会楷书基本笔画的写法。 你还了解哪些书法作品，是什么书体？给大家讲讲它的书写特点。 基本笔法起笔藤\n\n趣中国传统的花鸟画在长期的发展中，形成了以寓意、象征为主要特征的创作传统，成为中国人缘物寄情、抒发胸臆的艺术载体。它一方面重视写形之\n“真”，另一方面更关注对美和善的观念表达，强调“夺造化而移精神遐想”\n的怡情作用。 写意花鸟画多以墨色为主，它可先墨后色，也可先色后墨，还可墨色调配使用，一切根据内容和作者的需要而定。 藤本植物是我们生活中常见的植物，是国画家喜欢表现的题材之一，如葡萄、葫芦、紫藤等。它们的形态虽有差异，但是我们只要学会了一种藤本植物的表现方法，就可以举一反三，去表现其他藤本植物。从这类花鸟画的优秀作品中，不仅可以欣赏和学习中国画写意花鸟画独特的笔墨意韵，而且可以体会到藤本植物特有的情趣。 学习目标九成宫醴泉铭墨\n\n笔画中浅灰色为提笔，深色为按笔。 1.学习中国画中用中锋和侧锋表现藤本植物的技巧，并能够用临摹的方式完成一幅藤本植物的国画作品。 2.了解中国画笔墨、宣纸等工具材料的特性，体会中国画笔墨造型特色。 3.认识中国画的艺术特色，加强对中国传统绘画的了解。 应当知道的美术名词术语： 花鸟画、寓意、象征,816,0,unknown,text-extracted,,2.0,义务教育教科书·美术七年级上册,8,883,2025-07-21T14:23:54.418Z,2.0,2025-07-20T03:37:08.239Z,七年级,[object Object],node-poppler,unknown,0.8783269961977186,0.7999999999999999,0.816,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/美术/冀美版-河北美术出版社/七年级/义务教育教科书·美术七年级上册.pdf,义务教育教科书·美术七年级上册.json,美术,18858
义务教育教科书·美术七年级上册_chunk_9,9,"学习目标九成宫醴泉铭墨\n\n笔画中浅灰色为提笔，深色为按笔。 1.学习中国画中用中锋和侧锋表现藤本植物的技巧，并能够用临摹的方式完成一幅藤本植物的国画作品。 2.了解中国画笔墨、宣纸等工具材料的特性，体会中国画笔墨造型特色。 3.认识中国画的艺术特色，加强对中国传统绘画的了解。 应当知道的美术名词术语： 花鸟画、寓意、象征行笔收笔笔锋着纸后，准备运笔时为“起笔”，也叫“落笔”；笔锋落纸后，在纸上行走叫“行笔 ”；笔锋在笔画中运到末端作收时为“收笔”。一般来说，应当逆锋起笔，中锋行笔，回锋收笔。 提笔是将笔轻轻提起，边提笔边运行，笔画轻细； 按笔是指将笔毫按下顿停，按笔的效果是笔画较粗重。 柳公权字帖葫芦学习活动建议\n1.了解毛笔的特点，体会毛笔的用法。 2.欣赏经典的书法作品，感受中国书法的形式美感，并与同学交流。 3.临摹一幅自己喜爱的书法作品。 学生 作品\n葡萄\n\n18\n\n紫藤墨葡萄图（中国画）\n\n明代徐渭\n\n19 葡萄是最常见的藤本植物，我们先来学习葡萄的画法。 小资\n\n画葡萄步骤\n1.画叶。侧锋画叶， 叶片要有前有后，墨色要有浓有淡。 2.趁叶片墨色未干， 用浓墨画叶脉、叶筋。 3.画枝 条。 以中 锋为主。 4.画果实。果实要有大小、疏密、虚实、浓淡。 料花鸟画：是以动植物为主要描绘对象的中国画传统画科。可细分为花卉、翎毛、蔬果、\n草虫、走兽等支科。以描写手法的精工或奔放，分为工笔花鸟画和写意花鸟画 （又可分为大写意花鸟画和小写意花鸟画）；以使用水墨色彩上的差异,分为水墨花鸟画、泼墨花鸟画、设色花鸟画、白描花鸟画与没骨花鸟画。 其他藤本植物学会了葡萄的画法，我们可以举一反三，表现其他藤本植物。 硕果丰盈（中国画）\n\n1989\n\n苏葆桢技法提示侧锋用笔画出的块面侧锋用笔画出的线条谭建丞学习活动建议\n1.欣赏课本中藤本植物国画作品。 2.根据课本提供的方法，尝试进行藤本植物国画练习。 中锋用笔画出的线条\n\n20\n\n葫芦图（中国画）\n葡萄图（中国画）\n\n约1927\n\n近代吴昌硕齐白石\n\n21 8\n\n绘画中的空间左图是四只棋子及其相对位置的一种呈现方式，你能用多少种方法表现它们的关系？",908,0,unknown,text-extracted,,2.0,义务教育教科书·美术七年级上册,9,988,2025-07-21T14:23:54.418Z,2.0,2025-07-20T03:37:08.239Z,七年级,[object Object],node-poppler,unknown,0.8459715639810427,0.7999999999999999,0.908,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/美术/冀美版-河北美术出版社/七年级/义务教育教科书·美术七年级上册.pdf,义务教育教科书·美术七年级上册.json,美术,18858
