Chunk_ID,Chunk_Index,Content,Content_Length,Quality_Score,Reliability,Source_Type,Original_Content,Enhancement_Version,book_name,chunkIndex,chunkSize,enhancementTimestamp,enhancementVersion,extractedAt,grade,loc_lines,method,publisher,qualityMetrics_chineseCharRatio,qualityMetrics_coherenceScore,qualityMetrics_lengthScore,qualityMetrics_ocrConfidence,semester,source,source_file,subject,textLength
义务教育教科书·英语七年级下册_chunk_0,0,义务教育教科书英 语 （衔接三年级起点） 七年级下册\n\nEnglish\n义务教育教科书英语\n\n( 衔接三年级起点 )\n\n七年级下册\n\n!\n\n\n\n\n’\nIt\n!\n\n\n\n\nIt’s：9.35元全国价格举报电话：12315 English\n义务教育 教科 书英语\n\n( 衔接三年级起点 )\n\n七年级下册\n[中国] 河北 教育 出版 社\n\n[ 加拿大 ] DC 加拿大国际交流中心合作编写致 同学\n亲爱的同学们，新学期开始了，欢迎大家继续使用这套英语教材！ 本册教材供七年级下学期使用。 在《英语》七年级上册，我们探讨了有关衣服、颜色、食物、家庭成员等的一些话题。我们学会了如何用英语表达简单的情感、到饭店就餐、\n礼貌问路、谈论季节和气候，并简单了解了一些说英语国家的基本概况。 除了歌谣，我们还做过很多的活动和游戏。那么七年级下册又会有哪些有趣的故事发生呢？ 翻开手中的新书，你们会发现内容更丰富了。詹妮、丹尼、李明和他们的同学一起沿古丝绸之路且游且学，了解了很多中国的历史和文化。除了这些，我们还涉猎校内、校外的生活，加拿大的学校、课程和我们有哪些异同呢？加拿大的初中生爱玩哪些体育项目呢？他们的业余时间都有哪些活动呢？相信你们一定想知道吧！还有一些如何学习英语的小故事和你们一起分享，这将是对英语学习方法的一个很有趣的探索哦，希望会对你们有所启发和帮助。 又是一年草长莺飞时，在这个新的学期里，祝愿同学们学习进步，一起与詹妮、丹尼和李明学习、游戏与思考吧！ Contents\nUnits\n\nFunctions\n\nAsking for Permission\nUnit 1 (P1~16)\nShowing Intention\nA Trip to the Silk Road\nTalking about Distance\nUnit 2 (P17~32)\nIt’s Show Time!\nUnit 3 (P33~48)\nSchool Life\n\nUnit 4 (P49~64)\nAfter-School Activities\n\nPraise and Encouragement,883,0,unknown,text-extracted,,2.0,义务教育教科书·英语七年级下册,0,928,2025-07-21T14:24:01.597Z,2.0,2025-07-20T03:42:09.009Z,七年级,[object Object],node-poppler,unknown,0.6165605095541401,0.7999999999999999,0.883,0.9,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/英语/冀教版-河北教育出版社/七年级/义务教育教科书·英语七年级下册.pdf,义务教育教科书·英语七年级下册.json,英语,191313
义务教育教科书·英语七年级下册_chunk_1,1,"Unit 4 (P49~64)\nAfter-School Activities\n\nPraise and Encouragement\n\nGrammar\nNumerals\nUsing “will”\nRegular and Irregular Verbs\nSimple Past Tense\n\nTalking about School\n\nAdverbs: always, often,\nusually, sometimes, never\n\nExpressing Care and Concern\nTalking about Weekend\nActivities\n\nUsing “be going to”\n\nTalking about Personal Interests\n\nUnit 5 (P65~80)\nI Love Learning\nEnglish!\n\nMaking Phone Calls\n\nReflexive Pronouns:\nmyself, yourself\n\nTalking about Possibilities\n\nModal Verb: can\n\nUnit 6 (P81~96)\nSeasons\n\nTalking about Seasons and\nActivities\n\nExclamatory Sentences\n\nTalking about Habits\n\nUsing “there be”\n\nUnit 7 (P97~112)\nSports and Good\nHealth\nUnit 8 (P113~128)\nSummer Holiday Is\nComing!\n\nTalking about Exercise and\nGood Health\nTalking about Plans\n\nPronunciation (P129~130)\nVocabulary (I) (P131~135)\nVocabulary (II) (P136~140)\nStructures and Expressions (P141~145)\nGrammar (P146~151)\n\nUsing “will” and “be going\nto” UNIT Lessons 1 ~ 6\n\nA Trip to the Silk Road\n\nWe Will Learn\nFunctions",986,0,unknown,text-extracted,,2.0,义务教育教科书·英语七年级下册,1,991,2025-07-21T14:24:01.597Z,2.0,2025-07-20T03:42:09.009Z,七年级,[object Object],node-poppler,unknown,,0.5,0.986,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/英语/冀教版-河北教育出版社/七年级/义务教育教科书·英语七年级下册.pdf,义务教育教科书·英语七年级下册.json,英语,191313
义务教育教科书·英语七年级下册_chunk_2,2,Using “will” and “be going\nto” UNIT Lessons 1 ~ 6\n\nA Trip to the Silk Road\n\nWe Will Learn\nFunctions\n\nAsking for Permission\nShowing Intention\nTalking about Distance\n\nGrammar\n\nNumerals\nUsing “will”\n\nStructures\n\nThe Silk Road is about 6 500 kilometres long!\nMay I take photos here?\nI will come back someday.\n\n­1,308,0,unknown,text-extracted,,2.0,义务教育教科书·英语七年级下册,2,313,2025-07-21T14:24:01.597Z,2.0,2025-07-20T03:42:09.009Z,七年级,[object Object],node-poppler,unknown,,0.5,0.308,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/英语/冀教版-河北教育出版社/七年级/义务教育教科书·英语七年级下册.pdf,义务教育教科书·英语七年级下册.json,英语,191313
义务教育教科书·英语七年级下册_chunk_3,3,"Grammar\n\nNumerals\nUsing “will”\n\nStructures\n\nThe Silk Road is about 6 500 kilometres long!\nMay I take photos here?\nI will come back someday.\n\n­1 Lesson 1: A Trip to China\nJenny: Hi, Mum! Hi, Dad! Guess what!\nWe’re learning about the Silk Road\nthis month in school.\nMr. Smith: The Silk Road? That’s in\nChina!\nJenny: Yes, it is! Mum and Dad, may I\nask you a question?\nMrs. Smith: Sure, Jenny! What is it?\nJenny: My school is planning a trip\naround China with Li Ming’s school.\nSome students from my class will go\nto China and travel on the Silk Road.\nMay I go with them?\nMr. Smith: Who will lead the trip?\nJenny: Ms. Martin! Here is the note from my school.\n(Jenny’s father and mother read the note.)\nMrs. Smith: Yes, you may go. This is a good chance for you. You will learn about\nChina.\nJenny: Really? Great! Thanks, Mum and Dad! I’m so excited! I will send Li\nMing an e-mail and tell him the good news.",902,0,unknown,text-extracted,,2.0,义务教育教科书·英语七年级下册,3,904,2025-07-21T14:24:01.597Z,2.0,2025-07-20T03:42:09.009Z,七年级,[object Object],node-poppler,unknown,,0.5,0.902,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/英语/冀教版-河北教育出版社/七年级/义务教育教科书·英语七年级下册.pdf,义务教育教科书·英语七年级下册.json,英语,191313
义务教育教科书·英语七年级下册_chunk_4,4,Learning Tip\nIs the Silk Road made of silk? Of course not. The Silk Road gets its name\nfrom the Chinese silk trade along it during the Han Dynasty.\n\n­2 Let’s Do It!\n1 Listen and write true (T) or false (F).\n1. Jenny is learning about the Silk Road this month in school. (\n2. Li Ming’s school is planning a trip to Canada. (\n3. Ms. Martin will go to China with the students. (\n\n)\n)\n)\n\n2 Read the dialogue in the lesson and answer the questions.\n1. What is Jenny’s school planning?\n2. Who will lead the trip?\n3. What does Mrs. Smith think about the trip?\n4. Why will Jenny send Li Ming an e-mail?\n3 Fill in the blanks with the words in the box.\nlead\n\ntrip\n\nchance\n\nnews\n\ntravel\n\nnote,681,0,unknown,text-extracted,,2.0,义务教育教科书·英语七年级下册,4,688,2025-07-21T14:24:01.597Z,2.0,2025-07-20T03:42:09.009Z,七年级,[object Object],node-poppler,unknown,,0.5,0.681,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/英语/冀教版-河北教育出版社/七年级/义务教育教科书·英语七年级下册.pdf,义务教育教科书·英语七年级下册.json,英语,191313
义务教育教科书·英语七年级下册_chunk_5,5,"trip\n\nchance\n\nnews\n\ntravel\n\nnote\n\n1. I plan to go on a ________ to Beijing this summer.\n2. I have some good ________ for you.\n3. Many people ________ to Hainan for their winter holiday.\n4. Follow me! I will ________ you there.\n5. I want to go to Beijing. Then I will have a ________ to see the Great Wall.\n6. Leave a ________ for your parents so they won’t worry about you.\n4 Work in groups. Read the note from Jenny’s school and take turns\nasking for permission to go on the trip.\nDear parents,\nWe are planning a trip to China during the March break.\nWe will join our sister school in China on a trip to the Silk Road. All\nstudents in Grade 7 are invited. Ms. Martin will travel with the students.\nHer class is doing a China Study this term. The group will leave on March\n5 and come back on March 15. For more information, please come to the\nmeeting on Wednesday at 7 p.m.\nYours truly,\nMr. Brian Franklin\nTask tips: What do you want to do? Where/When do you want to go? Who will\nyou go with?\n­3",995,0,unknown,text-extracted,,2.0,义务教育教科书·英语七年级下册,5,995,2025-07-21T14:24:01.597Z,2.0,2025-07-20T03:42:09.009Z,七年级,[object Object],node-poppler,unknown,,0.5,0.995,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/英语/冀教版-河北教育出版社/七年级/义务教育教科书·英语七年级下册.pdf,义务教育教科书·英语七年级下册.json,英语,191313
义务教育教科书·英语七年级下册_chunk_6,6,"Lesson 2: Meet You in Bei ing\nTo: jenny@compmail.ca\nFrom: liming@net.cn\nDate: 01/03 9:08 p.m.\nSubject: Plan for the trip\n\nHi Jenny,\nHow exciting! You and Danny will come to China and see the Silk Road\nwith us! We will travel along the Silk Road together. Wang Mei and I\nwill meet you in Beijing. Our first stop will be Xi’an. How far is it from\nBeijing to Xi’an? It’s about 1 114 kilometres.\nThis trip will be very special. The Silk Road is about 6 500 kilometres\nlong! But we don’t have enough time to see it all. We can only see part of\nit. We’ll learn about the history and culture of China along the way.\nI will send you the school’s plan for our trip.\nYour friend,\nLi Ming\n\nPlan for the Trip\nArrive in Beijing and take a train to Xi’an\nDays 1~2\nDays 3~4\n\nVisit Xi’an and the Terra Cotta Warriors\n\nDays 5~6\n\nSee Lanzhou and the Yellow River\n\nDays 7~8\n\nVisit Dunhuang\n\nDays 9~10\n\nCome back to Beijing and leave Beijing",921,0,unknown,text-extracted,,2.0,义务教育教科书·英语七年级下册,6,921,2025-07-21T14:24:01.597Z,2.0,2025-07-20T03:42:09.009Z,七年级,[object Object],node-poppler,unknown,,0.5,0.921,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/英语/冀教版-河北教育出版社/七年级/义务教育教科书·英语七年级下册.pdf,义务教育教科书·英语七年级下册.json,英语,191313
义务教育教科书·英语七年级下册_chunk_7,7,Visit Xi’an and the Terra Cotta Warriors\n\nDays 5~6\n\nSee Lanzhou and the Yellow River\n\nDays 7~8\n\nVisit Dunhuang\n\nDays 9~10\n\nCome back to Beijing and leave Beijing\n\nDig In\nCan you say these numbers?\n1 114 → one thousand one hundred (and)\nfourteen\n6 500 → six thousand (and) five hundred\n­4,287,0,unknown,text-extracted,,2.0,义务教育教科书·英语七年级下册,7,287,2025-07-21T14:24:01.597Z,2.0,2025-07-20T03:42:09.009Z,七年级,[object Object],node-poppler,unknown,,0.5,0.287,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/英语/冀教版-河北教育出版社/七年级/义务教育教科书·英语七年级下册.pdf,义务教育教科书·英语七年级下册.json,英语,191313
义务教育教科书·英语七年级下册_chunk_8,8,Let’s Do It!\n1 Listen and tick the correct answers.\n1. How long is the Silk Road?\n6 500 kilometres. 1 114 kilometres.\n2. Do they have enough time to see everything along the Silk Road?\nYes. No.\n3. What will they learn about on this trip?\nThe history and culture of China.\nThe history and culture of Canada.\n4. What does Li Ming send to Jenny?\nA trip plan. A study plan.\n5. How many days will they stay in China?\nAbout ten days. About a month.\n2 Read the lesson and fill in the blanks.\nJenny and Danny will go to China. They will travel ________ the Silk Road\nwith Li Ming and Wang Mei. The Silk Road is about 6 500 ________ long.\nIt will be a very ________ trip for them. They’ll learn about the history and\n________ of China.\n3 Fill in the blanks using “will” and the given verbs.\n1. A: When ________ the train ________ (leave)?\nB: In ten minutes.\n2. We ________ (arrive) in China next week.\n3. George ________ (visit) his grandparents next Saturday.,951,0,unknown,text-extracted,,2.0,义务教育教科书·英语七年级下册,8,966,2025-07-21T14:24:01.597Z,2.0,2025-07-20T03:42:09.009Z,七年级,[object Object],node-poppler,unknown,,0.5,0.951,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/英语/冀教版-河北教育出版社/七年级/义务教育教科书·英语七年级下册.pdf,义务教育教科书·英语七年级下册.json,英语,191313
义务教育教科书·英语七年级下册_chunk_9,9,1. A: When ________ the train ________ (leave)?\nB: In ten minutes.\n2. We ________ (arrive) in China next week.\n3. George ________ (visit) his grandparents next Saturday.\n4. My bike is broken. I ________ (take) a bus to school this afternoon.\n5. I ________ (give) my mother a special gift for Mother’s Day tomorrow.\n6. ________ you ________ (come) with me to Beijing tomorrow?\n4 Work in pairs. Look at the map and take turns asking and\nanswering: How far is it from ____ to ____?\nExample:\nA: How far is it from\nBeijing to Xi’an?\nB: It’s about 1 114\nkilometres.,559,0,unknown,text-extracted,,2.0,义务教育教科书·英语七年级下册,9,559,2025-07-21T14:24:01.597Z,2.0,2025-07-20T03:42:09.009Z,七年级,[object Object],node-poppler,unknown,,0.5,0.559,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/英语/冀教版-河北教育出版社/七年级/义务教育教科书·英语七年级下册.pdf,义务教育教科书·英语七年级下册.json,英语,191313
