Chunk_ID,Chunk_Index,Content,Content_Length,Quality_Score,Reliability,Source_Type,Original_Content,Enhancement_Version,book_name,chunkIndex,chunkSize,enhancementTimestamp,enhancementVersion,extractedAt,grade,loc_lines,method,publisher,qualityMetrics_chineseCharRatio,qualityMetrics_coherenceScore,qualityMetrics_lengthScore,qualityMetrics_ocrConfidence,semester,source,source_file,subject,textLength
义务教育教科书·英语八年级下册_chunk_0,0,义务 教育 教科 书英\n语八\n年级\n下册\n\n义八 年级\n\n务教\n\n育下 册教\n\n科书 义八年级主\n\n编：陈琳\n\n副主 编：鲁子问务\n\n教育\n\n下册\nSimon Greenall（英）\n张连仲教\n\n科书 出版 人：徐建忠项目统筹：王芳\n\nCharlotte Liu（加）\n\n项目策划：徐秀芝申\n\n项目负责：申陈海燕蔷\n\n蔷邢印姝\n\nMary-Jane Newton（德）\n责任编辑：刘星\n\n王蕾\n\n绘制设计：石蕾\n\n张春玲王\n\n润英语 (新标准)\n八年级下册学生用书主编： 陈琳\n\nSimon Greenall (英)\n\n基础教育出版分社： 地址：北京市西三环北路19号外研社大厦基础教育出版分社 (100089)\n\n咨询电话：010-88819666 (编辑部)／88819688 (市场部)\n传真：010-88819422 (编辑部)／88819423 (市场部)\n\n电子信箱：beed@fltrp.com\n购书电话：010-88819928/9929/9930 (邮购部)\n购书传真：010-88819428 (邮购部) 前言,465,0,unknown,text-extracted,,2.0,义务教育教科书·英语八年级下册,0,538,2025-07-21T14:24:16.469Z,2.0,2025-07-20T03:47:10.715Z,八年级,[object Object],node-poppler,unknown,0.5051813471502591,0.6,0.465,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/英语/外研社版-外语教学与研究出版社/八年级/义务教育教科书·英语八年级下册.pdf,义务教育教科书·英语八年级下册.json,英语,184151
义务教育教科书·英语八年级下册_chunk_1,1,咨询电话：010-88819666 (编辑部)／88819688 (市场部)\n传真：010-88819422 (编辑部)／88819423 (市场部)\n\n电子信箱：beed@fltrp.com\n购书电话：010-88819928/9929/9930 (邮购部)\n购书传真：010-88819428 (邮购部) 前言\n\n各位同学，你们好！欢迎大家学习本套英语教材！ 2000年，外语教学与研究出版社与麦克米伦出版（中国）有限公司依据国家《义务教育英语课程标准（实验稿）》共同组织开发了本套教材；作为我国第一套中小学“一条龙”英语教材，本套教材已出版使用十余年。2011\n年，基于新颁布的国家《义务教育英语课程标准（2011年版）》，我们对教材进行了认真修订。 在修订后的初中教材中，我们为同学们保留了大家熟悉并喜爱的四个小伙伴- 中国学生大明和玲玲、英国学生Tony和美国学生Betty，还增加了其他一些人物。他们会带领大家在一系列有趣的对话、故事、活动和诗歌中学习英语。 在修订过程中，我们依照《义务教育英语课程标准（2011年版）》对初中阶段英语学习者提出的要求，从同学们英语学习的实际出发，补充设计了丰富而科学的学习内容和活动。教材遵循初中生认知发展的规律，由日常生活中涉及的语言开始，逐渐扩及安全与救护、通信、自然等话题。 修订后的教材仍以模块为基本构成单位。本册教材包括10个学习模块\n（Module）和两个复习模块（Revision module）。每个学习模块的第一、二单元主要为大家呈现新的语言内容，第三单元为练习与活动，用以巩固第一、二单元所学的内容。 本套教材同时还配有对应的网络教材，可供同学们在线学习使用。 通过对本套教材的学习，希望同学们能够： 1）形成对英语学习的积极态度和强烈兴趣； 2）掌握基本的英语知识和听、说、读、写技能，提升英语语言的运用能力； 3）形成有效的英语学习策略； 4）增强对世界文化的了解，培养自己的跨文化交流意识。 希望同学们快乐学习，积极参与，大胆听说，认真读写，努力实践。相信你们会在参与活动、完成任务的过程中体会到学习英语的乐趣，实现英语的灵活运用和自由交际。 Scope and sequence\nModule\n\nTheme,941,0,unknown,text-extracted,,2.0,义务教育教科书·英语八年级下册,1,965,2025-07-21T14:24:16.469Z,2.0,2025-07-20T03:47:10.715Z,八年级,[object Object],node-poppler,unknown,0.7086092715231788,0.7999999999999999,0.941,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/英语/外研社版-外语教学与研究出版社/八年级/义务教育教科书·英语八年级下册.pdf,义务教育教科书·英语八年级下册.json,英语,184151
义务教育教科书·英语八年级下册_chunk_2,2,"Scope and sequence\nModule\n\nTheme\n\n1 Feelings and Feelings and\nimpressions\n\nmoods\n\nSense verbs: feel, look,\nsound, smell, taste;\nadjectives\n\nPersonal\nexperiences\n\nAsking and\nanswering\nquestions about\nexperiences\n\nPresent perfect\n\nThe universe\n\nTalking about\nrecent events\n\nPresent perfect with already,\njust and yet\n\nHygiene and\nhealth\n\nTalking about\nhealthy living\n\nPresent perfect with for and\nsince\n\nRecreation:\ncartoons\n\nTalking about\ncartoons\n\nComprehensive use of present\nperfect, present simple and\npast simple\n\nP10\n\n3 Journey to\nspace\n\nP18\n\n4 Seeing the\ndoctor\n\nStructure\n\nDescribing\nfeelings and\nimpressions\n\nP2\n\n2 Experiences\n\nFunction\n\nP26\n\n5 Cartoons\nP34\n\nRevision module A\n\nP42 Skills (Listening/Speaking/Reading/\nWriting)\n\nAround the\nworld\n\nTask\n\nListening for specific information; matching descriptions\nwith pictures\nTalking about likes and dislikes\nReading and understanding the behaviour of characters;\nfinding specific information\nWriting a description of yourself",982,0,unknown,text-extracted,,2.0,义务教育教科书·英语八年级下册,2,984,2025-07-21T14:24:16.469Z,2.0,2025-07-20T03:47:10.715Z,八年级,[object Object],node-poppler,unknown,,0.5,0.982,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/英语/外研社版-外语教学与研究出版社/八年级/义务教育教科书·英语八年级下册.pdf,义务教育教科书·英语八年级下册.json,英语,184151
义务教育教科书·英语八年级下册_chunk_3,3,Polite\nexpressions\n\nWriting a\ndescription of a\nclassmate\n\nListening for specific information\nDescribing personal or others’ experiences in simple\nlanguage\nReading and finding specific information\nWriting a passage about your experiences using prompts\n\nOn the top of\nthe world\n\nWriting a\nquestionnaire\nabout\nexperiences\n\nListening for specific information\nTalking about space travel; participating in a role-play\nReading and finding out information from simple texts and\nchoosing the best title\nWriting a passage to describe the picture\n\nNames of the\ndays of the\nweek\n\nMaking a poster\nabout space\ntravel\n\nListening for specific information; understanding familiar\ntopics (seeing the doctor)\nConducting conversations on given topics\nReading and understanding the sequence of events and\nbehaviour of characters in simple readings\nWriting explanations for the pictures and drafting a passage\nabout healthy living\n\nThe World\nHealth\nOrganization\n\nDoing a survey\nto find the most\nsuitable exercise,990,0,unknown,text-extracted,,2.0,义务教育教科书·英语八年级下册,3,990,2025-07-21T14:24:16.469Z,2.0,2025-07-20T03:47:10.715Z,八年级,[object Object],node-poppler,unknown,,0.5,0.99,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/英语/外研社版-外语教学与研究出版社/八年级/义务教育教科书·英语八年级下册.pdf,义务教育教科书·英语八年级下册.json,英语,184151
义务教育教科书·英语八年级下册_chunk_4,4,"The World\nHealth\nOrganization\n\nDoing a survey\nto find the most\nsuitable exercise\n\nListening for specific information; understanding familiar\ntopics (cartoons); guessing the meanings of new words from\nthe contexts\nExchanging ideas on familiar topics (cartoons)\nReading and finding out information from simple texts and\nunderstanding the main idea\nWriting a passage about a cartoon, using prompts\n\nClassic\nAmerican\ncartoons:\nBatman and\nSpider-Man\n\nMaking a cartoon Module\n\nTheme\n\n6 Hobbies\n\nFunction\n\nStructure\n\nHobbies\n\nTalking about\nyour hobbies\n\nLanguage\nlearning\n\nTalking about\nsentences with and,\nfuture plans and Composite\nbut and or\nactivities\n\nTourism and\nnature\n\nTalking about\ntravelling\n\nInterpersonal\ncommunication\n\nTalking about\nclauses with if, whether,\nwhat you know; Object\nwho, what, how, why, where and\nasking for\nwhen\ninformation\n\nJobs and\ncareers\n\nGiving advice\nand warnings;\ntalking about\nmemories\n\nSimple sentences\n\nP48\n\n7 Summer in\nLos\nAngeles\n\nP56\n\n8 Time off\nP64",984,0,unknown,text-extracted,,2.0,义务教育教科书·英语八年级下册,4,986,2025-07-21T14:24:16.469Z,2.0,2025-07-20T03:47:10.715Z,八年级,[object Object],node-poppler,unknown,,0.5,0.984,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/英语/外研社版-外语教学与研究出版社/八年级/义务教育教科书·英语八年级下册.pdf,义务教育教科书·英语八年级下册.json,英语,184151
义务教育教科书·英语八年级下册_chunk_5,5,"Jobs and\ncareers\n\nGiving advice\nand warnings;\ntalking about\nmemories\n\nSimple sentences\n\nP48\n\n7 Summer in\nLos\nAngeles\n\nP56\n\n8 Time off\nP64\n\n9 Friendship\nP72\n\n10 On the\nradio\n\nP80\n\nRevision module B\nAppendices\n\nObject clauses with that\n\nReview of object clauses\n\nP88\n\nLanguage notes............................................... P95\nGuide to language use..................................... P103\nWords and expressions.................................... P112\nProper names................................................... P117 Skills (Listening/Speaking/Reading/\nWriting)\n\nAround the\nworld\n\nTask\n\nListening for specific information; understanding familiar\ntopics (hobbies)\nExchanging ideas on familiar topics (hobbies)\nReading for specific information; understanding the sequence\nof events\nWriting a short passage about a classmate’s hobby, using as\nwell as, such as or as a result\n\nLiving\nhistory\n\nMaking a survey\nof hobbies",926,0,unknown,text-extracted,,2.0,义务教育教科书·英语八年级下册,5,928,2025-07-21T14:24:16.469Z,2.0,2025-07-20T03:47:10.715Z,八年级,[object Object],node-poppler,unknown,,0.5,0.926,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/英语/外研社版-外语教学与研究出版社/八年级/义务教育教科书·英语八年级下册.pdf,义务教育教科书·英语八年级下册.json,英语,184151
义务教育教科书·英语八年级下册_chunk_6,6,"Living\nhistory\n\nMaking a survey\nof hobbies\n\nListening for specific information; understanding familiar\ntopics (studying abroad)\nExchanging ideas about future plans and activities\nReading for specific information; matching headings with\nparagraphs\nWriting a description of a Chinese language course, using prompts\n\nSummer\ncamps\n\nHaving a class\ndiscussion about\nsummer courses\n\nListening for main ideas; listening for specific information\nIntroducing topics and conducting conversations\nReading for specific information; understanding the sequence\nof events\nWriting a passage about Zhangjiajie, using prompts\n\nLake\nDistrict\nNational\nPark\n\nWriting a leaflet\nfor a trip\n\nListening for specific information; understanding the logical\nsequence of a conversation\nTalking about personal information\nReading and understanding the sequence of events and\nbehaviour of characters\nWriting about someone or something that changed your life,\nusing prompts\n\nPen friends\n\nMaking a poster\nabout friendship",987,0,unknown,text-extracted,,2.0,义务教育教科书·英语八年级下册,6,987,2025-07-21T14:24:16.469Z,2.0,2025-07-20T03:47:10.715Z,八年级,[object Object],node-poppler,unknown,,0.5,0.987,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/英语/外研社版-外语教学与研究出版社/八年级/义务教育教科书·英语八年级下册.pdf,义务教育教科书·英语八年级下册.json,英语,184151
义务教育教科书·英语八年级下册_chunk_7,7,"Pen friends\n\nMaking a poster\nabout friendship\n\nListening for specific information\nAsking and answering questions about work at a radio station\nReading and understanding the sequence of events and\nbehaviour of characters\nWriting about important events in the past and about\nbackground information, using prompts\n\nThe\nclockwork\nradio\n\nMaking a school\nradio programme\n\nVocabulary...................................................... P119\nPronunciation guide......................................... P125\nIrregular verbs.................................................. P126 M\n\no d ul\n\nFeelings and impressions\nModule task: Writing a description of a classmate\n\nUnit 1 It smells delicious.\nListening and vocabulary\n\n1 Listen and number the pictures.\nfeel look smell soft sour strong sweet taste\n\n2 Listen again and complete the sentences.\n1 The cookie\ntastes sweet\n2 The milk _____________.\n\n.\n\n3 This bed _____________.\n4 Tom _____________.\n\n3 Listen and read.",959,0,unknown,text-extracted,,2.0,义务教育教科书·英语八年级下册,7,981,2025-07-21T14:24:16.469Z,2.0,2025-07-20T03:47:10.715Z,八年级,[object Object],node-poppler,unknown,,0.5,0.959,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/英语/外研社版-外语教学与研究出版社/八年级/义务教育教科书·英语八年级下册.pdf,义务教育教科书·英语八年级下册.json,英语,184151
义务教育教科书·英语八年级下册_chunk_8,8,"Tony: Mm... What a delicious smell! Your pizza looks so nice.\nBetty: Thanks! Would you like to try some?\nTony: Yes, please. It looks lovely, it smells delicious, and mm, it tastes good.\nDaming: What’s that on top?\nBetty: Oh, that’s cheese. Do you want to try a piece?\nDaming: Ugh! No, thanks. I’m afraid I don’t like cheese. It doesn’t smell fresh. It\nsmells too strong and it tastes a bit sour.\nBetty: Well, my chocolate cookies are done now. Have a try!\nDaming: Thanks! They taste really sweet and they feel soft in the middle.\nTony: Are you cooking lots of different things? You look very busy!\nBetty: Yes, I am! There’s some pizza and some cookies, and now I’m making\nan apple pie and a cake.\nDaming: Apple pie sounds nice. I have a sweet tooth, you know. Shall I get the\nsugar?\nBetty: Yes, please. Oh, are you sure that’s sugar? Taste it\nfirst. It might be salt!\nEveryday English\nDaming: No, it’s OK. It tastes sweet. It’s sugar.\nI’m afraid…\nTony: What’s this? It tastes sweet too.\nHave a try!",998,0,unknown,text-extracted,,2.0,义务教育教科书·英语八年级下册,8,998,2025-07-21T14:24:16.469Z,2.0,2025-07-20T03:47:10.715Z,八年级,[object Object],node-poppler,unknown,,0.5,0.998,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/英语/外研社版-外语教学与研究出版社/八年级/义务教育教科书·英语八年级下册.pdf,义务教育教科书·英语八年级下册.json,英语,184151
义务教育教科书·英语八年级下册_chunk_9,9,"first. It might be salt!\nEveryday English\nDaming: No, it’s OK. It tastes sweet. It’s sugar.\nI’m afraid…\nTony: What’s this? It tastes sweet too.\nHave a try!\nBetty: That’s strawberry jam, for the cake.\nIt’s my lucky day!\nDaming: Good, everything tastes so sweet! It’s my lucky day!",279,0,unknown,text-extracted,,2.0,义务教育教科书·英语八年级下册,9,279,2025-07-21T14:24:16.469Z,2.0,2025-07-20T03:47:10.715Z,八年级,[object Object],node-poppler,unknown,,0.5,0.279,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/英语/外研社版-外语教学与研究出版社/八年级/义务教育教科书·英语八年级下册.pdf,义务教育教科书·英语八年级下册.json,英语,184151
