Chunk_ID,Chunk_Index,Content,Content_Length,Quality_Score,Reliability,Source_Type,Original_Content,Enhancement_Version,book_name,chunk_index,enhancementTimestamp,enhancementVersion,filename,grade,processing_method,publisher,qualityMetrics_chineseCharRatio,qualityMetrics_coherenceScore,qualityMetrics_lengthScore,qualityMetrics_ocrConfidence,semester,source,source_file,subject,total_chunks,worker_id
义务教育教科书·英语（一年级起点）三年级上册_chunk_0,0,ENGLISH 义务教育教科书三年级上册义务教育教科书英 语三年级上册 （一年级起点） （一年级起点） 英语 产品绿色印刷产品定价：4.90 元全国价格举报电话：12315 \n[中国] 河北 教育 出版 社 [加拿大] DC加拿大国际交流中心合作编写 ENGLISH 义务教育教科书英语三年级上册 （一年级起点） \n亲爱的同学们，欢迎你们进入三年级！ 学习英语两年了，你们已经能用英语互相问候，能说出多种颜色和数字， 能简单介绍自己、家人及朋友，还学习了英语字母。 这学期丹尼、詹妮和李明会带领你们学习有关学校物品、食物、家庭以及身体部位等内容。 你们想用英语描述简单的学校活动吗？ 你们想知道怎样用英语表达对食物的喜好吗？ 你们想学会用英语介绍自己的家人吗？ 你们想知道怎样用英语描述自己或同学吗？那就开始这学期的学习吧！ 请你们在学习中多听、敢说、善于模仿，做到积极参与，大胆练习，遇到困难不害怕， 出现错误不害羞。 这样你们一定会体会到英语学习有趣且容易！ 同学们，上学期的英语学习主要以听说为主，从这学期开始，你们将会学习一些认读词汇的方法，这样你们会感到识记单词很容易！相信你们一定会学得很棒！ 致同 学 \nCONTENTS Unit 1 We Like School! ··················1 Unit 2 My Favourite Food ············17 Unit 3 I Love My Family ···············33 Unit 4 Look at Me ························49 Word List ··········································65 Vocabulary ·······································68 1 UNIT 1 Lessons 1~6 We Like School!,832,0,unknown,text-extracted,,2.0,义务教育教科书·英语（一年级起点）三年级上册,0,2025-07-21T14:24:25.210Z,2.0,义务教育教科书·英语（一年级起点）三年级上册_3299e2fd,一年级,text_extraction,unknown,0.5349143610013175,0.7999999999999999,0.832,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/flattened_pdfs/义务教育教科书·英语（一年级起点）三年级上册_3299e2fd.pdf,义务教育教科书·英语（一年级起点）三年级上册_3299e2fd.json,英语,34,worker_7
义务教育教科书·英语（一年级起点）三年级上册_chunk_1,1,"1 UNIT 1 Lessons 1~6 We Like School! 2 1 I like school! I walk to school in the morning. I like school. I draw with my marker. I like drawing pictures. I sit at my desk. I write with my pencil. I read a book. I like reading. Lesson 1 Li Ming Goes to School 1 3 2 4 3 2 Let’s sing! This is the way we walk to school, Early in the morning. This is the way we write with pencils, Early in the morning. This is the way we draw with markers, Early in the afternoon. This is the way we cut with scissors, Early in the afternoon. This is the way we open the window, Early in the evening. This is the way we close the door, Early in the evening. 4 1 Where is the teacher? Where is the teacher? She is in the office. Lesson 2 Where Are They? Where is the girl ? Where is the boy ? He is in the library. She is in the washroom.",817,0,unknown,text-extracted,,2.0,义务教育教科书·英语（一年级起点）三年级上册,1,2025-07-21T14:24:25.210Z,2.0,义务教育教科书·英语（一年级起点）三年级上册_3299e2fd,一年级,text_extraction,unknown,,0.5,0.817,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/flattened_pdfs/义务教育教科书·英语（一年级起点）三年级上册_3299e2fd.pdf,义务教育教科书·英语（一年级起点）三年级上册_3299e2fd.json,英语,34,worker_7
义务教育教科书·英语（一年级起点）三年级上册_chunk_2,2,"4 1 Where is the teacher? Where is the teacher? She is in the office. Lesson 2 Where Are They? Where is the girl ? Where is the boy ? He is in the library. She is in the washroom. 5 Where are they? 2 Where is the teacher ? Ask and answer. She is in the offi ce. Where are they ? They are in the classroom. Let’s do it! 3 gym office classroom library washroom 6 Lesson 3 What Day Is It? 星期五 1 星期一星期三星期二星期四星期日星期六 Days of the week Monday Thursday Friday Saturday Sunday Tuesday Wednesday What day is it ? It ’ s Tuesday. \nHere we go! Don’t be meek. Let’s learn the days of the week! Sunday, Monday and Tuesday too, Then comes Wednesday. Don’t feel blue. Thursday, Friday, Saturday and then, Seven whole days, and we start again. Let’s do it! 3 7 Mon day Tues day Wednes day Thurs day Fri day Satur day Sun day 2 Let’s chant! Listen and match. Can you see “day” in these words?",873,0,unknown,text-extracted,,2.0,义务教育教科书·英语（一年级起点）三年级上册,2,2025-07-21T14:24:25.210Z,2.0,义务教育教科书·英语（一年级起点）三年级上册_3299e2fd,一年级,text_extraction,unknown,0.03008595988538682,0.5,0.873,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/flattened_pdfs/义务教育教科书·英语（一年级起点）三年级上册_3299e2fd.pdf,义务教育教科书·英语（一年级起点）三年级上册_3299e2fd.json,英语,34,worker_7
义务教育教科书·英语（一年级起点）三年级上册_chunk_3,3,"8 1 Do you have English today? Lesson 4 My School Day Do you have English today ? What day is it, Li Ming ? No. I have English on Friday. We have Chinese on Monday. We have math on Tuesday. It ’ s Thursday . 9 We have music on Thursday . We have P.E. on Wednesday. Do you have math today ? No. I have math on Wednesday. • I have dance class on ____________. • I have Chinese on ____________. • I have ____________ on Monday. • I have P.E. on ____________. • I have ____________ on Wednesday . Monday Tuesday Wednesday Thursday Friday English P.E. math Chinese dance Let’s do it! 2 Read, talk and write. 10 1 Let’s go to the gym Lesson 5 No School Today 1 2 Let’s ask Li Ming to go, too. 3 Hi Li Ming. Would you like to play basketball ? Okay. See you on Sunday. Sorry, I need to help my mom today. I can play on Sunday. Good idea. I’d like to play basketball. Let’s go to the gym. It’s Saturday. We don’t go to school today. What would you like to do ?",952,0,unknown,text-extracted,,2.0,义务教育教科书·英语（一年级起点）三年级上册,3,2025-07-21T14:24:25.211Z,2.0,义务教育教科书·英语（一年级起点）三年级上册_3299e2fd,一年级,text_extraction,unknown,,0.5,0.952,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/flattened_pdfs/义务教育教科书·英语（一年级起点）三年级上册_3299e2fd.pdf,义务教育教科书·英语（一年级起点）三年级上册_3299e2fd.json,英语,34,worker_7
义务教育教科书·英语（一年级起点）三年级上册_chunk_4,4,"11 I’d like to play ping-pong with my friends. Let’s do it! 2 Talk in pairs. Letters and sounds 3 b ook b oy b lue b lack e p b h e sh e w e m e p encil p aper p icture p lay A big black bear is on a big blue bus. Try to read Tongue Twister It’s Sunday today. What would you like to do ? 12 Lesson 6 Where Is Danny? Story time Danny is not here. Look at the note! He is not in the washroom. Look at this, Jenny! Is he in the library ? Goodbye, Miss Zhang. Goodbye. Let’s go home. Where is Danny ? 1 2 3 4 Is he in the classroom ? Let’s look. Is he in the washroom ?",565,0,unknown,text-extracted,,2.0,义务教育教科书·英语（一年级起点）三年级上册,4,2025-07-21T14:24:25.211Z,2.0,义务教育教科书·英语（一年级起点）三年级上册_3299e2fd,一年级,text_extraction,unknown,,0.5,0.565,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/flattened_pdfs/义务教育教科书·英语（一年级起点）三年级上册_3299e2fd.pdf,义务教育教科书·英语（一年级起点）三年级上册_3299e2fd.json,英语,34,worker_7
义务教育教科书·英语（一年级起点）三年级上册_chunk_5,5,"13 Is Danny in the gym ? Let’s go to the gym. Hmm, Danny is not here. Let’s look in the offi ce. 5 7 6 8 Look! I see his favourite book. Here is another note. Danny is not in the offi ce. There he is. Danny! Hello! Let’s walk home. Where is Danny? Act out the story. Think and Act note 便签；纸条 another 另一个 Let’s go back to the classroom! \nThursday Tuesday 14 Unit 1 Review Listen and circle Listen and colour 1 2 1 3 2 4 \nWednesday 15 Point and say Look and write She is in the washroom. She draws with her markers. Li Ming walks to school. It’s Wednesday today. Miss Zhang is in her office. This is the library. 1. I _______________ on Monday morning. 2. On Wednesday evening, I _______________. 3. On Friday afternoon, I _______________. 4. I _______________ on Sunday afternoon. have Chinese ﬂ y a kite play basketball draw a picture 1 4 2 5 3 6 3 4 2 4 3 1",858,0,unknown,text-extracted,,2.0,义务教育教科书·英语（一年级起点）三年级上册,5,2025-07-21T14:24:25.211Z,2.0,义务教育教科书·英语（一年级起点）三年级上册_3299e2fd,一年级,text_extraction,unknown,0.01023391812865497,0.5,0.858,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/flattened_pdfs/义务教育教科书·英语（一年级起点）三年级上册_3299e2fd.pdf,义务教育教科书·英语（一年级起点）三年级上册_3299e2fd.json,英语,34,worker_7
义务教育教科书·英语（一年级起点）三年级上册_chunk_6,6,16 Key words and sentences 5 Words: I you she he we they it walk like draw have play ask desk girl boy day math P.E. Sentences: Where is the girl? She is in the washroom. Where are they? They are in the classroom. What day is it? It’s Thursday. I have English on Friday. Speaking Reading Writing Listening At school At home Total stars I am... A 10 ~ 12 B 7 ~ 9 C 1 ~ 6 1 6 How am I doing? 17 UNIT 2 Lessons 7~12 My Favourite Food 18 1 I like fi sh eggs bread cake fish chicken Lesson 7 What Food Do You Like? I like bread and eggs. I like fi sh. I like chicken. What food do you like ? \n2 4 3 1 5 19 1 2 3 4 5 Let’s play! 3 I like ﬁ sh. F - I - S - H! Listen and draw. Look and write. 2 Let’s do it!,700,0,unknown,text-extracted,,2.0,义务教育教科书·英语（一年级起点）三年级上册,6,2025-07-21T14:24:25.211Z,2.0,义务教育教科书·英语（一年级起点）三年级上册_3299e2fd,一年级,text_extraction,unknown,,0.5,0.7,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/flattened_pdfs/义务教育教科书·英语（一年级起点）三年级上册_3299e2fd.pdf,义务教育教科书·英语（一年级起点）三年级上册_3299e2fd.json,英语,34,worker_7
义务教育教科书·英语（一年级起点）三年级上册_chunk_7,7,"2 4 3 1 5 19 1 2 3 4 5 Let’s play! 3 I like ﬁ sh. F - I - S - H! Listen and draw. Look and write. 2 Let’s do it! 20 1 3 2 4 1 How much is one donut? Lesson 8 How Much Is It? How much is one donut ? Five yuan. Thanks! I’ll take fi ve, please! How much is a hot dog ? Here you are. My friends like donuts. I’ll take twelve, please! Thanks! You’re welcome. Here you are! One yuan. \n￥2 ￥2 21 Five yuan. I’ll take one, please! Here you are. Look and talk. Do you know the donut man ? The donut man, the donut man ? Do you know the donut man, Who lives across the lane ? 3 Let’s sing! ￥3 ￥3 ￥5 ￥1 2 Let’s play! Do you know the hot dog girl ? The hot dog girl, the hot dog girl ? Do you know the hot dog girl, Who lives across the lane ? How much is one hot dog ?",756,0,unknown,text-extracted,,2.0,义务教育教科书·英语（一年级起点）三年级上册,7,2025-07-21T14:24:25.211Z,2.0,义务教育教科书·英语（一年级起点）三年级上册_3299e2fd,一年级,text_extraction,unknown,,0.5,0.756,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/flattened_pdfs/义务教育教科书·英语（一年级起点）三年级上册_3299e2fd.pdf,义务教育教科书·英语（一年级起点）三年级上册_3299e2fd.json,英语,34,worker_7
义务教育教科书·英语（一年级起点）三年级上册_chunk_8,8,"22 1 How much are the apples? Lesson 9 How Much Are They? How much are the oranges ? How much are they ? What would you like ? I’d like some apples. One yuan for two. Four yuan for three. I’ll take three, please. Thanks! You’re welcome. 1 2 3 4 5 6 I’ll take two, please. 23 Let’s do it! 2 Match, write and act. bread grapes pear eggs noodles orange donut water apple bananas j uice hot dog milk tea hot dog apple water What would you like ? I’d like three bananas. Three yuan. How much are they ? 24 Lesson 10 What Would You Like? 1 I like noodles! I like noodles. 2 What would you like? 1 I don’t like meat. 2 What would you like ? I would like some meat and rice. I would like some chicken and noodles.",705,0,unknown,text-extracted,,2.0,义务教育教科书·英语（一年级起点）三年级上册,8,2025-07-21T14:24:25.211Z,2.0,义务教育教科书·英语（一年级起点）三年级上册_3299e2fd,一年级,text_extraction,unknown,,0.5,0.705,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/flattened_pdfs/义务教育教科书·英语（一年级起点）三年级上册_3299e2fd.pdf,义务教育教科书·英语（一年级起点）三年级上册_3299e2fd.json,英语,34,worker_7
义务教育教科书·英语（一年级起点）三年级上册_chunk_9,9,"25 What would you like ? 4 Let’s chant! Cake and bread, Cake and bread, Put your hands, On your head. Noodles and eggs, Noodles and eggs, Put your fi ngers, On your legs. Chicken and rice, Chicken and rice, Put your fi ngers, On your eyes. 3 Let’s play! I would like some... I would like some apples. What would you like ? 1 3 2 4 26 1 Are you hungry? Lesson 11 Would You Like Some Dumplings? Jenny, are you hungry ? Would you like some dumplings, Jenny ? Would you like some more dumplings, Jenny ? No, thanks. Yes, please. Would you like some soup, Jenny ? Yes, I am. Yes, please!",582,0,unknown,text-extracted,,2.0,义务教育教科书·英语（一年级起点）三年级上册,9,2025-07-21T14:24:25.211Z,2.0,义务教育教科书·英语（一年级起点）三年级上册_3299e2fd,一年级,text_extraction,unknown,,0.5,0.582,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/flattened_pdfs/义务教育教科书·英语（一年级起点）三年级上册_3299e2fd.pdf,义务教育教科书·英语（一年级起点）三年级上册_3299e2fd.json,英语,34,worker_7
