Chunk_ID,Chunk_Index,Content,Content_Length,Quality_Score,Reliability,Source_Type,Original_Content,Enhancement_Version,book_name,chunkIndex,chunkSize,enhancementTimestamp,enhancementVersion,extractedAt,grade,loc_lines,method,publisher,qualityMetrics_chineseCharRatio,qualityMetrics_coherenceScore,qualityMetrics_lengthScore,qualityMetrics_ocrConfidence,semester,source,source_file,subject,textLength
义务教育教科书·语文七年级上册_chunk_0,0,YIWU JIAOYU JIAOKESHU\n\nYUWEN\n\n语文七年级义 务教 育教 科书\n\n®\n\n全国优秀教材特等奖义务教育教科书七年级上册上册语\n文七年级上册 产品定价：9.55元初中封面语文7上 1\n\n2022/5/5 16:16 义务教育教科书七年级上册教育部组织编写总主编温儒敏\n\n·北京· 总主 编：温儒敏初中主编：王本华（执行）\n\n曹文轩顾之川张笑庸编写人员：（以姓氏笔画为序）\n王漫\n\n王本华朱于国刘宇新刘真福张伟忠张彬福程\n\n翔责任编辑：朱于国美术编辑：张蓓\n\n惠凌峰义务教育教科书语文七年级上册教育部组织编写出\n\n版网\n\n址\n\n（北京市海淀区中关村南大街 17 号院 1 号楼邮编：100081）\n\nhttp://www.pep.com.cn\n\n版权所有·未经许可不得采用任何方式擅自复制或使用本产品任何部分·违者必究如发现内容质量问题，请登录中小学教材意见反馈平台：jcyjfk.pep.com.cn\n如发现印、装质量问题，影响阅读，请与 ××× 联系调换。电话：×××-×××××××× 目第一单元录\n\n阅读\n\n1 春 / 朱自清\n\n2 济南的冬天 / 老舍\n\n3* 雨的四季 / 刘湛秋 10\n4 古代诗歌四首 14 观沧海 / 曹操闻王昌龄左迁龙标遥有此寄 / 李白次北固山下 / 王湾天净沙·秋思 / 马致远第二单元写作热爱生活，热爱写作\n\n17\n\n阅读\n\n5 秋天的怀念 / 史铁生\n\n20\n\n6 散步 / 莫怀戚\n\n23\n\n7* 散文诗二首\n\n26\n\n金色花 / 泰戈尔荷叶·母亲 / 冰心 8 《世说新语》二则 29\n咏雪陈太丘与友期行写作学会记事 32\n\n综合性学习有朋自远方来 34\n\n第三单元阅读\n\n9 从百草园到三味书屋 / 鲁迅\n\n38\n\n目录\n\nI 写作\n\n10* 再塑生命的人 / 海伦·凯勒\n\n45\n\n11 《论语》十二章\n\n50\n\n写人要抓住特点\n\n54\n\n《朝花夕拾》 消除与经典的隔膜 56\n\n名著导读课外古诗词诵读 63,840,0,unknown,text-extracted,,2.0,义务教育教科书·语文七年级上册,0,986,2025-07-21T14:24:38.640Z,2.0,2025-07-20T03:47:08.587Z,七年级,[object Object],node-poppler,unknown,0.708029197080292,0.7999999999999999,0.84,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/语文/统编版-人民教育出版社/七年级/义务教育教科书·语文七年级上册.pdf,义务教育教科书·语文七年级上册.json,语文,97455
义务教育教科书·语文七年级上册_chunk_1,1,8 《世说新语》二则 29\n咏雪陈太丘与友期行写作学会记事 32\n\n综合性学习有朋自远方来 34\n\n第三单元阅读\n\n9 从百草园到三味书屋 / 鲁迅\n\n38\n\n目录\n\nI 写作\n\n10* 再塑生命的人 / 海伦·凯勒\n\n45\n\n11 《论语》十二章\n\n50\n\n写人要抓住特点\n\n54\n\n《朝花夕拾》 消除与经典的隔膜 56\n\n名著导读课外古诗词诵读 63\n\n峨眉山月歌 / 李白江南逢李龟年 / 杜甫行军九日思长安故园 / 岑参夜上受降城闻笛 / 李益第四单元阅读写作\n\n12 纪念白求恩 / 毛泽东\n\n66\n\n13 植树的牧羊人 / 让·乔诺\n\n70\n\n14* 走一步，再走一步 / 莫顿·亨特\n\n76\n\n15 诫子书 / 诸葛亮\n\n81\n\n思路要清晰\n\n83\n\n综合性学习第五单元第六单元少年正是读书时 86\n\n16 猫 / 郑振铎\n\n92\n\n17* 动物笑谈 / 康拉德·劳伦兹\n\n98\n\n18 狼 / 蒲松龄\n\n105\n\n写作如何突出中心\n\n108\n\n阅读\n\n19 皇帝的新装 / 安徒生\n\n112\n\n20 天上的街市 / 郭沫若\n\n118\n\n21* 女娲造人 / 袁珂\n\n121\n\n22 寓言四则\n\n124\n\n阅读赫耳墨斯和雕像者 /《伊索寓言》 蚊子和狮子 /《伊索寓言》\n\nII\n\n目录 穿井得一人 /《吕氏春秋》 杞人忧天 /《列子》\n\n写作发挥联想和想象\n\n128\n\n综合性学习文学部落\n\n130\n\n《西游记》 精读和跳读\n\n132\n\n名著导读课外古诗词诵读 140\n\n秋词（其一）/ 刘禹锡夜雨寄北 / 李商隐十一月四日风雨大作（其二）/ 陆游潼关 / 谭嗣同注：阅读课文分“教读”和“自读”两类。篇名前标有 * 的为自读课文。 目录\n\nIII 第一单元日月经天，江河行地，春风夏雨，秋霜冬雪，大自然生生不息，四时景物美不胜收。 本单元课文用优美的语言，描绘了多姿多彩的四季美景，抒发了亲近自然、热爱生活的情 怀。 学习本单元，要重视朗读课文，想象文中描绘的情景，领略景物之美；把握好重音和停连，感受汉语声韵之美。还要注意揣摩和品味语言，体会比喻和拟人等修辞手法的表达效果。 阅读\n\n1 春\n\n①,908,0,unknown,text-extracted,,2.0,义务教育教科书·语文七年级上册,1,998,2025-07-21T14:24:38.640Z,2.0,2025-07-20T03:47:08.587Z,七年级,[object Object],node-poppler,unknown,0.7492997198879552,0.7999999999999999,0.908,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/语文/统编版-人民教育出版社/七年级/义务教育教科书·语文七年级上册.pdf,义务教育教科书·语文七年级上册.json,语文,97455
义务教育教科书·语文七年级上册_chunk_2,2,目录\n\nIII 第一单元日月经天，江河行地，春风夏雨，秋霜冬雪，大自然生生不息，四时景物美不胜收。 本单元课文用优美的语言，描绘了多姿多彩的四季美景，抒发了亲近自然、热爱生活的情 怀。 学习本单元，要重视朗读课文，想象文中描绘的情景，领略景物之美；把握好重音和停连，感受汉语声韵之美。还要注意揣摩和品味语言，体会比喻和拟人等修辞手法的表达效果。 阅读\n\n1 春\n\n①\n\n朱自清预 习\n◎ 春天展现美丽的世界，春天带来崭新的希望。历来文人墨客都喜欢描绘春天，赞美春天。你读过哪些描写春天的诗文？这些诗文给你留下了怎样的印象？回忆一下，准备在课堂上与同学交流。 ◎ 这是一篇散文，又像一首诗。朗读课文， 张开想象的翅膀，在头脑中再现文中描绘的春景， 感受大自然的蓬勃生机。 朱自清盼望着，盼望着，东风来了，春天的脚步近了。 一切都像刚睡醒的样子，欣欣然张开了眼。山朗润② 起来了，水涨起来了，太阳的脸红起来了。 小草偷偷地从土里钻出来，嫩嫩的，绿绿的。园子里，田野里，瞧去，一大片一大片满是的。坐着，躺着，打两个滚，踢几脚球，赛几趟跑，捉几回迷藏。风轻悄悄的，草软绵绵的。 桃树、杏树、梨树，你不让我，我不让你，都开满了花赶趟儿 ③。红的像火，粉的像霞，白的像雪。花里带着甜味儿；闭了眼，树上仿佛已经满是桃儿、杏儿、梨儿。花下成千成百的蜜蜂嗡嗡地闹着，大小的蝴蝶飞来飞去。野花遍地是：杂样儿，有名字的，没名字的， 散在草丛里，像眼睛，像星星， 还眨呀眨的。 ① 选自《朱自清全集》第四卷（江苏教育出版社 1996 年版）。略有改动。朱自清（1898—\n1948），字佩弦，江苏扬州人，散文家、诗人、学者。著有诗文集《踪迹》，散文集《背影》\n\n阅读\n\n第一单元\n\n《欧游杂记》《你我》等。 ②〔朗润〕明亮滋润。朗，明亮。润，滋润、润泽。 ③〔赶趟儿〕本义是时间赶得上，这里指众多果树争先恐后地开花。,796,0,unknown,text-extracted,,2.0,义务教育教科书·语文七年级上册,2,831,2025-07-21T14:24:38.640Z,2.0,2025-07-20T03:47:08.587Z,七年级,[object Object],node-poppler,unknown,0.8129973474801061,0.7999999999999999,0.796,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/语文/统编版-人民教育出版社/七年级/义务教育教科书·语文七年级上册.pdf,义务教育教科书·语文七年级上册.json,语文,97455
义务教育教科书·语文七年级上册_chunk_3,3,阅读\n\n第一单元\n\n《欧游杂记》《你我》等。 ②〔朗润〕明亮滋润。朗，明亮。润，滋润、润泽。 ③〔赶趟儿〕本义是时间赶得上，这里指众多果树争先恐后地开花。 “吹面 不寒 杨柳\n风 ① ”，不错的，像母亲的手抚摸着你。风里带来些新翻的泥土的气息，混着青草味儿，还有各种花的香，都在微微润湿的空气里酝酿②。 鸟儿将窠巢 ③ 安在繁花嫩 叶当 中， 高兴 起来\n了， 呼朋 引伴 地卖 弄清 脆的 喉咙， 唱出 宛转 ④的曲子，与轻风流水应和着。牛背上牧童的短笛，这时候也成天在嘹亮地响。 雨是最寻常的，一下 就是 三两 天。 可别\n恼。看，像牛毛，像花针 ⑤，像细丝，密密地斜织着，人家屋顶上全笼着一层薄烟。树叶子却绿得发亮，小草也青得逼你的眼。傍晚时候，上灯了，一点点黄晕⑥的光，烘托出一片安静而和平的夜。乡下去，小路上，石桥边，有撑起伞慢慢走着的人；还有地里工作的农夫，披着蓑，戴着笠的。他们的草屋，稀稀疏疏的，在雨里静默着。 天上风筝渐渐多了，地上孩子也多了。城里乡下，家家户户，老老小小， 他们也赶趟儿似的，一个个都出来了。舒活舒活筋骨，抖擞抖擞精神，各做各\n\n①〔吹面不寒杨柳风〕语出南宋志南和尚《绝句》：“沾衣欲湿杏花雨，吹面不寒杨柳风。”\n杨柳风，吹动杨柳的风，指春风。 ②〔酝酿（yùnniàng）〕本义是造酒的发酵过程， 这里指各种气息在空气里，像发酵似的，越来越浓。 ③〔窠（kē）巢〕鸟兽昆虫的窝。 ④〔宛转〕形容声音抑扬动听。现在多写作“婉转”。 ⑤〔花针〕绣花用的细针。 ⑥〔黄晕（yùn）〕昏黄，不明亮。 1\n\n春阅 读\n\n3 的一份事去。“一年之计在于春①”，刚起头儿，有的是工夫，有的是希望。 春天像刚落地②的娃娃，从头到脚都是新的，他生长着。 春天像小姑娘，花枝招展③的，笑着，走着。 春天像健壮的青年，有铁一般的胳膊和腰脚，他领着我们上前去。 思考探究一\n\n在作者笔下，春天就像一幅幅美丽的图画。有感情地朗读课文，看看课文描绘了哪些春日图景。你最喜欢哪一幅画面？说说你的理由。 二课文读起来富有童趣，又带有诗的味道，清新，活泼，优美。你有没有这样的感觉？试找出一些段落细加品味，并跟同学、老师分享你的体会。 三,921,0,unknown,text-extracted,,2.0,义务教育教科书·语文七年级上册,3,979,2025-07-21T14:24:38.640Z,2.0,2025-07-20T03:47:08.587Z,七年级,[object Object],node-poppler,unknown,0.8009313154831199,0.7999999999999999,0.921,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/语文/统编版-人民教育出版社/七年级/义务教育教科书·语文七年级上册.pdf,义务教育教科书·语文七年级上册.json,语文,97455
义务教育教科书·语文七年级上册_chunk_4,4,思考探究一\n\n在作者笔下，春天就像一幅幅美丽的图画。有感情地朗读课文，看看课文描绘了哪些春日图景。你最喜欢哪一幅画面？说说你的理由。 二课文读起来富有童趣，又带有诗的味道，清新，活泼，优美。你有没有这样的感觉？试找出一些段落细加品味，并跟同学、老师分享你的体会。 三作者把春天比作“刚落地的娃娃”“小姑娘”“健壮的青年”，你怎样理解这些比喻？你还能发挥想象，另写一些比喻句来描绘春天吗？ 积累拓展四\n\n想象下列各句描绘的情景，说说加点语句的表达效果。 1. 盼望着，盼望着，东风来了，春天的脚步近了。 4\n\n2. 小草偷偷地从土里钻出来，嫩嫩的，绿绿的。 4\n\n3. 野花遍地是：杂样儿，有名字的，没名字的，散在草丛里，像眼睛，像星星，还\n\n眨呀眨的。 4\n\n4. 看，像牛毛，像花针，像细丝，密密地斜织着，人家屋顶上全笼着一层薄烟。 4\n\n五\n\n朗读并背诵全文。找出你喜欢的段落，标出语句中的重音④和停连⑤，在小组里朗读，互相评价。 ①〔 一年 之计 在于 春 〕 意思是，春是一年的开始，应该把全年要做的事尽早安排好。计， 打算、计划。 ②〔落地〕这里指婴儿出生。 ③〔花枝招展〕形容女子打扮得十分艳丽。这里比喻姿态优美。 ④〔重音〕朗读 时， 为适 应传 情达 意的 需要， 4\n\n阅读\n\n第一单元对语句 中的 某些 词或 短语 以重 读的 形式 加以强调。 ⑤〔停连〕指朗读语流中声音的中断和延续。声音的中断即停顿，声音的延续即连接。无论停还是连，都要与文章思想感情发展变化的要求相适应，不是任意的。 读读写写比\n\n喻看，像牛毛，像花针，像细丝，密密地斜织着，人家屋顶上全笼着一层\n\n薄烟。（朱自清《春》）\n春天像小姑娘，花枝招展的，笑着，走着。（朱自清《春》）,735,0,unknown,text-extracted,,2.0,义务教育教科书·语文七年级上册,4,899,2025-07-21T14:24:38.640Z,2.0,2025-07-20T03:47:08.587Z,七年级,[object Object],node-poppler,unknown,0.8223880597014925,0.7999999999999999,0.735,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/语文/统编版-人民教育出版社/七年级/义务教育教科书·语文七年级上册.pdf,义务教育教科书·语文七年级上册.json,语文,97455
义务教育教科书·语文七年级上册_chunk_5,5,读读写写比\n\n喻看，像牛毛，像花针，像细丝，密密地斜织着，人家屋顶上全笼着一层\n\n薄烟。（朱自清《春》）\n春天像小姑娘，花枝招展的，笑着，走着。（朱自清《春》）\n\n读到这样的句子，你一定会想：写得太生动了，给人的印象真鲜明！为什么会有这种效果？是因为句子运用了比喻的修辞手法。 像前面这类比喻，本体（被比喻的事物）和喻体（用来做比喻的事物）之间用“像”“好像”“仿佛”“如同”“……似的”等比喻词连接，是明喻。 还有一种是暗喻，本体和喻体之间用“是”“就是”“变成”“成为”“等于”\n等词语，或者用破折号来连接。例如： （1）理想是闹钟，敲碎你的黄金梦 / 理想是肥皂，洗濯你的自私心。（流\n\n沙河《理想》）\n（2）在此刻，长街静穆，万民伫立 / 一颗心——一片翻腾的大海 / 一双眼——一道冲决的大堤。（李瑛《一月的哀思》）\n此外，还有一种比较特殊的比喻，本体和比喻词都不出现，而是借用喻体直接代替本体，是借喻。例如： 秋风阵阵地吹，折扇形的黄叶落得满地都是。风把地上的黄叶吹起来， “一群黄蝴蝶飞起来了 !”（叶圣陶《三棵银杏树》）\n我们拍手叫道： 4\n\n春阅 读\n\n5 2\n\n济南的冬天\n\n①\n\n老舍\n\n预习\n◎ 在你的印象中，冬天是怎样的，有哪些代表性的景物？朗读课文，看看作者笔下的济南的冬天与你印象中的冬天有什么不同。 ◎ 课文中的许多景物描写细腻、生动，能唤起你对事物的细微感觉。阅读的时候，注意体会。 老舍\n\n对于一个在北平② 住惯的人，像我，冬天要是不刮大风，便觉得是奇迹； 济南的冬天是没有风声的。对于一个刚由伦敦③回来的人，像我，冬天要能看得见日光，便觉得是怪事；济南的冬天是响晴④的。自然，在热带的地方，日光是永远那么毒，响亮的天气反有点儿叫人害怕。可是，在北中国的冬天，而能有温晴的天气，济南真得算个宝地。 设若单单是有阳光，那也算不了出奇。请闭上眼想：一个老城，有山有水，全在蓝天下很暖和安适地睡着，只等春风来把他们唤醒，这是不是个理想的境界？ 小山整把济南围了个圈儿，只有北边缺着点儿口儿。这一圈小山在冬天特别可爱，好像是把济南放在一个小摇篮里，他们全安静不动地低声地说：“你们放心吧，这儿准保暖和。”真的，济南的人们在冬天是面上含笑的。他们一,937,0,unknown,text-extracted,,2.0,义务教育教科书·语文七年级上册,5,994,2025-07-21T14:24:38.640Z,2.0,2025-07-20T03:47:08.587Z,七年级,[object Object],node-poppler,unknown,0.8227990970654627,0.7999999999999999,0.937,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/语文/统编版-人民教育出版社/七年级/义务教育教科书·语文七年级上册.pdf,义务教育教科书·语文七年级上册.json,语文,97455
义务教育教科书·语文七年级上册_chunk_6,6,① 节选自《一些印象（四、五、六、七）》（《老舍 全集 》 第十 四卷， 人民 文学 出版 社 1999\n年版）。题目是编者加的。略有改动。老舍\n（1899—1966），原名舒庆春，字舍予，北京人， 满族，作家。主要作 品有 小说《 骆驼 祥子 》\n\n阅读\n\n第一单元\n\n《四世同堂》，话剧《茶馆》\n《龙须沟》等。 ②〔北平〕北京的旧称。 ③〔伦敦〕英国首都。20 世纪初，空气质量较差， 多雾，被称为“雾都”。 ④〔响晴〕晴朗无云。 看那些小山，心中便觉得有了着落，有了依靠。他们由天上看到山上，便不觉地想起：“明天也许就是春天了吧？这样的温暖，今天夜里山草也许就绿起来了吧？”就是这点儿幻想不能一时实现，他们也并不着急，因为有这样慈善的冬天，干啥还希望别的呢！ 最妙的是下点儿小雪呀。看吧，山上的矮松越发的青黑，树尖儿上顶着一髻①儿白花，好像日本看护妇。山尖全白了，给蓝天镶上一道银边。山坡上有的地方雪厚点儿，有的地方草色还露着；这样，一道儿白，一道儿暗黄，给山们穿上一件带水纹的花衣；看着看着，这件花衣好像被风儿吹动，叫你希望看见一点儿更美的山的肌肤。等到快日落的时候，微黄的阳光斜射在山腰上， 那点儿薄雪好像忽然害了羞，微微露出点儿粉色。就是下小雪吧，济南是受不住大雪的，那些小山太秀气！ 古老的济南，城内那么狭窄，城外又那么宽敞，山坡上卧着些小村庄，小村庄的房顶上卧着点儿雪，对，这是张小水墨画②，也许是唐代的名手画的吧。 ①〔髻（jì）〕原指在头顶或脑后盘成的各种形状的头发，这里比喻树尖上的积雪如发髻一般。 ②〔水墨画〕纯用水墨不着彩色的国画。 2\n\n济南的冬天阅 读\n\n7 那水呢，不但不结冰，反倒在绿萍①上冒着点儿热气。水藻真绿，把终年贮蓄的绿色全拿出来了。天儿越晴，水藻越绿，就凭这些绿的精神，水也不忍得冻上；况且那长枝的垂柳还要在水里照个影儿呢。看吧，由澄清的河水慢慢往上看吧，空中，半空中，天上，自上而下全是那么清亮，那么蓝汪汪的，整个的是块空灵的蓝水晶。这块水晶里，包着红屋顶、黄草山，像地毯上的小团花的小灰色树影。 这就是冬天的济南。 思考探究一\n\n作者所写的济南的冬天有着怎样的特点？他是通过哪些景物呈现这一特点的？尝试用自己的语言，向你的同学描述这些景物。 二,946,0,unknown,text-extracted,,2.0,义务教育教科书·语文七年级上册,6,990,2025-07-21T14:24:38.640Z,2.0,2025-07-20T03:47:08.587Z,七年级,[object Object],node-poppler,unknown,0.8251670378619154,0.7999999999999999,0.946,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/语文/统编版-人民教育出版社/七年级/义务教育教科书·语文七年级上册.pdf,义务教育教科书·语文七年级上册.json,语文,97455
义务教育教科书·语文七年级上册_chunk_7,7,思考探究一\n\n作者所写的济南的冬天有着怎样的特点？他是通过哪些景物呈现这一特点的？尝试用自己的语言，向你的同学描述这些景物。 二冬天的济南在作者的眼中是个“理想的境界”，他为什么会有这样的感受？跟同学做一点儿探究。 积累拓展三\n\n品味下列语句，体会句中拟人手法的表达效果。 1. 一个老城，有山有水，全在蓝天下很暖和安适地睡着，只等春风来把他们唤醒， 这是不是个理想的境界？ 2. 这一圈小山在冬天特别可爱，好像是把济南放在一个小摇篮里，他们全安静不动地低声地说：“你们放心吧，这儿准保暖和。”\n3. 等到快日落的时候，微黄的阳光斜射在山腰上，那点儿薄雪好像忽然害了羞，微微露出点儿粉色。 四根据你的理解，标出课文第 3 段的重音和停连，并尝试朗读这一段。 五借鉴课文的某些写法，就你家乡冬天的风景写一个片段。注意抓住特点来写，不少于 200 字。 ①〔绿萍〕植物名，又名“满江红”，叶子浮出水面，春季绿色，夏季红褐色。 8\n\n阅读\n\n第一单元读读写写比\n\n拟在一些作品中，小鸟会说话，鱼儿会跳舞，小溪也能唱起欢乐的歌……这曾经激发起我们多少美妙的幻想。这种把物当作人来写，赋予物以人的动作行为或思想感情的修辞手法，��是比拟的一种，我们称之为拟人。还有一种比拟，把人当作物来写，或把甲物当乙物来写，我们称之为拟物。例如： （1）这一圈小山在冬天特别可爱，好像是把济南放在一个小摇篮里，他们全安静不动地低声地说：“你们放心吧，这儿准保暖和。”（老舍《济南的冬天》）\n（2）我到了自家的房外，我的母亲早已迎着出来了，接着便飞出了八岁的侄儿宏儿。（鲁迅《故乡》）\n（3）还有一问，是：“公理”几块钱一斤？（鲁迅《“公理”之所在》）\n句（1）中“小山”会低声说话，用的是拟人。句（2）把宏儿写成小鸟儿，能\n“飞”，句（3）把“公理”写成商品，值“钱”，用的是拟物。 恰当运用比拟，不仅能让读者对所描绘的事物产生鲜明的印象，而且能感受到作者对该事物强烈的感情，从而引起共鸣。 2\n\n济南的冬天阅 读\n\n9 3\n\n雨的四季\n\n①\n\n刘湛秋开篇点题，领起下文。,874,0,unknown,text-extracted,,2.0,义务教育教科书·语文七年级上册,7,917,2025-07-21T14:24:38.640Z,2.0,2025-07-20T03:47:08.587Z,七年级,[object Object],node-poppler,unknown,0.8260869565217391,0.7999999999999999,0.874,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/语文/统编版-人民教育出版社/七年级/义务教育教科书·语文七年级上册.pdf,义务教育教科书·语文七年级上册.json,语文,97455
义务教育教科书·语文七年级上册_chunk_8,8,济南的冬天阅 读\n\n9 3\n\n雨的四季\n\n①\n\n刘湛秋开篇点题，领起下文。 我喜欢雨，无论什么季节的雨，我都喜欢。 她给我的形象和记忆，永远是美的。 春天，树叶开始闪出黄青，花苞②轻轻地在风中摆动，似乎还带着一种冬天的昏黄。可是只要经过一场春雨的洗淋，那种颜色和神态是难以想象的。每一棵树仿佛都睁开特别明亮的眼睛，树枝的手臂也顿时柔软了，而那萌发的叶子，简直就像起伏着一层绿茵茵的波浪。水珠子从花苞里滴下来，比少女的眼泪还娇媚。半空中似乎总挂着透明的水雾的丝帘，牵动着阳光的彩棱镜③。这作者没有直接描时，整个大地是美丽的。小草似乎像复苏的蚯蚓绘春雨，而是写万物一样翻动，发出一种春天才能听到的沙沙声。呼经 雨洗 淋后 的情 态。 吸变得畅快，空气里像有无数芳甜的果子，在诱这样写有什么好处？ 惑着鼻子和嘴唇。真的，只有这一场雨，才完全驱走了冬天，才使世界改变了姿容。 而夏天，就更是别有一番风情了。夏天的雨也有夏天的性格，热烈而又粗犷。天上聚集几朵乌云，有时连一点儿雷的预告也没有，你还来不及思索，豆粒大的雨点就打来了。可这时雨并不可怕，因为你浑身的毛孔都热得张开了嘴，巴望着那清凉的甘露。打伞、戴斗笠固然能保持身上的干爽，可光头浇、洗个雨澡更有滋味，只是淋湿的头发、额头、睫毛滴着水，挡着眼睛的视线， 耳朵也有些痒嗦嗦的。这时，你会更喜欢一切。如果说，春雨给大地披上美丽的衣裳，而经过几场\n\n① 选自《散文》1989 年第 4 期。略有改动。 ②〔花苞〕这里指没开放的花骨朵儿。 10\n\n阅读\n\n第一单元\n\n③〔彩棱（léng）镜〕以透明材料制成的多面体， 能折射出不同颜色的光。 夏天的透雨的浇灌，大地就以自己的丰满而展示春雨“洗淋”万它全部的诱惑了。一切都毫不掩饰地敞开了。花物， 夏雨 却“ 浇灌 ”\n\n朵怒放着，树叶鼓着浆汁，数不清的杂草争先恐大地，准确写出雨的后地成长，暑气被一片绿的海绵吸收着。而荷叶不同特点。,812,0,unknown,text-extracted,,2.0,义务教育教科书·语文七年级上册,8,874,2025-07-21T14:24:38.640Z,2.0,2025-07-20T03:47:08.587Z,七年级,[object Object],node-poppler,unknown,0.8634590377113134,0.7999999999999999,0.812,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/语文/统编版-人民教育出版社/七年级/义务教育教科书·语文七年级上册.pdf,义务教育教科书·语文七年级上册.json,语文,97455
义务教育教科书·语文七年级上册_chunk_9,9,10\n\n阅读\n\n第一单元\n\n③〔彩棱（léng）镜〕以透明材料制成的多面体， 能折射出不同颜色的光。 夏天的透雨的浇灌，大地就以自己的丰满而展示春雨“洗淋”万它全部的诱惑了。一切都毫不掩饰地敞开了。花物， 夏雨 却“ 浇灌 ”\n\n朵怒放着，树叶鼓着浆汁，数不清的杂草争先恐大地，准确写出雨的后地成长，暑气被一片绿的海绵吸收着。而荷叶不同特点。 铺满了河面，迫切地等待着雨点，和远方的蝉声、\n近处的蛙鼓一起奏起夏天的雨的交响曲。 当田野染上一层金黄，各种各样的果实摇着铃铛的时候，雨，似乎也像出嫁生了孩子的妇人， 显得端庄而又沉静了。这时候，雨不大出门。田野上几乎总是金黄的太阳。也许，人们都忘记了雨。 成熟的庄稼等待收割，金灿灿的种子需要晒干，甚至红透了的山果也希望最后的晒甜。忽然，在一个夜晚，窗玻璃上发出了响声，那是雨，是使人静谧①、使人怀想、使人动情的秋雨啊！天空是暗的，但雨却闪着光；田野是静的，但雨在倾诉着。 顿时，你会产生一脉悠远的情思。也许，在人们劳累了一个春夏，收获已经在大门口的时候，多么需要安静和沉思啊！雨变得更轻，也更深情了，水声在屋檐下，水花在窗玻璃上，会陪伴着你的夜梦。 如果你怀着那种快乐感的话，那白天的秋雨也不会使人厌烦。你只会感到更高邈②、深远，并让凄凄冷的秋雨为什冷的雨滴，去纯净你的灵魂，而且一定会遥望到么能“纯净”人们的一场秋雨后将出现的一个更净美、开阔的大地。 灵魂呢？ 也许，到冬天来临，人们会讨厌雨吧！但这时候，雨已经化了妆，它经常变成美丽的雪花，飘然莅临③人间。但在南国，雨仍然偶尔造访④大地， 但它变得更吝啬⑤了。它既不倾盆瓢泼，又不绵绵如丝，或淅淅沥沥⑥，它显出一种自然、平静。在\n①〔静谧（mì）〕安静。谧，安宁、平静。 ②〔高邈（miǎo）〕高而远。邈，遥远。 ③〔莅（lì）临〕来到，来临（多指贵宾）。多用于书面。莅，到。 ④〔造访〕拜访。多用于书面。 ⑤〔吝啬（lìnsè）〕过分爱惜自己的财物，不舍得给别人，也不舍得自己用。 ⑥〔淅（xī）淅沥（lì）沥〕形容轻微的风声、雨声、落叶声等。 3\n\n雨的四季阅 读\n\n11,889,0,unknown,text-extracted,,2.0,义务教育教科书·语文七年级上册,9,937,2025-07-21T14:24:38.640Z,2.0,2025-07-20T03:47:08.587Z,七年级,[object Object],node-poppler,unknown,0.8007033997655334,0.7,0.889,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/语文/统编版-人民教育出版社/七年级/义务教育教科书·语文七年级上册.pdf,义务教育教科书·语文七年级上册.json,语文,97455
