Chunk_ID,Chunk_Index,Content,Content_Length,Quality_Score,Reliability,Source_Type,Original_Content,Enhancement_Version,book_name,chunkIndex,chunkSize,enhancementTimestamp,enhancementVersion,extractedAt,grade,loc_lines,method,publisher,qualityMetrics_chineseCharRatio,qualityMetrics_coherenceScore,qualityMetrics_lengthScore,qualityMetrics_ocrConfidence,semester,source,source_file,subject,textLength
义务教育教科书·语文九年级下册_chunk_0,0,"®\n\n义务 教育 教科 书\n\nYIWU JIAOYU JIAOKESHU\n\nYUWEN\n\n语文九年级全国优秀教材特等奖义务教育教科书九年级下册下册语\n文九年级： 初中封面语文9下.indd 1\n\n元统\n\n编版\n\n下册绿色印刷产品\n\n2021/11/8 15:40 义务教育教科书九年级下册教育部组织编写温儒敏\n\n·北京·\n\n统编\n\n版总主编总 主编：温儒敏初中主编：王本华（执行）\n\n曹文轩顾之川张笑庸编写人员：（以姓氏笔画为序）\n王本华冯善亮刘\n\n陈恒舒顾之川倪文尖责任编辑：胡晓\n\n美术编辑：张蓓\n\n惠凌峰义务教育教科书语文九年级华\n\n张伟忠程\n\n翔下册教育部组织编写版 （北京市海淀区中关村南大街17号院1号楼网\n\n址\n\nhttp://www.pep.com.cn\n\n重印\n\n×××出版社发\n\n行\n\n×××新华书店印\n\n刷\n\n×××印装版\n\n次\n\n2018年12月第1版印\n\n次开\n\n本\n\n787毫米×1092毫米印\n\n张\n\n9.75\n\n字数\n\n年月第邮编：100081）\n\n次印刷\n1/16\n\n千字数\n号定\n\n价元\n\n定价批号\n\n××号版\n\n册印\n书\n\nISBN 978-7-107-33121-3\n\n编出\n\n版权所有·未经许可不得采用任何方式擅自复制或使用本产品任何部分·违者必究如发现内容质量问题，请登录中小学教材意见反馈平台：jcyjfk.pep.com.cn\n\n统如发现印、装质量问题，影响阅读，请与×××联系调换。电话：×××-×××××××× 目第一单元录\n\n阅读 1 祖国啊 , 我亲爱的祖国 / 舒婷\n\n2 2* 梅岭三章 / 陈毅 5 3* 短诗五首 7 月夜 / 沈尹默萧红墓畔口占 / 戴望舒断章 / 卞之琳风雨吟 / 芦荻统一 / 聂鲁达 4 海燕 / 高尔基 10\n\n第二单元写作学习扩写\n\n15\n\n阅读 5 孔乙己 / 鲁迅\n\n18 6 变色龙 / 契诃夫\n\n23",800,0,unknown,text-extracted,,2.0,义务教育教科书·语文九年级下册,0,976,2025-07-21T14:24:38.945Z,2.0,2025-07-20T03:47:09.228Z,九年级,[object Object],node-poppler,unknown,0.661993769470405,0.7999999999999999,0.8,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/语文/统编版-人民教育出版社/九年级/义务教育教科书·语文九年级下册.pdf,义务教育教科书·语文九年级下册.json,语文,110051
义务教育教科书·语文九年级下册_chunk_1,1,2 2* 梅岭三章 / 陈毅 5 3* 短诗五首 7 月夜 / 沈尹默萧红墓畔口占 / 戴望舒断章 / 卞之琳风雨吟 / 芦荻统一 / 聂鲁达 4 海燕 / 高尔基 10\n\n第二单元写作学习扩写\n\n15\n\n阅读 5 孔乙己 / 鲁迅\n\n18 6 变色龙 / 契诃夫\n\n23 7* 溜索 / 阿城 28 8* 蒲柳人家（节选）/ 刘绍棠\n\n33\n\n写作审题立意 42\n\n阅读 9 鱼我所欲也 /《孟子》\n10* 唐雎不辱使命 /《战国策》\n\n48\n51\n\n编\n\n11 送东阳马生序 / 宋濂统\n\n第三单元版\n\n综合性学习岁月如歌——我们的初中生活 44\n\n目录\n\n54\n\nI 12 词四首\n\n57\n\n渔家傲·秋思 / 范仲淹江城子·密州出猎 / 苏轼破阵子·为陈同甫赋壮词以寄之 / 辛弃疾满江红（小住京华）/ 秋瑾写作布局谋篇\n\n62\n\n《儒林外史》 讽刺作品的阅读 64\n\n名著导读课外古诗词诵读 69\n\n定风波（莫听穿林打叶声）/ 苏轼临江仙·夜登小阁，忆洛中旧游 / 陈与义太常引·建康中秋夜为吕叔潜赋 / 辛弃疾浣溪沙（身向云山那畔行）/ 纳兰性德第四单元阅读\n\n13 短文两篇\n\n72\n\n谈读书 / 弗朗西斯·培根不求甚解 / 马南邨写作\n\n14 山水画的意境 / 李可染\n\n77\n\n15* 无言之美 / 朱光潜\n\n81\n\n16* 驱遣我们的想象 / 叶圣陶\n\n86\n\n修改润色\n\n90\n\n辩论 93\n\n口语交际活动·探究阅读与思考任务一\n\n97\n\n17 屈原（节选）/ 郭沫若\n\n98\n\nII\n\n目录\n\n准备与排练统\n\n任务二编\n\n18 天下第一楼（节选）/ 何冀平\n19 枣儿 / 孙鸿版\n\n第五单元\n\n104\n113\n119 第六单元任务三演出与评议\n\n120\n\n阅读\n\n20 曹刿论战 /《左传》\n\n124\n\n21* 邹忌讽齐王纳谏 /《战国策》\n\n127\n\n22* 陈涉世家 / 司马迁\n\n129\n\n23 出师表 / 诸葛亮\n\n133\n\n24 诗词曲五首\n\n137,842,0,unknown,text-extracted,,2.0,义务教育教科书·语文九年级下册,1,961,2025-07-21T14:24:38.945Z,2.0,2025-07-20T03:47:09.228Z,九年级,[object Object],node-poppler,unknown,0.6908212560386473,0.6,0.842,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/语文/统编版-人民教育出版社/九年级/义务教育教科书·语文九年级下册.pdf,义务教育教科书·语文九年级下册.json,语文,110051
义务教育教科书·语文九年级下册_chunk_2,2,准备与排练统\n\n任务二编\n\n18 天下第一楼（节选）/ 何冀平\n19 枣儿 / 孙鸿版\n\n第五单元\n\n104\n113\n119 第六单元任务三演出与评议\n\n120\n\n阅读\n\n20 曹刿论战 /《左传》\n\n124\n\n21* 邹忌讽齐王纳谏 /《战国策》\n\n127\n\n22* 陈涉世家 / 司马迁\n\n129\n\n23 出师表 / 诸葛亮\n\n133\n\n24 诗词曲五首\n\n137 十五从军征白雪歌送武判官归京 / 岑参南乡子·登京口北固亭有怀 / 辛弃疾过零丁洋 / 文天祥山坡羊·潼关怀古 / 张养浩写作有创意地表达\n\n141\n\n《简·爱》 外国小说的阅读\n\n143\n\n名著导读课外古诗词诵读 147\n\n南安军 / 文天祥别云间 / 夏完淳山坡羊·骊山怀古 / 张养浩编\n\n版朝天子·咏喇叭 / 王磐课文原则上以学生自读为主。 统注：阅读单元课文分“教读”和“自读”两类。篇名前标有 * 的为“自读”课文。“活动·探究”单元的目 录\n\nIII 编统\n\n版诗歌，语言凝练，形式精致，讲究韵律和节奏，其内容包罗万象，丰富多彩。无论是博大、深沉的情感，还是幽远、隽永的哲思，无论是对自然、社会的赞颂，还是对理想的追求、对信念的坚守，都可以用诗歌来表达。本单元的作品主要是新诗，也有以旧体表现时代内容的诗作，还有散文诗。阅读这些作品，我们可以领略作者的情思，触摸时代的脉搏，受到精神的感染和美的熏陶。 学习本单元，要在反复朗读、感受诗歌韵律的基础上，进一步把握诗歌的意象，体编\n\n版会诗人的情感，理解诗中蕴含的哲理。 统第一单元阅读\n\n1 祖国啊，我亲爱的祖国舒\n\n婷预 习\n◎ 先默读诗歌，给不认识的字注音，了解诗歌的内容，把打动你的诗句画出来。 ◎ 再大声朗读，体会诗歌的韵律和节奏，说说你的整体感受。 我是你河边上破旧的老水车， 数百年来纺着疲惫的歌； 我是你额上熏黑的矿灯， 照你在历史的隧洞里蜗行摸索； 我是干瘪的稻穗；是失修的路基； 是淤滩上的驳船把纤绳深深勒进你的肩膊； ——祖国啊！ 我是贫困， 我是悲哀。 我是你祖祖辈辈痛苦的希望啊， 版是“飞天”袖间千百年来未落到地面的花朵； 2\n\n阅读\n\n第一单元统,903,0,unknown,text-extracted,,2.0,义务教育教科书·语文九年级下册,2,996,2025-07-21T14:24:38.945Z,2.0,2025-07-20T03:47:09.228Z,九年级,[object Object],node-poppler,unknown,0.8053777208706786,0.7999999999999999,0.903,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/语文/统编版-人民教育出版社/九年级/义务教育教科书·语文九年级下册.pdf,义务教育教科书·语文九年级下册.json,语文,110051
义务教育教科书·语文九年级下册_chunk_3,3,我是你河边上破旧的老水车， 数百年来纺着疲惫的歌； 我是你额上熏黑的矿灯， 照你在历史的隧洞里蜗行摸索； 我是干瘪的稻穗；是失修的路基； 是淤滩上的驳船把纤绳深深勒进你的肩膊； ——祖国啊！ 我是贫困， 我是悲哀。 我是你祖祖辈辈痛苦的希望啊， 版是“飞天”袖间千百年来未落到地面的花朵； 2\n\n阅读\n\n第一单元统\n\na 选自《舒婷的诗》（人民文学出版社 2005 年版）。 编\n\n——祖国啊！ 我是你簇新的理想， 刚从神话的蛛网里挣脱； 我是你雪被下古莲的胚芽； 我是你挂着眼泪的笑涡； 我是新刷出的雪白的起跑线； 是绯红的黎明正在喷薄； ——祖国啊！ 我是你的十亿分之一， 是你九百六十万平方的总和； 你以伤痕累累的乳房喂养了迷惘的我、深思的我、沸腾的我； 那就从我的血肉之躯上去取得你的富饶、你的荣光、你的自由； ——祖国啊， 我亲爱的祖国！ 1979 年 4 月思考探究一\n\n读这首诗要注意把握诗中的抒情主人公形象。诗中的“我”仅仅指诗人自己吗？“我”与祖国是一种什么关系？ 二诗人用一系列意象，形象地抒发自己对祖国的情感。试结合每节诗中的意象，分析诗人的情感脉络。 版结合上下文，品味下列诗句的含义。 1. 我是你河边上破旧的老水车 / 数百年来纺着疲惫的歌\n2. 是“飞天”袖间 / 千百年来未落到地面的花朵编\n\n3. 我是你簇新的理想 / 刚从神话的蛛网里挣脱\n4. 是绯红的黎明 / 正在喷薄\n\n统三\n\n祖国啊，我亲爱的祖国阅 读\n\n3 积累拓展四\n\n朗读并背诵这首诗。朗读前，先和同学讨论：如何把握朗读的语速、节奏、语气和语调？ 五诗中所描写的意象，有些有下句承接（如“老水车”在“纺着疲惫的歌”），有些则没有（如“干瘪的稻穗”）。仿照课文，在下面的横线处添加一句，使它们尽可能与原诗句承接紧密，和谐一致。 1. 我是干瘪的稻穗，；是失修的路基， 2. 我是你雪被下古莲的胚芽， 3. 我是你挂着眼泪的笑涡， 4. 我是新刷出的雪白的起跑线， 读读写写,835,0,unknown,text-extracted,,2.0,义务教育教科书·语文九年级下册,3,887,2025-07-21T14:24:38.945Z,2.0,2025-07-20T03:47:09.228Z,九年级,[object Object],node-poppler,unknown,0.8381962864721485,0.7999999999999999,0.835,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/语文/统编版-人民教育出版社/九年级/义务教育教科书·语文九年级下册.pdf,义务教育教科书·语文九年级下册.json,语文,110051
义务教育教科书·语文九年级下册_chunk_4,4,五诗中所描写的意象，有些有下句承接（如“老水车”在“纺着疲惫的歌”），有些则没有（如“干瘪的稻穗”）。仿照课文，在下面的横线处添加一句，使它们尽可能与原诗句承接紧密，和谐一致。 1. 我是干瘪的稻穗，；是失修的路基， 2. 我是你雪被下古莲的胚芽， 3. 我是你挂着眼泪的笑涡， 4. 我是新刷出的雪白的起跑线， 读读写写不错，目前的中国，固然是江山破碎，国弊民穷，但谁能断言，中国没有一个光明的前途呢？不，绝不会的，我们相信，中国一定有个可赞美的光明前途。中华民族在很早以前，就造起了一座万里长城，开凿了几千里的运河，这就证明中华民族伟大无比的创造力！中国在战斗之中一旦斩去了帝国主义的锁链，肃清自己阵线内的汉奸卖国贼，得到了自由与解放，这种创造力，将会无限地发挥出来。到那时，中国的面貌将会被我们改造一新。所有贫穷和灾荒，混乱和仇杀，饥饿和寒冷，疾病和瘟疫，迷信和愚昧，以及那慢性的杀灭中华民族的鸦片毒物，这些等等都是帝国主义���给我们可憎的赠品，将来也要随着帝国主义的赶走而离去中国了。 朋友，我相信，到那时，到处都是活跃跃的创造，到处都是日新月异的进步，欢歌将代替了悲叹，笑脸将代替了哭脸，富裕将代替了贫穷，康健将代替了疾苦，智慧版\n\n将代替了愚昧，友爱将代替了仇杀，生之快乐将代替了死之悲哀，明媚的花园，将代替了凄凉的荒地！这时，我们民族就可以无愧色地立在人类的面前，而生育我们编\n\n的母亲，也会最美丽地装饰起来，与世界上各位母亲平等地携手了。 4\n\n阅读\n\n第一单元统\n\n——方志敏《可爱的中国》 2 梅岭三章陈\n\n毅一九三六年冬，梅山被围。余伤病伏丛莽间二十余日，虑不得脱 b，得诗三首留衣底 c。旋围解 d。 一断头今日意如何 e？ 创业艰难百战多。 此去泉台 f 招旧部 g， 陈毅\n\n旌旗 h 十万斩阎罗 i。 二南国烽烟 j 正十年， 此头须向国门悬。,788,0,unknown,text-extracted,,2.0,义务教育教科书·语文九年级下册,4,832,2025-07-21T14:24:38.945Z,2.0,2025-07-20T03:47:09.228Z,九年级,[object Object],node-poppler,unknown,0.8532974427994616,0.7999999999999999,0.788,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/语文/统编版-人民教育出版社/九年级/义务教育教科书·语文九年级下册.pdf,义务教育教科书·语文九年级下册.json,语文,110051
义务教育教科书·语文九年级下册_chunk_5,5,阅读\n\n第一单元统\n\n——方志敏《可爱的中国》 2 梅岭三章陈\n\n毅一九三六年冬，梅山被围。余伤病伏丛莽间二十余日，虑不得脱 b，得诗三首留衣底 c。旋围解 d。 一断头今日意如何 e？ 创业艰难百战多。 此去泉台 f 招旧部 g， 陈毅\n\n旌旗 h 十万斩阎罗 i。 二南国烽烟 j 正十年， 此头须向国门悬。 （人民文学出版社 1977\na 选自《陈毅诗词选集》\n年版）。梅岭，即大庾（yǔ）岭，在今江西大余 和广 东南 雄交 界处。 陈毅（1901—1972）， 字仲弘，四川乐至人，中国人民解放军创建人和领导人之一，无产阶级革命家、军事家。 1934 年 10 月，江西中央红军开始长征，陈毅因身负重伤，留在江西担任军事指挥。1935 年春，他在敌人重兵围攻下，率部突围到江西、\n广东两省交界的油山和梅山（梅岭山脉的两座山）地区开展游击战争，直到 1937 年抗日战争全面爆发才离开。这三首诗就写于这一时期。 b〔虑不得脱〕估计不能脱险。 c〔衣底〕衣服最里面。 d〔旋围解〕不久围困解除了。这段小序是作者后来补记的，所以写到解围的情况。旋， 版不久、随即。 e〔意如何〕心里想些什么呢？ f〔泉台〕指人死后埋葬的地方，也指阴间。 g〔旧部〕过去的部下。这里指为革命牺牲的同志。 h〔旌旗〕旗帜的总称。这里借指军士。 i〔阎罗〕即阎罗王，也称“阎王”，民间传说\n\n统编\n\n中掌管阴间的神。 j〔烽烟〕古代边境有敌人入侵时，在烽火台上 点起 的报 警用 的烟 火， 后泛 指战 火或 战争。这里指 1927 年以后的国内革命战争。 梅岭三章阅 读\n\n5 后死诸君多努力， 捷报飞来当纸钱 a。 三投身革命即为家， 血雨腥风应有涯。 取义成仁 b 今日事， 人间遍种自由花。,739,0,unknown,text-extracted,,2.0,义务教育教科书·语文九年级下册,5,800,2025-07-21T14:24:38.945Z,2.0,2025-07-20T03:47:09.228Z,九年级,[object Object],node-poppler,unknown,0.7706422018348624,0.7999999999999999,0.739,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/语文/统编版-人民教育出版社/九年级/义务教育教科书·语文九年级下册.pdf,义务教育教科书·语文九年级下册.json,语文,110051
义务教育教科书·语文九年级下册_chunk_6,6,"统编\n\n中掌管阴间的神。 j〔烽烟〕古代边境有敌人入侵时，在烽火台上 点起 的报 警用 的烟 火， 后泛 指战 火或 战争。这里指 1927 年以后的国内革命战争。 梅岭三章阅 读\n\n5 后死诸君多努力， 捷报飞来当纸钱 a。 三投身革命即为家， 血雨腥风应有涯。 取义成仁 b 今日事， 人间遍种自由花。 阅读提示生与死的抉择，是人面对的最严峻的考验。也正是在这一关头，古往今来无数志士仁人回顾过去、瞻望未来，以诗歌的形式抒写自己崇高的理想、坚定的信念。 《梅岭三章》正是一名革命者在生死关头的告白。诗人以“泉台”“烽烟”\n“血雨腥风”等意象，形象地概括了革命征程的艰辛，表达了对牺牲者的缅怀，又以“斩阎罗”的十万“旌旗”、纷飞的“捷报”、遍种人间的“自由花”等意象，表达了不屈的战斗意志和对革命必胜的信念。读这组诗，要把握诗中的这些意象，体会革命者深沉博大而又炽热激越的情感。课外可再阅读周恩来的《大江歌罢掉头东》，鲁迅的《自嘲》《自题小像》等诗作，理解作者的理想信念和伟大人格。 6\n\n阅读\n\n第一单元编\n\n为了 成全 仁义， 不惜 牺牲 生命。 这里 指为\n了人民的解放事业而勇于牺牲。取，选取。 成，成全、实现。 统\n\na〔捷报飞来当纸钱〕意思是，希望幸存的同志们用胜利的消息来祭奠和安慰我。纸钱， 也叫“冥币”，民间烧给死者的纸做的假钱。 b〔 取义 成仁 〕 即“ 舍生 取义 ”“ 杀身 成仁 ”。 版读读写写 3 短诗五首月\n\n夜a\n\n沈尹默霜风呼呼的吹着 ,\n月光明明的照着。 我和一株顶高的树并排立着， 却没有靠着。 萧红墓畔口占 b\n戴望舒走六小时寂寞的长途， 到你头边放一束红山茶， 是自言自语，又我等待着，长夜漫漫， 是在寂寞地倾诉。诗你却卧听着海涛闲话。 句简短却意味深长。 版\n\n1944 年 11 月 20 日选自《沈尹默诗词集》\n（书目文献出版社 1982\na \n年版）。沈尹默（1883—1971），原名君默，浙江吴兴（今湖州吴兴区）人，诗人、书法家。主要作品有《秋明室杂诗》\n《秋明长短句》等。 （人民文学出版社 2005 年\nb 选自《戴望舒选集》\n\n统编",900,0,unknown,text-extracted,,2.0,义务教育教科书·语文九年级下册,6,977,2025-07-21T14:24:38.945Z,2.0,2025-07-20T03:47:09.228Z,九年级,[object Object],node-poppler,unknown,0.805,0.7999999999999999,0.9,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/语文/统编版-人民教育出版社/九年级/义务教育教科书·语文九年级下册.pdf,义务教育教科书·语文九年级下册.json,语文,110051
义务教育教科书·语文九年级下册_chunk_7,7,是在寂寞地倾诉。诗你却卧听着海涛闲话。 句简短却意味深长。 版\n\n1944 年 11 月 20 日选自《沈尹默诗词集》\n（书目文献出版社 1982\na \n年版）。沈尹默（1883—1971），原名君默，浙江吴兴（今湖州吴兴区）人，诗人、书法家。主要作品有《秋明室杂诗》\n《秋明长短句》等。 （人民文学出版社 2005 年\nb 选自《戴望舒选集》\n\n统编\n\n版）。口占，指即兴作诗词，不打草稿，随口吟诵出来。戴望舒（1905—1950），原名戴梦欧，浙江杭县（今杭州）人，现代诗人、翻译家。主要作品有诗集《望舒草》《望舒诗稿》《灾难的岁月》等。 短诗五首阅 读\n\n7 断章a\n卞之琳你站在桥上看风景， “看”与“被看”， 看风景人在楼上看你。 主客流转，富有意趣。 明月装饰了你的窗子， 你装饰了别人的梦。 1935 年 10 月风雨吟 b\n芦荻\n\n风从大地卷来， 雨从大地奔来。 郊原如海， 房舍如舟。 如何理解“年轻舵手的心”？ 我有年轻舵手的心， 在大地风雨的海上。 8\n\n阅读\n\n第一单元编\n\n（花城出版社 1986 年版）。 b 选自《芦荻诗选》\n芦荻（1912—1994）， 原名 陈培 迪， 广东 南海人，诗人。主要作品有诗集《桑野》《驰驱集》等。 统\n\na 选自《鱼目集》（浙江文艺出版社 1997 年版）。 卞之琳（1910—2000），江苏海门人，诗人、\n翻译家。主要作品有诗集《鱼目集》《慰劳信集》《雕虫纪历》，合集《汉园集》等。 版\n\n1941 年 12 月统\n\n一a\n\n聂鲁达所有的叶是这一片， 所有的花是这一朵， 繁多是个谎言。 怎样理解“繁多因为一切果实并无差异， 是个谎言”？ 所有树木无非一棵， 整片大地是一朵花。,724,0,unknown,text-extracted,,2.0,义务教育教科书·语文九年级下册,7,778,2025-07-21T14:24:38.945Z,2.0,2025-07-20T03:47:09.228Z,九年级,[object Object],node-poppler,unknown,0.692429022082019,0.7999999999999999,0.724,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/语文/统编版-人民教育出版社/九年级/义务教育教科书·语文九年级下册.pdf,义务教育教科书·语文九年级下册.json,语文,110051
义务教育教科书·语文九年级下册_chunk_8,8,版\n\n1941 年 12 月统\n\n一a\n\n聂鲁达所有的叶是这一片， 所有的花是这一朵， 繁多是个谎言。 怎样理解“繁多因为一切果实并无差异， 是个谎言”？ 所有树木无非一棵， 整片大地是一朵花。 阅读提示这 几首 短诗， 语言 凝练 而含 蓄， 蕴含 着丰 富的 情感 和哲 思， 带给 我们审美的愉悦和多样的思考。阅读时，要注意把握诗歌的意象，比如《月夜 》 中“ 顶高 的树 ”，《 萧红 墓畔 口占 》 中的“ 红山 茶 ”，《 风雨 吟 》 中的\n“风”“雨”“海”“舟”等，都营造出不同的氛围，传达出独特的诗意。 阅读诗歌，还可以联系诗人生平和创作背景，理解诗歌内容，把握诗人的思想情感。例如《月夜》中，与大树“并排立着”的“我”，让人感受到一个寂寞而又独立自主的形象；结合“五四运动”这一时代背景，就能进一步体会到， 这一形象代表着新一代青年知识分子自我意识的觉醒，以及他们对独立自由的渴望。同学们不妨采用这种方法，试着自己解读这几首诗。 版读读写写品 有《 二十 首情 诗和 一支 绝望 的歌 》《 漫歌》等。 3\n\n统编\n\na 选自《聂鲁达抒情诗选》（湖南文艺出版社\n1992 年版）。陈实译。聂鲁达（1904—1973）， 智利诗人。获 1971 年诺贝尔文学奖。主要作短诗五首阅 读\n\n9 4 海燕\n\n高尔基预 习\n◎ 本文写于俄国 1905 年革命前沙皇统治最黑暗的时期。当时俄国工人运动不断高涨，动摇着沙皇统治的根基。作者敏锐地预感到时代的风云变幻，创造出广为传颂的“海燕”形象，鼓舞了一代又一代革命者。“海燕”在俄文里含有“暴风雨的预言者”之意，阅读时要注意体会这一形象的象征意义。 ◎ 在整体了解课文内容的基础上，选择自己感受最深的几段，做一些朗读标记，试读几遍， 高尔基准备课上朗读给同学听。,761,0,unknown,text-extracted,,2.0,义务教育教科书·语文九年级下册,8,834,2025-07-21T14:24:38.945Z,2.0,2025-07-20T03:47:09.228Z,九年级,[object Object],node-poppler,unknown,0.8103703703703704,0.7999999999999999,0.761,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/语文/统编版-人民教育出版社/九年级/义务教育教科书·语文九年级下册.pdf,义务教育教科书·语文九年级下册.json,语文,110051
义务教育教科书·语文九年级下册_chunk_9,9,高尔基准备课上朗读给同学听。 在苍茫的大海上，狂风卷集着乌云。在乌云和大海之间，海燕像黑色的闪电，在高傲地飞翔。 一会儿翅膀碰着波浪，一会儿���一般地直冲向乌云，它叫喊着，——就在这鸟儿勇敢的叫喊声里，乌云听出了欢乐。 在这叫喊声里——充满着对暴风雨的渴望！在这叫喊声里，乌云听出了愤怒的力量、热情的火焰和胜利的信心。 海鸥在暴风雨来临之前呻吟着，——呻吟着，它们在大海上飞窜，想把自\n\n10\n\n阅读\n\n第一单元编\n\n燕之歌》，曾作为独立的文章发表。高尔基\n（1868—1936），原名阿列克塞·马克西莫维奇·彼什科夫，苏联作家。主要作品有自传体小说《童年》《在人间》《我的大学》等。 统\n\na 选自《高尔基文集》第五卷（人民文学出版社 1983 年版）。戈宝权译。有改动。《海燕》\n是高尔基在 1901 年 3 月写的短篇小说“幻想曲”《春天的旋律》的结尾部分，原题为《海版\n\n己对暴风雨的恐惧，掩藏到大海深处。 海鸭也在呻吟着，——它们这些海鸭啊，享受不了生活的战斗的欢乐：轰隆隆的雷声就把它们吓坏了。 蠢笨的企鹅，胆怯地把肥胖的身体躲藏在悬崖底下……只有那高傲的海燕，勇敢地，自由自在地，在泛起白沫的大海上飞翔！ 乌云越来越暗，越来越低，向海面直压下来，而波浪一边歌唱，一边冲向高空，去迎接那雷声。 雷声轰响。波浪在愤怒的飞沫中呼叫，跟狂风争鸣。看吧，狂风紧紧抱起一层层巨浪，恶狠狠地把它们甩到悬崖上，把这些大块的翡翠 a 摔成尘雾和碎末。 海燕叫喊着，飞翔着，像黑色的闪电，箭一般地穿过乌云，翅膀掠起波浪编\n\n版的飞沫。 4\n\n统\n\na〔翡翠〕一种珍贵的玉石，颜色多样。 海燕阅 读\n\n11,700,0,unknown,text-extracted,,2.0,义务教育教科书·语文九年级下册,9,731,2025-07-21T14:24:38.945Z,2.0,2025-07-20T03:47:09.228Z,九年级,[object Object],node-poppler,unknown,0.8140243902439024,0.7999999999999999,0.7,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/语文/统编版-人民教育出版社/九年级/义务教育教科书·语文九年级下册.pdf,义务教育教科书·语文九年级下册.json,语文,110051
