Chunk_ID,Chunk_Index,Content,Content_Length,Quality_Score,Reliability,Source_Type,Original_Content,Enhancement_Version,book_name,chunkIndex,chunkSize,enhancementTimestamp,enhancementVersion,extractedAt,grade,loc_lines,method,publisher,qualityMetrics_chineseCharRatio,qualityMetrics_coherenceScore,qualityMetrics_lengthScore,qualityMetrics_ocrConfidence,semester,source,source_file,subject,textLength
义务教育教科书·道德与法治九年级上册_chunk_0,0,®\n\n义务 教育 教科 书\n\nYIWU JIAOYU JIAOKESHU\n\nDAODE YU FAZHI\n\n道德与法治九年级义务教育教科书九年级上册上册道 德与 法治\n\n道德与\n法治九年级上册 产品定价： 2021修订---初中封面道德与法治9上.indd 1\n\n元\n\n2022/7/14 下午12:19 义务教育教科书道德与法治九年级上册教育部组织编写总主编朱小蔓\n\n·北京· 总主 编：朱小蔓本册主编：高国希杨一鸣编写人员（以姓氏笔画为序）： 王兰涛陈 红范君召罗绍良黄 凡黄裴莉戴 慧责任编辑：毛志浩高 琪美术编辑：李媛\n\n义务教育教科书道德与法治九年级上册教育部组织编写出\n\n版\n（北京市海淀区中关村南大街 17 号院 1 号楼网\n\n址邮编：100081）\n\nhttp://www.pep.com.cn\n\n版权所有·未经许可不得采用任何方式擅自复制或使用本产品任何部分·违者必究如发现内容质量问题，请登录中小学教材意见反馈平台：jcyjfk.pep.com.cn\n如发现印、装质量问题，影响阅读，请与 ××× 联系调换。电话：×××-×××××××× 目录\n\n第一单元富强与创新\n\n第一课踏上强国之路\n\n2 坚持改革开放\n\n2 走向共同富裕\n\n第二课创新驱动发展\n\n14 创新改变生活\n\n14 创新永无止境\n\n20\n\n第二单元民主与法治\n\n29\n\n追求民主价值\n\n30 生活在新型民主国家\n\n30 参与民主生活\n\n37\n\n第四课建设法治中国\n\n44 夯实法治基础\n\n44 凝聚法治共识\n\n50\n\n第三课第三单元文明与家园\n\n57\n\n第五课守望精神家园\n\n58 延续文化血脉\n\n58 凝聚价值追求\n\n66\n\n第六课建设美丽中国\n\n74 正视发展挑战\n\n74 共筑生命家园\n\n81\n\n第四单元和谐与梦想\n\n89\n\n第七课中华一家亲\n\n90 促进民族团结\n\n90 维护祖国统一\n\n97\n\n中国人\n\n104\n\n第八课中国梦我们的梦想\n\n104,821,0,unknown,text-extracted,,2.0,义务教育教科书·道德与法治九年级上册,0,1000,2025-07-21T14:24:39.808Z,2.0,2025-07-20T03:47:09.300Z,九年级,[object Object],node-poppler,unknown,0.712166172106825,0.7999999999999999,0.821,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/道德与法治/统编版-人民教育出版社/九年级/义务教育教科书·道德与法治九年级上册.pdf,义务教育教科书·道德与法治九年级上册.json,道德与法治,65532
义务教育教科书·道德与法治九年级上册_chunk_1,1,第五课守望精神家园\n\n58 延续文化血脉\n\n58 凝聚价值追求\n\n66\n\n第六课建设美丽中国\n\n74 正视发展挑战\n\n74 共筑生命家园\n\n81\n\n第四单元和谐与梦想\n\n89\n\n第七课中华一家亲\n\n90 促进民族团结\n\n90 维护祖国统一\n\n97\n\n中国人\n\n104\n\n第八课中国梦我们的梦想\n\n104 共圆中国梦\n\n112 第一单元富强与创新在中国共产党的领导下，中华民族迎来了从站起来、富起来到强起来的伟大飞跃，走上一条民族复兴、强国富民的康庄大道。 回望来路，“中国奇迹”让中华民族屹立于世界民族之林；审视现实，全面深化改革使中国特色社会主义事业蓬勃发展。改革是一场深刻的革命，让全体人民共享改革成果、实现共同富裕是党和政府对人民的庄严承诺。 创新是民族进步之魂，是引领发展的第一动力。创新者强，创新者胜。实施创新驱动发展战略，以改革释放创新活力，让亿万中国人在创新创业中过上幸福美好的生活。 改革只有进行时，没有完成时。扬起改革创新的风帆，“中国号”巨轮必将到达富强的彼岸。 第一课踏上强国之路\n“神女应无恙，当惊世界殊。 ”几多记忆，几多变迁！每个中国人都在用自己的辛勤劳动创造历史，每个中国家庭都在生活的巨变中感受时代的进步。 强国路上，如何抓住发展新机遇，应对发展新挑战，成就腾飞新奇迹？让我们一同回顾改革开放的伟大进程，一同感受国家富强、社会进步带来的喜悦，坚定地迈开全面深化改革的脚步！ 坚持改革开放运用你的经验新学期开始了，同学们正在新落成的校史展览馆参观。 咦？这是运动场吗？跑道怎么铺的是煤渣呀？现在的运动场不仅铺着塑胶跑道，而且种植了草皮，条件可好了！ 40多年前，我们学校的教室都是平房，如今的五层教学楼崭新、漂亮！ ……\n\n是啊！你看，从前的教室里只有简陋的黑板和木桌椅。 现在的教室里多媒体设备齐全，人性化设计的课桌椅还可以调节高度呢！ 参观校史展览或者走访老教师，你发现学校面貌有哪些变化？想一想：为什么学校面貌会发生如此大的变化？ 2\n\n第一单元富强与创新,846,0,unknown,text-extracted,,2.0,义务教育教科书·道德与法治九年级上册,1,935,2025-07-21T14:24:39.808Z,2.0,2025-07-20T03:47:09.300Z,九年级,[object Object],node-poppler,unknown,0.875,0.7999999999999999,0.846,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/道德与法治/统编版-人民教育出版社/九年级/义务教育教科书·道德与法治九年级上册.pdf,义务教育教科书·道德与法治九年级上册.json,道德与法治,65532
义务教育教科书·道德与法治九年级上册_chunk_2,2,40多年前，我们学校的教室都是平房，如今的五层教学楼崭新、漂亮！ ……\n\n是啊！你看，从前的教室里只有简陋的黑板和木桌椅。 现在的教室里多媒体设备齐全，人性化设计的课桌椅还可以调节高度呢！ 参观校史展览或者走访老教师，你发现学校面貌有哪些变化？想一想：为什么学校面貌会发生如此大的变化？ 2\n\n第一单元富强与创新改革开放促发展我们的国家是一个有着五千多年文明史的大国，创造了灿烂的中华文明。近代以后，由于西方列强的入侵、封建统治的腐败，中华民族遭受了前所未有的苦难。强国富民成为一百多年来中华民族矢志不渝的奋斗目标。 中国共产党团结带领中国人民完成新民主主义革命，建立中华人民共和国，彻底结束了旧中国半殖民地半封建社会的历史，彻底结束了极少数剥削者统治广大劳动人民的历史，彻底结束了旧中国一盘散沙的局面，彻底废除了列强强加给中国的不平等条约和帝国主义在中国的一切特权。饱经苦难的中华民族终于站起来了。 中国共产党团结带领中国人民完成社会主义革命，确立社会主义基本制度，推进社会主义建设，为当代中国一切发展进步奠定了根本政治前提和制度基础，为中国发展富强、\n人民生活富裕奠定了坚实基础。 中国共产党团结带领中国人民进行改革开放新的伟大革命，极大激发广大人民群众的创造性，极大解放和发展社会生产力，极大增强社会发展活力，人民生活显著改善，综合国力显著增强，国际地位显著提高。 阅读感悟\n\n1978 年，安徽省凤阳县小岗村\n18 位农民郑重地签下一份“契约”， 尝试“大包干”的做法。这变成中国改革的一声惊雷，成为中国改革的标志。随着家庭联产承包责任制在中国广大农村迅速推开，小岗村也被称为“中国农村改革第一村”。 “大包干”塑像第一课踏上强国之路\n\n3 相关链接中国共产党在社会主义初级阶段的基本路线是：领导和团结全国各族人民， 以经济建设为中心，坚持四项基本原则，坚持改革开放，自力更生，艰苦创业， 为把我国建设成为富强民主文明和谐美丽的社会主义现代化强国而奋斗。,831,0,unknown,text-extracted,,2.0,义务教育教科书·道德与法治九年级上册,2,872,2025-07-21T14:24:39.808Z,2.0,2025-07-20T03:47:09.300Z,九年级,[object Object],node-poppler,unknown,0.9069478908188585,0.7999999999999999,0.831,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/道德与法治/统编版-人民教育出版社/九年级/义务教育教科书·道德与法治九年级上册.pdf,义务教育教科书·道德与法治九年级上册.json,道德与法治,65532
义务教育教科书·道德与法治九年级上册_chunk_3,3,“大包干”塑像第一课踏上强国之路\n\n3 相关链接中国共产党在社会主义初级阶段的基本路线是：领导和团结全国各族人民， 以经济建设为中心，坚持四项基本原则，坚持改革开放，自力更生，艰苦创业， 为把我国建设成为富强民主文明和谐美丽的社会主义现代化强国而奋斗。 1978 年，党的十一届三中全会开启了改革开放的历史征程，从农村到城市，从试点到推广，从经济体制改革到全面深化改革，中国人民坚持聚精会神搞建设，坚持改革开放不动摇，推动中国发生了翻天覆地的变化。 我国逐步确立了公有制为主体、多种所有制经济共同发展，按劳分配为主体、多种分配方式并存，社会主义市场经济体制等社会主义基本经济制度。社会主义基本经济制度既体现了社会主义制度优越性，又同我国社会主义初级阶段社会生产力发展水平相适应，是党和人民的伟大创造。 探究与分享我国社会主义基本经济制度是党和人民在长期实践探索中形成的。请查找资料，列举实例说明我国社会主义基本经济制度的显著优势。 优势\n\n第一单元实例富强与创新阅读感悟\n\n✧ 只有社会主义才能救中国。坚持改革开放，是我们的强国之路。只有改革开放，才能发展中国、发展社会主义、发展马克思主义。 ✧ 解放和发展社会生产力，是社会主义的本质要求。 ✧ 改革开放是决定当代中国命运的关键一招，也是决定实现中华民族伟大复兴的关键一招。 中国人民敢闯敢试，敢为人先。改革开放使广大人民群众参与社会劳动、创造社会财富的积极性和主动性空前高涨。尊重劳动、尊重知识、尊重人才、尊重创造已成为社会共识。 探究与分享我是一名工人，靠劳动创造幸福生活。 我是一名农民，用勤劳和汗水努力耕耘， 日子越过越红火。 我是一名企业管理者，科学管理提高了企业的生产效率。 我是一名科技工作者，我的发明创造了社会财富，我也从中体验到个人价值。 了解父母的工作，说一说他们是如何为家庭、为社会创造财富的。 第一课踏上强国之路,794,0,unknown,text-extracted,,2.0,义务教育教科书·道德与法治九年级上册,3,847,2025-07-21T14:24:39.808Z,2.0,2025-07-20T03:47:09.300Z,九年级,[object Object],node-poppler,unknown,0.910039113428944,0.7999999999999999,0.794,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/道德与法治/统编版-人民教育出版社/九年级/义务教育教科书·道德与法治九年级上册.pdf,义务教育教科书·道德与法治九年级上册.json,道德与法治,65532
义务教育教科书·道德与法治九年级上册_chunk_4,4,我是一名农民，用勤劳和汗水努力耕耘， 日子越过越红火。 我是一名企业管理者，科学管理提高了企业的生产效率。 我是一名科技工作者，我的发明创造了社会财富，我也从中体验到个人价值。 了解父母的工作，说一说他们是如何为家庭、为社会创造财富的。 第一课踏上强国之路\n\n5 中国腾飞谱新篇\n40 多年来，中国人民坚持改革开放，极大解放和发��\n了社会生产力。今天，中国已经成为世界第二大经济体、\n制造业第一大国、货物贸易第一大国、商品消费第二大国， 外汇储备连续多年位居世界第一，科技、教育、文化等各项事业蓬勃发展。在中国共产党领导下，中国人民创造了人类发展史上的伟大奇迹，充分显示了中国力量。 探究与分享现代经济学将全部经济活动划分为三大产业，即广义的农业、工业和服务业。 三大产业的发展情况可以反映一个国家国民经济的发展水平。 ✧ 我国粮食生产连年增收，肉类、禽蛋、\n蔬菜和水产品等产量稳居世界第一。农业生产方式正由传统向现代迈进。 ✧ 我国制造业规模跃居世界第一位，已经建立起门类齐全、独立完整的制造体系， 载人航天、载人深潜、大型飞机、百万千瓦级发电装备、万米深海石油钻探设备等一批重大技术装备取得突破，建成一批接近或达到世界先进技术水平的工程项目。 ✧ 我国服务贸易规模迅速扩大，保险、计算机信息服务、咨询等新兴服务业不断发展。2021\n年，我国服务业对经济增长贡献率超过 50%。 请你关注近年来的政府工作报告，收集相关新闻报道，了解我国取得的经济发展成就。 6\n\n第一单元富强与创新改革开放以来，我国城乡就业规模持续扩大，人民收入较快增长，家庭财产稳步增加，社会保障体系逐步建立和完善，脱贫攻坚战取得全面胜利。中国人民通过改革开放过上了幸福生活。 探究与分享请用一组微镜头，晒晒你和家人的幸福生活。 食衣\n\n我们的笑脸行\n\n住\n\n……\n\n改革开放是中国和世界共同发展进步的伟大历程，不仅深刻改变了中国，也深刻影响着世界。从“引进来”到“走出去”，从加入世界贸易组织到共建“一带一路”，从应对亚洲金融危机和国际金融危机到成为世界经济增长的主要稳定器和动力源，中国已经成为影响世界的重要力量。 第一课踏上强国之路\n\n7 相关链接,914,0,unknown,text-extracted,,2.0,义务教育教科书·道德与法治九年级上册,4,968,2025-07-21T14:24:39.808Z,2.0,2025-07-20T03:47:09.300Z,九年级,[object Object],node-poppler,unknown,0.8920780711825488,0.7999999999999999,0.914,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/道德与法治/统编版-人民教育出版社/九年级/义务教育教科书·道德与法治九年级上册.pdf,义务教育教科书·道德与法治九年级上册.json,道德与法治,65532
义务教育教科书·道德与法治九年级上册_chunk_5,5,食衣\n\n我们的笑脸行\n\n住\n\n……\n\n改革开放是中国和世界共同发展进步的伟大历程，不仅深刻改变了中国，也深刻影响着世界。从“引进来”到“走出去”，从加入世界贸易组织到共建“一带一路”，从应对亚洲金融危机和国际金融危机到成为世界经济增长的主要稳定器和动力源，中国已经成为影响世界的重要力量。 第一课踏上强国之路\n\n7 相关链接中国经济的发展给世界带来积极影响：2006—2021 年，中国对世界经济增长的贡献率稳居世界第一位，是世界经济增长的重要动力源；“一带一路”倡议、成立亚洲基础设施投资银行等中国方案让世界分享中国红利；截至 2020 年底，中国 2.8 万家境内投资者在全球 189 个国家（地区）设立对外直接投资企业 4.5 万家，全球 80% 以上国家（地区）都有中国的投资。 中国的腾飞证明，改革开放是决定当代中国命运的关键抉择。党的十八大以来，中国特色社会主义进入新时代。为中国人民谋幸福、为中华民族谋复兴，中国共产党不忘初心、牢记使命，带领中国人民走上了建设富强民主文明和谐美丽的社会主义现代化强国之路。 拓展空间\n\n“ 来到 了南 泥湾， 南泥 湾好 地方 ……”\n歌曲《南泥湾》让很多人认识了陕北的南泥湾。1941 年，八路军三五九旅在南泥湾开展大生产运动，自己动手，丰衣足食，为陕甘宁边区经济发展作出了贡献。 20 世纪 60 年代， 南泥 湾农 场的 职工 为了发展农业生产，拿出不减当年的干劲，继续开荒造田。 改革开放后，国家投资开发建设南泥湾农场。农场的基本条件有了改善，经济效益和职工生活水平不断提高。为了彻底改变农场的贫困面貌，1995 年，当地政府启动南泥湾农场扶贫开发基地建设后续工程。 如今的南泥湾拥有万亩良田，集参观、\n旅游、经济综合开发为一体，南泥湾人过上了好日子。 南泥湾新貌南泥湾见证了中国几十年的发展。请你了解改革开放以来家乡的发展成就，以人物采访、摄影作品等形式与同学分享。 8\n\n第一单元富强与创新走向共同富裕运用你的经验,837,0,unknown,text-extracted,,2.0,义务教育教科书·道德与法治九年级上册,5,893,2025-07-21T14:24:39.808Z,2.0,2025-07-20T03:47:09.300Z,九年级,[object Object],node-poppler,unknown,0.8584183673469388,0.7999999999999999,0.837,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/道德与法治/统编版-人民教育出版社/九年级/义务教育教科书·道德与法治九年级上册.pdf,义务教育教科书·道德与法治九年级上册.json,道德与法治,65532
义务教育教科书·道德与法治九年级上册_chunk_6,6,南泥湾见证了中国几十年的发展。请你了解改革开放以来家乡的发展成就，以人物采访、摄影作品等形式与同学分享。 8\n\n第一单元富强与创新走向共同富裕运用你的经验九年级（3）班的同学在课堂上交流各自的暑假生活。 我与父母乘坐高铁外出旅游，高铁快捷舒适，出行越来越方便。 我参加环保志愿者活动，看到好几家高污染企业停产整改。 我帮家人在市场照看服装摊，生意比往年冷清，而别人家新开的服装网店却生意火爆。 三名同学的假期经历有喜有忧，你从中发现我国经济发展有哪些新变化？ 改革进行时我国过去 40 多年的快速发展靠的是改革开放，未来发展也必须坚定不移地依靠改革开放。中华民族伟大复兴，绝不是轻轻松松、敲锣打鼓就能实现的。进入新时代，我国社会主要矛盾已经转化为人民日益增长的美好生活需要和不平衡不充分的发展之间的矛盾。党团结带领人民有效应对重大挑战、抵御重大风险、克服重大阻力、解决重大矛盾，进行新的伟大斗争，向顽瘴痼疾开刀，突破利益固化藩篱，将改革进行到底，开启全面深化改革的新征程，不断把新时代改革开放继续推向前进。 相关链接我国推行的改革是一场全面而深刻的社会变革，包括经济、政治、文化、社会、生态、国防和军队以及党的建设等领域的改革。全面深化改革的总目标是完善和发展中国特色社会主义制度，推进国家治理体系和治理能力现代化。 我国经济已由高速增长阶段转向高质量发展阶段， 需要转变发展方式，优化经济结构，转换增长动力，建设现代化经济体系。 第一课踏上强国之路\n\n9 探究与分享,634,0,unknown,text-extracted,,2.0,义务教育教科书·道德与法治九年级上册,6,667,2025-07-21T14:24:39.808Z,2.0,2025-07-20T03:47:09.300Z,九年级,[object Object],node-poppler,unknown,0.9141004862236629,0.7999999999999999,0.634,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/道德与法治/统编版-人民教育出版社/九年级/义务教育教科书·道德与法治九年级上册.pdf,义务教育教科书·道德与法治九年级上册.json,道德与法治,65532
义务教育教科书·道德与法治九年级上册_chunk_7,7,我国推行的改革是一场全面而深刻的社会变革，包括经济、政治、文化、社会、生态、国防和军队以及党的建设等领域的改革。全面深化改革的总目标是完善和发展中国特色社会主义制度，推进国家治理体系和治理能力现代化。 我国经济已由高速增长阶段转向高质量发展阶段， 需要转变发展方式，优化经济结构，转换增长动力，建设现代化经济体系。 第一课踏上强国之路\n\n9 探究与分享我国是能源消费大国。以煤为主的能源结构和粗放的能源发展方式，导致严重的环境问题和能源资源浪费。面对挑战，2010 年，国家电网公司发布的《国家电网公司绿色发展白皮书》指出：转变能源发展方式，以电代煤，减少煤炭直接燃烧带来的污染物排放；转变电力发展方式，建设以特高压电网为骨干网架的坚强 智能 电网； 发展 方式 转型 升级， 开启\n“无燃煤”的绿色时代。2016 年，国家电网公司又发布了《国家电网公司促进新能源发展白皮书（2016）》。国家电网作为全球范围内接入新能源规模最大的电网，将进一步加快特高压跨区输电通道建设，加快 构建 中国 能源 互联 网， 实现 更大 范围\n“水”“火”互济、“风”“光”互补，促进新能源大规模开发和高效利用。 风力发电机组请你从技术创新和社会责任等方面与同学讨论：国家电网公司为什么主动进行战略调整、转变发展方式？ 我国经济发展还面临区域发展不平衡、城镇化水平不高、城乡发展不平衡不协调等现实挑战。促进区域协调发展，坚持中国特色新型城镇化道路，推动城乡发展一体化， 有利于实现共同富裕，促进社会公平正义。 探究与分享农业农村农民问题是关系国计民生的根本性问题。进入新时代，我国实施乡村振兴战略，农村日益呈现新面貌。 村党支部书记小孟老乡要小康，关键看“钱袋子”鼓起来没有。去年，我们村农民人均收入突破万元，收入增长得比城里人还快。 村民张大娘现在的生活可好了，你看村里人住上了新房，喝上了干净的自来水， 用电方便，道路宽阔。更好的是，生病了有城乡居民基本医疗保险来保障！ 10\n\n第一单元富强与创新村民老李现在政府支持休闲农业与乡村旅游业发展，村村通了公路。只要人勤快，肯动脑筋，生活会一天比一天好！ 初中生小莉我上学不用交学杂费，也不用交课本费，妈妈说我赶上了好时代。,929,0,unknown,text-extracted,,2.0,义务教育教科书·道德与法治九年级上册,7,983,2025-07-21T14:24:39.808Z,2.0,2025-07-20T03:47:09.300Z,九年级,[object Object],node-poppler,unknown,0.8846584546472565,0.7999999999999999,0.929,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/道德与法治/统编版-人民教育出版社/九年级/义务教育教科书·道德与法治九年级上册.pdf,义务教育教科书·道德与法治九年级上册.json,道德与法治,65532
义务教育教科书·道德与法治九年级上册_chunk_8,8,10\n\n第一单元富强与创新村民老李现在政府支持休闲农业与乡村旅游业发展，村村通了公路。只要人勤快，肯动脑筋，生活会一天比一天好！ 初中生小莉我上学不用交学杂费，也不用交课本费，妈妈说我赶上了好时代。 从他们的话语中，你感受到改革开放以来我国农村发生了哪些巨大变化？ 查找资料，思考：我国农村发生了巨大变化，为什么还要实施乡村振兴战略？ 它为我国解决好“三农”问题创造了哪些新的发展机遇？ 改革开放是当代中国最鲜明的特色。改革只有进行时， 没有完成时。只有全社会不断弘扬与时俱进、锐意进取、勤于探索、勇于实践的改革创新精神，继续自强不息、自我革新，才能持续推动全面深化改革的历史进程，才能奏响中国走向繁荣富强的最强音！ 共享发展成果衡量一个社会的文明程度，不仅要看经济发展状况，而且要看发展成果是否惠及全体人民，人民的合法权益是否得到切实保障。 “治国有常，而利民为本。 ”党和政府坚持以人民为中心的发展思想，强调人人参与、人人尽力、人人享有，让人民群众共享发展成果，引领全体人民朝着共同富裕方向稳步前进。 探究与分享同学们围绕“共享发展”的话题，你一言我一语地展开了讨论。 共享发展应该是人人享有，而不是一部分人享有，先富要带后富。 共享发展不是短时间就能实现的。 第一课踏上强国之路\n\n11 共享发展就是要共同享有国家发展的所有成果。 “人心齐，泰山移。 ”人人共享需要人人共建。 你同意他们的观点吗？你是如何看待“共享发展”的？ 人民对美好生活的向往，就是党的奋斗目标。为了让改革发展成果更多更公平惠及全体人民，党和政府抓住人民最关心最直接最现实的利益问题，提高就业质量和人民收入水平，加强社会保障体系建设，如期打赢脱贫攻坚战，实施健康中国战略，打造共建共治共享的社会治理格局，不断满足人民日益增长的美好生活需要，使人民获得感、幸福感、安全感更加充实、更有保障、更可持续。 相关链接,793,0,unknown,text-extracted,,2.0,义务教育教科书·道德与法治九年级上册,8,834,2025-07-21T14:24:39.808Z,2.0,2025-07-20T03:47:09.300Z,九年级,[object Object],node-poppler,unknown,0.8974025974025974,0.7999999999999999,0.793,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/道德与法治/统编版-人民教育出版社/九年级/义务教育教科书·道德与法治九年级上册.pdf,义务教育教科书·道德与法治九年级上册.json,道德与法治,65532
义务教育教科书·道德与法治九年级上册_chunk_9,9,人民对美好生活的向往，就是党的奋斗目标。为了让改革发展成果更多更公平惠及全体人民，党和政府抓住人民最关心最直接最现实的利益问题，提高就业质量和人民收入水平，加强社会保障体系建设，如期打赢脱贫攻坚战，实施健康中国战略，打造共建共治共享的社会治理格局，不断满足人民日益增长的美好生活需要，使人民获得感、幸福感、安全感更加充实、更有保障、更可持续。 相关链接\n\n2021 年 2 月 25 日，习近平在全国脱贫攻坚总结表彰大会上发表重要讲话指出： “经过全党全国各族人民共同努力，在迎来中国共产党成立一百周年的重要时刻， 我国脱贫攻坚战取得了全面胜利，现行标准下 9 899 万农村贫困人口全部脱贫， 832 个贫困县全部摘帽，12.8 万个贫困村全部出列，区域性整体贫困得到解决，完成了消除绝对贫困的艰巨任务，创造了又一个彪炳史册的人间奇迹！这是中国人民的伟大光荣，是中国共产党的伟大光荣，是中华民族的伟大光荣！”“脱贫攻坚战的全面胜利，标志着我们党在团结带领人民创造美好生活、实现共同富裕的道路上迈出了坚实的一大步。”\n\n探究与分享幼有所育学有所教老有所养\n\n12\n\n第一单元富强与创新劳有所得住有所居病有所医弱有所扶近年来，党和政府采取了很多措施保障和改善民生。结合你的生活经历，与同学分享你和家人从中体验到的获得感、幸福感和安全感。 “天地之大，黎元为先。 ”发展的根本目的就是增进民生福祉。只有多谋民生之利、多解民生之忧，在发展中补齐民生短板、促进社会公平正义，才能不断促进人的全面发展、\n社会全面进步，而这一切都离不开社会主义制度的坚实保障。 拓展空间某网上论坛开展了以“物质生活好了，是否就是幸福”为主题的讨论，部分网友发表了观点。请你跟帖参与讨论，谈谈对幸福生活的看法。 物质财富有助于人实现幸福这个目标，但不能把物质财富与人生目标等同。 对于财富，要取之有道、用之有度、用之有方。 一个人富了，还要想到去帮助更多的人。 第一课踏上强国之路\n\n13,829,0,unknown,text-extracted,,2.0,义务教育教科书·道德与法治九年级上册,9,871,2025-07-21T14:24:39.808Z,2.0,2025-07-20T03:47:09.300Z,九年级,[object Object],node-poppler,unknown,0.8870765370138017,0.7999999999999999,0.829,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/道德与法治/统编版-人民教育出版社/九年级/义务教育教科书·道德与法治九年级上册.pdf,义务教育教科书·道德与法治九年级上册.json,道德与法治,65532
