Chunk_ID,Chunk_Index,Content,Content_Length,Quality_Score,Reliability,Source_Type,Original_Content,Enhancement_Version,book_name,chunkIndex,chunkSize,enhancementTimestamp,enhancementVersion,extractedAt,grade,loc_lines,method,publisher,qualityMetrics_chineseCharRatio,qualityMetrics_coherenceScore,qualityMetrics_lengthScore,qualityMetrics_ocrConfidence,semester,source,source_file,subject,textLength
义务教育教科书·道德与法治九年级下册_chunk_0,0,®\n\n义务 教育 教科 书\n\nYIWU JIAOYU JIAOKESHU\n\nDAODE YU FAZHI\n\n道德与法治九年级全国优秀教材特等奖义务教育教科书九年级下册下册道 德与 法治\n\n道德与\n法治九年级： 初中封面道德与法治9下 1\n\n元统\n\n编版\n\n下册绿色印刷产品\n\n2021/11/8 15:44 义务教育教科书道德与法治九年级下册教育部组织编写朱小蔓\n\n·北京·\n\n统编\n\n版总主编总 主编：朱小蔓本册主编：高国希吴 蓉秦书珩编写人员（以姓氏笔画为序）： 王坤 成平 刘胡权闵凡祥张尚达陈春辉贾 玮责任编辑：闫绍杰宋景堂杨学建美术编辑：王俊宏义务教育教科书道德与法治九年级下册教育部组织编写版 （北京市海淀区中关村南大街 17 号院 1 号楼网\n\n址\n\nhttp://www.pep.com.cn\n\n重印\n\n××× 出版社发\n\n行\n\n××× 新华书店印\n\n刷\n\n××× 印刷厂版\n\n次\n\n2018 年 12 月第 1 版印\n\n次\n\n2022 年 1 月第 5 次印刷开\n\n本\n\n787 毫米 ×1092 毫米印\n\n张\n\n字数\n\n105 千字书\n\n号\n\nISBN 978-7-107-33134-3\n\n定价\n\n5.95 元邮编：100081）\n\n1/16\n\n版出\n\n编价格依据文件号：京发改规［2016］13 号版权所有·未经许可不得采用任何方式擅自复制或使用本产品任何部分·违者必究如发现内容质量问题，请登录中小学教材意见反馈平台：jcyjfk.pep.com.cn\n\n统如发现印、装质量问题，影响阅读，请与 ××× 联系调换。电话：×××-×××××××× 目录\n\n第二单元第三课第四课同住地球村\n\n开放互动的世界\n\n复杂多变的关系\n\n构建人类命运共同体\n\n16\n\n推动和平与发展\n\n16\n\n谋求互利共赢\n\n22\n\n世界舞台上的中国\n\n27\n\n与世界紧相连\n\n28\n\n中国担当\n\n28\n\n与世界深度互动\n\n33\n\n与世界共发展\n\n40\n\n中国的机遇与挑战版\n\n第二课\n\n40\n46,847,0,unknown,text-extracted,,2.0,义务教育教科书·道德与法治九年级下册,0,994,2025-07-21T14:24:39.863Z,2.0,2025-07-20T03:47:08.871Z,九年级,[object Object],node-poppler,unknown,0.6720588235294118,0.7999999999999999,0.847,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/道德与法治/统编版-人民教育出版社/九年级/义务教育教科书·道德与法治九年级下册.pdf,义务教育教科书·道德与法治九年级下册.json,道德与法治,45375
义务教育教科书·道德与法治九年级下册_chunk_1,1,目录\n\n第二单元第三课第四课同住地球村\n\n开放互动的世界\n\n复杂多变的关系\n\n构建人类命运共同体\n\n16\n\n推动和平与发展\n\n16\n\n谋求互利共赢\n\n22\n\n世界舞台上的中国\n\n27\n\n与世界紧相连\n\n28\n\n中国担当\n\n28\n\n与世界深度互动\n\n33\n\n与世界共发展\n\n40\n\n中国的机遇与挑战版\n\n第二课\n\n40\n46\n\n携手促发展编\n\n第一课我们共同的世界统\n\n第一单元第七课少年的担当\n\n54\n\n走向世界大舞台\n\n54\n\n少年当自强\n\n60\n\n我的毕业季\n\n66\n\n学无止境\n\n66\n\n多彩的职业\n\n74\n\n从这里出发\n\n81\n\n回望成长\n\n81\n\n走向未来\n\n87\n\n版第六课\n\n53\n\n编第五课走向未来的少年统\n\n第三单元第一单元我们共同的世界我们生活在同一个世界， 这是我们共同的家园。 世界很大，世界又很小； 这里有安宁和美好，也有战乱与纷争。 有人说，这是一个多姿多彩的世界，充满活力，充满机会； 有人说，这是一个瞬息万变的世界，难以捉摸，难以把握。 我们如何认识这个纷繁复杂的世界？如何认识这个风云变幻的时代？这个统\n\n编版\n\n时代又赋予我们怎样的使命？ 第一课同住地球村地球上离我们最远的地方有多远？ 有人认为，这只是一个航班的距离，飞机可以在24小时内把我们送到地球上任何一个角落；也有人认为，这只是一根光缆的距离，互联网可以让相隔万里的人“面对面”交流。 世界在变小，但我们生活的圈子在变大。 开放互动的世界运用你的经验\n\n✧ 中国 浙江 乌镇， 一个家庭旅馆正接受来自澳大利亚游客的预订。 ✧ 意大利米兰，一场时装表演正在进行，世界各地的时装爱好者收看现场直播。 ✧ 巴西 里约 热内 卢， 一名中国运动员参加夏季奥运会比赛，获得一枚金牌。 ✧ 坦桑尼亚的一家电视台正在热播中国电视剧。 版北京时间 22：30\n\n第一单元我们共同的世界统\n\n上述哪些事件与我们有联系？ 编请指出上述事件关联的国家所处的位置。这些事件涉及我们生活的哪些领域？,834,0,unknown,text-extracted,,2.0,义务教育教科书·道德与法治九年级下册,1,918,2025-07-21T14:24:39.863Z,2.0,2025-07-20T03:47:08.871Z,九年级,[object Object],node-poppler,unknown,0.8707386363636364,0.7999999999999999,0.834,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/道德与法治/统编版-人民教育出版社/九年级/义务教育教科书·道德与法治九年级下册.pdf,义务教育教科书·道德与法治九年级下册.json,道德与法治,45375
义务教育教科书·道德与法治九年级下册_chunk_2,2,✧ 巴西 里约 热内 卢， 一名中国运动员参加夏季奥运会比赛，获得一枚金牌。 ✧ 坦桑尼亚的一家电视台正在热播中国电视剧。 版北京时间 22：30\n\n第一单元我们共同的世界统\n\n上述哪些事件与我们有联系？ 编请指出上述事件关联的国家所处的位置。这些事件涉及我们生活的哪些领域？ 共同的家园随着年龄的增长，我们走进校园，开始集体生活；我们走进社区，参与社会公共生活；我们放眼全国，看到祖国日新月异的变化。今天，我们把目光投向广阔的世界，看看人类共同的家园。 探究与分享在道德与法治课前的“时事播报”中，九年级（1）班的同学播报过以下新闻。 武汉直列从中国首， 年\n2016\n国际集装汉新欧”\n“\n的昂\n1 300\n达法国里过 15 天 1\n经， 物载货货运箱班列满昂韦尼雪里\n入驶\n程， 千米的旅程。 第一趟行成\n完满\n站，圆中国外交部全球领事保护与服务应急呼叫 中心 1230\n8 热线运行 以来， 为海外中国公民\n提供 24\n小时领事保护 与服 务， 全年 无休， 成为海外中国公民向祖国\n求助的第一选择。 一个国际研究小组发表报告称， 观察显示南极上空的臭氧空洞确实在大幅缩小。这说明国际社会禁止排放氟利昂的努力收到了成效。 年国际禁毒日联 合国 将 20 15\n活、我：让我们的生的主题确定为毒品的们自身在没有们的社区和我展。 环境下得以发近期有哪些国际新闻？请与同学交流并谈谈你的感受。 这是一个开放的世界。国家间相互开放的程度不断加但封锁、孤立、以邻为壑的现象仍然存在。 这是一个发展的世界。新技术、新经济、新业态不断编\n\n涌现并蓬勃发展，世界正经历着新一轮大发展大变革大调版\n\n深，在政治、经济、文化等领域的开放范围也在不断扩展， 人类社会。 统整。与此同时，贫富差距、发展不平衡等问题依然困扰着第一课同住地球村\n\n3 这是一个紧密联系的世界。现代交通、通信、贸易把全球各地的国家、人们联系在一起，彼此影响，休戚相关。 探究与分享,821,0,unknown,text-extracted,,2.0,义务教育教科书·道德与法治九年级下册,2,939,2025-07-21T14:24:39.863Z,2.0,2025-07-20T03:47:08.871Z,九年级,[object Object],node-poppler,unknown,0.8718291054739653,0.7999999999999999,0.821,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/道德与法治/统编版-人民教育出版社/九年级/义务教育教科书·道德与法治九年级下册.pdf,义务教育教科书·道德与法治九年级下册.json,道德与法治,45375
义务教育教科书·道德与法治九年级下册_chunk_3,3,编涌现并蓬勃发展，世界正经历着新一轮大发展大变革大调版\n\n深，在政治、经济、文化等领域的开放范围也在不断扩展， 人类社会。 统整。与此同时，贫富差距、发展不平衡等问题依然困扰着第一课同住地球村\n\n3 这是一个紧密联系的世界。现代交通、通信、贸易把全球各地的国家、人们联系在一起，彼此影响，休戚相关。 探究与分享\n\n“为孩子找水杯！”一场爱心接力席卷了全球网络。英国一名患有自闭症的儿童，从 2 岁开始一直使用一个珠光绿色水杯喝水，如果没有这个杯子，他甚至不喝一口水。有一天，杯子损坏了……\n\n他一口水也不喝！ 再给他买个杯子吧。 这个看似普通的杯子，是英国的一家公司以前在中国定制生产的，可是原生产厂家早已不生产这种杯子了。 我从网络上发文求援，希望能找到同款同色的水杯。 这一消息通过网络迅速传遍全球。一天后，当年生产该水杯的中国厂家得知孩子的困境，仅用 20 分钟就找到了 13 年前的模具。然后，重启生产线，以最快的速度生产出一模一样的杯子，并寄往英国。 是什么使“为孩子找水杯”这一难题得以解决？ 其他国家发生的事情与我们有怎样的联系？ 版世界的变化既给国家的发展带来深远影响，也与我们的生活息息相关。大洋彼岸一家美术馆的落成，邻国一段铁路\n\n第一单元我们共同的世界统\n\n种方式影响我们的生活。 编的兴建，异国一场洪水的肆虐……世界上发生的事情会以各放眼全球经济经济全球化改变了我们的生活。无论我们是否意识到， 我们的生产和消费都在不断融入全球经济，既受全球经济影响，也影响着全球经济。 探究与分享一双鞋的“旅行”\n✧ 德国研发中心的工作人员设计出鞋子独特的外观和功能。此时，鞋子还只是几张设计图纸。 ✧ 中国研发中心的工作人员则研究出鞋子的生产流程。 ✧ 图纸和生产流程交给东南亚的一些国家，鞋子会在这些国家生产出来。 ✧ 鞋子被装上一艘美国的货船并运往沙特，放在货架上出售。 商品生产在全球范围内完成，是经济全球化的重要表现。在经济全球化时代，商品设计、零部件生产、组装、销编\n\n售、售后服务，可以在不同的国家进行。各国利用自己的优版\n\n为什么一双鞋的“旅行”会以这种方式进行？ 势参与生产过程，共同完成商品生产。这能够充分发挥生统,922,0,unknown,text-extracted,,2.0,义务教育教科书·道德与法治九年级下册,3,990,2025-07-21T14:24:39.863Z,2.0,2025-07-20T03:47:08.871Z,九年级,[object Object],node-poppler,unknown,0.8949771689497716,0.7999999999999999,0.922,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/道德与法治/统编版-人民教育出版社/九年级/义务教育教科书·道德与法治九年级下册.pdf,义务教育教科书·道德与法治九年级下册.json,道德与法治,45375
义务教育教科书·道德与法治九年级下册_chunk_4,4,✧ 鞋子被装上一艘美国的货船并运往沙特，放在货架上出售。 商品生产在全球范围内完成，是经济全球化的重要表现。在经济全球化时代，商品设计、零部件生产、组装、销编\n\n售、售后服务，可以在不同的国家进行。各国利用自己的优版\n\n为什么一双鞋的“旅行”会以这种方式进行？ 势参与生产过程，共同完成商品生产。这能够充分发挥生统\n\n产者各自的优势，提高产品质量，降低成本。 第一课\n\n��住地球村\n\n5 探究与分享如果你的家乡生产质量上乘的手工制品，你如何让世界上更多的人了解并购买它们？ 在经济全球化背景下，影响商品交易成功与否的因素，除了产品质量、销售渠道、产品知名度之外， 还有哪些因素也非常重要？ 商品贸易在全球范围内进行，也是经济全球化的重要表现。一方面，生产者可以借助各种手段和渠道把商品销售到世界各地，在更广阔的空间进行经营活动；另一方面，消费者可以买到来自世界各地的物美价廉、品种丰富的商品。 经济全球化促进商品、资本和劳动力在全球流动，有利于在世界范围内配置资源，促进资源利用更加合理有效。同时，经济全球化也使各国经济相互联系、相互依赖的程度不断加深。 探究与分享有一家生产儿童服装的中国公司，其产品远销欧美和东南亚等地区。该公司常常要为完成订单而加班生产。 2020 年，新冠肺炎疫情席卷全球。受此影响，该公司订单大幅减少。在这种情况下，该公司申请变更经营范围，新增医用防护服、医用口罩等医用防护用品的研发、生产和销售项目，设立专项资金新购医用产品生产检测设备，并迅速投产。该公司生产的防护用品及时供应当地并销往中亚、东南亚等地区。这次适时\n“转型”，既有力填补了防疫物品的缺口，也帮助公司自身渡过难关。 6\n\n第一单元我们共同的世界统\n\n编版\n\n你从该公司的“转型”中得到哪些启示？ 经济全球化，一方面为经济发展提供了新的机会，另一方面也使风险与危机跨国界传递。但无论怎样，经济全球化的趋势不可逆转。面对经济全球化，我们既要顺应历史潮流，保持积极、开放的心态，主动参与竞争，也要居安思危，增强风险意识，注重国家经济安全，为应对各种困难和挑战做好充分准备。,881,0,unknown,text-extracted,,2.0,义务教育教科书·道德与法治九年级下册,4,926,2025-07-21T14:24:39.863Z,2.0,2025-07-20T03:47:08.871Z,九年级,[object Object],node-poppler,unknown,0.8952941176470588,0.7999999999999999,0.881,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/道德与法治/统编版-人民教育出版社/九年级/义务教育教科书·道德与法治九年级下册.pdf,义务教育教科书·道德与法治九年级下册.json,道德与法治,45375
义务教育教科书·道德与法治九年级下册_chunk_5,5,第一单元我们共同的世界统\n\n编版\n\n你从该公司的“转型”中得到哪些启示？ 经济全球化，一方面为经济发展提供了新的机会，另一方面也使风险与危机跨国界传递。但无论怎样，经济全球化的趋势不可逆转。面对经济全球化，我们既要顺应历史潮流，保持积极、开放的心态，主动参与竞争，也要居安思危，增强风险意识，注重国家经济安全，为应对各种困难和挑战做好充分准备。 共享多样文化同住地球村，我们有机会和途径接触各具特色的文化。 各民族文化都有其产生和发展的渊源，表达了人们对世界特有的理解与情感。各民族文化共同构成姹紫嫣红、生机盎然的世界文化大花园。 探究与分享九年级（2）班的同学要为校庆文艺演出准备一个舞蹈节目，文艺委员召集几位同学讨论。 我学过跳舞，我和几个同学排练《春江花月夜》吧。 我对爵士舞更感兴趣， 我们可以一起学。 班上好几个同学会跳拉丁舞，排练起来比较容易。 印度舞婀娜多姿， 我很喜欢。 如果你作为其中一员参与讨论，你的选择是什么？请说说你的理由。 “物之不齐，物之情也。 ”文化多样性是人类社会的基本编\n\n特征，是世界文化充满活力的表现，也是人类文明进步的重版\n\n除了舞蹈之外，还有哪些文化表现形式？ 更加丰富多彩，让世界变得更加绚丽多姿。 统要动力。多样的文化提供了更为广泛的选择，让人们的生活第一课同住地球村\n\n7 阅读感悟\n\n✧ 徐悲鸿是中国著名画家，被誉为中国现代美术事业的奠基者。他主张对传统中国画进行改良，提倡把西方的绘画技法融入中国画，创造了新颖而独特的绘画风格。 ✧ 西方艺术家在挣脱传统古典主义绘画技法、构图、\n透视等束缚的过程中，也从东方艺术中汲取养分，形成了新的绘画风格。 徐悲鸿的《奔马》\n\n文化多样性是实现文化创新与发展的前提和基础。不同特质的文化相互交融，能够为彼此增添新的元素，激发新的活力。 探究与分享,768,0,unknown,text-extracted,,2.0,义务教育教科书·道德与法治九年级下册,5,819,2025-07-21T14:24:39.863Z,2.0,2025-07-20T03:47:08.871Z,九年级,[object Object],node-poppler,unknown,0.9016393442622951,0.7999999999999999,0.768,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/道德与法治/统编版-人民教育出版社/九年级/义务教育教科书·道德与法治九年级下册.pdf,义务教育教科书·道德与法治九年级下册.json,道德与法治,45375
义务教育教科书·道德与法治九年级下册_chunk_6,6,徐悲鸿的《奔马》\n\n文化多样性是实现文化创新与发展的前提和基础。不同特质的文化相互交融，能够为彼此增添新的元素，激发新的活力。 探究与分享有部电影讲述了老朱退休后，到美国与儿子一起居住发生的故事。老朱因为语言不通、生活习惯不同，与美国儿媳产生隔阂。影片展现了不同文化背景下人们在交流中产生的矛盾，探讨了在文化碰撞中实现文化理解与交流的途径。 请你给这部电影设计一个结局，并谈谈理由。 有人说，文化差异会引发矛盾，文化背景相同才能相互理解；也有人说，不\n“打”不相识，有碰撞才有理解。请结合生活经验谈谈你的认识。 当不同文化背景的人相遇时，人们往往从自身的文化视角、用自己的价值观来理解和判断事物，有时会导致彼版\n\n此误解与冲突。 每个民族的文化都是独特的，都有其存在的价值，都有值得尊重的经验和智慧。不同文化间的碰撞呼唤人们正\n\n第一单元我们共同的世界统\n\n彼此的理解和包容。 编确认识文化差异，相互尊重，通过平等交流、对话，达成面对多样的文化，各国应当用开放和包容的心态，学习和借鉴优秀外来文化，促进和而不同、兼收并蓄的文明交流。 拓展空间语言是文化的组成部分，又是文化的重要载体。在经济全球化的大背景下， 保持世界语言的多样性面临着严峻挑战。据估计，目前世界尚存的五六千种语言， 在 21 世纪有一半将会消亡。与语言的命运相似，一些国家传统的音乐、体育项目、节日等也会被人们逐渐遗忘……\n请收集资料，以“经济全球化给世界文化多样性带来的是新的发展机遇还是挑战”为题，组织一场辩论赛。 复杂多变的关系运用你的经验下面是第二次世界大战后，影响世界格局的几件大事。 联苏\n\n美国\n\n1955年，华沙条约组织成立\n\n20世纪 90 年代初， 苏联解体统\n\n编综合运用你所学过的知识，谈谈这些事件给世界带来的影响。 版\n\n1949 年，北大西洋公约组织成立第一课同住地球村,783,0,unknown,text-extracted,,2.0,义务教育教科书·道德与法治九年级下册,6,835,2025-07-21T14:24:39.863Z,2.0,2025-07-20T03:47:08.871Z,九年级,[object Object],node-poppler,unknown,0.8939597315436242,0.7999999999999999,0.783,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/道德与法治/统编版-人民教育出版社/九年级/义务教育教科书·道德与法治九年级下册.pdf,义务教育教科书·道德与法治九年级下册.json,道德与法治,45375
义务教育教科书·道德与法治九年级下册_chunk_7,7,复杂多变的关系运用你的经验下面是第二次世界大战后，影响世界格局的几件大事。 联苏\n\n美国\n\n1955年，华沙条约组织成立\n\n20世纪 90 年代初， 苏联解体统\n\n编综合运用你所学过的知识，谈谈这些事件给世界带来的影响。 版\n\n1949 年，北大西洋公约组织成立第一课同住地球村\n\n9 变化中的世界格局历史的车轮滚滚向前。第二次世界大战后，在冷战中逐步形成了以美苏对峙为标志的世界两极格局。20 世纪 80 年代末 90 年代初，苏联解体、东欧剧变，美苏对峙的两极格局被打破，世界格局向多极化发展。 探究与分享一个国家的综合国力表现在经济、政治、文化、科技等方面。请你选择一个国家，从不同方面介绍这个国家的特点。 经济实力政治影响力科技实力国家文化影响力当今世界正经历百年未有之大变局，新一轮科技革命和产业变革深入发展，国际力量对比深刻调整，和平版\n\n与发展仍然是时代主题，人类命运共同体理念深入人心。 同时，国际环境日趋复杂，不稳定性不确定性明显增加， 新冠肺炎疫情影响广泛深远，经济全球化遭遇逆流，世\n\n10\n\n第一单元我们共同的世界统\n\n世界和平与发展构成威胁。 编界进入动荡变革期，单边主义、保护主义、霸权主义对相关链接\n\n20 世纪 80 年代，邓小平关于世界多极化的思想酝酿成熟。他多次谈到，未来的世界不是一两个超级大国说了算，第三世界的力量日益壮大，等等。1990 年 3 月， 他在一次谈话中更明确指出： “美苏垄断一切的情况正在变化。世界格局将来是三极也好，四极也好，五极也好，苏联总还是多极中的一个，不管它怎么削弱，甚至有几个加盟共和国退出去。所谓多极，中国算一极。中国不要贬低自己，怎么样也算一极。”\n\n探究与分享金砖国家（BRICS）包括中国、俄罗斯、印度、巴西、南非五个国家，是新兴经济体的代表。五国秉持开放包容、合作共赢的精神，在经济、政治、人文等领域开展合作，在全球气候变化等重大国际和地区问题上沟通协调，致力于建设公平公正的美好世界。金砖国家的发展带来世界经济增长点多元化，进而推动国际关系民主化。 为什么这些新兴经济体能得到迅速发展？它们的发展给世界带来哪些影响？,899,0,unknown,text-extracted,,2.0,义务教育教科书·道德与法治九年级下册,7,960,2025-07-21T14:24:39.863Z,2.0,2025-07-20T03:47:08.871Z,九年级,[object Object],node-poppler,unknown,0.8704358068315665,0.7999999999999999,0.899,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/道德与法治/统编版-人民教育出版社/九年级/义务教育教科书·道德与法治九年级下册.pdf,义务教育教科书·道德与法治九年级下册.json,道德与法治,45375
义务教育教科书·道德与法治九年级下册_chunk_8,8,探究与分享金砖国家（BRICS）包括中国、俄罗斯、印度、巴西、南非五个国家，是新兴经济体的代表。五国秉持开放包容、合作共赢的精神，在经济、政治、人文等领域开展合作，在全球气候变化等重大国际和地区问题上沟通协调，致力于建设公平公正的美好世界。金砖国家的发展带来世界经济增长点多元化，进而推动国际关系民主化。 为什么这些新兴经济体能得到迅速发展？它们的发展给世界带来哪些影响？ 一些新兴经济体和发展中国家快速发展，经���实力、\n国际地位和国际影响力不断增强，有利于推动世界多极化， 为世界经济持续发展提供动力，促进世界经济增长，实现各国共同发展。 阅读感悟统\n\n编版\n\n✧ 2014 年 7 月，习近平在接受拉美四国媒体联合采访时说：“中国坚决维护国际公平正义，致力于推动世界多极化、国际关系民主化。我们主张世界的命运必须由各国人民共同掌握，世界上的事情只能由各国政府和人民共同商量来办。世界各国不分大小、强弱、贫富，都是国际社会的平等成员，应该共同推动国际关系民主化。”\n✧ 2017 年 1 月，习近平在联合国日内瓦总部演讲时说：“我们要推进国际关系民主化，不能搞‘一国独霸’或‘几方共治’。世界命运应该由各国共同掌握，国际规则应该由各国共同书写，全球事务应该由各国共同治理，发展成果应该由各国共同分享。”\n\n第一课同住地球村\n\n11 世界多极化使多种国际力量既相互依存又相互制约。在这种情况下，任何国家都难以单独主宰世界事务。这有利于各国通过协商解决各种问题，促进国际关系民主化，推动世界和平与发展。 调整中的国家交往探究与分享请查阅相关资料，完成下表。 事件方式路线耗时鉴真东渡日本郑和下西洋麦哲伦船队环球航行历史上的这些航行给人类社会的发展带来了怎样的影响？ 请写出当前全球航行的方式、路线和耗时，并设想未来的全球航行将会怎样。 长期以来，人类希望不断突破自身生活的区域，走向更版\n\n广阔的世界。随着科学技术的进步，人类的脚步越走越远， 国与国之间的交往越来越频繁。在这一过程中，既有推动人编\n\n类社会向前发展的国家间的友好往来，也有给人类留下巨大伤痛的战争与冲突。当今世界，越来越多的国家在吸取历史\n\n12\n\n第一单元我们共同的世界统\n\n经验教训的基础上，不断探索新的互动方式。,944,0,unknown,text-extracted,,2.0,义务教育教科书·道德与法治九年级下册,8,998,2025-07-21T14:24:39.863Z,2.0,2025-07-20T03:47:08.871Z,九年级,[object Object],node-poppler,unknown,0.8874172185430463,0.7999999999999999,0.944,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/道德与法治/统编版-人民教育出版社/九年级/义务教育教科书·道德与法治九年级下册.pdf,义务教育教科书·道德与法治九年级下册.json,道德与法治,45375
义务教育教科书·道德与法治九年级下册_chunk_9,9,长期以来，人类希望不断突破自身生活的区域，走向更版\n\n广阔的世界。随着科学技术的进步，人类的脚步越走越远， 国与国之间的交往越来越频繁。在这一过程中，既有推动人编\n\n类社会向前发展的国家间的友好往来，也有给人类留下巨大伤痛的战争与冲突。当今世界，越来越多的国家在吸取历史\n\n12\n\n第一单元我们共同的世界统\n\n经验教训的基础上，不断探索新的互动方式。 探究与分享收集近期有关国家间合作的资料，完成下表。 参与国家合作领域合作项目经济领域政治领域文化领域在经济全球化与世界多极化的进程中，各国在经济、\n政治、安全、文化等领域深化合作，寻求发展。只有合作互惠，才能使世界各国共同发展。 探究与分享为了推动本国经济的发展，各国纷纷提出自己的发展战略。请查阅资料，了解下列发展战略的内容。 统编\n\n版德国“工业 4.0”\n\n第一课同住地球村\n\n13 美国“再工业化”\n\n面对同一事物，为什么各国会从自己的角度使用不同的概念？ 虽然概念不同，但实际内容有相同之处。各国是如何面对这些相同和差异的？ 国家间既有合作，又有竞争。当今世界，国际竞争的实质是以经济和科技实力为基础的综合国力的较量，每个国家都希望通过自身努力在新一轮国际关系的调整中获得发展机遇。国际竞争需要各方共同遵循一定的国际规则。 相关链接国际法是以国家之间的关系为主要调整对象的法律。17 世纪以来，历经数百年的发展，国际法逐渐形成了完整的体系。 第二次世界大战后，新兴民族国家纷纷独立，核武器、国际海底、外层空间、\n环境保护等议题层出不穷，国际法所调整的领域随之不断扩大。日益完善的现代国际法对建立和平、安全、公正、合理的国际政治经济秩序具有重要意义。 世界不断发生变化，各国之间的力量对比、利益关系版\n\n也在改变。尽管国际形势缓和的大趋势没有改变，但各种矛盾相互交织，各种力量重新分化组合，各类冲突事件不断发编\n\n生，考验着国与国之间的关系，整个世界复杂多变。我国高举和平、发展、合作、共赢的旗帜，为推动建设相互尊重、\n\n14\n\n第一单元我们共同的世界统\n\n公平正义、合作共赢的新型国际关系作着不懈的努力。 拓展空间,888,0,unknown,text-extracted,,2.0,义务教育教科书·道德与法治九年级下册,9,948,2025-07-21T14:24:39.863Z,2.0,2025-07-20T03:47:08.871Z,九年级,[object Object],node-poppler,unknown,0.9016587677725119,0.7999999999999999,0.888,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/道德与法治/统编版-人民教育出版社/九年级/义务教育教科书·道德与法治九年级下册.pdf,义务教育教科书·道德与法治九年级下册.json,道德与法治,45375
