Chunk_ID,Chunk_Index,Content,Content_Length,Quality_Score,Reliability,Source_Type,Original_Content,Enhancement_Version,book_name,chunkIndex,chunkSize,enhancementTimestamp,enhancementVersion,extractedAt,grade,loc_lines,method,publisher,qualityMetrics_chineseCharRatio,qualityMetrics_coherenceScore,qualityMetrics_lengthScore,qualityMetrics_ocrConfidence,semester,source,source_file,subject,textLength
义务教育教科书·道德与法治八年级上册_chunk_0,0,YIWU JIAOYU JIAOKESHU\n\nDAODE YU FAZHI\n\n道德与法治八年级义 务教 育教 科书\n\n®\n\n全国优秀教材特等奖义务教育教科书八年级上册上册道 德与 法治\n\n道德与\n法治八年级上册 产品定价：7.30 元初中封面道德与法治8上.indd 1\n\n2022/6/23 14:37 义务教育教科书道德与法治八年级上册教育部组织编写总主编朱小蔓\n\n·北京· 总主 编：朱小蔓本册主编：李晓东黄向阳曹金龙编写人员（以姓氏笔画为序）： 任海宾刘立丹李建文吴 蓉吴玉军何志攀佘书芬张广宇樊庆红责任编辑：任海宾宋景堂美术编辑：王艾\n\n义务教育教科书道德与法治八年级上册教育部组织编写出 版\n（北京市海淀区中关村南大街 17 号院 1 号楼邮编：100081）\n\n网址\n\nhttp://www.pep.com.cn\n\n版权所有·未经许可不得采用任何方式擅自复制或使用本产品任何部分·违者必究如发现内容质量问题，请登录中小学教材意见反馈平台：jcyjfk.pep.com.cn\n如发现印、装质量问题，影响阅读，请与 ××× 联系调换。电话：×××-×××××××× 目录\n\n第一单元走进社会生活\n\n第一课丰富的社会生活\n\n2 我与社会\n\n2 在社会中成长\n\n第二课网络生活新空间\n\n10 网络改变世界\n\n10 合理利用网络\n\n17\n\n第二单元遵守社会规则\n\n21\n\n第三课社会生活离不开规则\n\n22 维护秩序\n\n22 遵守规则\n\n26\n\n第四课社会生活讲道德\n\n32 尊重他人\n\n32 以礼待人\n\n37\n\n诚实守信\n\n41\n\n做守法的公民\n\n46\n\n第五课法不可违\n\n46 预防犯罪\n\n52 善用法律\n\n58 第三单元勇担社会责任\n\n63\n\n第六课责任与角色同在\n\n64 我对谁负责谁对我负责做负责任的人第七课积极奉献社会\n\n64\n69\n75,776,0,unknown,text-extracted,,2.0,义务教育教科书·道德与法治八年级上册,0,1000,2025-07-21T14:24:39.913Z,2.0,2025-07-20T03:47:08.656Z,八年级,[object Object],node-poppler,unknown,0.7188940092165899,0.7999999999999999,0.776,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/道德与法治/统编版-人民教育出版社/八年级/义务教育教科书·道德与法治八年级上册.pdf,义务教育教科书·道德与法治八年级上册.json,道德与法治,52739
义务教育教科书·道德与法治八年级上册_chunk_1,1,32 以礼待人\n\n37\n\n诚实守信\n\n41\n\n做守法的公民\n\n46\n\n第五课法不可违\n\n46 预防犯罪\n\n52 善用法律\n\n58 第三单元勇担社会责任\n\n63\n\n第六课责任与角色同在\n\n64 我对谁负责谁对我负责做负责任的人第七课积极奉献社会\n\n64\n69\n75 关爱他人\n\n75 服务社会\n\n80\n\n第四单元维护国家利益\n\n85\n\n第八课国家利益至上\n\n86 国家好大家才会好坚持国家利益至上\n\n86\n91\n\n树立总体国家安全观\n\n96 认识总体国家安全观\n\n96 维护国家安全\n\n99\n\n第九课建设美好祖国\n\n104 关心国家发展\n\n104 天下兴亡\n\n108\n\n第十课匹夫有责第一单元走进社会生活随着经济全球化深入发展、社会信息化持续推进，社会生活空间极大延展，社会生活内容更加丰富，社会交往形式更加多样。这为我们的发展提供了更多可能，也对我们的成长提出了更高要求。 “海阔凭鱼跃，天高任鸟飞。”置身于前所未有的广阔天地，我们要主动融入绚丽多彩的社会生活，树立积极的生活态度，学会互助关爱、合作共享， 承担起我们作为社会成员的责任。 第一课丰富的社会生活人的成长离不开社会。我们要主动认识社会，积极融入社会，在生动鲜活的社会课堂中学习、成长，在异彩纷呈的社会实践中锻炼、发展。投身于社会的过程，也是我们走向成熟的过程。 我与社会运用你的经验情境一情境二周六早上 6 时 30 分，李铭和爷爷到公园晨练。 上午 8 时 20 分，李铭和妈妈到家门口的菜市场买菜。 爷爷，您看那边新增了健身器材。 在新铺的塑胶健步道上跑步感觉舒服多了！ 2\n\n第一单元走进社会生活西红柿从哪儿进的？ 新鲜的西红柿真好看！ 我们合作社自己种的，刚摘的，新鲜着呢！ 情境三情境四下午 3 时 15 分，李铭和同学一起到敬老院看望老人，教老人用手机。 晚上8时10分，李铭和爸爸一起看电视节目并交流看法。 孩子，教奶奶怎么用手机上网……,808,0,unknown,text-extracted,,2.0,义务教育教科书·道德与法治八年级上册,1,994,2025-07-21T14:24:39.913Z,2.0,2025-07-20T03:47:08.656Z,八年级,[object Object],node-poppler,unknown,0.844632768361582,0.7999999999999999,0.808,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/道德与法治/统编版-人民教育出版社/八年级/义务教育教科书·道德与法治八年级上册.pdf,义务教育教科书·道德与法治八年级上册.json,道德与法治,52739
义务教育教科书·道德与法治八年级上册_chunk_2,2,爷爷，您看那边新增了健身器材。 在新铺的塑胶健步道上跑步感觉舒服多了！ 2\n\n第一单元走进社会生活西红柿从哪儿进的？ 新鲜的西红柿真好看！ 我们合作社自己种的，刚摘的，新鲜着呢！ 情境三情境四下午 3 时 15 分，李铭和同学一起到敬老院看望老人，教老人用手机。 晚上8时10分，李铭和爸爸一起看电视节目并交流看法。 孩子，教奶奶怎么用手机上网……\n\n大国工匠真是名不虚传！ 宝剑锋从磨砺出，他们凭着专注和坚守创造了奇迹。 您点 这里， 打开\n浏览器……\n\n结合以上情境和你的经验，说说我们可以通过哪些方式了解社会生活。 在参与社会生活的过程中，你有哪些感受？ 感受社会生活走进农村，我们看到农民在田间辛勤劳作；来到工厂， 我们看到工人在有条不紊地工作；步入商场，琳琅满目的商品映入眼帘；参观博物馆，丰富的展品令人震撼；观看升旗仪式，我们感受到身为中国人的自豪……一幅幅生动的画卷在我们面前展开，我们的社会生活绚丽多彩。 探究与分享暑假里，中学生小华经历了很多“大事”，以下是他的日记节选。 7 月 16 日我今天到科技馆的儿童乐园当志愿者， 引导和照顾前来玩耍的小朋友。一天下来， 虽然累得精疲力竭，却很有成就感！ 第一课丰富的社会生活\n\n3 7 月 25 日在 外婆 家， 我和 表弟 一起 到菜 园里 除草、采摘蔬菜，既体会到劳动的艰辛，也感受到劳动的乐趣。 8月3日在报纸上看到我国航天事业发展的纪实报道，我心潮澎湃，对航天人的奉献精神感到由衷敬佩。 暑假里，哪些事情让你印象深刻？把你的感受写下来，与同学分享。 人们在社会交往中形成了各种社会关系。随着身体的成长、智力的发展、能力的提高，我们的社会生活空间不断延展，我们会与越来越多的人打交道，对社会生活的感受越来越丰富，认识越来越深刻。我们会更加关注社区治理，并献计献策；会更加关心国家发展，或为之自豪，或准备为之分忧。 我们都是社会的一员个人是社会的有机组成部分。如果把个人看成点，把人与人的关系看成线，那么，由各种关系连接成的线就织成一张“大网”，每个人都是社会这张“大网”上的一个\n“结点”。 相关链接人的本质不是单个人所固有的抽象物，在其现实性上，它是一切社会关系的总和。,921,0,unknown,text-extracted,,2.0,义务教育教科书·道德与法治八年级上册,2,989,2025-07-21T14:24:39.913Z,2.0,2025-07-20T03:47:08.656Z,八年级,[object Object],node-poppler,unknown,0.8790322580645161,0.7999999999999999,0.921,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/道德与法治/统编版-人民教育出版社/八年级/义务教育教科书·道德与法治八年级上册.pdf,义务教育教科书·道德与法治八年级上册.json,道德与法治,52739
义务教育教科书·道德与法治八年级上册_chunk_3,3,我们都是社会的一员个人是社会的有机组成部分。如果把个人看成点，把人与人的关系看成线，那么，由各种关系连接成的线就织成一张“大网”，每个人都是社会这张“大网”上的一个\n“结点”。 相关链接人的本质不是单个人所固有的抽象物，在其现实性上，它是一切社会关系的总和。 ——马克思\n\n第一单元走进社会生活探究与分享我是消费者我是邻居大哥哥同一个人，为什么会有不同的身份 ?\n向身份不同的陌生人介绍自己，如未曾谋面的亲戚、爸爸的同事、同学的父母、学校的教工，你分别应该怎样介绍？ 人的身份是在社会关系中确定的。在不同的社会关系中，我们具有不同的身份。例如，我们是父母的子女；我们是老师的学生、同学的同学；在小区里，我们是业主，也是其他业主的邻居；在祖国大家庭中，我们是未来的建设者……\n相关链接几种主要的社会关系从不同的角度，根据不同的标准，可以将社会关系分为不同的类型。社会关系从建立的基础可分为血缘关系、地缘关系和业缘关系。 以血 统或 生理 联系为基础而形成的社会 关系， 如家 庭、 家族成员之间的关系等。 地缘关系直 接建 立在 人们\n空间与地理位置关系基 础上 的社 会关 系， 如同乡、邻居等。 血缘关系以人们广泛的社会分工为基础而形成的 社会 关系， 如同\n学、同事等。 第一课业缘关系丰富的社会生活\n\n5 拓展空间在社会中，我们会与父母、同学、老师、公交车司机、银行职员等很多人产生各种各样的联系。为了更好地定位自己，试着绘制自己的社会关系网络图。 老师同学我\n妈妈外公外婆这些人通过哪些方式与你产生联系？ 他们的存在对你产生了怎样的影响？ 结合你绘制的社会关系网络图和生活经验，说说你如何理解个人与社会的��系。 在社会中成长运用你的经验,723,0,unknown,text-extracted,,2.0,义务教育教科书·道德与法治八年级上册,3,858,2025-07-21T14:24:39.913Z,2.0,2025-07-20T03:47:08.656Z,八年级,[object Object],node-poppler,unknown,0.9017595307917888,0.7999999999999999,0.723,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/道德与法治/统编版-人民教育出版社/八年级/义务教育教科书·道德与法治八年级上册.pdf,义务教育教科书·道德与法治八年级上册.json,道德与法治,52739
义务教育教科书·道德与法治八年级上册_chunk_4,4,丰富的社会生活\n\n5 拓展空间在社会中，我们会与父母、同学、老师、公交车司机、银行职员等很多人产生各种各样的联系。为了更好地定位自己，试着绘制自己的社会关系网络图。 老师同学我\n妈妈外公外婆这些人通过哪些方式与你产生联系？ 他们的存在对你产生了怎样的影响？ 结合你绘制的社会关系网络图和生活经验，说说你如何理解个人与社会的��系。 在社会中成长运用你的经验八年级学生小东和伙伴们利用暑假在社区组织了“墨缘·大手拉小手”\n活动，每周三和周五下午教小学生书法和国画。一个暑假下来，小东和伙伴们收获了很多“粉丝”，小朋友们亲切地称他们“墨姐姐”“墨哥哥”。为了让课堂秩序更好、小学生们进步更快，他们还钻研起儿童心理学和国画技法教学。小东感觉自己的表达能力、\n交际能力和组织能力都大大提升。 你是否有与小东类似的经历？与同学交流分享你的付出和收获。 6\n\n第一单元走进社会生活在社会课堂中成长人的成长是不断社会化的过程。通过父母的抚育、同伴的帮助、老师的教诲和社会的关爱等，我们的知识不断丰富，能力不断提高，规则意识不断增强，价值观念日渐养成，我们逐步成长为一名合格的社会成员。 相关链接社会化是指一个人从最初的自然的生物个体转化为社会人的过程。在社会生活中，我们通过学习社会知识，了解和认识社会，并从中获得社会经验，形成社会认可的思维和行为方式，成为合格的社会成员。 探究与分享结合上图，说明食物、学习用品、衣服等是怎样生产出来的。 我们的衣食住行、学习和娱乐等都与社会的方方面面发生着千丝万缕的联系。如同植物生长需要阳光、空气和水一样，人的生存和发展也离不开社会，每个人都从社会中获得物质支持和精神滋养。 第一课丰富的社会生活\n\n7 养成亲社会行为青少年处于走向社会的关键时期，我们应该树立积极的生活态度，关注社会，了解社会，服务社会，养成亲社会行为。 “夫喜群而恶独，相扶而相植者，人情之所乐也。 ”谦让、分享、帮助他人、关心社会发展等亲社会行为，有利于我们养成良好的行为习惯，塑造健康的人格，形成正确的价值观念，获得他人和社会的接纳与认可。 探究与分享,876,0,unknown,text-extracted,,2.0,义务教育教科书·道德与法治八年级上册,4,932,2025-07-21T14:24:39.913Z,2.0,2025-07-20T03:47:08.656Z,八年级,[object Object],node-poppler,unknown,0.9025821596244131,0.7999999999999999,0.876,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/道德与法治/统编版-人民教育出版社/八年级/义务教育教科书·道德与法治八年级上册.pdf,义务教育教科书·道德与法治八年级上册.json,道德与法治,52739
义务教育教科书·道德与法治八年级上册_chunk_5,5,第一课丰富的社会生活\n\n7 养成亲社会行为青少年处于走向社会的关键时期，我们应该树立积极的生活态度，关注社会，了解社会，服务社会，养成亲社会行为。 “夫喜群而恶独，相扶而相植者，人情之所乐也。 ”谦让、分享、帮助他人、关心社会发展等亲社会行为，有利于我们养成良好的行为习惯，塑造健康的人格，形成正确的价值观念，获得他人和社会的接纳与认可。 探究与分享劳动体验研学旅行结合图片和你参加的社会实践活动，谈谈如何养成亲社会行为。 亲社会行为在人际交往和社会实践中养成。我们要主动了解社会，关注社会发展变化，积极投身于社会实践。在社会生活中，我们要遵守社会规则和习俗，热心帮助他人，想他人之所想，急他人之所急。 “风声雨声读书声声声入耳，家事国事天下事事事关心。 ”参与社会的过程，既是体验社会生活的过程，也是在实践中发展和成就自己的过程。我们只有主动关心社会，积极融入社会，倾力奉献社会，才能实现自己的人生价值。 8\n\n第一单元走进社会生活拓展空间从小到大，我们读过很多成功人物的故事。以你感兴趣的一个人为例，参考下面的提示，探究其成长过程。 ✧ 主人公对成长环境有怎样的认识和判断？ ✧ 主人公是怎样确立自己人生志向的？ ✧ 主人公是如何利用社会条件实现人生目标的？ ✧ 主人公为社会作出了哪些贡献？ ✧ 社会对主人公作出了怎样的评价？ 第一课丰富的社会生活\n\n9 第二课网络生活新空间当今世界，日新月异的互联网不仅促进了社会生产的新变革，而且创造了人类生活新空间。世界因互联网而更加绚丽多彩，生活因互联网而更加丰富多样。但是，互联网也带来一些问题。我们要理性利用互联网，做网络生活的主人。 网络改变世界运用你的经验生活中，你经常借助互联网做哪些事情？ 如果没有互联网，人们的生活会变成什么样？,745,0,unknown,text-extracted,,2.0,义务教育教科书·道德与法治八年级上册,5,920,2025-07-21T14:24:39.913Z,2.0,2025-07-20T03:47:08.656Z,八年级,[object Object],node-poppler,unknown,0.899581589958159,0.7999999999999999,0.745,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/道德与法治/统编版-人民教育出版社/八年级/义务教育教科书·道德与法治八年级上册.pdf,义务教育教科书·道德与法治八年级上册.json,道德与法治,52739
义务教育教科书·道德与法治八年级上册_chunk_6,6,第一课丰富的社会生活\n\n9 第二课网络生活新空间当今世界，日新月异的互联网不仅促进了社会生产的新变革，而且创造了人类生活新空间。世界因互联网而更加绚丽多彩，生活因互联网而更加丰富多样。但是，互联网也带来一些问题。我们要理性利用互联网，做网络生活的主人。 网络改变世界运用你的经验生活中，你经常借助互联网做哪些事情？ 如果没有互联网，人们的生活会变成什么样？ 网络丰富日常生活网络让我们日常生活中的信息传递和交流变得方便迅捷。随着科学技术的不断发展，互联网已经成为一座拥有海量信息、开放的移动图书馆，不仅给人们提供信息，而且提供便捷的信息检索渠道。 10\n\n第一单元走进社会生活相关链接在互联网出现之前，知识和信息主要通过书籍、胶片、磁带等介质存储。存在于不同介质上的知识和信息互不关联，很难共享。互联网出现之后，知识和信息不再受介质的束缚，只要有人愿意将它们在互联网上共享，知识和信息就可以在网络中自由传递。随着技术的不断变革，电脑存储的空间越来越大，内容越来越多，信息交流速度越来越快，从而实现了海量知识、信息的高速传递和共享。 探究与分享结合上图和生活经历，说说网络给人际交往方式带来的影响。 网络打破了传统人际交往的时空限制，促进了人际交往。通过网络，我们可以随时随地与地球上任何角落的人交流、互动，世界变成了“鸡犬之声相闻”的地球村，人们不再“老死不相往来”，纵使相隔万里，也如近在咫尺。 探究与分享\n\n✧ 网络购物已经渗透到我们生活的方方面面，越来越多的人喜欢在网上买东西。截至 2021 年 12 月，我国网络购物用户规模达到 8.42 亿。 第二课网络生活新空间\n\n11 ✧ 在生活中，人们越来越多地采用移动支付方式。2017 年，我国移动支付交易规模超过 200 万亿元，居全球第一。 你有网络购物的经历吗？如果有，你通过网络购买过哪些商品？ 互联网给我们的生活带来哪些便利？ 网络让我们的生活变得更加便利和丰富多彩。借助互联网，不用舟车劳顿，我们就可以结交朋友、查阅资料、学习新知、购买物品、寻医问药、休闲娱乐，从而大大节约了成本，提高了效率。,881,0,unknown,text-extracted,,2.0,义务教育教科书·道德与法治八年级上册,6,932,2025-07-21T14:24:39.913Z,2.0,2025-07-20T03:47:08.656Z,八年级,[object Object],node-poppler,unknown,0.8845700824499411,0.7999999999999999,0.881,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/道德与法治/统编版-人民教育出版社/八年级/义务教育教科书·道德与法治八年级上册.pdf,义务教育教科书·道德与法治八年级上册.json,道德与法治,52739
义务教育教科书·道德与法治八年级上册_chunk_7,7,✧ 在生活中，人们越来越多地采用移动支付方式。2017 年，我国移动支付交易规模超过 200 万亿元，居全球第一。 你有网络购物的经历吗？如果有，你通过网络购买过哪些商品？ 互联网给我们的生活带来哪些便利？ 网络让我们的生活变得更加便利和丰富多彩。借助互联网，不用舟车劳顿，我们就可以结交朋友、查阅资料、学习新知、购买物品、寻医问药、休闲娱乐，从而大大节约了成本，提高了效率。 网络推动社会进步网络为经济发展注入新的活力。互联网大大促进了人才、资金、技术、物资的流动，已经成为社会生产的新工具、经济贸易的新途径。互联网与传统行业的融合，推动了传统行业转型升级，创造了新业态，提升了经济发展水平。 探究与分享自 2014 年 3 月起，中国政府网开设“我向总理说句话”常设栏目，一些好的意见和建议直接送到总理的办公桌上。这让中国网民的电脑桌与总理的办公桌实现了零距离接触。 2017 年的前三周，“我向总理说句话”就收到海内外网民留言超过 10 万条。 网民围绕“办事少跑腿”“老有所养”“病有所医”“加强政府自身建设”等话题， 对政府工作提出意见和建议。留言经汇总整理后，报送国务院相关领导和政府工作报告起草组，为国家决策提供参考。 12\n\n第一单元走进社会生活政府开通这样的网络渠道有什么作用？ 各级政府门户网站都会有类似“联系我们”“网上投诉”“市长信箱”等链接。 请你了解使用方法，并就生活中的一些问题，尝试向有关部门反映。 网络促进民主政治的进步。老百姓上了网，民意也就上了网。互联网丰富了民主形式，拓宽了民主渠道，使人们更加便利、有序地参与社会生活和政治生活，对保障公民的知情权、参与权、表达权、监督权发挥着重要作用。 探究与分享,720,0,unknown,text-extracted,,2.0,义务教育教科书·道德与法治八年级上册,7,746,2025-07-21T14:24:39.913Z,2.0,2025-07-20T03:47:08.656Z,八年级,[object Object],node-poppler,unknown,0.8602305475504323,0.7999999999999999,0.72,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/道德与法治/统编版-人民教育出版社/八年级/义务教育教科书·道德与法治八年级上册.pdf,义务教育教科书·道德与法治八年级上册.json,道德与法治,52739
义务教育教科书·道德与法治八年级上册_chunk_8,8,政府开通这样的网络渠道有什么作用？ 各级政府门户网站都会有类似“联系我们”“网上投诉”“市长信箱”等链接。 请你了解使用方法，并就生活中的一些问题，尝试向有关部门反映。 网络促进民主政治的进步。老百姓上了网，民意也就上了网。互联网丰富了民主形式，拓宽了民主渠道，使人们更加便利、有序地参与社会生活和政治生活，对保障公民的知情权、参与权、表达权、监督权发挥着重要作用。 探究与分享随着互联网不断发展，人类将进入万物互联的物联网时代。所谓物联网，就是物物相连的互联网，即把所有物品通过信息传感设备与互联网连接起来，进行信息交换，以实现智能化识别和管理。 物联网的应用十分广泛。例如， 在智能交通方面，物联网技术可以自动检测并报告公路、桥梁的“健康状况 ”， 可以 避免 超载 车辆 经过 桥梁， 可以根据光线强度自动控制路灯开关，等等。在智能建筑方面，通过感应技术，建筑物内照明灯能自动调节光亮度， 实现节能环保，建筑物的运作状况也能通过物联网及时发送给管理者。在农业生产中，物联网也被广泛使用，如大棚种植中运用物联网系统的各种传感设备，可以检测并控制环境的温度、湿度、光照强度、土壤养分、二氧化碳浓度等各种参数，保证农作物有适宜的生长环境。 根据你的经验，物联网还有哪些常见的应用？ 网络为文化传播和科技创新搭建新平台。互联网打破了地域界限，极大地拓展了文化交流的内容、场合及范围，提高了文化传播的速度。互联网促进了科技创新所需的物质与信息资源快速流动，加速了各种创新资源的汇聚、融合与共享。基于互联网的大数据正在改变我们的生活和我们理解世界的方式，成为众多新发明和新服务的源泉。 第二课网络生活新空间\n\n13 阅读感悟,709,0,unknown,text-extracted,,2.0,义务教育教科书·道德与法治八年级上册,8,742,2025-07-21T14:24:39.913Z,2.0,2025-07-20T03:47:08.656Z,八年级,[object Object],node-poppler,unknown,0.9026162790697675,0.7999999999999999,0.709,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/道德与法治/统编版-人民教育出版社/八年级/义务教育教科书·道德与法治八年级上册.pdf,义务教育教科书·道德与法治八年级上册.json,道德与法治,52739
义务教育教科书·道德与法治八年级上册_chunk_9,9,网络为文化传播和科技创新搭建新平台。互联网打破了地域界限，极大地拓展了文化交流的内容、场合及范围，提高了文化传播的速度。互联网促进了科技创新所需的物质与信息资源快速流动，加速了各种创新资源的汇聚、融合与共享。基于互联网的大数据正在改变我们的生活和我们理解世界的方式，成为众多新发明和新服务的源泉。 第二课网络生活新空间\n\n13 阅读感悟在 信息 化时 代， 知识、 信息 等是\n以数据为载体存在的。我们每点击一下鼠标，检索一 条信 息， 都会 成为 大有大数据帮忙，扶贫数据时代数据记录的一部分。人类大工作更有效率。 量记录世界的结果，就出现了大数据。 人类通过运用新 系统、 新工 具、 新模\n型对海量网络数据进行分析，会获得具有巨大价值的产品、服务或深刻的洞见。 大数 据的 应用 比比 皆是。 例如， 可以根据某一地域内人们利用搜索引擎搜索流感信息的大量数据记录，分析搜索流感信息的人数与实际患病人数之间存在的密切关联；可以预测不同国家或地区的流感传播情况，给政府公共卫生决策提供参考。大数据还可以用于交通运输管理、精准扶贫等，从而提升公共服务水平。 网络是把双刃剑探究与分享\n\n2011 年以 来， 李某 在网 上捏 造事\n实， 无端 诽谤 多人， 情节 严重， 造成\n恶劣 社会 影响； 李某 还在 网上 编造、\n散布对国家机关产生不良影响的虚假信息，严重扰乱公共秩序。李某被警方依法刑事拘留。经公开审理，人民法院作出有罪判决，判处其有期徒刑三年。 网络谣言有什么危害？ 怎样防范网络谣言？ 14\n\n第一单元走进社会生活在网络时代，人人能够参与信息发布，信息变得丰富的同时，也出现了一些虚假的、不良的信息。有的人有意无意地歪曲事实，误导大众；有的人随意宣泄情绪，谩骂、中伤他人，侵犯他人人格尊严；有的人实施网络诈骗，侵害他人利益；有的人恶意发布暴力、色情和危害社会稳定的信息， 造成恶劣影响。 方法与技能遇到以下情况，要提高警惕，防止被骗\n\n自称公检法要求汇款的。 2\n\n让你汇款到“安全账户”的。 3\n\n通知“中奖”、领取“补贴”却要你先交钱的。 4\n\n通知“家属”出事要先汇款的。 5,899,0,unknown,text-extracted,,2.0,义务教育教科书·道德与法治八年级上册,9,984,2025-07-21T14:24:39.913Z,2.0,2025-07-20T03:47:08.656Z,八年级,[object Object],node-poppler,unknown,0.8898305084745762,0.7999999999999999,0.899,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/道德与法治/统编版-人民教育出版社/八年级/义务教育教科书·道德与法治八年级上册.pdf,义务教育教科书·道德与法治八年级上册.json,道德与法治,52739
