Chunk_ID,Chunk_Index,Content,Content_Length,Quality_Score,Reliability,Source_Type,Original_Content,Enhancement_Version,book_name,chunk_index,enhancementTimestamp,enhancementVersion,filename,grade,processing_method,publisher,qualityMetrics_chineseCharRatio,qualityMetrics_coherenceScore,qualityMetrics_lengthScore,qualityMetrics_ocrConfidence,semester,source,source_file,subject,total_chunks,worker_id
义务教育教科书·音乐八年级上册_chunk_0,0,娄育间\n2013\nSa\n站 A da\n1 人所\nAN\nYU\n由AAA\n人\n/7介生各\nN MY\n有 SN\n名\njw 0\nNE\n1 7/ 名民间音乐是在人民的于争生活中产生的，人们歌喝着它，演奏着它，总是有所万而\n发，所表现的感情是真执的、\n夺扑的。 一一 [中国] 马可(1918-1976) 音乐家二 如果不展戏剧的话，人任何一种艺术都没有像音乐这样吸有群众，并县它念普及，人人们对它的只起也就念强烈。 一一 [匈牙利] 李斯特(1811-1886) 音乐家义务教育教科书口避YUE\nID回草\nFS。 Y Re\n四六 房， 、\n对 -\n一秘 本\n\n八年级上册乞大郧出版社圈 亚均作 98 /\n义务教育教科书音乐(简谱) 八年级上册主编: 王世康责任编辑: 王”葡封面设计: 张安\n\n版式设计: 戴永呈绘 图:张安\n\n出版发行: 西南师范大学出版社印 刷者: 重庆华林天美印务有限公司成品尺寸: 185mm x 260mm\n\n印 “ 张: 4\n\n版次: 2013年6月“第1版印 次: 2021年?月“第9次书 号: ISBN 978-7-5621-6308-4\n\n : 7.35元严禁擅用本书制作各类出版物，著作权所有，违者必究。如发现印、装质量问题，影响使用，请与出版社基础教育营销部或印刷厂联系调换。 出版社邮编: 400715 基础教育营销部电话: (023) 68252471\n印刷厂地址: 重庆市南岸区迎春路9号印刷厂邮编: 401336 印刷厂电话: (023) 88656868\n※ 本教材选用了大量优秀的音乐作品 、图片，衷心感谢这些作者的支持。但由于一些作者的姓名和地址不详，暂时还无法取得联系。恩请这些作者与重庆市版权保护中心和西南师范大学出版社联系，以便署名并付酬。 致少年朋友拿到了这册色彩鲜艳、装帧精美的音乐教科书， 书中那一串串肚和逸跳动的音符，翻动着黑白相间的到键，犹如夏日里的凉雨，在你紧张的学习生活中注入了一丝天高云淡的情韵。,831,0,unknown,text-extracted,,2.0,义务教育教科书·音乐八年级上册,0,2025-07-21T14:24:41.359Z,2.0,义务教育教科书·音乐八年级上册_6221fc2c,八年级,ocr,unknown,0.7017783857729138,0.7999999999999999,0.831,0.95,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/flattened_pdfs/义务教育教科书·音乐八年级上册_6221fc2c.pdf,义务教育教科书·音乐八年级上册_6221fc2c.json,音乐,61,worker_4
义务教育教科书·音乐八年级上册_chunk_1,1,地址不详，暂时还无法取得联系。恩请这些作者与重庆市版权保护中心和西南师范大学出版社联系，以便署名并付酬。 致少年朋友拿到了这册色彩鲜艳、装帧精美的音乐教科书， 书中那一串串肚和逸跳动的音符，翻动着黑白相间的到键，犹如夏日里的凉雨，在你紧张的学习生活中注入了一丝天高云淡的情韵。 您您的民乐将抹去你一天的疲乏; 战士的歌声会驱散你的烦恼;续纷多彩的歌剧兽台让你在歌声中感受人类文化的积淀、炽热的情感;， 那《川江船夫号子》会喊出你一身的畅快; 北国风光、洞庭鱼米会使你感到华夏秀美、江山多娇……\n\n一曲曲优美的旋律给你灵性，一首首动听的歌曲使你振奋，生机蔓发的少年朋友们，让我们在金秋里尽情放歌!\n\n@ ;第一单元江山多娇， 最美的画卷 .\n一摊赏 沁园春*雪 4 呈洞庭鱼米乡 6 中人， “ 音乐知识\nRE。 欣。 偶把我的奶名儿电 10， 歌曲祖国给我理想 1 更\n;第二单元”战士的歌战歌喷亮而 和欣。 帝中国人民解放军进行昌 14\n歌曲共青团员之歌 16\n音乐知识战士风采进行由， 欣赏打凤归来 18\n音乐家思绍，， 创与做 19\n大人委成欣赏军队进行曲 20\n 人创与做 20， 歌曲好男儿就是要当兵 2\n 第三单元 ”情满三峡号子声声攻 欣赏川江船天号子 (WE) 22 歌曲郊爷的三峡号子 26 高峡出平湖音乐知识欣赏三号情 28 三峡号子创 与做 2， 歌曲三峡的孩子爱峡 30， 六,600,0,unknown,text-extracted,,2.0,义务教育教科书·音乐八年级上册,1,2025-07-21T14:24:41.359Z,2.0,义务教育教科书·音乐八年级上册_6221fc2c,八年级,ocr,unknown,0.8528864059590316,0.7999999999999999,0.6,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/flattened_pdfs/义务教育教科书·音乐八年级上册_6221fc2c.pdf,义务教育教科书·音乐八年级上册_6221fc2c.json,音乐,61,worker_4
义务教育教科书·音乐八年级上册_chunk_2,2,一吹拉弹打一 人欣赏流水 6 万二泉映月 34 ”音乐知识站 5 中国下半生站乐和出 六乐欣。 芮打受 38 类、吹条乐、五声调\n| 古韵新声 ;， 音乐家介绍欣。 和芝将军令 3 全的\n1 下第五单元”歌剧舞台歌剧舞台缤纷多彩欣赏今夜无人入睡 4\n加扎红头强 44\n|\n歌剧、序曲、\n音乐歌剧音乐风格各异音乐家介绍 | 歌曲 牵挂 47 |\n普站尼、轧欣。迷洪湖水浪打浪 48\n可、比才、韦伯回忆 50\n本卡门序曲 5\n三茵，。 选唱歌昌 56 最美的歌献给你 56 高兴就好 5 只知你是兵 5 向新世纪报到 5。 选听曙目 5 祖国颁 5 饮酒歌 5\n音乐故事”民间音乐家阿炳 60\n国。 银才,300,0,unknown,text-extracted,,2.0,义务教育教科书·音乐八年级上册,2,2025-07-21T14:24:41.359Z,2.0,义务教育教科书·音乐八年级上册_6221fc2c,八年级,ocr,unknown,0.78099173553719,0.7999999999999999,0.3,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/flattened_pdfs/义务教育教科书·音乐八年级上册_6221fc2c.pdf,义务教育教科书·音乐八年级上册_6221fc2c.json,音乐,61,worker_4
义务教育教科书·音乐八年级上册_chunk_3,3,"- 人7\n一一钨\n第-单元席多娇天\n最关 的,画卷后党 、\n一沁园春. 雪\n(女高音独唱)\nPR 毛泽东词\n舒组、宽广地生茂、唐订曲\n(3 16 主|i7resle il和|E和2|\n-一人人”人人\n3 -13864323asizlezessls esl45 43|\n一人人一 从一、\n208176le - le) 8 le6 56i1 2 |\n北国 风光， 于里\n一-一一一 2 一、 -一一一\n6 5 |3 il2osizele - |85 8|203176|\n冰圭， 万里 当球， 万里 雪\n(06 35|203176)\n-一一人人稍快一 -一一一\n-| lszziels slzzsesle - |\n际。 望长城内外， 惟余莽 莽;\n-一一、 了7 一、 一让2 6双5 |85 21|2 (82|121 6e1|2 -)|(且自)\n大河 上下， 顿失 活滔。 全与做， 1.在括号中填上音乐记号的名称。 2 ) # 【《 ) ae 】\n> (人 ) 2 ( ) 6 《 )\n你还知道哪些常用的音乐记号。 2.歌曲分为几个段落? 说说你的理由。 3.聆听后，对比独唱与合唱两种形式表现的《沈园春雪》，谈谈自己的感受。 风信区俯来避下从下让辩关子03\n关人证一下 攻居办了为名双司二人玉生全生生1\n和色 名人 号人 狼人绵， 5 大不感天 水， /\n六和过和膏关和基2 议记别 二的 世生\n鸡呈商检(区季和天 棚分汪往了胡 尖凡后损玫内沪前有用和全和二用为人 甸屏于名去及妨全 阴和向",645,0,unknown,text-extracted,,2.0,义务教育教科书·音乐八年级上册,3,2025-07-21T14:24:41.359Z,2.0,义务教育教科书·音乐八年级上册_6221fc2c,八年级,ocr,unknown,0.5551330798479087,0.7999999999999999,0.645,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/flattened_pdfs/义务教育教科书·音乐八年级上册_6221fc2c.pdf,义务教育教科书·音乐八年级上册_6221fc2c.json,音乐,61,worker_4
义务教育教科书·音乐八年级上册_chunk_4,4,\大党， 本杰\n洞庭鱼米乡， (男高音独唱)\n湖南民了歌\n1-cC生叶和蔚林词\n自由、近阔地白诚仁编曲\n= 人呈， 6\n(5 2 - 356i2|<6 - - - |2665 266625 这28282i|5 - - -)|\n.一必 AS 兰一全。 :\n5 22 -23|565-- 3a2 6- 53 |532ioo|\n洞庭听湖 上哟 好风网 光听，，，基一下\n33 > -28|552-23|88 8i282|2i 悟--| (片段)\n八月网 风吹咱稻花网 香吃。 高腔山歌: 一种音调高元、粗狐，节奏较自由的山歌，多为成年男子在野外用假嗓演唱。 全 0\nER ee\n 3 于全 ER Er 3 二妆 所 ee 至区|葵二\nEN 人\n-3\nya\nm 上\nO 2,332,0,unknown,text-extracted,,2.0,义务教育教科书·音乐八年级上册,4,2025-07-21T14:24:41.359Z,2.0,义务教育教科书·音乐八年级上册_6221fc2c,八年级,ocr,unknown,0.44656488549618323,0.7999999999999999,0.332,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/flattened_pdfs/义务教育教科书·音乐八年级上册_6221fc2c.pdf,义务教育教科书·音乐八年级上册_6221fc2c.json,音乐,61,worker_4
义务教育教科书·音乐八年级上册_chunk_5,5,SA 了冯隐-六有 全7\n过于 上\nPS -1 玉权和7了二六\n> < 人人才 -多 SET\n时有 义\nSC\n和 Ce Vi 上 2\n5 3 于汪三7 PR 7用人与航， 1.这首歌曲在演唱风格上有什么特点?\n2.歌曲各部分在节奏、速度、情结上有什么样的变化?\n3.唱一唱下面这些山歌旋律片段，体会山歌的风格特点。 (1)1=C寻侵节奏自由地四川民歌《槐花几时开》\n人， -一\ni ii 6 “6 | 5i6 6565|s - |\n一中 习全\n5 5 3 6 一2 | “5 3 6. 3 | 2 6 |\n(2)1=5e 和号 村慢云南民歌《小河消水》\n6 - - -|sitas2a iselsaz se -|\n| 一\n6i 6865 382|56 65 3832|6 - - - |\n( 3 ) 1=C 寻中速稍忆陕西民歌《赶牲灵》\n4 1 ie -一和 5il人saslz当| -2。 一人\n尼豆 2 1 6 5 | 5 一 | 5 一 |,423,0,unknown,text-extracted,,2.0,义务教育教科书·音乐八年级上册,5,2025-07-21T14:24:41.359Z,2.0,义务教育教科书·音乐八年级上册_6221fc2c,八年级,ocr,unknown,0.453416149068323,0.7999999999999999,0.423,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/flattened_pdfs/义务教育教科书·音乐八年级上册_6221fc2c.pdf,义务教育教科书·音乐八年级上册_6221fc2c.json,音乐,61,worker_4
义务教育教科书·音乐八年级上册_chunk_6,6,"各胡\n\必-一。 歌唱祖国\n1-虽子中速 ”雄壮有力地王革词曲\n-一人人\n(5|5 下|s 下ls4 sz21) 下15 ls 1 | |\n五星1.~4.红旗 迎风球\n-人 -一人人 -一人\n5 5sliilesdel -lsssleelz22|5 34|\n扬,胜利 歌声多人么响亮， 歌吗我们订爱的礼下 -一”人一一人\n511le6|l4324l3-|35 5|66122 215 4|\n人人 -一人人 -一人\nsa 5 5|s556ls4s2T -hssliileesl4 5|\n国,从今走向繁荣富强。 歌唱我们亲爱的神一 一人人人人一人\n35 5|3s3 |55 63l1 -155|66|143和3|2 3|\n[站123 1站4络囊人 |\n-一、 一、 -人一、 一人、人\n622|556l5s4832l1-l1olzsszli-li 1\n国,从今 走向尝来富强。 繁杯富强。 -一人、\n一、 一一 《3 一 3.\n4Eslss ss sz -olsss |人1 ss la olaie le ol el 2\n1.越过 高山， 越过平点， 跨过奔腾 的\n2.我们勤劳， 我们 勇敢， 独立 自由是\n3东方太阳 正在升起 人民 共和国\n\n一一人”人\n21 76l5 -1 5 |8sesll 2 ls。 |\n黄河长 江， 宽 ) 类丽的土一 她， (5 工2)\n\n我们的理想， 我们 战胜了多少车难， 正在成 长， 我们 领袖毛 洋东， -人一 -一一\n\n2 esels5sslz 8 ls oiliiisle\n\n是我们亲爱的 家乡。 英雄的人民\n\n才得到今天的钥 放! 我们受和平， 我指 引着前进的广向。 我们的生活\n\nes546ls5o liiiils selsa ss2|l1 区5",748,0,unknown,text-extracted,,2.0,义务教育教科书·音乐八年级上册,6,2025-07-21T14:24:41.359Z,2.0,义务教育教科书·音乐八年级上册_6221fc2c,八年级,ocr,unknown,0.4205298013245033,0.7999999999999999,0.748,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/flattened_pdfs/义务教育教科书·音乐八年级上册_6221fc2c.pdf,义务教育教科书·音乐八年级上册_6221fc2c.json,音乐,61,worker_4
义务教育教科书·音乐八年级上册_chunk_7,7,正在成 长， 我们 领袖毛 洋东， -人一 -一一\n\n2 esels5sslz 8 ls oiliiisle\n\n是我们亲爱的 家乡。 英雄的人民\n\n才得到今天的钥 放! 我们受和平， 我指 引着前进的广向。 我们的生活\n\nes546ls5o liiiils selsa ss2|l1 区5\n\n站起来了1! 我们夯结友 受坚强如 钢。2.五是\n\n们爱家乡， 谁敢侵犯我 们加叫他灭亡!13五星\n\n天天 问上， 我们的所人途万丈光 芳。4士星\nv公与佑， 1.自信、有感情地背唱歌曲。 2.讨论歌曲的乐段结构，划拍视唱第一乐段的旋律，并选用你学过的乐器演奏。 NA\n2 让 0\n二了 肌关网本oa\n[是 |\n大团结万风曙\nRe 9\n- 局 er 世二 FT,326,0,unknown,text-extracted,,2.0,义务教育教科书·音乐八年级上册,7,2025-07-21T14:24:41.359Z,2.0,义务教育教科书·音乐八年级上册_6221fc2c,八年级,ocr,unknown,0.6287878787878788,0.7999999999999999,0.326,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/flattened_pdfs/义务教育教科书·音乐八年级上册_6221fc2c.pdf,义务教育教科书·音乐八年级上册_6221fc2c.json,音乐,61,worker_4
义务教育教科书·音乐八年级上册_chunk_8,8,天天 问上， 我们的所人途万丈光 芳。4士星\nv公与佑， 1.自信、有感情地背唱歌曲。 2.讨论歌曲的乐段结构，划拍视唱第一乐段的旋律，并选用你学过的乐器演奏。 NA\n2 让 0\n二了 肌关网本oa\n[是 |\n大团结万风曙\nRe 9\n- 局 er 世二 FT - 放最 美的 筑歌， \克营， 把我的奶名儿叫\n(混声合唱)\n1=A生千黄宗英词\n速度自由深情地办硕贤曲\n人 -一 -一 -一 -一一人文商|5 由 56 5|5 3 3 |2353 12 1|6 6 |\n大海 啊大海， 我有万种季 情， 3 -一、 -一一一\n%女低上3 8 3 4 3|3 5 5 |68665 4 |3 3 |\n一人 -一人人、\n文高|上7 1 2， 2， |?了54 4 | 00 0|o%， 0 0 |\n你知 道， 你知道!\n一一人人文低|5 相4 4 |2 34 4 | 2o olo% 0o 0% |\nm 一、， -一一\n另高 |‖ 0- 0 0 |o% 0% 0% |5由56 5|5 3 3 |\n金色 的城池， 7 2一 PSSESS\n区的由0- 0 0 |9% 0 0 |王相56 5|5 5 5 | (片段) =\nTS 一 =本军,515,0,unknown,text-extracted,,2.0,义务教育教科书·音乐八年级上册,8,2025-07-21T14:24:41.359Z,2.0,义务教育教科书·音乐八年级上册_6221fc2c,八年级,ocr,unknown,0.4817708333333333,0.7999999999999999,0.515,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/flattened_pdfs/义务教育教科书·音乐八年级上册_6221fc2c.pdf,义务教育教科书·音乐八年级上册_6221fc2c.json,音乐,61,worker_4
义务教育教科书·音乐八年级上册_chunk_9,9,ie | 要本 网 ea\n1仔细聆听这首合唱曲， 全\n2 .在下列歌曲片段的长音处填充旋律，并编配节奏进行伴奏。 《我的中国心》\n1=C 壮王福龄曲\n(85 61 21 25) 人 )\n六伴| 6。 3 23 17|6 - - 0 |86 5 32 12|3 - - 35|\n节奏(1)\n区\n( 人 )\n6 78532|1123- |? 87865 |6e--。|\n[| |\n[| |\n3.你还知道哪些赞美我们伟大祖国的歌曲呢? 能自学一首在班级音乐会上表演吗?,231,0,unknown,text-extracted,,2.0,义务教育教科书·音乐八年级上册,9,2025-07-21T14:24:41.359Z,2.0,义务教育教科书·音乐八年级上册_6221fc2c,八年级,ocr,unknown,0.47540983606557374,0.5,0.231,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/flattened_pdfs/义务教育教科书·音乐八年级上册_6221fc2c.pdf,义务教育教科书·音乐八年级上册_6221fc2c.json,音乐,61,worker_4
