Chunk_ID,Chunk_Index,Content,Content_Length,Quality_Score,Reliability,Source_Type,Original_Content,Enhancement_Version,book_name,chunkIndex,chunkSize,enhancementTimestamp,enhancementVersion,extractedAt,grade,loc_lines,publisher,qualityMetrics_chineseCharRatio,qualityMetrics_coherenceScore,qualityMetrics_lengthScore,qualityMetrics_ocrConfidence,semester,source,source_file,subject,totalPages
人教版-人民教育出版社_七年级_义务教育教科书·俄语七年级全一册_chunk_0,0,七年级\n®\n全一册全一册七年级俄\n语七年级全一册俄语\nEYU\nYIWU JIAOYU JIAOKESHU\n俄语俄语义务教育教科书义 务教 育教 科书\n 产品初中封面俄语7 -环境标.indd 12013.4.25 2:57:31 PM\n\nКра\ń\nсная пло\ń\nщадь\n\n·北京·\n\n主编：丁曙\n主要编写人员： Н. Д. Литвинова 丁曙 田旭 李莹 刘英姿责 任编辑：李莹\n美术 编辑：张傲冰插 图：金葆\n义务教育教科书俄语七年级全一册人民教育出版社课程教材研究所俄语课程教材研究开发中心编著俄罗斯国立普希金俄语学院出 \n网版 \n（北京市海淀区中关村南大街\n 17 号院 1 号楼邮编：100081）\n址 http://www.pep.com.cn 版权所有·未经许可不得采用任何方式擅自复制或使用本产品任何部分·违者必究如发现内容质量问题，请登录中小学教材意见反馈平台：jcyjfk.pep.com.cn\n如发现印、装质量问题，影响阅读，请与 ××× 联系调换。电话：×××-××××××××,459,0,unknown,text-extracted,,2.0,人教版-人民教育出版社_七年级_义务教育教科书·俄语七年级全一册,0,539,2025-07-21T14:24:44.318Z,2.0,2025-07-17T02:34:37.132Z,七年级,[object Object],人教版,0.6054590570719603,0.7999999999999999,0.459,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/俄语/人教版-人民教育出版社/七年级/义务教育教科书·俄语七年级全一册.pdf,人教版-人民教育出版社_七年级_义务教育教科书·俄语七年级全一册.json,俄语,267
人教版-人民教育出版社_七年级_义务教育教科书·俄语七年级全一册_chunk_1,1,前言\n亲爱的同学们： 你们好！从这个学期起，你们开始学习俄语。这本教科书将成为你们的好朋友。它不仅帮助你们学习俄语，还向你们介绍我们的邻国俄罗斯，向你们讲述与你们同龄的俄罗斯朋友如何生活、学习。 本书分为两个单元。第一单元：语音（1~6课）。 通过了解俄语语音的一些规则和大量的模仿操练，帮助你们在听和说的过程中学习语音，顺利通过“拼读关”。掌握正确的语音、语调，初步具备书写能力， 这就为今后学好俄语打下了坚实的基础。第二单元： 主题活动（8~17课）。每一课围绕1个主题和1~2个语法点，通过小对话、小短文、小诗歌、看图说话、做游戏、脑筋急转弯、听歌学唱、思考题等丰富多彩的构件，展开多种活动，培养综合语言运用能力。第7\n课和第18课是复习课。它们分别归纳两个单元学习的主要内容，同时帮助你们进行自我检测。另外，复习课还介绍一些有效的学习策略，它们能够帮助你们提高学习效率。本书中画的练习都配有录音，希望你们认真听。分课词汇表中画符号的词为选学词，它们主要是人名和地名，你们可以选择记忆。 祝你们学习愉快！ ★,457,0,unknown,text-extracted,,2.0,人教版-人民教育出版社_七年级_义务教育教科书·俄语七年级全一册,1,578,2025-07-21T14:24:44.318Z,2.0,2025-07-17T02:34:37.132Z,七年级,[object Object],人教版,0.8549107142857143,0.7999999999999999,0.457,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/俄语/人教版-人民教育出版社/七年级/义务教育教科书·俄语七年级全一册.pdf,人教版-人民教育出版社_七年级_义务教育教科书·俄语七年级全一册.json,俄语,267
人教版-人民教育出版社_七年级_义务教育教科书·俄语七年级全一册_chunk_2,2,"目录\n课次和页码音和字母语 调书 写\nУро\ń\nк 1\n\n元音字母 \nа о у э 字母的大小写辅音字母\n м н т п\n音节和重音调型 1\n句子的书写\nУро\ń\nк 2\n10\n元音字母 \nи ы\n辅音字母 \nб д к г х\n清辅音和浊辅音非重读音节中\nо\n和 а\n的读法调型 3\nУро\ń\nк 3\n21\n辅音字母\n л р ф в\n调型 2\nУро\ń\nк 4\n31\n辅音字母 \nс з й 无音字母 \nь\n浊辅音清化 \n(1)\nУро\ń\nк 5\n40\n元音字母 \nе ё ю я\n非重读音节中\nе\n和\nя\n的读法带\nи\ń\nли\n的选择疑问句语调\nУро\ń\nк 6\n51\n辅音字母 \nш ж ц ч щ\n无音字母 \nъ\n浊辅音清化 (2)\nУро\ń\nк 7\n复习\n1~6\n课\n63\n字母小结辅音字母\nг к х ж ч ш щ\n的拼写规则\n\n句式疑问句小诗歌\nАнто\ń\nн тут.\nАнна там.\n音组歌： а-а-а-а ...\nДа, э\ń\nто Анто\ń\nн.\nДа, ма\ń\nма до\ń\nма.\nЭто Анто\ń\nн?\nМа\ń\nма до\ń\nма?\n音组歌： па-па ... ба-ба ... ха-ха-ха хах\nКто э\ń\nто? \nЭто мой слова\ń\nрь.\n音组歌： са-за-за-са ...\nНет, э\ń\nто не Зи\ń\nна.\nВот он.\nЭто Зи\ń\nна и\ń\nли Ле\ń\nна?\nГде Анна?\nГде тут стол?\nЧто э\ń\nто?\n音组歌： ца ца ца\n字母歌 До\ń\nброе у\ń\nтро!",730,0,unknown,text-extracted,,2.0,人教版-人民教育出版社_七年级_义务教育教科书·俄语七年级全一册,2,840,2025-07-21T14:24:44.318Z,2.0,2025-07-17T02:34:37.132Z,七年级,[object Object],人教版,0.31952662721893493,0.6,0.73,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/俄语/人教版-人民教育出版社/七年级/义务教育教科书·俄语七年级全一册.pdf,人教版-人民教育出版社_七年级_义务教育教科书·俄语七年级全一册.json,俄语,267
人教版-人民教育出版社_七年级_义务教育教科书·俄语七年级全一册_chunk_3,3,"课次、主题和页码句 式疑问句语法\nУро\ń\nк 8\nДава\ń\nйте \nпознако\ń\nмимся!\n73\nЭто учителя\ń\n.\nЭто карандаши\ń\n.\nМеня\ń\n зову\ń\nт Анна.\nКто э\ń\nто? \nЧто э\ń\nто?\nКак тебя\ń\n зову\ń\nт?\n1. \n名词的数\n2. \n名词复数形式的构成\nУро\ń\nк 9 Чей э\ń\nто дом?\n88 Это мой/наш дом. \nЭто моя\ń\n/на\ń\nша \nкварти\ń\nра. Это моё/на\ń\nше письмо\ń\n.\nЭто мои\ń\n/на\ń\nши \nроди\ń\nтели. \nЧей э\ń\nто дом? Чья э\ń\nто кварти\ń\nра? Чьё э\ń\nто письмо\ń\n? Чьи э\ń\nто роди\ń\nтели?\n名词的性\nУро\ń\nк 10\nУ тебя\ń\n есть \nбрат?\n103\nДа, у меня\ń\n есть ...\nНет, у меня\ń\n нет.\nУ тебя\ń\n есть брат/\nсестра\ń\n?\n1. 名词的格\n2. 名词单数第一格\nУро\ń\nк 11\nЧто вы \nде\ń\nлаете?\n117\nЯ учу\ń\n ру\ń\nсский язы\ń\nк.\nУчи\ń\nтель объясня\ń\nет.\nУченики\ń\n слу\ń\nшают.\nЧто ты де\ń\nлаешь?\n动词第一变位法和第二变位法",693,0,unknown,text-extracted,,2.0,人教版-人民教育出版社_七年级_义务教育教科书·俄语七年级全一册,3,716,2025-07-21T14:24:44.318Z,2.0,2025-07-17T02:34:37.132Z,七年级,[object Object],人教版,0.11066398390342053,0.6,0.693,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/俄语/人教版-人民教育出版社/七年级/义务教育教科书·俄语七年级全一册.pdf,人教版-人民教育出版社_七年级_义务教育教科书·俄语七年级全一册.json,俄语,267
人教版-人民教育出版社_七年级_义务教育教科书·俄语七年级全一册_chunk_4,4,"俄罗斯人这样说课文小诗歌\nЯ рад/ра\ń\nда познако\ń\nмиться.\nМы ра\ń\nды познако\ń\nмиться.\nДава\ń\nйте познако\ń\nмимся!\nОчень прия\ń\nтно.\nДава\ń\nйте познако\ń\nмимся! Как тебя\ń\n зову\ń\nт?\nСкажи\ń\n, пожа\ń\nлуйста ...\nСкажи\ń\nте, пожа\ń\nлуйста ...\nЗдра\ń\nвствуйте!\nЭто на\ń\nша семья\ń\n.\nВот на\ń\nша семья\ń\n.\nТы зна\ń\nешь ...\nЯ зна\ń\nю ... \nНа\ń\nша семья\ń\n.\nНаш класс.\nМы у\ń\nчим ру\ń\nсский язы\ń\nк.\nЯ учу\ń\n ру\ń\nсский язы\ń\nк.",409,0,unknown,text-extracted,,2.0,人教版-人民教育出版社_七年级_义务教育教科书·俄语七年级全一册,4,434,2025-07-21T14:24:44.318Z,2.0,2025-07-17T02:34:37.132Z,七年级,[object Object],人教版,0.039735099337748346,0.6,0.409,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/俄语/人教版-人民教育出版社/七年级/义务教育教科书·俄语七年级全一册.pdf,人教版-人民教育出版社_七年级_义务教育教科书·俄语七年级全一册.json,俄语,267
人教版-人民教育出版社_七年级_义务教育教科书·俄语七年级全一册_chunk_5,5,"课次、主题和页码句 式疑问句语法\nУро\ń\nк 12\nКак вы \nговори\ń\nте по-\nру\ń\nсски?\n129\nМы хорошо\ń\n говори\ń\nм \nпо-ру\ń\nсски. Они\ń\n пра\ń\nвильно пи\ń\nшут \nпо-ру\ń\nсски.\nКак вы у\ń\nчите \nру\ń\nсский язы\ń\nк?\n副词\nУро\ń\nк 13\nКаки\ń\nе у вас \nдрузья\ń\n?\n140\nОн хоро\ń\nший друг.\nОна\ń\n хоро\ń\nшая подру\ń\nга.\nОни\ń\n хоро\ń\nшие друзья\ń\n.\nКако\ń\nй у тебя\ń\n друг?\nКака\ń\nя у тебя\ń подру\ń\nга?\nКаки\ń\nе у тебя\ń\n друзья\ń\n?\n1. 形容词\n2. 形容词第一格词尾（单数、复数）\nУро\ń\nк 14\nГде ты \nживёшь?\n155\nЯ живу\ń\n в Пеки\ń\nне.\nВ дере\ń\nвне есть \nвысо\ń\nкие го\ń\nры.\nГде ты живёшь?\n1. \n名词第六格(1)\n2. \n名词第六格词尾（单数）\nУро\ń\nк 15\nУ меня\ń\n нет \nбра\ń\nта.\n171\nУ Юры нет бра\ń\nта и \nсестры\ń\n.\nУ Ле\ń\nны есть две \nсестры\ń\n и два бра\ń\nта.\nМа\ń\nмы нет до\ń\nма.\nУ меня\ń\n в ко\ń\nмнате нет \nтелеви\ń\nзора.\nКого\ń\n нет до\ń\nма?\nЧего\ń\n нет в \nко\ń\nмнате?\n1. \n名词第二格(1)\n2. \n名词第二格词尾（单数）\n3. \n数词1\n4. \n数词2，3，4\nУро\ń\nк 16\nЧто вы де\ń\nлаете \nу\ń\nтром, днём и \nве\ń\nчером?\n184\nУтром я чита\ń\nю газе\ń\nту. Что ты де\ń\nлаешь \nу\ń\nтром?\n1. 名词第四格(1)\n2.",974,0,unknown,text-extracted,,2.0,人教版-人民教育出版社_七年级_义务教育教科书·俄语七年级全一册,5,994,2025-07-21T14:24:44.318Z,2.0,2025-07-17T02:34:37.132Z,七年级,[object Object],人教版,0.09898107714701601,0.6,0.974,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/俄语/人教版-人民教育出版社/七年级/义务教育教科书·俄语七年级全一册.pdf,人教版-人民教育出版社_七年级_义务教育教科书·俄语七年级全一册.json,俄语,267
人教版-人民教育出版社_七年级_义务教育教科书·俄语七年级全一册_chunk_6,6,"́\nмнате?\n1. \n名词第二格(1)\n2. \n名词第二格词尾（单数）\n3. \n数词1\n4. \n数词2，3，4\nУро\ń\nк 16\nЧто вы де\ń\nлаете \nу\ń\nтром, днём и \nве\ń\nчером?\n184\nУтром я чита\ń\nю газе\ń\nту. Что ты де\ń\nлаешь \nу\ń\nтром?\n1. 名词第四格(1)\n2. 名词第四格词尾（单数）\n3. 及物动词和不及物动词",219,0,unknown,text-extracted,,2.0,人教版-人民教育出版社_七年级_义务教育教科书·俄语七年级全一册,6,233,2025-07-21T14:24:44.318Z,2.0,2025-07-17T02:34:37.132Z,七年级,[object Object],人教版,0.25766871165644173,0.5,0.219,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/俄语/人教版-人民教育出版社/七年级/义务教育教科书·俄语七年级全一册.pdf,人教版-人民教育出版社_七年级_义务教育教科书·俄语七年级全一册.json,俄语,267
人教版-人民教育出版社_七年级_义务教育教科书·俄语七年级全一册_chunk_7,7,俄罗斯人这样说课文小诗歌\nАнто\ń\nн и Анна — мои\ń друзья\ń\n.\nЯ чита\ń\nю по-кита\ń\nйски и \nпо-ру\ń\nсски.\nПовторя\ń\nем.\nМосква\ń\n — ста\ń\nрый и\ń\nли \nно\ń\nвый го\ń\nрод?\nПисьмо\ń\n.\nЯша. \nМосква\ń\n.\nНаш райо\ń\nн.\nГде луна\ń\n?\nПисьмо\ń\n.\nНаш класс.\nПиши\ń\n!Письмо\ń\n.Есть у па\ń\nпы сыновья\ń\n.\nСмотри\ń\n.Письмо\ń\n.\nВзро\ń\nслые то\ń\nже у\ń\nчатся.\nНа\ń\nша ма\ń\nма в до\ń\nме \nо\ń\nтдыха.\nЧто вы де\ń\nлаете?\n\n课次、主题和页码句 式疑问句语法\nУро\ń\nк 17\nЧто вы \nлю\ń\nбите?\n200\nЯ люблю\ń\n игра\ń\nть на \nскри\ń\nпке.\nМне нра\ń\nвится э\ń\nтот \nфильм/э\ń\nта пе\ń\nсня/\nэ\ń\nто кино\ń\n.\nМне нра\ń\nвятся э\ń\nти \nпе\ń\nсни.\nМне нра\ń\nвится чита\ń\nть.\nЧто ты лю\ń\nбишь \nде\ń\nлать?\nЧто тебе\ń\n нра\ń\nвится?\nЧто тебе\ń\n нра\ń\nвится \nде\ń\nлать?\n指示代词\nэ\ń\nтот\n的性、数\n（第一格）\nУро\ń\nк 18\n复习\n8~17\n课\n217\n词汇表\n230\n附录\n237\n语法小结\n237\n移行规则\n241\n常用俄罗斯人名表\n242\n补充阅读（选用）\n243,796,0,unknown,text-extracted,,2.0,人教版-人民教育出版社_七年级_义务教育教科书·俄语七年级全一册,7,810,2025-07-21T14:24:44.318Z,2.0,2025-07-17T02:34:37.132Z,七年级,[object Object],人教版,0.11578947368421053,0.6,0.796,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/俄语/人教版-人民教育出版社/七年级/义务教育教科书·俄语七年级全一册.pdf,人教版-人民教育出版社_七年级_义务教育教科书·俄语七年级全一册.json,俄语,267
人教版-人民教育出版社_七年级_义务教育教科书·俄语七年级全一册_chunk_8,8,"俄罗斯人这样说课文小诗歌\n— Как дела\ń\n?\nНичего— \ń\n.\nСмотри\ń\nте.\nПисьмо\ń\n.\nЧто лю\ń\nбит де\ń\nлать на\ń\nша \nсемья\ń\n?\nПиши\ń\nте!Я живу\ń\n в го\ń\nроде.\nПисьмо\ń\n.\nСо\ń\nлнце на па\ń\nрте.\nПочему\ń\n доска\ń\n — она\ń\n?\n\n本书主人公\nАнто\ń\nн\nАнна\nНи\ń\nна Петро\ń\nвна\nСун Да\nЛю Ин\n\nɍɪɨ\nғ\nɤ3\n元音字母\nУро\ń\nк 1\n1 听录音并跟读，注意\nа\n, \nо\n,\n у\n和\nэ\n的读音。 а — о — у — э\n э — у — о — а о — а — у — э ао — оа уо — оу оа — оу аэ — эа эо — эу уэ — эу уа — ау\nА-а-а-а-а\n Аа Оо Уу Ээ \nУ-y-y-y-y\n在第一课中，你将学习8个字母和6个单词。你将学习用俄语说“\n...тут \n/ \nтам\n”。 祝你成功!\nа о у э \nм н т п\n字母的大小写俄语字母有大写和小写之分，如A a。 书写\n\nУро\ń\nк 1\n\nУро\ń\nк 1\nМy-мy\nна — но — ну — нэ\nан — он — ун — эн \nан — на он — но ун — ну эн — нэ\nнан — нон — нун — нэн Hy! Hy!\nО-о-о-о-о\n2 听录音并跟读，注意\nм\n和\nн\n的读音。 ма — мо — му — мэ ам — ом — ум — эм\nам — ма ом — мо ум — му эм — мэ\nмам — мом — мум — мэм Мм Нн Тт Пп \n辅音字母书写书写\nУa-ya\nУ-y-y\nHо! Hо!",839,0,unknown,text-extracted,,2.0,人教版-人民教育出版社_七年级_义务教育教科书·俄语七年级全一册,8,906,2025-07-21T14:24:44.318Z,2.0,2025-07-17T02:34:37.132Z,七年级,[object Object],人教版,0.17739130434782607,0.7999999999999999,0.839,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/俄语/人教版-人民教育出版社/七年级/义务教育教科书·俄语七年级全一册.pdf,人教版-人民教育出版社_七年级_义务教育教科书·俄语七年级全一册.json,俄语,267
人教版-人民教育出版社_七年级_义务教育教科书·俄语七年级全一册_chunk_9,9,Уро\ń\nк 1\n3 听一听，读一读，唱一唱。 а – а – а – а ... ма – ма ... на – на ...\nо – о – о – о ... мо – мо ... но – но ...\nу – у – у – у ... му – му ... ну – ну ...\nэ – э – э – э ... ма – мо – му – мэ ... на – но – ну – нэ ...\n4 听录音并跟读，注意\nт\n和\n п\n的读音。 та — то — ту — тэ\nат — от — ут — эт\nат — та от — то ут — ту эт — тэ \nтат — тот — тут — тэт\nтам — том — тут — тэт па — по — пу — пэ\nап — оп — уп — эп ап — па оп — по уп — пу эп — пэ\nпап — поп — пуп — пэп\n5 读下列音组，注意唇部动作。 та — ту тат — тут ту — то тут — тот\nма — му мат — мут му — мо мут — мот\nпа — пу пат — пут пу — по пут — пот\nна — ну нат — нут ну — но нут — нот\nТа - та - та 书写书写\nТyт!\nТам!,627,0,unknown,text-extracted,,2.0,人教版-人民教育出版社_七年级_义务教育教科书·俄语七年级全一册,9,733,2025-07-21T14:24:44.318Z,2.0,2025-07-17T02:34:37.132Z,七年级,[object Object],人教版,0.08759124087591241,0.7999999999999999,0.627,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/俄语/人教版-人民教育出版社/七年级/义务教育教科书·俄语七年级全一册.pdf,人教版-人民教育出版社_七年级_义务教育教科书·俄语七年级全一册.json,俄语,267
