Chunk_ID,Chunk_Index,Content,Content_Length,Quality_Score,Reliability,Source_Type,Original_Content,Enhancement_Version,book_name,chunkIndex,chunkSize,enhancementTimestamp,enhancementVersion,extractedAt,grade,loc_lines,publisher,qualityMetrics_chineseCharRatio,qualityMetrics_coherenceScore,qualityMetrics_lengthScore,qualityMetrics_ocrConfidence,semester,source,source_file,subject,totalPages
人教版-人民教育出版社_九年级_义务教育教科书·化学九年级上册_chunk_0,0,九年级上册九年级化\n学化学九年级上册化学\nHUAXUE\nYIWU JIAOYU JIAOKESHU\n®\n义务 教育 教科 书上册：10.25 元全国优秀教材一等奖义务教育教科书绿色印刷产品绿色印刷产品目 录\n\n九年级上册化学义务教育教科书人民教育出版社课程教材研究所化学课程教材研究开发中心编著\n·北京·\n\n目录\n主编：王晶 郑长龙主要编写人员：吴海建胡美玲李 俊李文鼎何少华冷燕平郭 震陈 晨乔国才王 晶杜宝山夏建华责任编辑：冷燕平郭 震美术编辑：李宏庆版式设计：李宏庆插 图：郭威 王平 张良 王玮 倪晓雁文鲁工作室（封面）\n摄影：朱京 刘刚等义务教育教科书化学九年级上册人民教育出版社课程教材研究所编著化学课程教材研究开发中心出 \n网版 \n（北京市海淀区中关村南大街\n17\n号院\n\n号楼邮编： 100081\n）\n址 http://www.pep.com.cn\n版权所有·未经许可不得采用任何方式擅自复制或使用本产品任何部分·违者必究如发现内容质量问题，请登录中小学教材意见反馈平台：jcyjfk.pep.com.cn\n如发现印、装质量问题，影响阅读，请与\n×××\n联系调换。电话： ×××-××××××,504,0,unknown,text-extracted,,2.0,人教版-人民教育出版社_九年级_义务教育教科书·化学九年级上册,0,592,2025-07-21T14:24:43.606Z,2.0,2025-07-17T02:35:30.207Z,九年级,[object Object],人教版,0.75,0.7999999999999999,0.504,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/化学/人教版-人民教育出版社/九年级/义务教育教科书·化学九年级上册.pdf,人教版-人民教育出版社_九年级_义务教育教科书·化学九年级上册.json,化学,162
人教版-人民教育出版社_九年级_义务教育教科书·化学九年级上册_chunk_1,1,目录\n\n目录\n第一单元走进化学世界........................\n5 课题1 物质的变化和性质 .....................\n6 课题2 化学是一门以实验为基础的科学 ...\n11 课题3 走进化学实验室 ........................\n17\n第二单元我们周围的空气 ..................\n25 课题1 空气 ....................................\n26 课题2 氧气 ....................................\n33 课题3 制取氧气 ..............................\n37 实验活动1 氧气的实验室制取与性质 ...\n45\n第三单元物质构成的奥秘.....................\n47 课题1 分子和原子 ...........................\n48 课题2 原子的结构 ...........................\n53 课题3 元素 ....................................\n59 绪言化学使世界变得更加绚丽多彩.........,532,0,unknown,text-extracted,,2.0,人教版-人民教育出版社_九年级_义务教育教科书·化学九年级上册,1,658,2025-07-21T14:24:43.606Z,2.0,2025-07-17T02:35:30.207Z,九年级,[object Object],人教版,0.27593360995850624,0.6,0.532,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/化学/人教版-人民教育出版社/九年级/义务教育教科书·化学九年级上册.pdf,人教版-人民教育出版社_九年级_义务教育教科书·化学九年级上册.json,化学,162
人教版-人民教育出版社_九年级_义务教育教科书·化学九年级上册_chunk_2,2,目录\n\n第四单元自然界的水...........................\n67 课题1 爱护水资源 ...........................\n68 课题2 水的净化 ..............................\n74 课题3 水的组成 ..............................\n79 课题4 化学式与化合价 .....................\n83\n第五单元化学方程式...........................\n91 课题1 质量守恒定律 ........................\n92 课题2 如何正确书写化学方程式 .........\n99 课题3 利用化学方程式的简单计算 ......\n102\n第六单元碳和碳的氧化物..................\n105 课题1 金刚石、石墨和C\n60 ...............\n106 课题2 二氧化碳制取的研究 ...............\n113 课题3 二氧化碳和一氧化碳 ...............\n117 实验活动2 二氧化碳的实验室制取与性质 ...........................\n125\n第七单元燃料及其利用.....................\n127 课题1 燃烧和灭火 ...........................\n128 课题2 燃料的合理利用与开发 ...............\n136 实验活动3 燃烧的条件 .....................\n150\n附录I 初中化学实验室常用仪器...............\n151\n附录II 相对原子质量表...........................\n153\n附录III 部分名词中英文对照表..................\n154\n元素周期表,808,0,unknown,text-extracted,,2.0,人教版-人民教育出版社_九年级_义务教育教科书·化学九年级上册,2,955,2025-07-21T14:24:43.606Z,2.0,2025-07-17T02:35:30.207Z,九年级,[object Object],人教版,0.2978142076502732,0.6,0.808,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/化学/人教版-人民教育出版社/九年级/义务教育教科书·化学九年级上册.pdf,人教版-人民教育出版社_九年级_义务教育教科书·化学九年级上册.json,化学,162
人教版-人民教育出版社_九年级_义务教育教科书·化学九年级上册_chunk_3,3,绪言\n\n第一单元走进化学世界课题1 物质的变化和性质课题2 化学是一门以实验为基础的科学课题3 走进化学实验室绪言化学使世界变得更加绚丽多彩当你翻开这本崭新的化学课本时，一扇新的科学大门正向你徐徐打开，在你的脑海中是否会有这样的想法：什么是化学？化学有什么用？ 其实，化学就在我们身边，人类的衣、食、住、行都离不开化学。例如， 色泽鲜艳的衣料需要经过化学处理和印染；粮食、蔬菜的丰收需要化肥、农药和除草剂的合理使用；水泥、钢材、玻璃、塑料等化工产品都是重要的建筑材料；汽油、柴油是许多现代交通工具的燃料。这些都与化学密不可分。,263,0,unknown,text-extracted,,2.0,人教版-人民教育出版社_九年级_义务教育教科书·化学九年级上册,3,290,2025-07-21T14:24:43.606Z,2.0,2025-07-17T02:35:30.207Z,九年级,[object Object],人教版,0.8984375,0.7999999999999999,0.263,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/化学/人教版-人民教育出版社/九年级/义务教育教科书·化学九年级上册.pdf,人教版-人民教育出版社_九年级_义务教育教科书·化学九年级上册.json,化学,162
人教版-人民教育出版社_九年级_义务教育教科书·化学九年级上册_chunk_4,4,绪言化学使世界变得更加绚丽多彩\n\n那么，什么是化学呢？ 在我们生活的物质世界里，不仅存在着形形色色的物质，而且物质还在不断地变化着。化学就是要研究物质及其变化，它不仅要研究自然界已经存在的物质，还要研究和创造自然界原本不存在的新物质。例如，研制新型的半导体材料，电阻几乎为零的超导体，有记忆能力的新材料，等等。 化学在保证人类生存并不断提高生活质量方面起着重要的作用。例如， 利用化学生产化肥和农药，以增加粮食的产量；利用化学合成药物，以抑制细菌和病毒，保障人体健康；利用化学开发新能源和新材料，以改善人类的生存条件；利用化学综合应用自然资源和保护环境，以使人类生活得更加美好。化学是如此奇妙，在没有学习化学前，你可能只知道食盐不过是一种调味品，可当你学习化学后，就会发现食盐的用途可多啦！除了可用作调味品外，食盐还是一种重要的化工原料。利用食盐的水溶液可以制造氢氧化钠、氯气和氢气，并进而生产盐酸、漂白粉、塑料、肥皂和农药等，其他如造纸、\n纺织、印染、有机合成和金属冶炼等，也都离不开由食盐制得的化工产品。学习化学后，你不但能知道物质的性质和用途，还会进一步知道它们的内部组成、\n结构以及变化规律，知道如何利用它们来制造新的产品，以及人类认识化学、\n利用化学和发展化学的历史和方法。 人类认识化学并使之成为一门独立的学科，经过了漫长的过程。古时候， 在与自然界的种种灾难进行抗争中，人类学会了使用火和简单的工具，改善了自身的生存条件，从而变得更加聪明和强大。继而人类又陆续发现了一些物质的变化，如在翠绿色的孔雀石等铜矿石上面燃烧炭火，会有红色的铜生成。就像这样，人类在逐步了解和利用这些物质变化的过程中，制得了对人类生存具有实用价值的产品，如陶器、铜器、铁器、纸、火药、酒、染料等，为人类提供了更多的生活和生产资料，人类越来越离不开化学了。 图1 陕西半坡出土的人面鱼纹彩陶盆图2 东汉“酿酒” 画像砖拓片,804,0,unknown,text-extracted,,2.0,人教版-人民教育出版社_九年级_义务教育教科书·化学九年级上册,4,826,2025-07-21T14:24:43.606Z,2.0,2025-07-17T02:35:30.207Z,九年级,[object Object],人教版,0.9050632911392406,0.7999999999999999,0.804,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/化学/人教版-人民教育出版社/九年级/义务教育教科书·化学九年级上册.pdf,人教版-人民教育出版社_九年级_义务教育教科书·化学九年级上册.json,化学,162
人教版-人民教育出版社_九年级_义务教育教科书·化学九年级上册_chunk_5,5,绪言\n\n① 道尔顿（J.Dalton，1766 —1844，英国科学家）\n② 阿伏加德罗（A.Avogadro，1776 —1856，意大利物理学家、化学家）\n③ 门捷列夫（D.I.Mendeleev，1834 —1907，俄国化学家）\n图3 春秋时期越王勾践青铜剑图4 宋代鹭鸟纹蜡染褶裙图6 扫描隧道显微镜用于观察固体表面的原子排列情况等在很长的时间里，人类对物质变化的认识还是零散的、不系统的，更多地依赖于猜想和偶然的经验。到了近代，道尔顿\n①\n和阿伏加德罗\n②\n等科学家的研究，得出了一个重要的结论：物质是由原子和分子构成的，分子中原子的重新组合是化学变化的基础。这些观点是认识和分析化学现象及其本质的基础。原子论和分子学说的创立，奠定了近代化学的基础。1869年，门捷列夫\n③\n发现了元素周期律并编制出元素周期表，在元素周期律指导下，利用元素之间的一些规律性知识来分类学习物质的性质，就使化学学习和研究变得有规律可循。 图5 战国时期彩漆鸳鸯形盒绪言化学使世界变得更加绚丽多彩\n\n化学是在分子、原子层次上研究物质性质、组成、结构与变化规律的科学。化学不断地发展着， 目前，人们发现和合成的物质已有上亿种，其中很多是自然界中原本不存在的，这极大地改善了人类的生存和发展条件，丰富了人们的生活。 图9 用玻璃钢制成的船体图8 单晶硅为信息技术和新能源开发提供了基础材料图7 纳米铜用纳米（1 nm=10\n-9 \nm）材料制成的用品具有很多奇特的性质。例如，纳米铜具有超塑延展性，在室温下可拉长50多倍而不出现裂纹总之，作为实用的、富于创造性的中心学科，化学在能源、材料、医药、\n信息、环境和生命科学等研究领域以及工农业生产中发挥着其他学科所不能替代的重要作用。近年来，“绿色化学”的提出，使更多的化学生产工艺和产品向着环境友好的方向发展，化学必将使世界变得更加绚丽多彩。 目录\n\n目录\n\n第一单元走进化学世界课题1 物质的变化和性质课题2 化学是一门以实验为基础的科学课题3 走进化学实验室,848,0,unknown,text-extracted,,2.0,人教版-人民教育出版社_九年级_义务教育教科书·化学九年级上册,5,895,2025-07-21T14:24:43.606Z,2.0,2025-07-17T02:35:30.207Z,九年级,[object Object],人教版,0.8163771712158809,0.7999999999999999,0.848,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/化学/人教版-人民教育出版社/九年级/义务教育教科书·化学九年级上册.pdf,人教版-人民教育出版社_九年级_义务教育教科书·化学九年级上册.json,化学,162
人教版-人民教育出版社_九年级_义务教育教科书·化学九年级上册_chunk_6,6,目录\n\n目录\n\n第一单元走进化学世界课题1 物质的变化和性质课题2 化学是一门以实验为基础的科学课题3 走进化学实验室\n\n第一单元走进化学世界大到宇宙中的星体，小到只用肉眼看不见的粒子，构成了千姿百态的物质世界。各种物质之间存在着多种相互作用，也不断地发生着变化。我们每天都生活在这样一个不断变化的物质世界里，因此，认识物质及其变化，对于了解自然现象和规律是至关重要的，也与我们的日常生活紧密相关。 一、化学变化和物理变化我们知道，水在一定条件下可以变成水蒸气或冰，钢铁制品在潮湿的地方会生锈，煤、木材和柴草可以在空气中燃烧而发光放热，等等。从化学的角度看，物质的这些变化有什么本质区别呢？让我们先来做几个实验。 课题1\n物质的变化和性质实验1-1 （1）把盛有少量水的试管斜夹在铁架台上（如图1-1）。在试管底部小心加热到水沸腾。把一块洁净的玻璃片（或盛有冷水的小烧杯）移近试管口，观察并记录发生的现象。 图1-1 水的沸腾做化学实验时，应该重点观察试剂（如水、胆矾、石灰石）的颜色、状态、气味等在实验前后发生的变化，思考为什么发生变化。 方法导引,475,0,unknown,text-extracted,,2.0,人教版-人民教育出版社_九年级_义务教育教科书·化学九年级上册,6,513,2025-07-21T14:24:43.606Z,2.0,2025-07-17T02:35:30.207Z,九年级,[object Object],人教版,0.8845315904139434,0.7999999999999999,0.475,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/化学/人教版-人民教育出版社/九年级/义务教育教科书·化学九年级上册.pdf,人教版-人民教育出版社_九年级_义务教育教科书·化学九年级上册.json,化学,162
人教版-人民教育出版社_九年级_义务教育教科书·化学九年级上册_chunk_7,7,课题1 物质的变化和性质\n\n在实验1-1（1）和实验1-1（2） 中，液态的水经过沸腾变为水蒸气，冷却后又变成液态的水；块状的胆矾经过研磨后变成粉末状的胆矾，虽然水和胆矾发生了形态的变化，但并没有生成其他物质。这种没有生成其他物质的变化叫做物理变化。汽油挥发、铁水铸成锅、蜡烛受热熔化等都属于物理变化。 在实验1-1（3）和实验1-1（4）中，胆矾和石灰石（或大理石）在变化中都生 （2）取少量硫酸铜晶体（俗称胆矾或蓝矾）放在研钵内，用研杵把胆矾研碎。观察并记录胆矾发生的变化。 （3）在2 支试管中分别放入少量研碎前、后的胆矾，并加入少量水，振荡得到澄清的硫酸铜溶液。再向2支试管中分别滴加氢氧化钠溶液，观察并记录试管中发生的现象。 图1-3 石灰石与盐酸反应实验记录实验序号变化前的物质变化时发生的现象变化后的物质变化后有无新物质生成\n（1） 液态的水液态的水\n（2） 块状的胆矾粉末状的胆矾\n（3）\n 蓝色的硫酸铜溶液等蓝色的氢氧化铜沉淀等\n（4）\n 颗粒状石灰石\n（或大理石）等二氧化碳气体等图1-2 胆矾的研碎 （4）如图1-3所示，在盛有少量石灰石（或大理石）的试管里加入适量稀盐酸。注意观察并记录试管和烧杯中发生的变化。 ༂ຌ\nᆂ༥ප,524,0,unknown,text-extracted,,2.0,人教版-人民教育出版社_九年级_义务教育教科书·化学九年级上册,7,564,2025-07-21T14:24:43.606Z,2.0,2025-07-17T02:35:30.207Z,九年级,[object Object],人教版,0.8136272545090181,0.7999999999999999,0.524,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/化学/人教版-人民教育出版社/九年级/义务教育教科书·化学九年级上册.pdf,人教版-人民教育出版社_九年级_义务教育教科书·化学九年级上册.json,化学,162
人教版-人民教育出版社_九年级_义务教育教科书·化学九年级上册_chunk_8,8,第一单元走进化学世界成了其他物质。这种生成其他物质的变化叫做化学变化，又叫做化学反应。木柴燃烧、铁的生锈等都属于化学变化。 化学变化的基本特征是有其他物质生成，常表现为颜色改变、放出气体、\n生成沉淀等。化学变化不但生成其他物质，而且还伴随着能量的变化，这种能量变化常表现为吸热、放热、发光等。上述可观察到的现象，常常可以帮助我们判断物质是否发生了化学变化。 在物质发生化学变化的过程中，会同时发生物理变化。例如，点燃蜡烛时， 石蜡受热熔化是物理变化，而石蜡燃烧生成水和二氧化碳，却是化学变化。 二、化学性质和物理性质我们将物质在化学变化中表现出来的性质叫做化学性质。例如，铁能在潮湿的空气中生锈，铜能在潮湿的空气中生成铜绿，碳能在空气中燃烧生成二氧化碳并发光、放热等；再如，硫酸铜溶液可与氢氧化钠溶液反应生成氢氧化铜蓝色沉淀，石灰石可与盐酸反应生成二氧化碳气体等。 物质不需要发生化学变化就表现出来的性质叫做物理性质。物质的颜色、\n状态、气味、硬度、熔点、沸点、密度等都属于它的物理性质，如通常状态下，氧气是一种无色、无味的气体，水是一种无色透明的液体，胆矾是一种蓝色的固体。了解物质的物理性质，对于研究它们的组成、结构和变化也非常重要。 当外界条件改变时， 物质的性质也会随着变化，因此，描述物质性质时往往要注明条件。例如，当温度升高时，固态的冰会变成液态的水，把水加热到图1-4 化学反应中伴随发生的一些现象,606,0,unknown,text-extracted,,2.0,人教版-人民教育出版社_九年级_义务教育教科书·化学九年级上册,8,625,2025-07-21T14:24:43.607Z,2.0,2025-07-17T02:35:30.207Z,九年级,[object Object],人教版,0.9010067114093959,0.7999999999999999,0.606,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/化学/人教版-人民教育出版社/九年级/义务教育教科书·化学九年级上册.pdf,人教版-人民教育出版社_九年级_义务教育教科书·化学九年级上册.json,化学,162
人教版-人民教育出版社_九年级_义务教育教科书·化学九年级上册_chunk_9,9,课题1 物质的变化和性质\n\n一定温度时，水就会沸腾。实验证明，液体的沸点会随着大气压强的变化而改变，如大气稀薄的地方，大气压强变小，这时水的沸点就会降低。由于大气压强不是固定不变的，人们把101 kPa规定为标准大气压强\n①。 ① 标准大气压强为101.325 kPa，本书采用101 kPa这个近似值。 物质颜色和状态（通常状况）熔点/°C沸点/°C\n水无色液体 0 100\n铁银白色固体 1 535 2 750\n铝银白色固体 660.37 2 467\n氧气无色气体 -218.4 -182.9\n 实验1-2 分别取一集气瓶氧气和一集气瓶二氧化碳气体，仔细观察它们的颜色和状态，闻一闻气味。取一根小木条在空气中点燃，分别慢慢地放入盛有氧气和二氧化碳的集气瓶中，观察木条燃烧情况的变化。 图1-5 闻气体时的正确操作我们在生活中了解到很多事实，如水和二氧化碳可以用来灭火，乙醇（俗称酒精）可作燃料， 石墨可用于制铅笔芯，等等。物质的这些用途都是由它们的性质决定的。对物质的性质以及探究方法的学习，一定会使你对身边的物质世界有更新的认识。 讨论结合自己的生活经验和知识，尽可能多地描述氧气和二氧化碳的性质，试着判断哪些属于物理性质，哪些属于化学性质，利用哪些方法可以区分它们，并将你的看法与同学交流。 表1-1 一些常见物质的物理性质（大气压强为101 kPa） 闻气体时应该小心，用手轻轻地在瓶口扇动，使极少量的气体飘进鼻孔。 提示,616,0,unknown,text-extracted,,2.0,人教版-人民教育出版社_九年级_义务教育教科书·化学九年级上册,9,690,2025-07-21T14:24:43.607Z,2.0,2025-07-17T02:35:30.207Z,九年级,[object Object],人教版,0.7927461139896373,0.7999999999999999,0.616,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/化学/人教版-人民教育出版社/九年级/义务教育教科书·化学九年级上册.pdf,人教版-人民教育出版社_九年级_义务教育教科书·化学九年级上册.json,化学,162
