Chunk_ID,Chunk_Index,Content,Content_Length,Quality_Score,Reliability,Source_Type,Original_Content,Enhancement_Version,book_name,chunkIndex,chunkSize,enhancementTimestamp,enhancementVersion,extractedAt,grade,loc_lines,publisher,qualityMetrics_chineseCharRatio,qualityMetrics_coherenceScore,qualityMetrics_lengthScore,qualityMetrics_ocrConfidence,semester,source,source_file,subject,totalPages
人教版-人民教育出版社_八年级_义务教育教科书·俄语八年级全一册_chunk_0,0,八年级\n®\n全一册全一册八年级俄\n语八年级全一册俄语\nEYU\nYIWU JIAOYU JIAOKESHU\n俄语义务教育教科书义 务教 育教 科书：19.00元绿色印刷产品初中封面俄语8.indd 12013.7.19 11:17:06 AM\n\nДобро\ń\n пожа\ń\nловать в Росси\ń\nю!\nЕда\ń\n\nВ па\ń\nрке Москвы\ń\nБольшо\ń\nй теа\ń\nтр\n\nВо\ń\nлга\n\nБайка\ń\nл\n\nӗ\n·北京·\n\n主编：丁曙\n主要编写人员： Н. Д. Литвинова Л. С. Аткина И. А. Сапегина\n丁曙 田旭 李莹 刘英姿责任编辑：田旭\n美术编辑：张傲冰插 图：金葆\n义务教育教科书俄语八年级全一册人民教育出版社课程教材研究所俄语课程教材研究开发中心编著俄罗斯国立普希金俄语学院出版发行网 \n（北京市海淀区中关村南大街\n 17 号院 1 号楼邮编：100081）\n址 http://www.pep.com.cn 版权所有·未经许可不得采用任何方式擅自复制或使用本产品任何部分·违者必究如发现内容质量问题，请登录中小学教材意见反馈平台：jcyjfk.pep.com.cn\n如发现印、装质量问题，影响阅读，请与本社联系。电话：400-810-5788\n绿色印刷保护环境爱护健康亲爱的同学们： 你们手中的这本教科书采用绿色印刷标准印制，在它的封底印有“绿色印刷产品”\n标志。从2013年秋季学期起，北京地区出版并使用的义务教育阶段中小学教科书全部采用绿色印刷。 按照国家环境标准（HJ2503-2011）《环境标志产品技术要求印刷第一部分：平版印刷》，绿色印刷选用环保型纸张、油墨、胶水等原辅材料，生产过程注重节能减排， 印刷产品符合人体健康要求。 让我们携起手来，支持绿色印刷，选择绿色印刷产品，共同关爱环境，一起健康成长！ 北京市绿色印刷工程,814,0,unknown,text-extracted,,2.0,人教版-人民教育出版社_八年级_义务教育教科书·俄语八年级全一册,0,901,2025-07-21T14:24:46.298Z,2.0,2025-07-17T02:34:34.743Z,八年级,[object Object],人教版,0.6170798898071626,0.7999999999999999,0.814,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/俄语/人教版-人民教育出版社/八年级/义务教育教科书·俄语八年级全一册.pdf,人教版-人民教育出版社_八年级_义务教育教科书·俄语八年级全一册.json,俄语,313
人教版-人民教育出版社_八年级_义务教育教科书·俄语八年级全一册_chunk_1,1,前言\n亲爱的同学们： 你们好！通过七年级一年的学习，俄语对于你们来说已经不再陌生。这本教科书将陪伴你们度过八年级的美好时光。 全书共有14课，分为主题活动课和复习课。 1~6课和8~13课为主题活动课。每一课围绕1个主题和若干个语法点，通过对话、短文、小诗歌、看图说话、做游戏和转述笑话等丰富多彩的构件，展开多种活动，培养综合语言运用能力。 第7课和第14课为复习课。它们分别归纳本单元学习的主要内容，同时从基本语言知识、听、说、\n读、写等几个方面帮助你们进行自我检测。 在本书的附录中，我们把这一年中学习的语法知识进行了归纳总结，希望能在你们的头脑中形成一个比较完整的语法体系，对今后的学习起到辅助作用。 本书中画的练习配有录音，希望你们认真听， 培养自己的语感，能用正确的语音语调来表达自己的想法。 祝你们学习愉快！,360,0,unknown,text-extracted,,2.0,人教版-人民教育出版社_八年级_义务教育教科书·俄语八年级全一册,1,376,2025-07-21T14:24:46.298Z,2.0,2025-07-17T02:34:34.743Z,八年级,[object Object],人教版,0.8714285714285714,0.7999999999999999,0.36,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/俄语/人教版-人民教育出版社/八年级/义务教育教科书·俄语八年级全一册.pdf,人教版-人民教育出版社_八年级_义务教育教科书·俄语八年级全一册.json,俄语,313
人教版-人民教育出版社_八年级_义务教育教科书·俄语八年级全一册_chunk_2,2,"目录\n课次、\n主题和页码\nВы нау\ń\nчитесь\nВы узна\ń\nете типовы\ń\nе \nпредложе\ń\nния:\nУро\ń\nк 1\nЧто вы де\ń\nлали \nвчера\ń\n?\n\nрасска\ń\nзывать, что вы \nи ва\ń\nши друзья\ń\n де\ń\nлали \nвчера\ń\n; во что вы \nигра\ń\nли; где вы бы\ń\nли; \nчто у вас бы\ń\nло вчера\ń\n.\n— Что ты де\ń\nлал/де\ń\nлала вчера\ń\n?\n— Я игра\ń\nл/игра\ń\nла в футбо\ń\nл.\n— Где ты был/была\ń\n вчера\ń\n?\n— Я был/была\ń\n в библиоте\ń\nке.\n— Что у вас бы\ń\nло вчера\ń\n?\n— Вчера\ń\n у нас была\ń\n экску\ń\nрсия.\nУро\ń\nк 2\nЧто вы уже\ń сде\ń\nлали?\n19\nрасска\ń\nзывать, что вы \nсде\ń\nлали вчера\ń\n, что вы \nвы\ń\nучили, прочита\ń\nли, \nнаписа\ń\nли, повтори\ń\nли на \nуро\ń\nке.\n— Ты прочита\ń\nл/прочита\ń\nла кни\ń\nгу?\n— Да, прочита\ń\nл/прочита\ń\nла. Я чита\ń\nл/чита\ń\nла до\ń\nлго и \nнаконе\ń\nц прочита\ń\nл/прочита\ń\nла.\n— Как до\ń\nлго ты чита\ń\nл/чита\ń\nла \nкни\ń\nгу? \n— Два часа\ń\n./Всю неде\ń\nлю.\nУро\ń\nк 3\nЧто вы бу\ń\nдете \nде\ń\nлать за\ń\nвтра?\n37\nговори\ń\nть о том, что \nвы бу\ń\nдете де\ń\nлать \nза\ń\nвтра; о том, где вы",954,0,unknown,text-extracted,,2.0,人教版-人民教育出版社_八年级_义务教育教科书·俄语八年级全一册,2,996,2025-07-21T14:24:46.298Z,2.0,2025-07-17T02:34:34.743Z,八年级,[object Object],人教版,0.013333333333333334,0.6,0.954,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/俄语/人教版-人民教育出版社/八年级/义务教育教科书·俄语八年级全一册.pdf,人教版-人民教育出版社_八年级_义务教育教科书·俄语八年级全一册.json,俄语,313
人教版-人民教育出版社_八年级_义务教育教科书·俄语八年级全一册_chunk_3,3,"́\nлго ты чита\ń\nл/чита\ń\nла \nкни\ń\nгу? \n— Два часа\ń\n./Всю неде\ń\nлю.\nУро\ń\nк 3\nЧто вы бу\ń\nдете \nде\ń\nлать за\ń\nвтра?\n37\nговори\ń\nть о том, что \nвы бу\ń\nдете де\ń\nлать \nза\ń\nвтра; о том, где вы \nбу\ń\nдете отдыха\ń\nть ле\ń\nтом; \nспра\ń\nшивать ва\ń\nших \nдрузе\ń\nй, где они\ń\n бу\ń\nдут \nотдыха\ń\nть ле\ń\nтом.\nВ суббо\ń\nту мы бу\ń\nдем отдыха\ń\nть в \nпа\ń\nрке.\nСко\ń\nро бу\ń\nдет ле\ń\nто. \nВе\ń\nчером я отдохну\ń\n, а пото\ń\nм \nсде\ń\nлаю уро\ń\nки.\nЛе\ń\nтом я бу\ń\nду отдыха\ń\nть в дере\ń\nвне.\nУро\ń\nк 4\nКому\ń\n ты \nзвони\ń\nшь?\n59\nназыва\ń\nть свой но\ń\nмер \nтелефо\ń\nна; расска\ń\nзывать \nдру\ń\nгу/подру\ń\nге о шко\ń\nле, \nо семье\ń\n по телефо\ń\nну.\nЯ звони\ń\nл/звоню\ń\n /бу\ń\nду звони\ń\nть \nдру\ń\nгу/подру\ń\nге.\nМой но\ń\nмер телефо\ń\nна: 459-35-87.\nМы говори\ń\nли о моём мла\ń\nдшем \nбра\ń\nте (о нём) /о мое\ń\nй ста\ń\nршей \nсестре\ń\n (о ней).",833,0,unknown,text-extracted,,2.0,人教版-人民教育出版社_八年级_义务教育教科书·俄语八年级全一册,3,836,2025-07-21T14:24:46.298Z,2.0,2025-07-17T02:34:34.743Z,八年级,[object Object],人教版,,0.5,0.833,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/俄语/人教版-人民教育出版社/八年级/义务教育教科书·俄语八年级全一册.pdf,人教版-人民教育出版社_八年级_义务教育教科书·俄语八年级全一册.json,俄语,313
人教版-人民教育出版社_八年级_义务教育教科书·俄语八年级全一册_chunk_4,4,语法\nТекст\nПе\ń\nсня и \nстихотворе\ń\nние\n动词过去时\nбыть\n的用法\nГде мой портфе\ń\nль?Что вы де\ń\nлали?\n动词的体（1）\n名词第四格的用法（2）\nЯ хоте\ń\nл...Я всё зна\ń\nю\nЯ не зна\ń\nю\n动词将来时名词第四格的用法（3）\nНеде\ń\nляПусть всегда\ń\n бу\ń\nдет \nсо\ń\nлнце!\n名词第三格的用法（1）\n名词第三格词尾（单数）\n名词第二格的用法（2）\n名词第二格的用法（3）\n名词第六格的用法（2）\n形容词和代词单数第六格\nРазгово\ń\nр в авто\ń\nбусеТелефо\ń\nн звони\ń\nт!,332,0,unknown,text-extracted,,2.0,人教版-人民教育出版社_八年级_义务教育教科书·俄语八年级全一册,4,336,2025-07-21T14:24:46.298Z,2.0,2025-07-17T02:34:34.743Z,八年级,[object Object],人教版,0.32954545454545453,0.5,0.332,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/俄语/人教版-人民教育出版社/八年级/义务教育教科书·俄语八年级全一册.pdf,人教版-人民教育出版社_八年级_义务教育教科书·俄语八年级全一册.json,俄语,313
人教版-人民教育出版社_八年级_义务教育教科书·俄语八年级全一册_chunk_5,5,"课次、\n主题和页码\nВы нау\ń\nчитесь\nВы узна\ń\nете типовы\ń\nе \nпредложе\ń\nния:\nУро\ń\nк 5\nКак вы себя\ń чу\ń\nвствуете?\n80\nговори\ń\nть и спра\ń\nшивать, \nкому\ń\n ско\ń\nлько лет; у кого\ń что боли\ń\nт; что мо\ń\nжно \nде\ń\nлать и чего\ń\n нельзя\ń де\ń\nлать, когда\ń\n челове\ń\nк \nзаболе\ń\nл. \nМне пятна\ń\nдцать лет. \nКак ты себя\ń\n чу\ń\nвствуешь?\nУ меня\ń\n боли\ń\nт голова\ń\n. \nТебе\ń\n ну\ń\nжно/на\ń\nдо отдыха\ń\nть и \nпить лека\ń\nрство.\nДе\ń\nдушке мо\ń\nжно/нельзя\ń\n гуля\ń\nть. Уро\ń\nк 6\nЧем вы \nинтересу\ń\nетесь? \n101\nрасска\ń\nзывать, чем вы занима\ń\nетесь, \nчем интересу\ń\nетесь, \nчто вам нра\ń\nвится и \nнра\ń\nвилось; кем вы \nхоти\ń\nте быть; кем вы \nбу\ń\nдете; расска\ń\nзывать, кем рабо\ń\nтают ва\ń\nши \nроди\ń\nтели.\nАнто\ń\nн занима\ń\nется матема\ń\nтикой.\nОн бу\ń\nдет инжене\ń\nром.\nНата\ń\nша интересу\ń\nется теа\ń\nтром.\nНата\ń\nше нра\ń\nвился кита\ń\nйский \nязы\ń\nк/нра\ń\nвилась матема\ń\nтика/ \nнра\ń\nвилось иску\ń\nсство/ нра\ń\nвились \nиностра\ń\nнные языки\ń\n.\nУро\ń\nк 7\n复习\n1~6\n课\n122\nУро\ń\nк 8",974,0,unknown,text-extracted,,2.0,人教版-人民教育出版社_八年级_义务教育教科书·俄语八年级全一册,5,990,2025-07-21T14:24:46.298Z,2.0,2025-07-17T02:34:34.743Z,八年级,[object Object],人教版,0.014124293785310734,0.6,0.974,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/俄语/人教版-人民教育出版社/八年级/义务教育教科书·俄语八年级全一册.pdf,人教版-人民教育出版社_八年级_义务教育教科书·俄语八年级全一册.json,俄语,313
人教版-人民教育出版社_八年级_义务教育教科书·俄语八年级全一册_chunk_6,6,"́\nется теа\ń\nтром.\nНата\ń\nше нра\ń\nвился кита\ń\nйский \nязы\ń\nк/нра\ń\nвилась матема\ń\nтика/ \nнра\ń\nвилось иску\ń\nсство/ нра\ń\nвились \nиностра\ń\nнные языки\ń\n.\nУро\ń\nк 7\n复习\n1~6\n课\n122\nУро\ń\nк 8\nС кем вы \nпознако\ń\nмились? 137\nрасска\ń\nзывать, с кем и с \nчем вы познако\ń\nмились, \nпознако\ń\nмить кого\ń\n с кем \nи с чем.\nМы познако\ń\nмились с ру\ń\nсским \nма\ń\nльчиком.\nЯ познако\ń\nмила Анну с на\ń\nшей \nкита\ń\nйской ку\ń\nхней.\nАнто\ń\nн лю\ń\nбит пельме\ń\nни с мя\ń\nсом.\nАндре\ń\nй ест мя\ń\nсо ви\ń\nлкой.",496,0,unknown,text-extracted,,2.0,人教版-人民教育出版社_八年级_义务教育教科书·俄语八年级全一册,6,499,2025-07-21T14:24:46.298Z,2.0,2025-07-17T02:34:34.743Z,八年级,[object Object],人教版,0.008333333333333333,0.6,0.496,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/俄语/人教版-人民教育出版社/八年级/义务教育教科书·俄语八年级全一册.pdf,人教版-人民教育出版社_八年级_义务教育教科书·俄语八年级全一册.json,俄语,313
人教版-人民教育出版社_八年级_义务教育教科书·俄语八年级全一册_chunk_7,7,语法\nТекст\nПе\ń\nсня и \nстихотворе\ń\nние\n名词第三格的用法（2）\n形容词和代词单数第三格名词第三格的用法（3）\nКак я вы\ń\nпил лека\ń\nрство Мне ну\ń\nжно...\n名词第五格的用法（1）\n名词第五格词尾（单数）\n名词第五格的用法（2）\nЖе\ń\nняМои\ń\n увлече\ń\nния\n名词第五格的用法（3）\n形容词和代词单数第五格名词第五格的用法（4）\nПельме\ń\nнь с пода\ń\nрком,240,0,unknown,text-extracted,,2.0,人教版-人民教育出版社_八年级_义务教育教科书·俄语八年级全一册,7,247,2025-07-21T14:24:46.298Z,2.0,2025-07-17T02:34:34.743Z,八年级,[object Object],人教版,0.41116751269035534,0.5,0.24,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/俄语/人教版-人民教育出版社/八年级/义务教育教科书·俄语八年级全一册.pdf,人教版-人民教育出版社_八年级_义务教育教科书·俄语八年级全一册.json,俄语,313
人教版-人民教育出版社_八年级_义务教育教科书·俄语八年级全一册_chunk_8,8,"课次、\n主题和页码\nВы нау\ń\nчитесь\nВы узна\ń\nете типовы\ń\nе \nпредложе\ń\nния:\nУро\ń\nк 9 \nКуда\ń\n вы идёте?\n158\nрасска\ń\nзывать, куда\ń\n и с \nкем вы идёте и\ń\nли е\ń\nдете; \nкуда\ń\n, к кому\ń\n и отку\ń\nда \nвы идёте и\ń\nли е\ń\nдете; \nспра\ń\nшивать, куда\ń\n и на \nчём е\ń\nдет, лети\ń\nт ваш \nдруг.\nМы идём в на\ń\nшу но\ń\nвую шко\ń\nлу. Авто\ń\nбус е\ń\nдет по у\ń\nлице. Мы е\ń\nдем на авто\ń\nбусе.\nДе\ń\nти иду\ń\nт из шко\ń\nлы на \nостано\ń\nвку.\nЛе\ń\nна идёт к Анне. Ле\ń\nна идёт от Анны.\nУро\ń\nк 10\nКуда\ń\n вы е\ń\nздили \nле\ń\nтом?\n180\nрасска\ń\nзывать, куда\ń\n вы обы\ń\nчно хо\ń\nдите и\ń\nли \nе\ń\nздите; спра\ń\nшивать, \nкуда\ń обы\ń\nчно хо\ń\nдят и\ń\nли е\ń\nздят ва\ń\nши друзья\ń\n, \nкуда\ń\n они\ń\n ходи\ń\nли, куда\ń они\ń е\ń\nздили неда\ń\nвно.\nЯ хожу\ń\n в шко\ń\nлу пешко\ń\nм.\nОбы\ń\nчно мой па\ń\nпа е\ń\nздит на \nрабо\ń\nту на маши\ń\nне.\nВчера\ń\n мы ходи\ń\nли на пло\ń\nщадь \nТяньаньмэ\ń\nнь. Ле\ń\nтом ребя",878,0,unknown,text-extracted,,2.0,人教版-人民教育出版社_八年级_义务教育教科书·俄语八年级全一册,8,998,2025-07-21T14:24:46.298Z,2.0,2025-07-17T02:34:34.743Z,八年级,[object Object],人教版,0.01155115511551155,0.6,0.878,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/俄语/人教版-人民教育出版社/八年级/义务教育教科书·俄语八年级全一册.pdf,人教版-人民教育出版社_八年级_义务教育教科书·俄语八年级全一册.json,俄语,313
人教版-人民教育出版社_八年级_义务教育教科书·俄语八年级全一册_chunk_9,9,"́ они\ń е\ń\nздили неда\ń\nвно.\nЯ хожу\ń\n в шко\ń\nлу пешко\ń\nм.\nОбы\ń\nчно мой па\ń\nпа е\ń\nздит на \nрабо\ń\nту на маши\ń\nне.\nВчера\ń\n мы ходи\ń\nли на пло\ń\nщадь \nТяньаньмэ\ń\nнь. Ле\ń\nтом ребя\ń\nта е\ń\nздили на мо\ń\nре.\nУро\ń\nк 11\nКака\ń\nя сего\ń\nдня \nпого\ń\nда?\n199\nговори\ń\nть и спра\ń\nшивать \nо люби\ń\nмом вре\ń\nмени \nго\ń\nда, о пого\ń\nде; \nрасска\ń\nзывать о том, \nкака\ń\nя пого\ń\nда быва\ń\nет \nв како\ń\nм ме\ń\nсяце; \nобъясня\ń\nть, когда\ń\n вам \nбыва\ń\nет хо\ń\nлодно и\ń\nли \nжа\ń\nрко.\nВ Пеки\ń\nне снег быва\ń\nет в декабре\ń\n, \nв январе\ń\n, в феврале\ń\n.\nСего\ń\nдня тёплая пого\ń\nда./Сего\ń\nдня \nтепло\ń\n.\nВчера\ń\n была\ń\n тёплая пого\ń\nда./ \nВчера\ń\n бы\ń\nло тепло\ń\n. \nЗа\ń\nвтра бу\ń\nдет тёплая пого\ń\nда./ \nЗа\ń\nвтра бу\ń\nдет тепло\ń\n.\nВ Росси\ń\nи зима\ń\n начина\ń\nется в \nдекабре\ń\n.",784,0,unknown,text-extracted,,2.0,人教版-人民教育出版社_八年级_义务教育教科书·俄语八年级全一册,9,791,2025-07-21T14:24:46.298Z,2.0,2025-07-17T02:34:34.743Z,八年级,[object Object],人教版,,0.5,0.784,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/俄语/人教版-人民教育出版社/八年级/义务教育教科书·俄语八年级全一册.pdf,人教版-人民教育出版社_八年级_义务教育教科书·俄语八年级全一册.json,俄语,313
