Chunk_ID,Chunk_Index,Content,Content_Length,Quality_Score,Reliability,Source_Type,Original_Content,Enhancement_Version,book_name,chunkIndex,chunkSize,enhancementTimestamp,enhancementVersion,extractedAt,grade,loc_lines,publisher,qualityMetrics_chineseCharRatio,qualityMetrics_coherenceScore,qualityMetrics_lengthScore,qualityMetrics_ocrConfidence,semester,source,source_file,subject,totalPages
华东师大版-华东师范大学出版社_九年级_义务教育教科书·体育与健康九年级全一册_chunk_0,0,"义务教育教科书体育与健康体育与健康\nTIYUYUJIANKANGTIYUYUJIANKANG\n九年级全一册华东师范大学出版社华东师范大学出版社主　编季　浏副主编汪晓赞潘绍伟谭　华孟文砚庄　弼义务教育教科书体育与健康九年级全一册主 编季 浏责任编辑卜于骏封面设计卢晓红出 版华东师范大学出版社社 址上海市中山北路\n3663\n号邮编\n200062\n网址\n www.ecnu\n\nress.com.cn\n电话\n 021\n60821666 \n传真\n02160821766\n客服电话\n 021\n60821720 60821761\n印刷 者上海当纳利印刷有限公司开 本\n 787×1092 16\n开印 张\n\n字数\n 71\n千字版 次\n 2013\n年\n\n月第\n\n版印 次\n 2013\n年\n\n月第\n\n次书 号\n ISBN9787567506428\n/\n\n·\n6426\n \n 7.55\n元出 版人 朱杰人\n(\n如发现本版图书有印订质量问题\n,\n请寄回本社客服中心调换或电话\n021\n60821720\n联系\n)",444,0,unknown,text-extracted,,2.0,华东师大版-华东师范大学出版社_九年级_义务教育教科书·体育与健康九年级全一册,0,557,2025-07-21T14:24:55.353Z,2.0,2025-07-17T02:34:21.605Z,九年级,[object Object],unknown,0.5619834710743802,0.6,0.444,0.95,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/体育与健康/华东师大版-华东师范大学出版社/九年级/义务教育教科书·体育与健康九年级全一册.pdf,华东师大版-华东师范大学出版社_九年级_义务教育教科书·体育与健康九年级全一册.json,体育,63
华东师大版-华东师范大学出版社_九年级_义务教育教科书·体育与健康九年级全一册_chunk_1,1,"编者的话亲爱的同学\n:\n首先祝贺你进入中学阶段的学习\n,\n希望你健康快乐\n,\n学业有成。 初中阶段是一个人从儿童进入少年的时期\n,\n在这期间\n,\n你会惊奇地发现自己慢慢地在变\n:\n小伙子个儿长高了\n,\n骨骼变粗了\n,\n肌肉发达了\n;\n小姑娘在长高的同时\n,\n生理上也发生了微妙的变化。 是的\n,\n少年时期是步入青春的前期\n,\n像刚离巢的雏鹰\n,\n似早春枝头的花朵\n,\n如未经雕琢的璞玉\n,\n是美好人生的序曲。 从现在起\n,\n你将带着对愉快童年的美好回忆\n,\n进入一个既新鲜又丰富多彩的环境\n,\n为把自己培养成为国家期望\n、\n社会需要的高素质人才而努力学习。 每个人都希望自己拥有一个健康的身体。 可是\n,\n健康的身体并不是想要就会有的\n,\n这里没有阿拉丁的\n“\n神灯\n”,\n没有\n《\n渔夫和金鱼的故事\n》\n里的\n“\n金鱼\n”。《\n体育与健康\n》\n课本会告诉你怎样通过积极的体育学习\n、\n科学的体育锻炼\n、\n合理的膳食搭配\n、\n良好的卫生习惯以及掌握预防疾病的知识和方法等\n,\n去获取健康。 这里\n,\n还要告诉你的是\n,\n课本中讲的健康\n,\n并不是单纯地指肌肉发达\n、\n力大无穷等外表上的健康\n,\n而是指身体\n、\n心理和社会适应等方面完美结合的健康。 我们相信\n,\n经过对课本的学习\n,\n你会初步理解体育与健康的含义\n,\n增强自己参与体育学习和锻炼的动机和信心\n,\n并真正从中获益\n,\n使自己在掌握体育与健康知识\n、\n技能和方法的同时\n,\n健康水平得到提高。 课本中的绝大多数内容需要你紧密结合老师的教学\n,\n自觉主动地学习和积极努力地实践。 只有这样\n,\n课本才能成为你的良师益友\n,\n才能帮助你顺利成功地完成青春的蜕变。 希望你能够喜欢这本课本\n,\n也希望你能够拥有健康\n、\n快乐的少年时光\n!\n编者",751,0,unknown,text-extracted,,2.0,华东师大版-华东师范大学出版社_九年级_义务教育教科书·体育与健康九年级全一册,1,779,2025-07-21T14:24:55.353Z,2.0,2025-07-17T02:34:21.605Z,九年级,[object Object],unknown,0.8998435054773083,0.7999999999999999,0.751,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/体育与健康/华东师大版-华东师范大学出版社/九年级/义务教育教科书·体育与健康九年级全一册.pdf,华东师大版-华东师范大学出版社_九年级_义务教育教科书·体育与健康九年级全一册.json,体育,63
华东师大版-华东师范大学出版社_九年级_义务教育教科书·体育与健康九年级全一册_chunk_2,2,"目录\n 1 目录\n第一章运动参与\n/\n\n参与体育学习与锻炼\n/\n\n体验运动乐趣与成功\n/\n\n第二章田径类运动\n/\n\n田径类运动中的\n“\n美\n”/\n\n田径类运动基本技术的运用\n/\n\n田径类运动中常见的运动损伤及预防\n/\n\n第三章球类运动\n/\n\n球类运动中的\n“\n美\n”/\n\n球类运动基本技战术的运用\n/\n11\n球类运动中常见的运动损伤及预防\n/\n14\n第四章体操类运动\n/\n18\n体操类运动中的\n“\n美\n”/\n18\n体操类运动基本技术的运用\n/\n20\n体操类运动中常见的运动损伤及预防\n/\n22\n第五章游泳类运动\n/\n24\n游泳类运动中的\n“\n美\n”/\n24\n游泳类运动基本技术的运用\n/\n25\n游泳类运动中常见的运动损伤及预防\n/\n26 2 体育与健康第六章冰雪类运动\n/\n29\n冰雪类运动中的\n“\n美\n”/\n29\n冰雪类运动基本技术的运用\n/\n31\n冰雪类运动中常见的运动损伤及预防\n/\n32\n第七章武术类运动\n/\n35\n武术类运动中的\n“\n美\n”/\n35\n武术类运动基本技术的运用\n/\n37\n武术类运动中常见的运动损伤及预防\n/\n38\n第八章民族民间传统体育活动\n/\n41\n民族民间传统体育活动中的\n“\n美\n”/\n41\n民族民间传统体育活动基本技战术的运用\n/\n42\n民族民间传统体育活动中常见的运动损伤及预防\n/\n44\n第九章健康知识\n/\n47\n拒绝毒品\n/\n47\n艾滋病及预防\n/\n49\n乙型脑炎\n、\n肺结核\n、\n肝炎及预防\n/\n50\n不滥用镇静\n、\n催眠等成瘾性药物\n/\n52\n果断的决策能力\n/\n53\n第十章科学锻炼基本知识\n/\n55\n科学锻炼的意义\n/\n55\n科学锻炼的方法\n/\n56 第一章运动参与\n 1 第一章运动参与在体育运动中认识自我。 学会坚持有规律的体育锻炼。 懂得科学地进行体育锻炼。 运动参与的意义不仅在于感受运动的魅力\n,\n还在于养成良好的运动习惯。 无论是个人还是集体\n,\n在参与运动的过程中\n,\n都能享受到成功的乐趣\n,\n并在这个过程中增进健康\n,\n提高生活质量。 ★",852,0,unknown,text-extracted,,2.0,华东师大版-华东师范大学出版社_九年级_义务教育教科书·体育与健康九年级全一册,2,926,2025-07-21T14:24:55.353Z,2.0,2025-07-17T02:34:21.605Z,九年级,[object Object],unknown,0.806966618287373,0.7999999999999999,0.852,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/体育与健康/华东师大版-华东师范大学出版社/九年级/义务教育教科书·体育与健康九年级全一册.pdf,华东师大版-华东师范大学出版社_九年级_义务教育教科书·体育与健康九年级全一册.json,体育,63
华东师大版-华东师范大学出版社_九年级_义务教育教科书·体育与健康九年级全一册_chunk_3,3,"第一章运动参与\n 1 第一章运动参与在体育运动中认识自我。 学会坚持有规律的体育锻炼。 懂得科学地进行体育锻炼。 运动参与的意义不仅在于感受运动的魅力\n,\n还在于养成良好的运动习惯。 无论是个人还是集体\n,\n在参与运动的过程中\n,\n都能享受到成功的乐趣\n,\n并在这个过程中增进健康\n,\n提高生活质量。 ★\n\n“\n经常\n”\n二字\n,\n对于体育锻炼者来说非常重要。 只有经常参加体育锻炼\n,\n才有可能获得更多益处\n,\n所以古人用切忌\n“\n一曝十寒\n”\n来提醒自己。 在\n“\n经常\n”\n的同时\n,“\n适量\n”\n也不容忽视。 其中\n,“\n适量\n”\n是针对每一个个体而言的。 不同的个体\n,\n其适宜的量也各有不同。 在重复\n“\n经常\n”\n与\n“\n适量\n”\n的过程中\n,\n体育锻炼逐渐融入我们的生活\n,\n成为我们生活中不可或缺的一部分\n,\n帮助我们更好地走向健康。 ★ 锻炼计划是以健康为目标\n,\n以身体练习为手段\n,\n根据身体健康现状制定的运动计划。 锻炼计划的科学性对处于生长发育期的你来说尤为重要。 我们应根据自身的能力\n,\n选择合适的运动项目\n,\n合理的运动时间\n、\n强度和频率。 同时还要注意运动中的人身安全。 2 体育与健康\n\n★ 坚信没有战胜不了的困难在坚持体育锻炼的过程中\n,\n往往会遇到许多意料不到的\n“\n状况\n”,\n如天气变得恶劣\n、\n活动场地被占用\n、\n文化课作业量突然增加\n、\n临时出现考试任务等\n,\n它们常常会让你在是否坚持体育锻炼的问题上感到很\n“\n纠结\n”。 只要我们坚信\n“\n世上无难事\n,\n只怕有心人\n”,\n并始终坚持\n“\n健康第一\n”\n的指导思想\n,\n那么我们一定能战胜各种困难\n,\n坚持体育锻炼\n,\n达到增进健康的目的。 通过运动传递乐趣\n“\n独乐乐\n,\n与人乐乐\n,\n孰乐\n?”\n孟子曾这样提醒梁惠王要注意\n“\n与民同乐\n”。 在运动中也是如此\n,\n与同伴或亲人一起进行体育活动\n,\n可以相互传递乐趣\n,\n相互交流锻炼经验\n,\n从中获得更多的快乐\n,\n最终形成乐观开朗的人生态度。 ★",856,0,unknown,text-extracted,,2.0,华东师大版-华东师范大学出版社_九年级_义务教育教科书·体育与健康九年级全一册,3,925,2025-07-21T14:24:55.353Z,2.0,2025-07-17T02:34:21.605Z,九年级,[object Object],unknown,0.875,0.7999999999999999,0.856,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/体育与健康/华东师大版-华东师范大学出版社/九年级/义务教育教科书·体育与健康九年级全一册.pdf,华东师大版-华东师范大学出版社_九年级_义务教育教科书·体育与健康九年级全一册.json,体育,63
华东师大版-华东师范大学出版社_九年级_义务教育教科书·体育与健康九年级全一册_chunk_4,4,"不是只有刘翔和孙杨参与的运动才是运动\n,\n我们每天所进行的体育锻炼都是运动。 对于每一个普通学生而言\n,\n参与运动的目标不一定是要成为刘翔或孙杨。 大家应该树立正确的运动观\n,\n正确地定位自己\n,\n明确自己的身心发展目标\n,\n帮助自己增进健康。 名人名言娱乐是花\n,\n实务是根。 如果要欣赏花的美丽\n,\n必须先加强根的牢固。 ———\n爱默生\n(\n美国\n) 第一章运动参与\n 3 在课余时间\n,\n你可以针对自己身心发展上的薄弱环节\n,\n制定合适的锻炼计划。 自主学习用意志战胜困难除了耐力跑\n,\n体育锻炼中较难坚持的项目可能要算引体向上\n(\n男生\n)\n和斜身引体\n(\n女生\n)\n了\n,\n这两个项目对于增强你的上肢力量很有帮助。 请尝试给自己制定一个有针对性的锻炼计划\n,\n争取在一个月内实现上肢力量方面的突破。 合作学习以球会友篮球\n、\n排球\n、\n足球\n、\n乒乓球以及羽毛球等球类运动都是很受同学们喜爱的课余活动项目\n,\n请选择一项你最喜爱的球类运动\n,\n在双休日或节假日期间\n,\n找几个志同道合的伙伴\n,\n以球会友吧\n!\n参与项目\n: 活动时间\n: 我的伙伴\n: 活动感受\n: 探究学习巧用哑铃如果有一副重量合适的小哑铃\n,\n你会如何利用它来发展你身体各部位的肌肉力量\n,\n使体形变得更匀称\n、\n更健美呢\n?\n以下是一组可供参考的练习方案\n,\n请尝试根据自己的实际情况制定出你的锻炼计划。 锻炼内容锻炼部位重复次数持哑铃蹲坐起立大腿前后部和小腿\n10~15\n次持哑铃身体前屈\n、\n展臂胸背部\n10~15\n次持哑铃屈肘肱二头肌\n15~20\n次持哑铃仰卧\n(\n长凳上\n)\n扩胸\n、\n推举胸背部\n、\n臂\n10~15\n次持哑铃直立提拉\n、\n上举肩部\n、\n臂\n15~20\n次",732,0,unknown,text-extracted,,2.0,华东师大版-华东师范大学出版社_九年级_义务教育教科书·体育与健康九年级全一册,4,812,2025-07-21T14:24:55.353Z,2.0,2025-07-17T02:34:21.605Z,九年级,[object Object],unknown,0.872,0.7999999999999999,0.732,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/体育与健康/华东师大版-华东师范大学出版社/九年级/义务教育教科书·体育与健康九年级全一册.pdf,华东师大版-华东师范大学出版社_九年级_义务教育教科书·体育与健康九年级全一册.json,体育,63
华东师大版-华东师范大学出版社_九年级_义务教育教科书·体育与健康九年级全一册_chunk_5,5,"4 体育与健康第二章田径类运动懂得欣赏田径类运动中的美。 提高田径类运动基本技术的运用能力。 掌握田径类运动中常见损伤的知识及预防方法。 田径类运动在带给我们强健体魄的同时\n,\n也给了我们美的享受。 在田径类运动中\n,\n我们可以不断地领略运动的魅力所在\n,\n体会\n“\n更高\n、\n更快\n、\n更强\n”\n的奥林匹克精神。 与此同时\n,\n我们还需要注意学习与掌握常见运动损伤的知识及预防方法\n,\n安全地进行田径类运动。 ★\n\n田径类运动充分展现了人体的力量美\n、\n速度美\n、\n柔韧美和协调美。 在投掷项目中\n,\n铅球运动员一声大吼\n,\n用尽全身的力量将铅球推出\n,\n展现出雄壮的力量美\n;\n在短跑项目中\n,\n百米运动员风驰电掣般冲过终点\n,\n把速度美发挥得淋漓尽致\n;\n在跳跃项目中\n,\n跳远运动员完美的\n“\n挺身\n”\n诠释了柔韧美\n;\n在跨栏项目中\n,\n运动员连贯舒展的起跨攻栏技术演绎出跨栏的协调美。 ★\n\n田径运动员强健的肌肉\n、\n匀称的体型和健康的肤色\n,\n完美地展现了人体的姿态美。 在背越式跳高项目中\n,\n运动员矫健的助跑\n,\n迅速的起跳\n,\n舒展协调第二章田径类运动\n 5 的背弓\n,\n柔和平稳的过竿\n,\n犹如空中划过的一道美丽彩虹\n,\n完美地演绎出田径类运动的姿态美。 ★\n\n竞争给田径类运动注入了生命的活力\n,\n不断地推动着田径类运动向\n“\n更高\n、\n更快\n、\n更强\n”\n的方向发展。 在激烈的田径类运动竞赛中\n,\n我们经常看到这样的场景\n:\n遥遥领先的运动员以一丝不苟的态度贯彻始终\n,\n丝毫没有因领先而放慢前进的步伐\n;\n远远落后的运动员不甘示弱\n,\n鼓足干劲\n,\n努力追赶领先者\n,\n并坚持到比赛的最后。 这里所展现的\n,\n便是田径类运动的竞争美。 ★",734,0,unknown,text-extracted,,2.0,华东师大版-华东师范大学出版社_九年级_义务教育教科书·体育与健康九年级全一册,5,784,2025-07-21T14:24:55.353Z,2.0,2025-07-17T02:34:21.605Z,九年级,[object Object],unknown,0.898876404494382,0.7999999999999999,0.734,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/体育与健康/华东师大版-华东师范大学出版社/九年级/义务教育教科书·体育与健康九年级全一册.pdf,华东师大版-华东师范大学出版社_九年级_义务教育教科书·体育与健康九年级全一册.json,体育,63
华东师大版-华东师范大学出版社_九年级_义务教育教科书·体育与健康九年级全一册_chunk_6,6,"田径类运动可以说是\n“\n超越\n”、“\n顽强\n”、“\n拼搏\n”、“\n永不言弃\n”\n的代名词。 速度项目运动员分秒必争\n,\n与时间赛跑\n,\n其精神告诉我们只有顽强拼搏\n、\n努力付出\n,\n才能突破极限\n,\n发挥最大潜能\n;\n耐力项目运动员迈出的每一步都那么坚定有力\n,\n其精神告诉我们只有不放弃\n,\n才能到达成功的彼岸\n;\n跳跃项目运动员奋力拼搏以求最大突破\n,\n其精神告诉我们只有敢于挑战自己\n,\n才能超越自我。 你知道吗\n?\n感冒时不宜剧烈运动人们往往不重视感冒\n,\n认为感冒不是大病\n,\n只要进行体育活动\n,\n出一身汗就痊愈了。 其实不然\n,\n感冒是一种全身性疾病\n,\n对人体的危害较大\n,\n如不注意治疗\n,\n会并发心肌炎\n、\n肺炎等。 因此\n,\n若是轻度感冒\n,\n全身反应不明显\n,\n可参加轻微活动\n,\n但不宜进行剧烈运动\n;\n若症状明显\n,\n则应禁止进行剧烈运动\n,\n及时医治并注意休息。 6 体育与健康\n\n★ 障碍跑用途\n:\n学会在跑动中运用合理的方式越过障碍物。 同时\n,\n发展身体的灵活性与协调性\n,\n获取一些生活中的实用技能。 方法\n:\n根据自己的性别和体能状况以及不同障碍物的特点\n(\n距离\n、\n高度等\n),\n在跑动中采用合理的方式\n(\n如踏上式\n、\n跨步式\n、\n钻过式\n、\n绳荡式等\n)\n通过障碍物。 熟练后\n,\n你可以尝试在遇到紧急情况时\n,\n灵活应用\n,\n避开危险。 ★\n\n用途\n:\n发展下肢力量和灵敏性\n,\n提高弹跳力\n,\n可以在生活中灵活运用。 方法\n:\n先学习立定三级跳远\n,\n即一跳\n、\n二跨\n、\n三落地。 熟练后根据需要\n,\n对单足跳\n、\n双足跳\n、\n跨步跳进行不同形式的组合\n,\n形成新的跳跃练习方式。 立定三级跳远你知道吗\n?\n为什么跑步不能脚跟先着地首先\n,\n脚跟着地跑不快。 其次\n,\n脚跟着地会导致足弓无法发挥缓冲作用\n,\n其所产生的震动比前脚掌着地时大得多\n,\n容易引起膝关节损伤。 再次\n,\n脚跟经常与硬地板碰撞\n,\n会使脚后跟皮下脂肪垫受损\n,\n引发脚后跟的病变。",855,0,unknown,text-extracted,,2.0,华东师大版-华东师范大学出版社_九年级_义务教育教科书·体育与健康九年级全一册,6,936,2025-07-21T14:24:55.353Z,2.0,2025-07-17T02:34:21.605Z,九年级,[object Object],unknown,0.8705547652916074,0.7999999999999999,0.855,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/体育与健康/华东师大版-华东师范大学出版社/九年级/义务教育教科书·体育与健康九年级全一册.pdf,华东师大版-华东师范大学出版社_九年级_义务教育教科书·体育与健康九年级全一册.json,体育,63
华东师大版-华东师范大学出版社_九年级_义务教育教科书·体育与健康九年级全一册_chunk_7,7,"学习评价田径类运动学习评价学习体验学习内容最难掌握的跳跃最有乐趣的跳跃最刺激的方式最适合的练习最有乐趣的练习单足跳双足跳跨步跳蹲踞式跳远跨越式跳高组合跳远趣味跳格子跳台阶评价说明\n:\n请根据你学习各种跳跃方式的体验进行评价\n,\n在相应的框内打\n“\n√\n”。 第二章田径类运动\n 7 ★\n\n股后肌群损伤主要与下肢大腿的肌肉解剖特点有关。 股后肌群的肌肉力量比大腿前面的股四头肌力量小\n,\n当进行高速跑或紧张跳跃时\n,\n由于大腿前后肌群力量不平衡\n,\n股后肌群容易发生损伤\n;\n另外\n,\n如果准备活动不充分\n,\n也容易造成股后肌群损伤。 为了预防这种损伤\n,\n我们应该重视准备活动的质量\n,\n循序渐进地做一些被动拉伸股后肌群的练习\n(\n如侧压腿\n、\n弓步压腿等\n),\n按由小到大的顺序安排运动中的活动量与强度\n,\n并且要重视股后肌群的力量与柔韧性练习。 ★\n\n发生胫腓骨疲劳性骨膜炎的主要原因有两个\n:\n第一\n,\n平时运动较少\n,\n肌肉协调能力差\n,\n而运动量突然加大\n;\n第二\n,\n跑跳技术不正确\n,\n在过硬的运动场地过久地活动\n,\n跑跳过程中反复用力后蹬\n,\n小腿肌肉不断被牵拉。 为了预防这种损伤\n,\n我们应该注意尽量不在水泥地上跑步\n;\n科学锻炼\n,\n不要过多使用足尖跑步\n,\n跑步动作要放松\n、\n有弹性\n,\n落地要注意缓冲\n;\n逐步加大运动量\n,\n加强小腿肌群的力量\n,\n提高肌肉的适应能力\n;\n做好准备活动和放松活动\n,\n加强局部按摩。 8 体育与健康",630,0,unknown,text-extracted,,2.0,华东师大版-华东师范大学出版社_九年级_义务教育教科书·体育与健康九年级全一册,7,684,2025-07-21T14:24:55.353Z,2.0,2025-07-17T02:34:21.605Z,九年级,[object Object],unknown,0.9119266055045872,0.7999999999999999,0.63,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/体育与健康/华东师大版-华东师范大学出版社/九年级/义务教育教科书·体育与健康九年级全一册.pdf,华东师大版-华东师范大学出版社_九年级_义务教育教科书·体育与健康九年级全一册.json,体育,63
华东师大版-华东师范大学出版社_九年级_义务教育教科书·体育与健康九年级全一册_chunk_8,8,"8 体育与健康在课余时间\n,\n你可以练习课堂上老师教的障碍跑和单足跳\n、\n双足跳\n、\n跨步跳的变式组合等运用田径类运动基本技术的方法。 同时\n,\n还可以通过以下练习来提高田径类运动基本技术及运用能力。 自主学习趣味跳格子为发展腿部力量和跳跃能力\n,\n提高身体的控制能力\n,\n你可以进行不同难度的跳格子练习\n: 趣味跳格子\n①\n从起点开始\n,\n以双脚并跳方式\n,\n依次跳入\n\n、\n\n、\n\n、\n\n格\n,\n然后再跳入\n\n格还原。 如此反复\n,\n不能踏线。 熟练后\n,\n还可听数字跳入相应的格内。 ②\n双脚夹球进行\n①\n的练习。 合作学习校园跑酷\n———\n障碍跑游戏设计与同伴一起设计校园障碍跑游戏\n,\n在保证安全的前提下\n,\n选用低栏架\n、\n跳箱\n、\n小垫子\n、\n体操凳等障碍物\n,\n与校园自然环境\n(\n如土坡\n、\n水沟\n、\n树木\n、\n栏杆\n、\n台阶等\n)\n相结合\n,\n设计跑步线路。 跑的距离可长可短\n,\n可根据通过障碍物的方法和跑的速度来设计障碍物的放置顺序。 探究学习曲线跨步跳你可以用跨步跳的形式\n,\n协调连贯地依次跳入如下图所示的各圈中吗\n?\n与同伴探讨\n,\n怎样才能又快又轻松地跳完规定的圈。 曲线跨步跳第三章球类运动\n 9 第三章球类运动懂得欣赏球类运动中的美。 提高球类运动基本技战术的运用能力。 掌握球类运动中常见损伤的知识及预防方法。 在观看球类比赛时\n,\n我们不仅为运动员高超的运动技艺所折服\n,\n更被运动员顽强拼搏的精神所感动\n,\n同时还受拉拉队员激情的呐喊和现场紧张激烈的氛围所感染。 球类运动不仅仅是一种运动形式\n,\n更是一种文化\n,\n本章将帮助你进一步学习和了解球类运动。 ★\n\n在观看球类比赛时\n,\n我们往往被运动员娴熟的个人技术所吸引\n:\n蝴蝶穿花般的篮球运球过人\n,\n手术刀一样精准的足球任意球射门\n,\n弯弓拉箭似的排球扣球\n,\n灵动飘逸的羽毛球移动\n,\n变幻莫测的乒乓球旋转等。 所有这些\n,\n展现的都是球类运动的技艺美。 ★",829,0,unknown,text-extracted,,2.0,华东师大版-华东师范大学出版社_九年级_义务教育教科书·体育与健康九年级全一册,8,939,2025-07-21T14:24:55.353Z,2.0,2025-07-17T02:34:21.605Z,九年级,[object Object],unknown,0.9011299435028248,0.7999999999999999,0.829,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/体育与健康/华东师大版-华东师范大学出版社/九年级/义务教育教科书·体育与健康九年级全一册.pdf,华东师大版-华东师范大学出版社_九年级_义务教育教科书·体育与健康九年级全一册.json,体育,63
华东师大版-华东师范大学出版社_九年级_义务教育教科书·体育与健康九年级全一册_chunk_9,9,"★\n\n在观看球类比赛时\n,\n我们往往被运动员娴熟的个人技术所吸引\n:\n蝴蝶穿花般的篮球运球过人\n,\n手术刀一样精准的足球任意球射门\n,\n弯弓拉箭似的排球扣球\n,\n灵动飘逸的羽毛球移动\n,\n变幻莫测的乒乓球旋转等。 所有这些\n,\n展现的都是球类运动的技艺美。 ★\n\n在球类比赛中\n,\n我们经常会看到运动员为了赢得比赛的胜利\n,\n坚韧不拔\n,\n拼搏到最后一秒\n,\n为观众和对手上演令人瞠目结舌的\n“\n惊天大逆转\n”。 比如\n,\n2004\n年雅典奥运会女排决赛中\n, 10 体育与健康中国女排队员们在落后两局的情况下\n,\n充分发挥顽强不屈的女排精神\n,\n连赢三局\n,\n最终夺得奥运会冠军。 这些为集体的胜利而奋勇拼搏的场面\n,\n完美体现了球类运动的拼搏美。 ★",327,0,unknown,text-extracted,,2.0,华东师大版-华东师范大学出版社_九年级_义务教育教科书·体育与健康九年级全一册,9,347,2025-07-21T14:24:55.353Z,2.0,2025-07-17T02:34:21.605Z,九年级,[object Object],unknown,0.8817204301075269,0.7999999999999999,0.327,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/体育与健康/华东师大版-华东师范大学出版社/九年级/义务教育教科书·体育与健康九年级全一册.pdf,华东师大版-华东师范大学出版社_九年级_义务教育教科书·体育与健康九年级全一册.json,体育,63
