Chunk_ID,Chunk_Index,Content,Content_Length,Quality_Score,Reliability,Source_Type,Original_Content,Enhancement_Version,book_name,chunkIndex,chunkSize,enhancementTimestamp,enhancementVersion,extractedAt,grade,loc_lines,publisher,qualityMetrics_chineseCharRatio,qualityMetrics_coherenceScore,qualityMetrics_lengthScore,qualityMetrics_ocrConfidence,semester,source,source_file,subject,totalPages
沪教版-上海教育出版社_九年级_义务教育教科书·化学九年级下册_chunk_0,0,HUAXUE\n九年级下册化学义务教育教科书上海教育出版社\nHUAXUE\n中学化学国家课程标准研制组,49,0,unknown,text-extracted,,2.0,沪教版-上海教育出版社_九年级_义务教育教科书·化学九年级下册,0,53,2025-07-21T14:24:58.616Z,2.0,2025-07-17T02:36:10.806Z,九年级,[object Object],unknown,0.7391304347826086,0.6,0.049,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/化学/沪教版-上海教育出版社/九年级/义务教育教科书·化学九年级下册.pdf,沪教版-上海教育出版社_九年级_义务教育教科书·化学九年级下册.json,化学,135
沪教版-上海教育出版社_九年级_义务教育教科书·化学九年级下册_chunk_1,1,写给同学们的话亲爱的同学，你已经步入了化学世界的大门，初步认识了一些化学现象及其规律， 多年来使你感到疑惑的某些问题可能有了答案。但是，自然界的难题实在多，我们学习和探索的步伐不能停息......今天，当你打开下册课本，你将会有新的发现和收获。 学习化学，不仅要理解知识，结合实验现象积极思维，学会如何解答书上的习题，还要了解化学在日常生活中的广泛应用。我们的衣食住行都与化学有着密切的联系。如合成的新药，可以帮助人类战胜疾病；燃烧某些石油产品，可为各种现代化的交通工具提供动力；生产的洗涤剂、化纤衣料和各种材料，能美化我们的生活；化肥工业的发展， 为解决人类的粮食危机带来了希望。同时，学习化学能帮助你认识化学在治理日趋严重的环境问题中发挥的巨大作用，如怎样控制工业污染，怎样减少或消除汽车排放的有害气体，怎样开发新的清洁能源替代煤和石油，以降低大气中二氧化碳、二氧化硫的含量......今天，你努力地探寻，用知识、智慧和行动去保护环境；明天，地球将会还给你一片绿色，大自然将以更美好的姿态展现在你的眼前。 为使你喜欢化学、学好化学，在编写教材时我们反复思考，精心编排： 一是广泛收集你熟悉的生活素材，结合你已有的经验和疑问展开讨论。你会发现： 其实，化学就在我们身边；化学有趣易学。 二是书中有大量精美的图片，情景交融，帮助你领悟更多的化学道理，使你的学习多些生动有趣，少些枯燥乏味。 三是设计的化学实验多。希望你勤动手，在“活动与探究”实验和“基础实验”中学习知识和技能，提高分析能力，熟悉有关的化学变化。在“玩”的同时，你会学到更多的新知识。 四是期待你解决的问题多。“你已经知道什么”“观察与思考”“联想与启示”“交流与讨论”“练习与实践”“本章作业”等栏目向你提出了大量的化学问题，希望你主动地参与讨论，充分发表自己的见解。 五是注重学习方法的指导。书的正文中不但有引导语帮助你正确地理解教材，而且通过“方法提示”栏目阐述操作要点；在章末设立“整理与归纳”，通过问题线索使你逐渐养成复习整理、回顾反思和自我评价的习惯。 最后，希望同学们经常交流学习方法，努力学好化学，在探索实践中不断增长自己的聪明才智。 祝你成功！ 编者 2012\n年\n\n月,927,0,unknown,text-extracted,,2.0,沪教版-上海教育出版社_九年级_义务教育教科书·化学九年级下册,1,950,2025-07-21T14:24:58.616Z,2.0,2025-07-17T02:36:10.806Z,九年级,[object Object],unknown,0.8769230769230769,0.7999999999999999,0.927,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/化学/沪教版-上海教育出版社/九年级/义务教育教科书·化学九年级下册.pdf,沪教版-上海教育出版社_九年级_义务教育教科书·化学九年级下册.json,化学,135
沪教版-上海教育出版社_九年级_义务教育教科书·化学九年级下册_chunk_2,2,目录\n第 6 章溶解现象\n ------ 1\n第1节物质在水中的分散\n ------ 2\n第2节溶液组成的表示\n ------ 10\n第3节物质的溶解性\n ------ 16\n基础实验5 配制一定溶质质量分数的氯化钠溶液\n ------ 25\n基础实验6 粗盐的初步提纯\n------ 26\n整理与归纳\n ------ 27\n本章作业\n ------ 28 \n第 7 章应用广泛的酸、碱、盐\n ------ 31\n第1节溶液的酸碱性\n ------ 32\n第2节常见的酸和碱\n ------ 39\n第3节几种重要的盐\n ------ 52\n基础实验7 溶液的酸碱性\n ------ 61\n基础实验8 酸与碱的化学性质\n ------ 63\n整理与归纳\n ------ 65\n本章作业\n ------ 66 2\n附录\n ------ 120\n第 8 章食品中的有机化合物\n ------ 69\n第1节什么是有机化合物\n ------ 70\n第2节糖类油脂\n ------ 74\n第3节蛋白质维生素\n ------ 80\n整理与归纳\n ------ 86\n本章作业\n ------ 87 \n第 9 章化学与社会发展\n ------ 89\n第1节能源的综合利用\n ------ 90\n第2节新型材料的研制\n ------ 99\n第3节环境污染的防治\n ------ 107\n整理与归纳\n ------ 117\n本章作业\n ------ 118 1\n水是生命之源，工农业生产和人们的日常生活都离不开水。许多营养物质都是分散或溶解于水中并最终被人体吸收的。水能溶解许多物质形成溶液。如果你细心观察，就会发现在人类的生产和生活中，到处可以见到溶液。通过本章的学习，你将会知道： 第 6 章溶解现象 \n\n\n\n物质在溶解过程中会发生哪些变化； 在本章中，你还需要完成两项基础实验： 基础实验5：配制一定溶质质量分数的氯化钠溶液； 基础实验6：粗盐的初步提纯。 4\n\n水溶液有哪些重要的性质； 如何表示溶液的组成； 物质的溶解性受哪些因素影响； 如何定量表示物质的溶解性。,877,0,unknown,text-extracted,,2.0,沪教版-上海教育出版社_九年级_义务教育教科书·化学九年级下册,2,945,2025-07-21T14:24:58.616Z,2.0,2025-07-17T02:36:10.806Z,九年级,[object Object],unknown,0.6126373626373627,0.7999999999999999,0.877,0.95,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/化学/沪教版-上海教育出版社/九年级/义务教育教科书·化学九年级下册.pdf,沪教版-上海教育出版社_九年级_义务教育教科书·化学九年级下册.json,化学,135
沪教版-上海教育出版社_九年级_义务教育教科书·化学九年级下册_chunk_3,3,溶解 现象\n活动与\n探究活动与\n探究你已经知道什么你已经知道什么第1节物质在水中的分散在日常生活和生产中，人们经常需要将一种物质分散到另一种物质中，如将食盐分散到水中配制成食盐水；将碘分散到酒精中配制成碘酒；将农药分散到水中配制成喷洒的药液等。那么，物质在分散过程中会产生哪些现象呢？水溶液的性质与纯水的性质有哪些不同？本节我们将讨论这些问题。 一、溶解与乳化在日常生活中，你还知道哪些物质能分散到水中？请把你所知道的填写在表6-1中，并与同学交流、讨论。 表6-1 物质分散到水中的事例和应用事例应用洗衣粉分散到水中洗涤衣服\n1．完成下列实验取少量高锰酸钾、食盐、蔗糖、泥土（或粉笔灰）和食用油，分别放\n\n溶解 现象\n泥土（或粉笔灰）加入水中经搅拌后，会以细小固体颗粒形式分散于水中， 形成悬浊液。食用油加入水中经搅拌后，会以小液滴形式分散于水中，形成乳浊液。将悬浊液和乳浊液放置较长时间后，原本分散于水中的物质和水发生分离， 有些物质会沉在水底（如泥土），而有些物质则会浮在水面（如食用油）。 入小烧杯中，加入适量水，搅拌，静置，观察实验现象。放置一段时间后，再观察实验现象，将两次观察到的现象记录在表6-2中。 高锰酸钾泥土食用油图6-1 几种物质在水中的分散实验内容实验现象高锰酸钾加入水中食盐加入水中蔗糖加入水中泥土（或粉笔灰）加入水中食用油加入水中表6-2 几种物质在水中的分散现象\n2．依据实验现象，你认为以上物质分散于水中所形成的体系可以怎样进行分类？你的分类依据是什么？ 可参照以下问题思考：哪些物质分散到水中形成均匀、透明的体系？哪些物质以细小的固体颗粒分散到水中？哪些物质以小液滴分散到水中？ 3．你能解释高锰酸钾、食盐、蔗糖在水中逐渐消失的原因吗？,736,0,unknown,text-extracted,,2.0,沪教版-上海教育出版社_九年级_义务教育教科书·化学九年级下册,3,793,2025-07-21T14:24:58.616Z,2.0,2025-07-17T02:36:10.806Z,九年级,[object Object],unknown,0.8881118881118881,0.7999999999999999,0.736,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/化学/沪教版-上海教育出版社/九年级/义务教育教科书·化学九年级下册.pdf,沪教版-上海教育出版社_九年级_义务教育教科书·化学九年级下册.json,化学,135
沪教版-上海教育出版社_九年级_义务教育教科书·化学九年级下册_chunk_4,4,溶解 现象\n活动与\n探究活动与\n探究高锰酸钾、食盐和蔗糖等物质加入水中时，构成这些物质的离子（如钠离子及氯离子）或分子（如蔗糖分子）不断向水里扩散，最终均匀分散到水中（图\n6-2），放置一段时间后也不发生明显变化。我们将物质以分子或离子形式均匀分散到另一种物质中的过程，叫做物质的溶解（dissolve）。物质溶解后形成的均一、稳定的混合物叫做溶液（solution）。 在日常生活中，水溶液最为常见，矿泉水就是多种矿物质溶于水后形成的溶液。有时我们还要使用到其他溶液，如碘酒就是碘单质分散于酒精中形成的溶液，该溶液常用于消毒。 在许多情况下，人们希望能较快地在水中溶解某些固体物质。怎样才能达到这一目的呢?请你提出建议，并用实验验证你的设想。 建议1：溶解时不断搅拌； 建议2： ______________________； 建议3： ______________________。 用洗衣粉可以洗去衣服上的污渍，用洗发剂可以洗去头发上的油脂。你知道这是什么原因吗？ 图6-2 物质的溶解过程氯化钠晶体\nNa\n+\nCl\n-\n蔗糖分子水分子水分子蔗糖晶体 5\n溶解 现象\n活动与\n探究活动与\n探究从实验中我们可以看到，油难溶于水，但如果在油与水的混合物中加入一些洗洁精，振荡后，油能以很小的液滴的形式均匀悬浮在水中形成乳浊液。这种现象称为乳化（emulsification）。 乳化现象在工农业生产和日常生活中广泛存在。例如，金属表面油污的清洗，各种日用洗涤剂、化妆品及乳制饮品的配制，农药、医药制剂的合成以及纺织印染、石油开采、污水处理等都与乳化作用有关。 在试管中加入5 mL水，用滴管向试管中加入l~2滴食用油和数滴洗洁精，用橡皮塞塞紧试管，振荡片刻，静置，观察实验现象，并与图6-1\n第3个烧杯中的实验现象进行比较。 拓展视野拓展视野乳化作用科学家们研究发现，有一类化合物，把它们加到油和水的混合物中，在一定程度上能将油分散到水中。人们把能促使两种互不相溶的液体形成稳定乳浊液的物质叫乳化剂。乳化剂所起的作用称为乳化作用(图6-3)。洗洁精中就含有乳化剂。 图6-3 乳化作用示意图乳化剂微粒\n→\n→\n乳化剂微粒乳化剂微粒,916,0,unknown,text-extracted,,2.0,沪教版-上海教育出版社_九年级_义务教育教科书·化学九年级下册,4,964,2025-07-21T14:24:58.616Z,2.0,2025-07-17T02:36:10.806Z,九年级,[object Object],unknown,0.7954545454545454,0.7999999999999999,0.916,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/化学/沪教版-上海教育出版社/九年级/义务教育教科书·化学九年级下册.pdf,沪教版-上海教育出版社_九年级_义务教育教科书·化学九年级下册.json,化学,135
沪教版-上海教育出版社_九年级_义务教育教科书·化学九年级下册_chunk_5,5,溶解 现象\n活动与\n探究活动与\n探究二、物质溶解过程中的能量变化在溶解过程中，除了物质在水中的分散外，还伴随着能量变化。对于能量变化，除用手触摸获得感觉外，还可以借助温度计进行测量。 现欲研究硝酸铵、氯化钠和氢氧化钠分别溶于水过程中的热量变化。 1．请设计具体的实验方案，指明实验目的、实验仪器及实验过程。 2．请将你所设计的方案与以下方案进行比较，分析存在的差异，并对你的方案进行评价。 (1)取3个烧杯，各注入约30 m L\n水，用温度计测量水的温度。 (2)分别将一药匙硝酸铵、氯化钠和氢氧化钠加入上述3个烧杯中，用玻璃棒搅拌至固体完全溶解，测量溶液的温度。 3．进行实验，将温度记录在表6-3\n中，分析并得出结论。 （注意：氢氧化钠有腐蚀性，取用时要小心）\n4．把小烧杯中的溶液倒入指定的容器内。 表6-3 物质溶解时的温度变化测量的温度/\n°C\n温度的变化(与水相比)结论水\n溶解硝酸铵溶解氯化钠溶解氢氧化钠图6-4 物质溶解时的温度变化\n\n溶解 现象\n观察与\n思考观察与\n思考物质溶解于水的过程中通常伴随热量的变化。有些物质（如氢氧化钠）溶于水时放出热量，使溶液温度升高。有些物质（如硝酸铵）溶于水时吸收热量， 使溶液温度降低。 拓展视野拓展视野冷却剂在生产、生活中常用冰做冷却剂，但冰只能提供0°C左右的低温。 一些医疗和研究单位常需要更低的温度，提供低温较方便的方法是用冷冻混合物。表6-4是几种常见冷冻混合物的组成及所能达到的最低温度。 表6-4 几种常见冷冻混合物的组成和最低温度冷冻混合物的组成最低温度/\n°C\n41 g NH\n\nNO\n\n和100 g冰-17\n19 g NH\n\nCl和100 g冰-16\n23 g NaCl和100 g冰-21\n22 g MgCl\n\n和100 g冰-34\n三、水溶液的某些性质金属中存在能够自由移动的电子，通电时能够导电。在非金属中，石墨由于具有独特的导电性能，常用作电池的电极。那么，溶液能否导电呢？ 1．在5个烧杯中分别加入一定量的水、食盐溶液、蔗糖溶液、稀硫酸和稀氢氧化钠溶液，分别按图6-5所示装置进行实验。当闭合开关时，观察实验现象。在上述实验中，能导电的物质是________；不能,924,0,unknown,text-extracted,,2.0,沪教版-上海教育出版社_九年级_义务教育教科书·化学九年级下册,5,977,2025-07-21T14:24:58.616Z,2.0,2025-07-17T02:36:10.806Z,九年级,[object Object],unknown,0.7939814814814815,0.7999999999999999,0.924,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/化学/沪教版-上海教育出版社/九年级/义务教育教科书·化学九年级下册.pdf,沪教版-上海教育出版社_九年级_义务教育教科书·化学九年级下册.json,化学,135
沪教版-上海教育出版社_九年级_义务教育教科书·化学九年级下册_chunk_6,6,溶解 现象\n水的导电性非常微弱，而在水中加入食盐、硫酸和氢氧化钠等物质后形成溶液，导电性明显增强。研究表明，这些物质在水中溶解时能生成自由移动的离子，使得溶液能够导电。例如，食盐溶于水生成自由移动的Na\n+\n和Cl\n-，氢氧化钠溶于水生成自由移动的Na\n+\n和OH\n-，稀硫酸中含有自由移动的H\n+\n和SO\n\n2-，所以食盐水、氢氧化钠溶液及稀硫酸都能够导电。 蔗糖溶于水后，蔗糖以分子的形式存在于水中，不能形成自由移动的离子， 因此蔗糖水溶液很难导电。 导电的物质是________。 拓展视野拓展视野稀溶液的沸腾温度和凝固温度大量实验表明，少量的固体物质溶于水，使稀溶液的沸腾温度升高（高于100°C），凝固温度降低（低于0°C）。这些性质常为人们所利用。例如，冬天常在汽车的水箱中加入少量乙二醇之类的化合物， 以防止水箱中的水结冰；寒冷的冬季，在积雪的公路上撒盐，可以使冰雪很快融化。 图6-5 溶液的导电性实验\n2．请比较图6-2食盐溶于水以及蔗糖溶于水的过程，推测两种溶液中存在的微粒的差异，并分析食盐水能够导电的原因。你能推断出其他溶液能够导电的原因吗？,483,0,unknown,text-extracted,,2.0,沪教版-上海教育出版社_九年级_义务教育教科书·化学九年级下册,6,506,2025-07-21T14:24:58.616Z,2.0,2025-07-17T02:36:10.806Z,九年级,[object Object],unknown,0.8293736501079914,0.7999999999999999,0.483,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/化学/沪教版-上海教育出版社/九年级/义务教育教科书·化学九年级下册.pdf,沪教版-上海教育出版社_九年级_义务教育教科书·化学九年级下册.json,化学,135
沪教版-上海教育出版社_九年级_义务教育教科书·化学九年级下册_chunk_7,7,溶解 现象\n1．生活中物质分散在水中的例子十分常见。请运用物质分散在水中的有关知识，并结合你的生活经验思考如下问题：将下列物质放入盛有水的烧杯中，用玻璃棒不断搅拌，哪些物质在水中能形成溶液？ 面粉、煤油、酒精、碱面（主要成分碳酸钠）、食用油、硝酸钾、冰块。 2．下列说法是否正确？正确的在括号内打“√”，错误的打“×”。 (1)溶液一定是无色透明的。 （　　）\n(2)溶液是均一、稳定的混合物。 （　　）\n(3)溶液中至少有两种物质。 （　　）\n(4)碘酒是纯净物。 （　　）\n(5)均一、稳定的液体都是溶液。 （　　）\n(6)将蔗糖溶于水形成蔗糖溶液，上半部分溶液的甜度要低于下半部分溶液的甜度。 （　　）\n3．下列各项措施中，不属于乳化在日常生产生活中的应用的是（　　）。 A.用肥皂洗去衣服上的油渍 B.用洗洁精洗去碗筷上残留的油污 C.用洗衣粉清洗衣服上的污渍 D.用盐酸清洗盛石灰水试剂瓶瓶壁上的“白膜”（碳酸钙）\n4．实验室中有氯化钠、\n氢氧化钠、硝酸铵三种固体。在密闭、隔热的条件下， 向装有水的保温瓶中加入其中某种固体，溶液温度下降，该固体是___________\n_________________________，你判断的理由是___________________________\n___________________________________________________________________。 5．某同学在家中进行溶液导电性实验，发现碱面（主要成分碳酸钠）溶于水后能导电，而酒精溶于水后却不能导电。请分析其中的原因。 6．在配制蔗糖溶液时，若只是将蔗糖放入水中，蔗糖溶解得比较慢。可以采用什么办法加快蔗糖溶解？ 7．向少量白醋中加入几滴食用油，摇匀后静置片刻，有什么现象？向该试管中滴加少量洗洁精，重新摇匀后静置，会发生什么变化？试提出可能的假设，并通过实验加以证实。 8．举例说明生命现象与溶液有密切的联系。 练习与\n实践练习与\n实践,842,0,unknown,text-extracted,,2.0,沪教版-上海教育出版社_九年级_义务教育教科书·化学九年级下册,7,880,2025-07-21T14:24:58.616Z,2.0,2025-07-17T02:36:10.806Z,九年级,[object Object],unknown,0.6817610062893081,0.7999999999999999,0.842,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/化学/沪教版-上海教育出版社/九年级/义务教育教科书·化学九年级下册.pdf,沪教版-上海教育出版社_九年级_义务教育教科书·化学九年级下册.json,化学,135
沪教版-上海教育出版社_九年级_义务教育教科书·化学九年级下册_chunk_8,8,10\n溶解 现象\n溶液质量=溶质质量+溶剂质量溶质可以是固体、液体，也可以是气体。例如，盐酸就是氯化氢气体溶于水后得到的。水是最常用的溶剂。因此，除特别说明外，一般人们所说的溶液都是指水溶液。如氯化钠溶液就是指氯化钠的水溶液。 一、溶液的组成我们已经知道，蔗糖水溶液是蔗糖和水的混合物，酒精的水溶液是酒精和水的混合物，碘酒是碘的酒精溶液。所有的溶液都是由溶质和溶剂组成的。被溶解的物质叫做溶质（solute），溶解溶质的物质叫做溶剂（solvent）。在蔗糖水溶液中，蔗糖是溶质，水是溶剂。在碘酒中，碘是溶质，酒精是溶剂。 第2节溶液组成的表示在人类的生活、生产活动中处处离不开溶液。几乎所有的生物体内都有溶液，生命活动所需要的各种物质，都是通过溶液输送到机体的各个部位。在使用溶液时，人们往往需要知道溶液的组成和溶液中各种物质的质量关系。 图6-6 溶液的组成\n\n11\n溶解 现象\n活动与\n探究活动与\n探究交流与\n讨论交流与\n讨论日常生活中使用的溶液是不同状态的溶质溶解于溶剂而形成的。 请将你知道的一些溶液的组成填入表6-5中，并与同学交流。 表6-5 几种溶液的组成溶液溶质(状态)溶剂(状态)\n酒精溶液酒精(液态)水(液态)\n二、溶液浓度的表示在常温下配制下列溶液： 【实验1】称取3 g蔗糖加到烧杯中，再用量筒量取20 mL水加入烧杯中，搅拌使蔗糖完全溶解。 【实验2】称取5 g蔗糖加到烧杯中，再用量筒量取50 mL水加入烧杯中，搅拌使蔗糖完全溶解。 图6-7 正确读取液体的体积,646,0,unknown,text-extracted,,2.0,沪教版-上海教育出版社_九年级_义务教育教科书·化学九年级下册,8,688,2025-07-21T14:24:58.616Z,2.0,2025-07-17T02:36:10.806Z,九年级,[object Object],unknown,0.8314424635332253,0.7999999999999999,0.646,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/化学/沪教版-上海教育出版社/九年级/义务教育教科书·化学九年级下册.pdf,沪教版-上海教育出版社_九年级_义务教育教科书·化学九年级下册.json,化学,135
沪教版-上海教育出版社_九年级_义务教育教科书·化学九年级下册_chunk_9,9,12\n溶解 现象\n1．你认为上述两个实验所得的蔗糖溶液哪个更甜一些？你能通过有关数据的比值说明吗？ 2．将实验数据和计算结果填入表6-6。 一定量溶液中所含有的溶质的量可以不同。人们把一定量溶液中所含溶质的量叫做溶液的浓度（concentration）。溶液的浓度可以用多种方法来表示，人们常用溶液中所含溶质的质量分数来表示溶液的浓度。溶质质量与溶液质量之比叫做溶液的溶质质量分数（mass fraction of solute），溶液的溶质质量分数常用百分数表示。 溶质质量分数越大，说明溶液中溶质的相对含量越高。 溶液的溶质质量分数=\n溶质质量溶液质量\n×100%\n溶质质量/\n\n溶剂质量/\n\n溶液质量/\n\n溶质质量/\n\n溶液质量/\n\n实验1所得蔗糖溶液实验2所得蔗糖溶液表6-6 蔗糖溶液的质量关系下面的例题将帮助你掌握溶液中溶质的质量分数计算的方法。 图6-8 配制蔗糖溶液蔗糖例：在做电解水的实验时，为了增强水的导电性，可在水中加入少量氢氧化钠溶液。将4 g氢氧化钠固体溶解在46 g水中，得到的氢氧化钠溶液的溶质质量分数是多少？ 解： 溶液中氢氧化钠的质量是4 g，水的质量是46 g， 溶液的质量是4 g + 46 g = 50 g。 溶液的溶质质量分数=\n4 g\n50 g\n×100% = 8%\n答：所得氢氧化钠溶液的溶质质量分数是8%。,577,0,unknown,text-extracted,,2.0,沪教版-上海教育出版社_九年级_义务教育教科书·化学九年级下册,9,604,2025-07-21T14:24:58.616Z,2.0,2025-07-17T02:36:10.806Z,九年级,[object Object],unknown,0.7632575757575758,0.7999999999999999,0.577,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/化学/沪教版-上海教育出版社/九年级/义务教育教科书·化学九年级下册.pdf,沪教版-上海教育出版社_九年级_义务教育教科书·化学九年级下册.json,化学,135
