Chunk_ID,Chunk_Index,Content,Content_Length,Quality_Score,Reliability,Source_Type,Original_Content,Enhancement_Version,book_name,chunkIndex,chunkSize,enhancementTimestamp,enhancementVersion,extractedAt,grade,loc_lines,publisher,qualityMetrics_chineseCharRatio,qualityMetrics_coherenceScore,qualityMetrics_lengthScore,qualityMetrics_ocrConfidence,semester,source,source_file,subject,totalPages
科学粤教版-科学出版社_广东教育出版社_九年级_义务教育教科书·化学九年级下册_chunk_0,0,HUAXUE\nHUAXUE\n 产品定 价： 9.10\n元绿色印刷产品冀发改价格〔2019〕761号冀价审〔2021〕019001\n12315,70,0,unknown,text-extracted,,2.0,科学粤教版-科学出版社_广东教育出版社_九年级_义务教育教科书·化学九年级下册,0,86,2025-07-21T14:25:06.403Z,2.0,2025-07-17T02:35:59.444Z,九年级,[object Object],unknown,0.31746031746031744,0.5,0.07,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/化学/科学粤教版-科学出版社、广东教育出版社/九年级/义务教育教科书·化学九年级下册.pdf,科学粤教版-科学出版社、广东教育出版社_九年级_义务教育教科书·化学九年级下册.json,化学,146
科学粤教版-科学出版社_广东教育出版社_九年级_义务教育教科书·化学九年级下册_chunk_1,1,冀发改价格〔2019〕761号冀价审〔2021〕019001\n12315 第六章金 属\n６.１金属材料的物理特性１６６........................\n６.２金属的化学性质１\n７２..............................\n６.３金属矿物与冶炼１７８..............................\n６.４珍惜和保护金属资源１\n８３........................\n精要回放１８７.............................................\n练习题[六]１\n８９..........................................\n第七章溶 液\n７.１溶解与乳化１９２.......................................\n７.２物质溶解的量１９９....................................\n７.３溶液浓稀的表示２０６.................................\n７.４结晶现象２１２..........................................\n精要回放２\n１８...................................................\n练习题[七]２１９.............................................\n第八章常见的酸、碱、盐\n８.１溶液的酸碱性２２２........................\n８.２常见的酸和碱２２９........................\n８.３酸和碱的反应２３７........................\n８.４常见的盐２４３..............................\n８.５化学肥料２５０..............................\n精要回放２５６....................................\n练习题[八]２\n５８.................................,934,0,unknown,text-extracted,,2.0,科学粤教版-科学出版社_广东教育出版社_九年级_义务教育教科书·化学九年级下册,1,953,2025-07-21T14:25:06.403Z,2.0,2025-07-17T02:35:59.444Z,九年级,[object Object],unknown,0.14601769911504425,0.6,0.934,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/化学/科学粤教版-科学出版社、广东教育出版社/九年级/义务教育教科书·化学九年级下册.pdf,科学粤教版-科学出版社、广东教育出版社_九年级_义务教育教科书·化学九年级下册.json,化学,146
科学粤教版-科学出版社_广东教育出版社_九年级_义务教育教科书·化学九年级下册_chunk_2,2,第九章现代生活与化学\n９.１有机物的常识２６２....................................\n９.２化学合成材料２６７....................................\n９.３化学能的利用２７５....................................\n９.４化学物质与健康２\n７８.................................\n精要回放２８８...................................................\n练习题[九]２９０.............................................\n　总复习题２\n９２.....................................................................\n学生实验活动记录和报告实验四金属的物理性质和化学性质２９９.................................\n　实验五一定溶质质量分数的氯化钠溶液的配制和粗盐中难溶性杂质的去除３０２...................................................\n　实验六溶液酸碱性检验与酸、碱的化学性质３０４.....................\n附录附录一部分酸、碱和盐的溶解性表(室温)３０７........................\n　附录二初中化学常用的量和单位３\n０８....................................\n　附录三部分化学名词汉英索引３０９.......................................\n　元素周期表３\n１１..................................................................,833,0,unknown,text-extracted,,2.0,科学粤教版-科学出版社_广东教育出版社_九年级_义务教育教科书·化学九年级下册,2,845,2025-07-21T14:25:06.403Z,2.0,2025-07-17T02:35:59.444Z,九年级,[object Object],unknown,0.2138442521631644,0.6,0.833,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/化学/科学粤教版-科学出版社、广东教育出版社/九年级/义务教育教科书·化学九年级下册.pdf,科学粤教版-科学出版社、广东教育出版社_九年级_义务教育教科书·化学九年级下册.json,化学,146
科学粤教版-科学出版社_广东教育出版社_九年级_义务教育教科书·化学九年级下册_chunk_3,3,１６６ 环顾四周ꎬ金属制品比比皆是:文具盒里的小剪刀、自来水的水龙头、房门的锁和把手、玻璃窗的框ꎬ还有各种车辆、轮船、飞机、桥梁、铁轨和起重机ꎬ哪一样都少不了金属ꎮ\n同学们一定很想知道ꎬ金属的用途为什么那样广泛?它们有什么特性?它们是怎样制得的?为此ꎬ让我们去看看这古老而新奇的金属世界吧! ６ư １　金属材料的物理特性金属的物理性质ꎬ合金的特性\n●\n富有特色的物理性质你见过图６－１所示的这些金属制品吗?请你列举:哪些金属可用来打造首饰?哪些金属可用来制造电线?哪些金属可用来制造炊具?哪些金属可拉成细丝或压成薄片?\n图６－１　金属制品\n\n１６７ 金、铂可用来打造首饰的一个原因是它们有永恒而美丽的光泽ꎮ实际上ꎬ金属都有光泽ꎬ只是色泽和强度有所差异而已ꎮ\n铜可用来制造电线的一个原因是它易导电ꎮ其他金属也有导电性ꎬ但有优良的区分ꎬ如银>铜>铝>铁ꎮ\n铝和铁可用来制造炊具的一个原因是它们传热快ꎮ其他金属也有不同程度的导热性ꎮ\n金、银、铜和铝等可拉成细丝或压成薄片ꎬ这是由于金属有一定的延展性ꎬ容易加工ꎮ\n金属光泽、导电性、导热性和延展性ꎬ这些正是金属所共有并区别于非金属的物理性质ꎮ\n金属除了具有上述共同的物理性质外ꎬ还有若干各自不同的特性ꎬ例如密度、熔点、硬度等ꎬ有的差别还很大呢!\n金属在通常状况下特有的若干物理性质项目常见的几种金属铁铝铜最大(高)\n值的金属最小(低)\n值的金属密度/ (ｇŰｃｍ\n－３\n)\n７ư ８６ ２ư７０ ８ư９２ ２２ư ５９ (锇)０ư５３ (锂)\n熔点/°C１５ ３５ ６６０ １０８３ ３４１ ０ (钨)－３９ (汞)\n硬度\n(最硬的金刚石为１０)\n４ ~５ ２ư５ ~３ ２ ~２ư９ ９ (铬)<１ (铯)\n在各种金属材料中ꎬ人类应用最广泛的是铁、铝和铜ꎮ人们根据不同金属物理性能优良程度的差异ꎬ并综合其储量多少、价格高低、生产加工的难易等多种因素ꎬ制造出形形色色的金属制品ꎬ造福人类社会ꎮ 根据上述信息和生活体验ꎬ请分析下述问题:\n１.为什么当今社会的生产活动中ꎬ铁是应用最广泛的金属?\n２.为什么电线用铜丝制作、高压线用铝丝制作而不用导电性能更好的银丝?\n３.如果用铝丝代替钨丝制作电灯泡结果会怎样?,924,0,unknown,text-extracted,,2.0,科学粤教版-科学出版社_广东教育出版社_九年级_义务教育教科书·化学九年级下册,3,982,2025-07-21T14:25:06.403Z,2.0,2025-07-17T02:35:59.444Z,九年级,[object Object],unknown,0.7940161104718066,0.6,0.924,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/化学/科学粤教版-科学出版社、广东教育出版社/九年级/义务教育教科书·化学九年级下册.pdf,科学粤教版-科学出版社、广东教育出版社_九年级_义务教育教科书·化学九年级下册.json,化学,146
科学粤教版-科学出版社_广东教育出版社_九年级_义务教育教科书·化学九年级下册_chunk_4,4,１６８ 金属具有不同程度的导电性、导热性、光泽、延展性等物理特性ꎮ金属的密度、熔点、沸点和硬度等各有不同ꎮ\n●\n神奇的合金特性金属具有的优良特性ꎬ使它受到人们的青睐ꎬ从而在社会生产和生活中获得广泛应用ꎮ然而ꎬ人们也发现纯金属受到品种和性能的限制ꎬ不能满足社会各方面的需要ꎮ有没有办法对纯金属及其性能进行改造呢?有的ꎬ\n这就是将不同的金属制成合金ꎮ\n在日常生活中ꎬ你肯定见过合金制品ꎮ\n图６－２中给出若干种合金材料ꎬ其中用来制作炊具、餐具的是不锈钢\n(由铁和铬、镍熔合而成)ꎬ用来制造门窗框架的是硬铝(由铝和铜、镁、\n锰、硅熔合而成)ꎬ用来焊接金属制品的是焊锡(有铅焊锡由锡和铅熔合而成)ꎬ用来制乐器的是黄铜(由铜和锌熔合而成)ꎮ\n图６－２　合金制品\n\n１６９ 合金是指由一种金属与其他金属或非金属熔合而成的具有金属特性的混合物ꎮ\n那么ꎬ合金与组成它的金属相比ꎬ物理性质有什么变化呢?\n目的知道合金的一些特性ꎮ\n【实验６－１】\n图６－３　金属片互相刻划\n(１)取三组金属片ꎬ如图６ －３所示互相横移刻划ꎬ看谁硬度大?将比较结果填入下表ꎮ (用\n“>”或“<”表示)\n分组IIIIII\n硬度比较纯铁片\nઋઋઋ\n钢片纯铝片\nઋઋઋ\n硬铝片纯铜片\nઋઋઋ\n黄铜片结论合金的硬度通常比纯金属ꎮ\n(２)比较某些合金及其组分的熔点:\n结论合金的熔点通常比其组分的熔点ꎮ\n一般来说ꎬ跟组成的金属相比ꎬ合金通常有类似的变化:硬度增大、熔点降低ꎮ\n合金是金属与金属或非金属熔合而成的具有金属特性的混合物ꎮ一般情况下ꎬ若跟组成它的成分相比ꎬ合金的硬度增大、熔点降低ꎻ有的合金还有高强度、强磁性等物理特性ꎮ有的合金则有耐腐蚀等化学特性ꎮ,706,0,unknown,text-extracted,,2.0,科学粤教版-科学出版社_广东教育出版社_九年级_义务教育教科书·化学九年级下册,4,730,2025-07-21T14:25:06.403Z,2.0,2025-07-17T02:35:59.444Z,九年级,[object Object],unknown,0.8303571428571429,0.6,0.706,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/化学/科学粤教版-科学出版社、广东教育出版社/九年级/义务教育教科书·化学九年级下册.pdf,科学粤教版-科学出版社、广东教育出版社_九年级_义务教育教科书·化学九年级下册.json,化学,146
科学粤教版-科学出版社_广东教育出版社_九年级_义务教育教科书·化学九年级下册_chunk_5,5,１７０ 由于合金具有许多特殊的优良性能ꎬ所以人们通过改变形成条件和调整配方等办法ꎬ制成多种多样的合金ꎮ下表列出了几种常见的合金的组分、\n特性和重要用途ꎮ\n几种合金的组分、特性和重要用途合金名称组分特性重要用途碳素钢铁、碳坚硬机器零件、建材、铁轨、桥梁、船体锰钢铁、锰、碳韧性好ꎬ很坚硬挖掘机铲斗、钢梁、装甲车、自行车架不锈钢铁、铬、镍抗腐蚀门窗、炊具、医疗器械、手表硬铝铝、铜、镁、硅质轻ꎬ强度、硬度好火箭、飞机、轮船、高压锅黄铜铜、锌强度较好ꎬ易加工ꎬ\n耐腐蚀机器零件、日用品、乐器青铜铜、锡易加工ꎬ耐腐蚀塑像、机器零件、齿轮焊锡锡、铅熔点低焊接金属伍德合金铋、铅、锡、镉熔点很低ꎬ软保险丝、防火防爆装置\nＫ\n①\n金黄金、银、铜光泽好ꎬ易加工ꎬ耐磨装饰品、金币、电子元件\n①\nＫ是表示金纯度的指标:纯度７５％为１８Ｋꎬ纯度９９ ư９９％为２４Ｋ(可视为纯金)ꎮ\n随着人类社会生产和科学技术的进步ꎬ新型合金不断问世ꎬ它们具有更加优良的性能ꎮ钛合金就是其中的一类ꎮ钛合金是２\n０世纪５０年代发展起来的一种重要的合金材料ꎬ它因具有强度高、耐腐蚀、耐热性和生物相容性好等特点ꎬ被广泛应用于航空工业、医用金属材料等领域ꎮ\n１.下列性质属于金属共性的是( )ꎮ\nＡ.硬度很大、坚固耐磨Ｂ.有良好的导电性和传热性\nＣ.是银白色的固体Ｄ.熔点很高ꎬ不易熔化\n２.铜能够制成铜片或拉成铜丝ꎬ是因为铜具有良好的( )ꎮ\nＡ.导热性Ｂ.导电性Ｃ.延展性Ｄ.韧性\n３.有铅焊锡是锡铅合金ꎬ把铅加入锡中制成合金的主要目的是( )ꎮ\nＡ.增加强度Ｂ.降低熔点Ｃ.增加延展性Ｄ.增强耐磨性\n４.不锈钢是一种合金ꎬ有耐腐蚀的重要特性ꎬ被广泛应用于制作医疗器械、炊具、装饰材料等ꎮ不锈钢中添加的主要合金元素是( )ꎮ\nＡ.硅和铬Ｂ.锰和铬Ｃ.铬和镍Ｄ.镍和钨,763,0,unknown,text-extracted,,2.0,科学粤教版-科学出版社_广东教育出版社_九年级_义务教育教科书·化学九年级下册,5,820,2025-07-21T14:25:06.403Z,2.0,2025-07-17T02:35:59.444Z,九年级,[object Object],unknown,0.7926829268292683,0.6,0.763,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/化学/科学粤教版-科学出版社、广东教育出版社/九年级/义务教育教科书·化学九年级下册.pdf,科学粤教版-科学出版社、广东教育出版社_九年级_义务教育教科书·化学九年级下册.json,化学,146
科学粤教版-科学出版社_广东教育出版社_九年级_义务教育教科书·化学九年级下册_chunk_6,6,１７１ ５.下列说法是否正确?若错误应当怎样纠正? (请结合实例说明)\n(１)所有金属都有银白色光泽ꎮ (２)所有金属的熔点都比水高ꎬ密度都比水大ꎮ (３)所有金属的导电性和导热性都相同ꎮ (４)合金的性质跟组成它的金属性质相同ꎮ (５)合金的熔点通常比组成它的金属高ꎬ硬度通常比组成它的金属小ꎮ ６.根据下图的应用实例ꎬ说出相关金属材料的成分及其具有的两点物理性质ꎬ填入表中: Ａư电线 Ｂư自行车架 Ｃư炊具成分Ａ.纯\nＢ.锰钢成分是Ｃ.合金物理性质\n７.金属与合金的用途ꎬ很大程度上取决于它们的特性ꎮ请根据以下金属的用途ꎬ推断与此相关联的物理性质:\n金属或合金用途相关联的物理性质\n(１)用铝合金制造飞机\n(２)用钨丝做电灯泡的灯丝\n(３)用汞做水银温度计\n(４)古代用青铜铸造钱币\n(５)用不锈钢制炊具、做建材产品\n(６)用钛合金制作“人造骨骼”\n\n１７２ ６ư ２　金属的化学性质金属的化学性质ꎬ金属活动性顺序ꎬ置换反应人类发现和大量冶炼几种常用金属的年代如图６－４所示: ａư铜(距今３０００年前) 　ｂư铁(距今１５００年前) 　ｃư铝(仅１００多年前)\n图６－４　常用金属的冶炼年代为什么它们的发现和利用的年代差距如此之大?这与它们的化学性质有关吗?\n●\n变化多样的化学性质在使用金属制品的时候ꎬ你有没有注意到有些现象ꎬ只从金属的物理性质去考虑ꎬ是无法解释的ꎮ例如ꎬ为什么金、银首饰总是光彩夺目ꎬ而铁器却容易锈迹斑斑呢?原来ꎬ这跟它们的化学性质的差异有关ꎮ对此ꎬ\n请你通过实验去认识常见金属的主要化学性质ꎮ\n目的认识金属的主要化学性质ꎮ\n猜想与假设在前面几章的学习中ꎬ你已经知道ꎬ在一定条件下ꎬ镁条、铁丝和铜片都能跟氧气发生化学反应ꎮ据此假设ꎬ许多其他金属也可能跟氧气反应ꎮ此外ꎬ金属跟酸或跟某些化合物的溶液也有可能发生反应ꎮ,771,0,unknown,text-extracted,,2.0,科学粤教版-科学出版社_广东教育出版社_九年级_义务教育教科书·化学九年级下册,6,835,2025-07-21T14:25:06.403Z,2.0,2025-07-17T02:35:59.444Z,九年级,[object Object],unknown,0.8119891008174387,0.6,0.771,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/化学/科学粤教版-科学出版社、广东教育出版社/九年级/义务教育教科书·化学九年级下册.pdf,科学粤教版-科学出版社、广东教育出版社_九年级_义务教育教科书·化学九年级下册.json,化学,146
科学粤教版-科学出版社_广东教育出版社_九年级_义务教育教科书·化学九年级下册_chunk_7,7,１７３ 实验与事实请从以下项目中ꎬ分组回顾做过的实验ꎬ或按新的实验方案进行探究ꎮ\n【实验６－２】金属跟氧气反应\nａ.常温下镁跟空气中的氧气反应ꎬ易生成很薄的氧化膜ꎻ镁条在空气中点燃ꎬ发出耀眼白光ꎬ生成氧化镁(ＭｇＯ)ꎮ\n【实验１－６】镁条燃烧\nｂ.常温下纯铁不易与空气中的氧气发生反应ꎻ在纯氧中点燃铁丝ꎬ火星四射ꎬ生成黑色的氧化物(Ｆｅ\n３\nＯ\n４\n)ꎮ\n【实验３－２】铁丝在氧气中的燃烧\nｃ.铜跟氧气在加热时反应ꎬ生成黑色的氧化铜(ＣｕＯ)ꎮ\n１ư４　物质性质的探究\nａư镁在空气中燃烧 ｂư铁在氧气中燃烧 ｃư铜在空气中加热图６－５　金属跟氧气的反应请写出相应的化学方程式:\nａ. ꎻ\nｂ. ꎻ\nｃ. ꎮ\n解释与结论许多金属都能跟氧气反应ꎬ生成氧化物ꎮ\n思考有没有例外呢? “真金不怕火炼ꎮ”\n\n１７４ 【实验６－３】金属跟稀盐酸(或稀硫酸)反应 ａư铝跟稀盐酸 ｂư铁跟稀盐酸 ｃư铜跟稀盐酸图６－６　金属与稀盐酸的反应实验现象: 请写出化学方程式:\nａ. ꎻ\nｂ. ꎮ\n思考为什么铝和铁能跟稀盐酸反应产生氢气而铜却不能呢?\n解释与结论这与金属活动性的强弱有关ꎮ能跟酸反应并产生氢气的金属ꎬ\n是较活泼的金属ꎮ\n【实验６－４】金属跟某些金属化合物溶液的反应 ａư铝跟硫酸铜溶液 ｂư铁跟硫酸铜溶液 ｃư铜跟硫酸铝溶液图６－７　金属与金属化合物溶液的反应实验现象:,583,0,unknown,text-extracted,,2.0,科学粤教版-科学出版社_广东教育出版社_九年级_义务教育教科书·化学九年级下册,7,810,2025-07-21T14:25:06.403Z,2.0,2025-07-17T02:35:59.444Z,九年级,[object Object],unknown,0.7597765363128491,0.6,0.583,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/化学/科学粤教版-科学出版社、广东教育出版社/九年级/义务教育教科书·化学九年级下册.pdf,科学粤教版-科学出版社、广东教育出版社_九年级_义务教育教科书·化学九年级下册.json,化学,146
科学粤教版-科学出版社_广东教育出版社_九年级_义务教育教科书·化学九年级下册_chunk_8,8,１７５ 有关的化学方程式是:\nａ. ２Ａｌ＋３ＣｕＳＯ\n４\nઅઅ\nＡｌ\n２\n(ＳＯ\n４\n)\n３\n＋３Ｃｕ\nｂ. Ｆｅ＋ＣｕＳＯ\n４\nઅઅ\nＦｅＳ Ｏ\n４\n＋Ｃｕ\n思考为什么铝和铁都能跟硫酸铜溶液反应ꎬ而铜却不能与硫酸铝或硫酸亚铁溶液反应呢?\n解释与结论这也与金属活动性强弱有关ꎮ人们常把能将其他金属从其化合物溶液中置换出来的金属ꎬ相对地称为较活泼的金属ꎮ\n经过多方面的研究ꎬ科学家将常见金属按其活动性强弱排列如下ꎬ称为金属活动性顺序ꎮ\nＫ　Ｃａ　Ｎａ　Ｍｇ　Ａｌ　Ｚｎ　Ｆｅ　Ｓｎ　Ｐｂ　(Ｈ)　Ｃｕ　Ｈｇ　Ａｇ　Ｐｔ　Ａｕ\n金属活动性由强到弱\n→\n图６－８　金属跟稀硫酸的反应以上金属活动性顺序表中ꎬ从左至右看ꎬ排在越靠前的元素ꎬ金属活动性越强ꎻ排在前面的活动性较强的金属ꎬ可把排在后面的活动性较弱的金属从其化合物溶液中置换出来ꎮ例如铝和铁ꎬ它们排在铜之前ꎬ\n即它们的活动性都强于铜ꎬ故可将铜从硫酸铜溶液中置换出来ꎮ另外ꎬ\n排在氢之前的金属是较活泼的金属ꎬ如镁、铝、锌、铁等ꎬ它们能跟稀硫酸和稀盐酸一类的稀酸发生反应ꎬ放出氢气ꎮ排在氢以后的金属ꎬ如铜、银、金等ꎬ不能跟此类稀酸反应ꎬ它们是不活泼的金属ꎮ\n\n１７６ １.在下面的反应中ꎬ反应物和生成物哪些是单质ꎬ哪些是化合物?请将答案填在下方的空格内ꎮ\nＺｎ\nＦｅ\n２\nＡｌ\nＦｅ\n＋\n＋\n＋\n＋\n２ＨＣｌ\n２\nＨＣｌ\n３ＣｕＳＯ\n４\nＣｕＳＯ\n４\n＝\n＝\n＝\n＝\nＺｎＣｌ\n２\nＦｅＣｌ\n２\nＡｌ\n２\n(ＳＯ\n４\n)\n３\nＦｅＳＯ\n４\n＋\n＋\n＋\n＋\nＨ\n２\n↑\nＨ\n２\n↑\n３Ｃｕ\nＣｕ\n＝\n＋\n２.这些反应都属于“置换反应”ꎮ你能不能说一说什么叫置换反应?它和前面学习过的化合反应和分解反应比较有什么不同的特征?\n３.若以Ａ表示单质ꎬＢＣ表示化合物ꎬ置换反应的通式应当怎样表示?\n１.金属的主要化学性质:\n(１)多数金属都能跟氧气发生氧化反应ꎬ生成氧化物ꎮ\n(２)活泼金属可跟稀硫酸和稀盐酸一类的稀酸发生置换反应ꎬ放出氢气ꎮ\n(３)较活泼金属可跟较不活泼金属化合物的溶液发生置换反应ꎬ将较不活泼金属置换出来ꎮ\n２.金属活动性顺序:钾钙钠镁铝锌铁锡铅(氢)铜汞银铂金ꎮ\n３.由一种单质与一种化合物生成另一种单质与另一种化合物的反应叫置换反应ꎮ\nＡ＋ＢＣ\n→\nＡＣ＋Ｂ,960,0,unknown,text-extracted,,2.0,科学粤教版-科学出版社_广东教育出版社_九年级_义务教育教科书·化学九年级下册,8,988,2025-07-21T14:25:06.403Z,2.0,2025-07-17T02:35:59.444Z,九年级,[object Object],unknown,0.7032710280373832,0.6,0.96,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/化学/科学粤教版-科学出版社、广东教育出版社/九年级/义务教育教科书·化学九年级下册.pdf,科学粤教版-科学出版社、广东教育出版社_九年级_义务教育教科书·化学九年级下册.json,化学,146
科学粤教版-科学出版社_广东教育出版社_九年级_义务教育教科书·化学九年级下册_chunk_9,9,１７７ １.现有甲、乙、丙三种金属ꎬ分别与空气和氧气反应ꎬ现象如下表所示:\n物质甲乙丙空气剧烈燃烧变黑变黑氧气更剧烈燃烧变黑剧烈燃烧据以上信息ꎬ这三种金属活动性由强到弱顺序是( )ꎮ\nＡ.甲、丙、乙Ｂ.甲、乙、丙Ｃ.乙、丙、甲Ｄ.丙、乙、甲\n２.下列同组金属都能跟稀盐酸或稀硫酸反应并放出氢气的是( )ꎮ\nＡ. Ａｕ、 Ｃｕ、 Ｐｔ Ｂ. Ｆｅ、 Ｐｂ、 Ｓ\nｎ Ｃ. Ｍｇ、 Ｚｎ、 Ａｇ Ｄ. Ａｌ、 Ｈｇ、 Ｋ\n３.下列四个反应ꎬ不属于置换反应类型的是( )ꎮ\nＡ. Ｚｎ＋２\nＨＣｌ\nઅઅ\nＺｎＣｌ\n２\n＋Ｈ\n２\n↑Ｂ. Ｆｅ＋２Ａ ｇＮＯ\n３\nઅઅ\n２Ａｇ＋Ｆｅ(ＮＯ\n３\n)\n２\nＣ. ＣｕＯ＋Ｈ\n２\n△\nઅઅ\nＣｕ＋Ｈ\n２\nＯＤ. Ｃｕ\nＯ＋ＣＯ\n△\nઅઅ\nＣｕ＋ＣＯ\n２\n４.有Ｘ、 Ｙ、 Ｚ三种金属ꎬ将Ｘ、 Ｙ浸入稀盐酸中ꎬ Ｙ溶解、 Ｘ不溶ꎻ将Ｘ浸入Ｚ离子与硫酸根组成的溶液中ꎬ Ｘ的表面附着Ｚ金属ꎬ则三种金属活动性由强到弱的顺序为( )ꎮ\nＡ. Ｚ、 Ｙ、 ＸＢ. Ｙ、 Ｘ、 ＺＣ. Ｚ、 Ｘ、 ＹＤ. Ｙ、 Ｚ、 Ｘ\n５.下列化学方程式正确的是( )ꎮ\nＡ. ４Ｆｅ＋３Ｏ\n２\nઅઅ\n２Ｆｅ\n２\nＯ\n３\nＢ. Ｆｅ＋Ｈ\n２\nＳ\nＯ\n４\nઅઅ\nＦｅＳＯ\n４\n＋Ｈ\n２\n↑\nＣ. Ｆｅ＋ＭｇＳＯ\n４\nઅઅ\nＦｅＳＯ\n４\n＋ＭｇＤ. Ｃｕ＋２ＨＣｌ\nઅઅ\nＣｕＣｌ\n２\n＋Ｈ\n２\n↑\n６.根据金属活动性顺序ꎬ判断下列反应能否发生?如能发生ꎬ写出化学方程式ꎻ不能则说明原因ꎮ\n(１)铜跟硝酸银溶液:　\nꎮ\n(２)锌跟氯化铜溶液:　ꎮ\n(３)汞跟稀盐酸溶液:　\nꎮ\n(４)铜跟硝酸汞溶液:　\nꎮ\n(５) “曾青得铁化为铜” (曾青指硫酸铜溶液):　ꎮ\n７.小美同学打算用金属的置换反应制取氢气ꎮ请问:\n(１)她绘出右图表示的制取氢气的装置ꎬ该图有哪些错误ꎬ\n怎样改进?\n(２)她改正装置后ꎬ用镁和铝从稀硫酸中置换出氢气ꎮ若分别用等质量的镁和铝与足量稀硫酸反应ꎬ制得的氢气的质量比是多少?\n(３)请你设计利用锌粒跟稀硫酸反应制备氢气的装置ꎬ要求该装置能方便地控制反应进行或停止ꎮ画出其装置示意图ꎮ,905,0,unknown,text-extracted,,2.0,科学粤教版-科学出版社_广东教育出版社_九年级_义务教育教科书·化学九年级下册,9,939,2025-07-21T14:25:06.403Z,2.0,2025-07-17T02:35:59.444Z,九年级,[object Object],unknown,0.5408560311284046,0.6,0.905,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/化学/科学粤教版-科学出版社、广东教育出版社/九年级/义务教育教科书·化学九年级下册.pdf,科学粤教版-科学出版社、广东教育出版社_九年级_义务教育教科书·化学九年级下册.json,化学,146
