Chunk_ID,Chunk_Index,Content,Content_Length,Quality_Score,Reliability,Source_Type,Original_Content,Enhancement_Version,book_name,chunkIndex,chunkSize,enhancementTimestamp,enhancementVersion,extractedAt,grade,loc_lines,publisher,qualityMetrics_chineseCharRatio,qualityMetrics_coherenceScore,qualityMetrics_lengthScore,qualityMetrics_ocrConfidence,semester,source,source_file,subject,totalPages
统编版-人民教育出版社_九年级_义务教育教科书·世界历史九年级上册_chunk_0,0,SHIJIE LISHI\nYIWU JIAOYU JIAOKESHU\n义务 教育 教科 书九年级上册世界历史九年级上册世界历史九年级上册世 界历 史\n®： 元绿色印刷产品绿色印刷产品义务教育教科书全国优秀教材特等奖九年级上册世界历史义务教育教科书\n·北京·\n教育部组织编写总主编齐世荣总 主编：齐世荣本册主编：侯建新许 斌编写人员：（以姓氏笔画为序）\n王亚平龙秀清任世江刘景华孙立田张振海张晓晗赵文君徐 滨等责任编辑：张振海美术编辑：张蓓\n义务教育教科书世界历史九年级上册教育部组织编写出 \n网版 \n（北京市海淀区中关村南大街 17 号院 1 号楼邮编：100081）\n址 http://www.pep.com.cn 版权所有·未经许可不得采用任何方式擅自复制或使用本产品任何部分·违者必究如发现内容质量问题，请登录中小学教材意见反馈平台：jcyjfk.pep.com.cn\n如发现印、装质量问题，影响阅读，请与 ××× 联系调换。电话：×××-××××××××,431,0,unknown,text-extracted,,2.0,统编版-人民教育出版社_九年级_义务教育教科书·世界历史九年级上册,0,511,2025-07-21T14:25:08.655Z,2.0,2025-07-17T02:36:22.463Z,九年级,[object Object],人民教育出版社,0.7110552763819096,0.7999999999999999,0.431,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/历史/统编版-人民教育出版社/九年级/义务教育教科书·世界历史九年级上册.pdf,统编版-人民教育出版社_九年级_义务教育教科书·世界历史九年级上册.json,历史,113
统编版-人民教育出版社_九年级_义务教育教科书·世界历史九年级上册_chunk_1,1,第４课希腊城邦和亚历山大帝国 .....................................\n16\n第5课罗马城邦和罗马帝国 .............................................\n21\n第6课希腊罗马古典文化 .................................................\n26\n第二单元古代欧洲文明目录第１课古代埃及 ..................................................................\n\n第２课古代两河流域 ..........................................................\n\n第３课古代印度 ................................................................\n10\n第一单元古代亚非文明第7课基督教的兴起和法兰克王国 .................................\n32\n第8课西欧庄园 ................................................................\n38\n第9课中世纪城市和大学的兴起 .....................................\n42\n第10课拜占庭帝国和《查士丁尼法典》 .........................\n47\n第三单元封建时代的欧洲,671,0,unknown,text-extracted,,2.0,统编版-人民教育出版社_九年级_义务教育教科书·世界历史九年级上册,1,699,2025-07-21T14:25:08.655Z,2.0,2025-07-17T02:36:22.463Z,九年级,[object Object],人民教育出版社,0.20904836193447737,0.6,0.671,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/历史/统编版-人民教育出版社/九年级/义务教育教科书·世界历史九年级上册.pdf,统编版-人民教育出版社_九年级_义务教育教科书·世界历史九年级上册.json,历史,113
统编版-人民教育出版社_九年级_义务教育教科书·世界历史九年级上册_chunk_2,2,第22课活动课：唱响《国际歌》 ..................................\n102\n附录世界历史大事年表（上） .................................................\n104\n中外文译名对照表（上） .................................................\n105\n第11课古代日本 ................................................................\n52\n第12课阿拉伯帝国 ............................................................\n55\n第四单元封建时代的亚洲国家第17课君主立宪制的英国 ................................................\n80\n第18课美国的独立 ............................................................\n84\n第19课法国大革命和拿破仑帝国 ....................................\n88\n第六单元资本主义制度的初步确立第13课西欧经济和社会的发展 ........................................\n60\n第14课文艺复兴运动 ........................................................\n65\n第15课探寻新航路 ............................................................\n70\n第16课早期殖民掠夺 ........................................................\n75\n第五单元走向近代第20课第一次工业革命 ....................................................\n94\n第21课马克思主义的诞生和国际共产主义运动的兴起 ...\n98\n第七单元工业革命和国际共产主义运动的兴起,966,0,unknown,text-extracted,,2.0,统编版-人民教育出版社_九年级_义务教育教科书·世界历史九年级上册,2,998,2025-07-21T14:25:08.655Z,2.0,2025-07-17T02:36:22.463Z,九年级,[object Object],人民教育出版社,0.21103896103896103,0.6,0.966,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/历史/统编版-人民教育出版社/九年级/义务教育教科书·世界历史九年级上册.pdf,统编版-人民教育出版社_九年级_义务教育教科书·世界历史九年级上册.json,历史,113
统编版-人民教育出版社_九年级_义务教育教科书·世界历史九年级上册_chunk_3,3,1 第一单元古代亚非文明距今约二三百万年，人类形成。从早期人类的出现到15世纪末期，人类社会大体经历了原始社会、奴隶社会和封建社会。 人类最早的文明是在适合农业耕作的大河流域产生的，亚非地区的尼罗河流域、两河流域、印度河流域和黄河流域、长江流域是人类文明的重要发祥地。 古代亚非地区的文明古国创造了辉煌灿烂的文明成果，如古代埃及的象形文字和金字塔，古代两河流域的楔形文字和《汉谟拉比法典》，中国的甲骨文和青铜器，古代印度的梵文和佛教等，为世界文明的发展作出了杰出的贡献。 世界历史九年级上册\n\n古埃及文明是世界上最早的文明之一，尼罗河是孕育古埃及文明的摇篮。为什么说金字塔是古埃及文明的象征？古埃及的法老与金字塔有什么关系？ 第1课古代埃及尼罗河与古埃及文明古埃及位于非洲东北角，世界上最长的河流尼罗河贯穿埃及南北。每年尼罗河定期泛滥，当洪水退去后，两岸留下肥沃的黑色淤泥，非常有利于农业生产。因此，古埃及被认为是“尼罗河的赠礼”。 约从公元前3500年开始，在尼罗河下游陆续出现了若干个小国家。公元前3100年左右，古埃及初步实现了统一。在法老图特摩斯三世统治时期，古埃及成为强大的军事帝国，版图向北延伸至叙利亚\n①\n与小亚细亚交界处，以及幼发拉底河上游，向南扩展到尼罗河“第四瀑布”\n②。此后，古埃及又几度分裂，并不断遭到外族入侵。公元前525年，波斯\n① 古代叙利亚大体包括今叙利亚、黎巴嫩、巴勒斯坦、以色列和约旦等地。 ② 尼罗河“第四瀑布”，在今苏丹共和国境内。 古代埃及示意图,644,0,unknown,text-extracted,,2.0,统编版-人民教育出版社_九年级_义务教育教科书·世界历史九年级上册,3,682,2025-07-21T14:25:08.655Z,2.0,2025-07-17T02:36:22.463Z,九年级,[object Object],人民教育出版社,0.8821656050955414,0.7999999999999999,0.644,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/历史/统编版-人民教育出版社/九年级/义务教育教科书·世界历史九年级上册.pdf,统编版-人民教育出版社_九年级_义务教育教科书·世界历史九年级上册.json,历史,113
统编版-人民教育出版社_九年级_义务教育教科书·世界历史九年级上册_chunk_4,4,第1课古代埃及古埃及的科学和文化取得了很高的成就，其中天文学、数学和医学成就最为突出。太阳历是古埃及天文学的突出成就之一。古埃及的象形文字是世界上最早的文字之一。 古埃及墓穴壁画，描绘了古埃及人的社会经济生活古埃及石雕人物像古埃及人发现，每年7月，当太阳和天狼星在地平线上同时升起时，尼罗河就会开始涨水。他们据此制定了每年365天的太阳历。由于需要测量尼罗河的水位， 丈量洪水退去后的两岸土地，再加上建筑等方面的计算需要，古埃及人发展了数学。 古埃及人将人的遗体制作成木乃伊，增长了解剖知识，从而促进了医学的发展。 古埃及象形文字在19世纪被释读，为古埃及研究开启了一个新纪元。古埃及的雕刻和绘画主要以国王和贵族为对象，人物表情庄重、严肃。 相关史事帝国吞并古埃及；后来，亚历山大帝国和罗马帝国先后占领古埃及。古埃及文明没有延续下去。 尼罗河与古埃及科学文化的发展有什么关系？ 问题思考\n\n第1课古代埃及古埃及象形文字铭文世界历史九年级上册\n\n金字塔古埃及法老为自己修建呈角锥体状的陵墓，它每个侧面都形似汉字“金”，因此，中国人称之为“金字塔”。金字塔是古埃及文明的象征，反映了古埃及社会经济发展的较高水平，是古埃及人智慧的结晶。 法老的统治金字塔的修建，反映了古埃及国王的无限权力。古埃及的国王称“法老”。法老作为全国最高的统治者，集军、政、\n财、神等大权于一身。在宗教上，法老被认为是“神之子”， 具有无上的权威。大臣见国王时，要匍匐在地上，吻国王脚下的土地。国王发起怒来，还经常亲自用王杖责打大臣。 金字塔古埃及最大的金字塔是胡夫金字塔，建于约公元前2600年，原塔高约146米，基底每边长约230米，用石约230万块，平均每块重2.5吨左右。石块之间严丝合缝，连刀片都插不进去。在胡夫金字塔旁的哈夫拉金字塔前，还有一座狮身人面像，用一整块巨石雕成，高20余米，长50余米。金字塔与狮身人面像相互烘托，构成宏大的历史场景。 相关史事狮身人面像,824,0,unknown,text-extracted,,2.0,统编版-人民教育出版社_九年级_义务教育教科书·世界历史九年级上册,4,871,2025-07-21T14:25:08.655Z,2.0,2025-07-17T02:36:22.463Z,九年级,[object Object],人民教育出版社,0.8737623762376238,0.7999999999999999,0.824,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/历史/统编版-人民教育出版社/九年级/义务教育教科书·世界历史九年级上册.pdf,统编版-人民教育出版社_九年级_义务教育教科书·世界历史九年级上册.json,历史,113
统编版-人民教育出版社_九年级_义务教育教科书·世界历史九年级上册_chunk_5,5,第1课古代埃及课后活动\n1. 判断下列表述，在正确选项后面的括号里画，错误的画\n×。 古埃及文明延续发展至今，文明进程历经曲折但未间断 ( )\n古埃及在科学、文化领域取得很高的成就 ( )\n古埃及国王给自己的陵墓取名“金字塔”，象征着无限的权力 ( )\n2. 请查找资料，读读关于金字塔建造的故事，你认为哪种建造方法比较合理？ /古代埃及/ 知识拓展人类的形成和原始社会距今约二三百万年，人类形成。有了人类，就有了人类社会的历史。人类最初经历的是原始社会。随着生产力的发展和社会的进步，出现了氏族。最初人们生活在母系氏族社会，那时候财产公有，生产和分配都以集体为基础。随着农业和畜牧业的发展，以及手工业的进步，男子在经济活动中开始占主导地位。父系氏族社会逐渐取代母系氏族社会。在父系氏族社会后期，生产力进一步提高，出现了剩余产品和家庭私有财产，私有制和奴隶制出现，原始社会开始解体，人类逐步进入阶级社会。 随着社会矛盾的激化，王权受到多方面的挑战。胡夫金字塔之后，金字塔越修越小，反映了王权的逐渐衰落。 世界历史九年级上册\n\n古代西亚的两河流域是人类最早的文明发祥地之一。 古巴比伦王国是古代两河流域文明发展的一个高峰。有人说，《汉谟拉比法典》是两河流域文明留给人类的宝贵文化遗产。为什么这样说呢？ 第2课古代两河流域古代两河流域文明\n“两河”，是指西亚的幼发拉底河与底格里斯河。两河流域，又称“美索不达米亚”，意即“两河之间的地方”，大体上是以今天伊拉克首都巴格达为中心的狭长地带。约从公元前3500年起， 两河流域南部逐渐产生了一些以城市为中心的小国，小国之间混战不止。 大约在公元前24世纪，两河流域实现了初步统一。此后，两河流域屡遭外族入侵和内部战乱。 古代两河流域示意图（约公元前3500—前539）,755,0,unknown,text-extracted,,2.0,统编版-人民教育出版社_九年级_义务教育教科书·世界历史九年级上册,5,824,2025-07-21T14:25:08.655Z,2.0,2025-07-17T02:36:22.463Z,九年级,[object Object],人民教育出版社,0.8724279835390947,0.7999999999999999,0.755,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/历史/统编版-人民教育出版社/九年级/义务教育教科书·世界历史九年级上册.pdf,统编版-人民教育出版社_九年级_义务教育教科书·世界历史九年级上册.json,历史,113
统编版-人民教育出版社_九年级_义务教育教科书·世界历史九年级上册_chunk_6,6,第2课古代两河流域当今世界上普遍采用什么进制？ 问题思考古巴比伦王国\n①\n古巴比伦王国原是幼发拉底河中游的一个小国。公元前18世纪，第六代国王汉谟拉比在位时，对外采取各个击破的策略，完成了两河流域中下游地区的统一事业，建立了统一、强大的奴隶制国家。 汉谟拉比实行君主专制制度，加强中央集权，还制定了一部较为系统和完整的法典。他在位时是古巴比伦王国最强盛的时期。 楔形文字汉谟拉比几乎集中了国家的全部权力，亲自掌管司法和行政部门，直接掌握军队。他极力神化自己，自称“众神之王”。 汉谟拉比还大兴水利，他在位的好几个年份都作为“开凿河渠之年”而载入史册。 汉谟拉比死后，国内各种矛盾激化，许多地方发生暴动， 国力逐渐衰落。公元前1595年，古巴比伦王国被外族灭亡。 人物扫描两河流域的苏美尔人很早就发明了文字。他们通常用削成尖头的芦秆或木棒做笔，在未干的软泥版上压刻出符号。这些符号的线条由粗到细，很像木楔，所以由这种笔画构成的文字被称为“楔形文字”。苏美尔人还根据月亮的盈亏变化制定了阴历，一年354天，并设置闰月来调整阴历和阳历之间的天数差距。计数法中的60进制也是两河流域人发明的。 相关史事\n《汉谟拉比法典》\n《汉谟拉比法典》是迄今已知世界上第一部较为完整的成文法典。法典刻在一块黑色石柱上， ① 古巴比伦王国，公元前19世纪建立，公元前16世纪灭亡。,578,0,unknown,text-extracted,,2.0,统编版-人民教育出版社_九年级_义务教育教科书·世界历史九年级上册,6,604,2025-07-21T14:25:08.656Z,2.0,2025-07-17T02:36:22.463Z,九年级,[object Object],人民教育出版社,0.8794326241134752,0.7999999999999999,0.578,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/历史/统编版-人民教育出版社/九年级/义务教育教科书·世界历史九年级上册.pdf,统编版-人民教育出版社_九年级_义务教育教科书·世界历史九年级上册.json,历史,113
统编版-人民教育出版社_九年级_义务教育教科书·世界历史九年级上册_chunk_7,7,世界历史九年级上册\n\n除前言外，正文共有282条，内容十分广泛，从中可以清晰地了解古巴比伦社会。 从法典中可知，古巴比伦分为拥有公民权的自由民、无公民权的自由民和奴隶三个严格的社会等级。奴隶制度在古巴比伦相当发达。战俘是奴隶的主要来源，也有买卖奴隶的现象。家庭奴隶制是古巴比伦的一大特征，男性家长对奴隶有生杀予夺之权，对妻子儿女有绝对权威，在欠债时甚至可以将妻儿送去抵债。同时，法典中有许多关于租赁、雇佣、交换、借贷等方面的规定， 说明商品经济在古巴比伦比较活跃。 《汉谟拉比法典》是古巴比伦王国留给人类的宝贵文化遗产，表明人类社会的法制传统源远流长。 《汉谟拉比法典》石柱局部图 《汉谟拉比法典》石柱， 现藏于巴黎卢浮宫博物馆\n《汉谟拉比法典》严格保护奴隶主的利益，规定：拐带奴隶、帮助奴隶逃跑或窝藏奴隶者，都要被处以死刑。奴隶打自由民的嘴巴或不承认自己的主人，要被处以割耳之刑。 法典规定：拥有公民权的自由民的地位要高于无公民权的自由民。拥有公民权的自由民伤害同等地位的自由民的眼睛，必须遭受同样损害；但如果损害无公民权的自由民的眼睛，则只需赔偿少量的钱财。 相关史事\n\n第2课古代两河流域课后活动读材料，想问题。 《汉谟拉比法典》规定： 倘奴隶告其主人云：“你非吾之主人”，则此主人应证实其为自己的奴隶，而后其主人得割其耳。 倘理发师未告知奴隶之主人而剃去非其奴隶的奴隶标识者，则此理发师应断指。 倘自由民购买奴婢，未满月而该奴即患癫痫，则买者得将其退还卖者而收回其所付之银。 （1）奴隶处于什么样的社会地位？ （2）你认为《汉谟拉比法典》维护的是哪个阶级的利益？ /古代两河流域/ 知识拓展空中花园古巴比伦王国灭亡后，古代两河流域还经历了亚述帝国和新巴比伦王国时期。 据说，新巴比伦的一个国王为满足王后的思乡之情，在宫中修建了一座空中花园， 园内种满奇花异草，被誉为古代世界七大奇迹之一。公元前539年，新巴比伦王国被伊朗高原上兴起的波斯帝国消灭。,828,0,unknown,text-extracted,,2.0,统编版-人民教育出版社_九年级_义务教育教科书·世界历史九年级上册,7,867,2025-07-21T14:25:08.656Z,2.0,2025-07-17T02:36:22.463Z,九年级,[object Object],人民教育出版社,0.8906832298136645,0.7999999999999999,0.828,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/历史/统编版-人民教育出版社/九年级/义务教育教科书·世界历史九年级上册.pdf,统编版-人民教育出版社_九年级_义务教育教科书·世界历史九年级上册.json,历史,113
统编版-人民教育出版社_九年级_义务教育教科书·世界历史九年级上册_chunk_8,8,世界历史九年级上册\n10\n古代印度是人类文明的发祥地之一。古代印度的种姓制度有何特点？作为世界三大宗教之一的佛教是怎样创立和传播的？ 第3课古代印度古代印度河流域文明古代印度在地理上是指今天的南亚次大陆。古代印度文明最早出现于印度河流域。印度河发源于青藏高原， 流经今巴基斯坦境内，入阿拉伯海，水量丰沛。在印度河流域发现的哈拉帕和摩亨佐·达罗等早期文明遗址， 摩亨佐·达罗遗址\n\n11\n第3课古代印度公元前1500年左右，来自中亚的一支游牧部落侵入印度。他们自称雅利安人\n①，陆续在印度河流域和恒河流域定居下来，从事农业生产。印度北部逐渐出现了许多小国家。 孔雀王朝\n②\n统治时期是古代印度文明的鼎盛时期。除半岛最南端外，印度基本上实现了统一。农业和工商业都比较繁荣，出现了许多工商业中心城市，首都华氏城是当时世界上最繁华、人口最多的大城市之一。 后来，印度多次受到外族的侵扰。 哈拉帕和摩亨佐·达罗都是城市遗址。从遗址看， 这两座城市的建设都经过精心规划。城市分为上城和下城两部分：上城是政治中心， 有高大的公共建筑；下城是住宅区和工商业活动区，街道笔直宽阔，垂直交叉，街区整齐划一，有完整的下水道系统。 相关史事\n① 雅利安人，意即“高贵的人”。 ② 孔雀王朝，约公元前324年建立，公元前187年灭亡。 古代印度示意图印度河流域主要古城遗址华氏城恒\n河印\n度河\n古代印度海\n阿拉\n伯孟加拉湾公元前3世纪印度疆域摩亨佐达罗哈拉帕年代大约为公元前23世纪—前18世纪。这个文明一度繁荣，后来因不明原因衰亡，长期不为人所知。,662,0,unknown,text-extracted,,2.0,统编版-人民教育出版社_九年级_义务教育教科书·世界历史九年级上册,8,706,2025-07-21T14:25:08.656Z,2.0,2025-07-17T02:36:22.463Z,九年级,[object Object],人民教育出版社,0.8803149606299212,0.7999999999999999,0.662,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/历史/统编版-人民教育出版社/九年级/义务教育教科书·世界历史九年级上册.pdf,统编版-人民教育出版社_九年级_义务教育教科书·世界历史九年级上册.json,历史,113
统编版-人民教育出版社_九年级_义务教育教科书·世界历史九年级上册_chunk_9,9,世界历史九年级上册\n12\n森严的种姓制度雅利安人进入印度后，逐渐建立了严格的社会等级制度，史称“种姓制度”。在这一制度中，第一等级是婆罗门，掌管祭祀；第二等级是刹帝利，掌管军事和行政权力； 第三等级是吠舍，从事农业、畜牧业和商业；第四等级是首陀罗，主要由被征服居民构成，从事农业、畜牧业、捕鱼业和手工业，要为前三个等级服务。在这四个等级之外， 还有最卑贱的“不可接触者”\n—贱民，他们在社会上遭到歧视和凌辱。 种姓制度下的各等级世代相袭。各等级之间贵贱分明，低等级的人不得从事高等级的人的职业，不同等级的人不得通婚。 传说，印度最早发现和使用的金属是黄金，因而印度有“黄金之国”的美称。 印度也是“大象之国”，象兵是古代印度的重要兵种。传说，古代印度国王出游时， 常动用上千头大象。 古代印度人民创造了灿烂辉煌的文化。世界上广泛应用的“阿拉伯数字”， 实际上起源于印度，后经阿拉伯人传播到世界各地。 相关史事印度贵族出行图\n\n13\n第3课古代印度\n① 大约10世纪，佛教在印度的地位被印度教取代。 ② 锡兰，今斯里兰卡。 ③ \n迦毗罗卫城，确切位置不详，可能在今尼泊尔和印度交界处。 乔达摩·悉达多是印度北部迦毗罗卫城\n③\n释迦族的王子。据说，他看到走投无路的乞丐、痛苦不堪的病人、暴露于荒郊的尸体时，心灵受到极大震撼，感到人生皆苦，于是下决心寻求解脱人生苦难的道路。他离家修行，后来创立佛教，被尊为\n“佛陀”。 人物扫描释迦牟尼创立佛教佛教创立于公元前6世纪。创始人乔达摩·悉达多，后来被称为“释迦牟尼”。 早期佛教反对第一等级婆罗门的特权，提出“众生平等”，不拒绝低种姓的人入教；同时，佛教宣扬“忍耐顺从”，得到国王和一些富人的支持。信仰佛教的民众日益增多，佛教一度成为印度最重要的宗教之一\n①。 公元前3世纪后，佛教开始向外传播。公元前\n1世纪，佛教经中亚传到中国新疆，再传入中国内地，后又传到朝鲜、日本和越南等国。佛教往南经锡兰\n②，传到缅甸、泰国、柬埔寨等国。 释迦牟尼佛像古代印度的佛像艺术对中国产生了很大影响。你能说出深受印度佛像艺术影响的中国古代石窟吗？ 问题思考,890,0,unknown,text-extracted,,2.0,统编版-人民教育出版社_九年级_义务教育教科书·世界历史九年级上册,9,936,2025-07-21T14:25:08.656Z,2.0,2025-07-17T02:36:22.463Z,九年级,[object Object],人民教育出版社,0.8656542056074766,0.7999999999999999,0.89,1,上册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/历史/统编版-人民教育出版社/九年级/义务教育教科书·世界历史九年级上册.pdf,统编版-人民教育出版社_九年级_义务教育教科书·世界历史九年级上册.json,历史,113
