Chunk_ID,Chunk_Index,Content,Content_Length,Quality_Score,Reliability,Source_Type,Original_Content,Enhancement_Version,book_name,chunkIndex,chunkSize,enhancementTimestamp,enhancementVersion,extractedAt,grade,loc_lines,publisher,qualityMetrics_chineseCharRatio,qualityMetrics_coherenceScore,qualityMetrics_lengthScore,qualityMetrics_ocrConfidence,semester,source,source_file,subject,totalPages
统编版-人民教育出版社_九年级_义务教育教科书·历史九年级下册_chunk_0,0,SHIJIE LISHI\nYIWU JIAOYU JIAOKESHU\n义务 教育 教科 书九年级下册世 界历 史世界历史九年级下册世界历史九年级下册\n®\n 产品绿色印刷产品定价： 元义务教育教科书全国优秀教材特等奖 ·北京·\n九年级下册世界历史义务教育教科书教育部组织编写总主编齐世荣义务教育教科书世界历史九年级下册教育部组织编写出 版 （北京市海淀区中关村南大街17号院1号楼邮编：100081）\n网址 http://www.pep.com.cn\n重印 ×××出版社发 行 ×××新华书店印 刷 ×××印刷厂版 次 2018年12月第1版印 次 2015年12月第1次印刷开 本 787毫米×1\n 092\n毫米 1/16\n印张 7.25\n字数 122千字书 号 ISBN 978-7-107-33354-5\n定价 元定价批号：×× 号审图号：GS（2016）942 号版权所有·未经许可不得采用任何方式擅自复制或使用本产品任何部分·违者必究如发现内容质量问题，请登录中小学教材意见反馈平台：jcyjfk.pep.com.cn\n如发现印、装质量问题，影响阅读，请与×××联系调换。电话：×××-××××××××\n总主 编：齐世荣本册主编：侯建新许 斌编写人员：（以姓氏笔画为序） 王婉旎田 涛任世江杨西云张 葳张玉兴赵文君徐 滨等责任编辑：王婉旎美术编辑：张蓓,580,0,unknown,text-extracted,,2.0,统编版-人民教育出版社_九年级_义务教育教科书·历史九年级下册,0,828,2025-07-21T14:25:08.557Z,2.0,2025-07-17T02:36:51.963Z,九年级,[object Object],人民教育出版社,0.6323809523809524,0.7999999999999999,0.58,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/历史/统编版-人民教育出版社/九年级/义务教育教科书·历史九年级下册.pdf,统编版-人民教育出版社_九年级_义务教育教科书·历史九年级下册.json,历史,119
统编版-人民教育出版社_九年级_义务教育教科书·历史九年级下册_chunk_1,1,目录第1 课殖民地人民的反抗斗争\n ...........................................\n\n第2 课俄国的改革\n ..............................................................\n\n第3 课美国内战\n ................................................................\n10\n第4 课日本明治维新\n .........................................................\n14\n第一单元殖民地人民的反抗与资本主义制度的扩展第5课第二次工业革命\n ......................................................\n18\n第6课工业化国家的社会变化\n ..........................................\n23\n第7课近代科学与文化\n ......................................................\n28\n第二单元第二次工业革命和近代科学文化第8课第一次世界大战\n ......................................................\n34\n第9课列宁与十月革命\n ......................................................\n39\n第10课 《凡尔赛条约》和《九国公约》 ............................\n43\n第11课苏联的社会主义建设\n ............................................\n47\n第12课亚非拉民族民主运动的高涨\n .................................\n52\n第三单元第一次世界大战和战后初期的世界,859,0,unknown,text-extracted,,2.0,统编版-人民教育出版社_九年级_义务教育教科书·历史九年级下册,1,880,2025-07-21T14:25:08.557Z,2.0,2025-07-17T02:36:51.963Z,九年级,[object Object],人民教育出版社,0.2218091697645601,0.6,0.859,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/历史/统编版-人民教育出版社/九年级/义务教育教科书·历史九年级下册.pdf,统编版-人民教育出版社_九年级_义务教育教科书·历史九年级下册.json,历史,119
统编版-人民教育出版社_九年级_义务教育教科书·历史九年级下册_chunk_2,2,第13课罗斯福新政\n ............................................................\n58\n第14课法西斯国家的侵略扩张\n ........................................\n63\n第15课第二次世界大战\n ....................................................\n67\n第四单元经济大危机和第二次世界大战第16课冷战\n .......................................................................\n74\n第17课二战后资本主义的新变化\n ....................................\n79\n第18课社会主义的发展与挫折\n ........................................\n83\n第19课亚非拉国家的新发展\n ............................................\n87\n第五单元二战后的世界变化第20课联合国与世界贸易组织\n ........................................\n92\n第21课冷战后的世界格局\n ................................................\n97\n第22课不断发展的现代社会\n ..........................................\n102\n第六单元走向和平发展的世界第23课活动课：时事溯源\n ..............................................\n107\n附录世界历史大事年表（下） ..................................................\n109\n译名对照表（下） .............................................................\n111,905,0,unknown,text-extracted,,2.0,统编版-人民教育出版社_九年级_义务教育教科书·历史九年级下册,2,927,2025-07-21T14:25:08.557Z,2.0,2025-07-17T02:36:51.963Z,九年级,[object Object],人民教育出版社,0.19742990654205608,0.6,0.905,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/历史/统编版-人民教育出版社/九年级/义务教育教科书·历史九年级下册.pdf,统编版-人民教育出版社_九年级_义务教育教科书·历史九年级下册.json,历史,119
统编版-人民教育出版社_九年级_义务教育教科书·历史九年级下册_chunk_3,3,第一单元殖民地人民的反抗与资本主义制度的扩展\n19世纪，随着资本主义的进一步发展，世界形势变得更加纷繁复杂。一方面，西方列强的对外扩张与殖民活动激起了殖民地人民的普遍反抗， 拉丁美洲、印度相继爆发了反抗殖民统治、争取民族独立的武装起义；另一方面，19世纪中期资本主义力量进一步增强，俄国、美国和日本走上了迅速发展资本主义的道路。 世界历史九年级下册\n\n随着资本主义的发展，西方列强加紧了对外扩张与殖民活动，激起了殖民地人民的普遍反抗。19世纪，拉丁美洲和印度相继爆发了波澜壮阔的反抗殖民统治、争取民族独立的武装起义。这两地起义的代表人物是谁？ 起义产生了哪些影响？ 第1课殖民地人民的反抗斗争拉丁美洲独立运动拉丁美洲指今天美国以南的所有美洲地区。这一地区大约从16世纪初开始成为西班牙和葡萄牙的殖民地，当地居民以西班牙语和葡萄牙语为主要语言，这两种语言都属拉丁语族，因此，这一地区又被称为“拉丁美洲”。18世纪末19世纪初，拉丁美洲的绝大部分地区仍处于西班牙和葡萄牙的殖民统治之下。 ①\n在300年左右的殖民地时期，拉丁美洲殖民地形成了一个按血统划分阶层的金字塔式的等级社会。印第安人和黑人处于社会最底层，是殖民者役使的主要对象。 他们之上是欧洲人与印第安人或黑人结合所生的后代混血种人。混血种人主要做工匠、小贩和牧民。他们之上是移民的后代土生白人。土生白人主要是地主和商人， 有的充任中下级官吏。最上层是掌握政权的西班牙和葡萄牙的白人殖民者，他们对土生白人也排挤歧视，白人殖民者与土生白人的矛盾日益尖锐。土生白人中的一些人，后来成为独立运动的领导人。 相关史事\n① 除巴西是葡萄牙的殖民地以外，其余地区基本上处于西班牙的殖民统治之下。,718,0,unknown,text-extracted,,2.0,统编版-人民教育出版社_九年级_义务教育教科书·历史九年级下册,3,757,2025-07-21T14:25:08.557Z,2.0,2025-07-17T02:36:51.963Z,九年级,[object Object],人民教育出版社,0.9076704545454546,0.7999999999999999,0.718,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/历史/统编版-人民教育出版社/九年级/义务教育教科书·历史九年级下册.pdf,统编版-人民教育出版社_九年级_义务教育教科书·历史九年级下册.json,历史,119
统编版-人民教育出版社_九年级_义务教育教科书·历史九年级下册_chunk_4,4,第1课殖民地人民的反抗斗争\n\n18世纪末19世纪初，在美国独立战争和法国大革命的影响下， 拉丁美洲掀起了一场反抗殖民统治、争取民族独立的运动。起义烽火燃遍了北起墨西哥、南到阿根廷的广大地区。 在南美洲北部地区，玻利瓦尔宣布解放黑人奴隶，承诺胜利后分给起义士兵土地。大批印第安人、黑人和混血种人参加起义部队。 1819年，玻利瓦尔率领队伍，克服艰难险阻，越过常年积雪的安第斯山脉，打败西班牙军队。玻利瓦尔解放了哥伦比亚、委内瑞拉和厄瓜多尔等地，成立了“大哥伦比亚共和国”。当选总统后，他继续领导南美洲的独立运动。在南美洲南部地区，圣马丁领导了阿根廷、智利和秘鲁的独立运动。他和玻利瓦尔被誉为南美的“解放者”。 玻利瓦尔出生在加拉加斯城，幼年时父母双亡，青年时去欧洲求学，深受法国启蒙思想的影响，立志以解放祖国为己任。他发誓说：“在没有打碎西班牙强加在我们身上的枷锁以前，我的手将不停地打击敌人，我的心将不会平静。”他义无反顾地投身独立运动，与殖民者展开了艰苦卓绝的斗争。他认为“解放者”的称号高于一切，憧憬着建立拉丁美洲各国的联盟。为纪念他的功绩，现在的玻利维亚共和国就是以他的名字命名的。 人物扫描玻利瓦尔（1783—1830）\n拉丁美洲独立运动形势图拉丁美洲独立运动形势图墨\n西哥\n墨西哥湾海地多米尼加委\n哥伦比亚英属圭亚那荷属圭亚那法属圭亚那厄瓜多尔河\n孙马\n亚巴 西秘\n鲁利马阿亚库巧\n（未开发地）\n玻利\n维亚\n巴阿\n根廷\n智利\n圣地亚哥大\n西洋\n洋平\n太乌\n拉圭\n拉圭\n洪都拉斯危地马拉萨尔瓦多尼加拉瓜哥斯达黎加内\n瑞拉\n玻利瓦尔进军路线圣马丁进军路线独立的国家国界波哥大巴\n塔哥\n尼亚,697,0,unknown,text-extracted,,2.0,统编版-人民教育出版社_九年级_义务教育教科书·历史九年级下册,4,768,2025-07-21T14:25:08.557Z,2.0,2025-07-17T02:36:51.963Z,九年级,[object Object],人民教育出版社,0.8947368421052632,0.7999999999999999,0.697,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/历史/统编版-人民教育出版社/九年级/义务教育教科书·历史九年级下册.pdf,统编版-人民教育出版社_九年级_义务教育教科书·历史九年级下册.json,历史,119
统编版-人民教育出版社_九年级_义务教育教科书·历史九年级下册_chunk_5,5,世界历史九年级下册\n\n英国在侵略印度的过程中，雇用当地人当兵，为殖民统治服务，这些人被称为“土兵”。驻印度的英印军队共24万人， 土兵就有20多万。随着英国殖民统治的推进，印度社会的反抗情绪日益高涨。同时，英国殖民者对土兵的态度越来越差， 土兵经常受到英国军官的虐待，土兵的不满也不断加剧。1857年5\n月，驻守密拉特城的土兵率先发动起义，掀开了印度民族大起义的序幕。 相关史事印度民族大起义\n19世纪中期，印度已沦为英国的殖民地。当时，英国完成了工业革命，进一步加强了对印度的经济掠夺和政治压迫。 印度的手工棉纺织业本来很发达，手工棉纺织品大量行销英国。 为了发展本国的棉纺织业，英国从印度进口大量棉花，并向印度倾销机器生产的棉纺织品。印度的手工棉纺织业遭到沉重打击，许多手工业者因此破产。英国殖民者还以种种借口兼并印度王公的领地，规定王公死后若无直系后嗣，其领地就归英国所有。随着在印度统治的稳固，英国殖民者取消了对印度土兵的较优厚待遇，并且不尊重他们的宗教信仰。这些做法激起印度各阶层人民的强烈不满，人们反抗情绪日益高涨。 1857年，印度土兵首先起来反抗英国殖民者，农民、手工业者以及一些被剥夺了权力的印度王公也参加起义，起义浪潮席卷了印度北部和中部。起义军夺取了德里。英军虽然武器先进，但还是用了几个月的时间才攻陷德里。英军乘势进攻章西，年轻的章西女王领导军民与英军展开激战。章西失陷后，她率军转战外地。战斗中，她身先士卒，直到壮烈牺牲。 印度民族大起义形势图章西女王（约1835—1858）,651,0,unknown,text-extracted,,2.0,统编版-人民教育出版社_九年级_义务教育教科书·历史九年级下册,5,691,2025-07-21T14:25:08.557Z,2.0,2025-07-17T02:36:51.963Z,九年级,[object Object],人民教育出版社,0.878125,0.7999999999999999,0.651,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/历史/统编版-人民教育出版社/九年级/义务教育教科书·历史九年级下册.pdf,统编版-人民教育出版社_九年级_义务教育教科书·历史九年级下册.json,历史,119
统编版-人民教育出版社_九年级_义务教育教科书·历史九年级下册_chunk_6,6,第1课殖民地人民的反抗斗争\n5 课后活动\n1. 结合所学知识，想一想：为什么在18世纪末19世纪初，拉丁美洲会出现波澜壮阔的独立运动？ 2. 印度民族大起义产生了什么影响？ /殖民地人民的反抗斗争/\n印度民族大起义沉重打击了英国殖民者，反映了印度民族意识的觉醒。这次起义也是19世纪中期亚洲民族解放运动的一个重要组成部分。 知识拓展英国东印度公司资本主义发展早期，为了组织、发展海外贸易和进行殖民活动，英国、荷兰等西欧国家纷纷组建带有垄断性质的贸易公司，英国东印度公司就是其中最著名的一家。1600年，英国女王伊丽莎白一世颁布命令，特许刚刚成立的英国东印度公司垄断英国与好望角以东各国的贸易。不久，英国东印度公司便在印度沿海建立起贸易据点。后来，英国东印度公司不再是一个简单的贸易公司，它不仅拥有自己的武装，能够直接管理殖民地，还可以在殖民地征税。 18世纪中期，英国击败在印度的最大殖民竞争对手法国。19世纪初期，英国东印度公司已经统治了印度的大部分地区。1757—1815年，英国东印度公司从印度直接掠夺的财富约达10亿英镑。同时，英国东印度公司还向中国贩卖鸦片。印度民族大起义爆发后， 英国政府取消了英国东印度公司对印度的统治权，英国政府直接统治印度。 1858年，英国东印度公司被撤销。 英国东印度公司在伦敦的总部大楼,563,0,unknown,text-extracted,,2.0,统编版-人民教育出版社_九年级_义务教育教科书·历史九年级下册,6,585,2025-07-21T14:25:08.557Z,2.0,2025-07-17T02:36:51.963Z,九年级,[object Object],人民教育出版社,0.8654545454545455,0.7999999999999999,0.563,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/历史/统编版-人民教育出版社/九年级/义务教育教科书·历史九年级下册.pdf,统编版-人民教育出版社_九年级_义务教育教科书·历史九年级下册.json,历史,119
统编版-人民教育出版社_九年级_义务教育教科书·历史九年级下册_chunk_7,7,世界历史九年级下册\n\n17世纪以后，西欧国家发生的一系列革命或改革，促进了本国经济的迅速发展。而俄国盛行农奴制，封闭落后。 为了改变社会经济发展大大落后于西欧国家的状况，俄国的彼得一世与亚历山大二世进行了自上而下的改革。他们的改革措施有哪些？这些措施使俄国发生了什么变化？ 第2课俄国的改革彼得一世改革俄罗斯人的祖先是东斯拉夫人的一支，9世纪晚期在东斯拉夫人活动区域形成基辅罗斯等早期国家，后受拜占庭帝国影响进入基督教文化圈。 13世纪上半叶，该地区被蒙古征服。在反抗蒙古统治的过程中，莫斯科公国崛起，并逐渐兼并其他公国，到16世纪初建立统一的俄罗斯国家。伊凡四世执政时期采用“沙皇”\n①\n称号，强化了专制统治。 在沙皇的专制统治下，俄国盛行农奴制，是一个封闭落后的国家。农业和手工业主要使用农奴劳动，工商业的发展极其缓慢。 彼得一世即位后，决心改变俄国的落后面貌， 实现富国强兵。他发出向西方学习的号召，颁布一系列法令，全面推行改革。 ① “沙皇”一词来自拉丁语“凯撒”，意即皇帝。 俄国地广人稀，劳动力缺乏，地主为了把农民束缚在土地上，竭力加强对他们的人身控制。许多农民不堪忍受地主的剥削，纷纷逃亡。政府的法令规定， 只要农民逃亡的时间不超过5年，地主都可以追回， 后来这个期限延长至15年。 1649年的法典规定，地主可以无限期地追回逃亡农民，还可以追回逃亡农民的妻子儿女。这就使农民及其子孙都成为失去人身自由的农奴。 相关史事,617,0,unknown,text-extracted,,2.0,统编版-人民教育出版社_九年级_义务教育教科书·历史九年级下册,7,646,2025-07-21T14:25:08.557Z,2.0,2025-07-17T02:36:51.963Z,九年级,[object Object],人民教育出版社,0.8833333333333333,0.7999999999999999,0.617,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/历史/统编版-人民教育出版社/九年级/义务教育教科书·历史九年级下册.pdf,统编版-人民教育出版社_九年级_义务教育教科书·历史九年级下册.json,历史,119
统编版-人民教育出版社_九年级_义务教育教科书·历史九年级下册_chunk_8,8,第2课俄国的改革\n\n彼得一世又被称为“彼得大帝”（1682—\n1725年在位）。他敢想敢为，具有强烈的求知欲与冒险精神。他曾亲自操纵船只出海探险，险些坠海溺死。他假扮成水手，随使节团前往西欧各国考察，对西方的科学技术深感兴趣，并虚心学习；他又聘请外国专家、\n工匠和技师到俄国传授技术。 人物扫描彼得一世（1672—1725）\n彼得一世改组行政机构，建立了中央集权的行政体制，进一步加强了沙皇的专制权力。他创建了一支纪律严明的新式常备军，要求贵族必须到军队或行政机构为国家服务，按功劳和才能提拔人才；他鼓励兴办手工工场，准许工场主购买整个村庄的农奴；他推行文化教育，派遣留学生，创办科学院，开办学校，创办报纸；他还提倡人们学习西方的礼节与生活方式。 通过改革，俄国的经济、军事实力大大增强，为对外扩张准备了条件。俄国一跃成为欧洲军事强国。1700—1721年，俄国与瑞典进行战争。俄国获胜， 夺取了波罗的海的出海口，并在战争过程中，营建了新首都\n—圣彼得堡。 15—18世纪俄国疆域的扩张图 \n15-18世纪俄国疆域的扩张图亚 洲鄂 霍次 克海\n西伯\n利亚\n河伏\n尔加\n河塞\n尼叶\n北冰\n洋勒\n拿河\n圣彼得堡波\n罗的\n海莫斯科波\n兰黑\n海里\n海咸海河\n毕鄂\n高加\n索乌\n拉尔\n山欧\n洲瑞 典堪\n俄罗 斯帝 国乌\n克兰\n北美洲\n(1712年前的首都)\n(自1712年起为首都)\n加半\n岛察\n1599—1689年俄国扩占的地区\n1690—1795年俄国扩占的地区洲界1462年的莫斯科公国至1598年俄国扩占的地区,654,0,unknown,text-extracted,,2.0,统编版-人民教育出版社_九年级_义务教育教科书·历史九年级下册,8,731,2025-07-21T14:25:08.557Z,2.0,2025-07-17T02:36:51.963Z,九年级,[object Object],人民教育出版社,0.8036303630363036,0.7999999999999999,0.654,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/历史/统编版-人民教育出版社/九年级/义务教育教科书·历史九年级下册.pdf,统编版-人民教育出版社_九年级_义务教育教科书·历史九年级下册.json,历史,119
统编版-人民教育出版社_九年级_义务教育教科书·历史九年级下册_chunk_9,9,世界历史九年级下册\n\n彼得一世改革以强兵和学习西方科学技术为目标，开启了俄国近代化的进程。但是，在他的统治下，农奴制进一步强化，后来成为俄国社会发展的障碍。 废除农奴制\n19世纪中期，俄国资本主义经济有所发展，使用机器生产的工场越来越多，交通运输与对外贸易也比以前发达。但是，农奴制严重制约了这一时期俄国的经济发展。 在内外交困的情况下，沙皇政府开始酝酿新的改革方案。亚历山大二世认为，与其等农民自下而上起来解放自己，不如自上而下解放农民。1861年，亚历山大二世颁布了废除农奴制的法令。法令规定： 农奴获得人身自由，可以改变身份，自由转换职业；农奴在获得解放的同时，可以获得一份土地，但是必须出钱赎买，所出的价钱高出当时的地价。农奴为此付出了沉重的代价。 贵族宣读“解放”农奴的法令营建新首都圣彼得堡彼得一世死后，俄国政局动荡不安，贵族争权夺利， 沙皇更迭频繁。1762年，叶卡捷琳娜通过宫廷政变篡夺王位，称“叶卡捷琳娜二世”\n（1762—1796年在位）。她实行了一些开明政策，鼓励发展农业和工商业，进一步增强了俄国的实力。她为了取得贵族的支持，极力维护他们的种种特权，将大量国有土地连同农奴赐给贵族。 相关史事\n19世纪上半叶，农奴在俄国全国人口中占很大比重，近40％参加工业生产的劳动者是农奴。农奴世代被束缚在土地上， 不能自由迁徙和务工经商。农村贫困落后， 农奴购买力低，生产率低下，这些影响了国内市场的发展。1853—1856年，俄国同奥斯曼帝国在克里木半岛进行战争，英、\n法支持奥斯曼帝国，俄国战败。这充分暴露了农奴制下俄国军事和经济的落后，同时加剧了俄国国内的社会矛盾。 相关史事,698,0,unknown,text-extracted,,2.0,统编版-人民教育出版社_九年级_义务教育教科书·历史九年级下册,9,735,2025-07-21T14:25:08.557Z,2.0,2025-07-17T02:36:51.963Z,九年级,[object Object],人民教育出版社,0.8594436310395315,0.7999999999999999,0.698,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/历史/统编版-人民教育出版社/九年级/义务教育教科书·历史九年级下册.pdf,统编版-人民教育出版社_九年级_义务教育教科书·历史九年级下册.json,历史,119
