Chunk_ID,Chunk_Index,Content,Content_Length,Quality_Score,Reliability,Source_Type,Original_Content,Enhancement_Version,book_name,chunkIndex,chunkSize,enhancementTimestamp,enhancementVersion,extractedAt,grade,loc_lines,publisher,qualityMetrics_chineseCharRatio,qualityMetrics_coherenceScore,qualityMetrics_lengthScore,qualityMetrics_ocrConfidence,semester,source,source_file,subject,totalPages
统编版-人民教育出版社_八年级_义务教育教科书·历史八年级下册_chunk_0,0,ZHONGGUO LISHI\nYIWU JIAOYU JIAOKESHU\n义务 教育 教科 书八年级下册下册八年级中 国历 史中国历史八年级下册中国历史\n®\n 产品绿色印刷产品定价： 元义务教育教科书全国优秀教材特等奖八年级下册中国历史义务教育教科书\n·北京·\n教育部组织编写总主编齐世荣总 主编：齐世荣本册主编：郭双林李伟科编写人员：（以姓氏笔画为序） 马曙慧王瑞芳李伟科杨雨青张\n 英黄云龙等责任编辑：李倩 殷露露美术编辑：张蓓\n义务教育教科书中国历史八年级下册教育部组织编写出 版 （北京市海淀区中关村南大街 17 号院 1 号楼邮编：100081）\n网址 http://www.pep.com.cn\n重印 \n×××出版社发 行 \n×××\n新华书店印 刷 \n×××\n印刷厂版 次 2017 年 12 月第 1 版印 次年 月第次印刷开 本 787 毫米 ×1\n 092毫米 1/16\n印张 7\n字数 114 千字印 数册\n书号 ISBN 978-7-107-32384-3\n定价 元定价批号：××号审图号：GS（2016）946号版权所有·未经许可不得采用任何方式擅自复制或使用本产品任何部分·违者必究如发现内容质量问题，请登录中小学教材意见反馈平台：jcyjfk.pep.com.cn\n如发现印、装质量问题，影响阅读，请与 ××× 联系调换。电话：×××-××××××××,590,0,unknown,text-extracted,,2.0,统编版-人民教育出版社_八年级_义务教育教科书·历史八年级下册,0,836,2025-07-21T14:25:08.517Z,2.0,2025-07-17T02:36:51.284Z,八年级,[object Object],人民教育出版社,0.6435452793834296,0.7999999999999999,0.59,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/历史/统编版-人民教育出版社/八年级/义务教育教科书·历史八年级下册.pdf,统编版-人民教育出版社_八年级_义务教育教科书·历史八年级下册.json,历史,114
统编版-人民教育出版社_八年级_义务教育教科书·历史八年级下册_chunk_1,1,目录第１课中华人民共和国成立 ...............................................\n\n第２课抗美援朝 ..................................................................\n\n第３课土地改革 ................................................................\n13\n第一单元中华人民共和国的成立和巩固第４课新中国工业化的起步和人民代表大会制度的确立 ........................................................................\n18\n第５课三大改造 ................................................................\n23\n第６课艰辛探索与建设成就 .............................................\n27\n第二单元社会主义制度的建立与社会主义建设的探索第三单元中国特色社会主义道路第7课伟大的历史转折 .....................................................\n34\n第8课经济体制改革 .........................................................\n38\n第9课对外开放 .................................................................\n42\n第10课建设中国特色社会主义 ........................................\n46\n第11课为实现中国梦而努力奋斗 ....................................\n53,839,0,unknown,text-extracted,,2.0,统编版-人民教育出版社_八年级_义务教育教科书·历史八年级下册,1,872,2025-07-21T14:25:08.517Z,2.0,2025-07-17T02:36:51.284Z,八年级,[object Object],人民教育出版社,0.20693928128872366,0.6,0.839,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/历史/统编版-人民教育出版社/八年级/义务教育教科书·历史八年级下册.pdf,统编版-人民教育出版社_八年级_义务教育教科书·历史八年级下册.json,历史,114
统编版-人民教育出版社_八年级_义务教育教科书·历史八年级下册_chunk_2,2,第12课民族大团结 ............................................................\n60\n第13课香港和澳门回归祖国 ............................................\n65\n第14课海峡两岸的交往 ....................................................\n70\n第四单元民族团结与祖国统一第15课钢铁长城 ................................................................\n76\n第16课独立自主的和平外交 ............................................\n81\n第17课外交事业的发展 ....................................................\n85\n第五单元国防建设与外交成就第六单元科技文化与社会生活第18课科技文化成就 ........................................................\n90\n第19课社会生活的变迁 ....................................................\n97\n第20课活动课：生活环境的巨大变化 ............................\n102\n附录中国近现代史大事年表（下） .........................................\n105 第一单元中华人民共和国的成立和巩固中华人民共和国的成立，开创了中国历史的新纪元。经过近代以来一百多年的奋斗，中国人民终于赢得了民族独立，真正成为国家的主人。 中华人民共和国成立时，面临着严峻的内外形势：外部有美国等西方国家的封锁和威胁；内部由于多年战乱，经济残破，困难重重。中国共产党领导中国人民，进行抗美援朝战争，开展土地改革运动，巩固新生的人民共和国，为大规模的经济建设铺平了道路。,895,0,unknown,text-extracted,,2.0,统编版-人民教育出版社_八年级_义务教育教科书·历史八年级下册,2,932,2025-07-21T14:25:08.517Z,2.0,2025-07-17T02:36:51.284Z,八年级,[object Object],人民教育出版社,0.3611111111111111,0.7999999999999999,0.895,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/历史/统编版-人民教育出版社/八年级/义务教育教科书·历史八年级下册.pdf,统编版-人民教育出版社_八年级_义务教育教科书·历史八年级下册.json,历史,114
统编版-人民教育出版社_八年级_义务教育教科书·历史八年级下册_chunk_3,3,˗国ԋԾ М年ጟ ʾв\n矗立在天安门广场的人民英雄纪念碑上，刻着这样的碑文： “三年以来，在人民解放战争和人民革命中牺牲的人民英雄们永垂不朽！三十年以来，在人民解放战争和人民革命中牺牲的人民英雄们永垂不朽！由此上溯到一千八百四十年，从那时起，为了反对内外敌人，争取民族独立和人民自由幸福，在历次斗争中牺牲的人民英雄们永垂不朽！”中国人民经过一百多年前赴后继、英勇不屈的奋斗，终于在中国共产党领导下，迎来了崭新的人民共和国。新中国是怎样筹建起来的？首都、国歌、国旗是怎样确定的？ 中国人民政治协商会议 \n1949年9月，中国人民政治协商会议第一届全体会议在北平隆重召开。中国共产党、各民主党派、\n无党派人士、各人民团体、人民解放军、各地区、\n少数民族、国外华侨以及特邀代表等662人参加会议，讨论成立新中国的问题。 会议决定成立中华人民共和国，通过了《中国人民政治协商会议共同纲领》，它规定：中华人民共和国是新民主主义即人民民主主义国家，实行工人阶级领导的、以工农联盟为基础的、团结各民主阶级和国内各民族的人民民主专政；国家政权属于人民，各级政权机关一律实行民主集中制。中国人民政治协商会议暂时代行将来召开的全国人民代表大会的职权，《中国人民政治协商会议共同纲领》\n第1课中华人民共和国成立人民英雄纪念碑,551,0,unknown,text-extracted,,2.0,统编版-人民教育出版社_八年级_义务教育教科书·历史八年级下册,3,570,2025-07-21T14:25:08.517Z,2.0,2025-07-17T02:36:51.284Z,八年级,[object Object],人民教育出版社,0.8851851851851852,0.7999999999999999,0.551,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/历史/统编版-人民教育出版社/八年级/义务教育教科书·历史八年级下册.pdf,统编版-人民教育出版社_八年级_义务教育教科书·历史八年级下册.json,历史,114
统编版-人民教育出版社_八年级_义务教育教科书·历史八年级下册_chunk_4,4,起临时宪法的作用。 会议选举了中央人民政府委员会，毛泽东当选为中央人民政府主席，朱德、刘少奇、宋庆龄、李济深、张澜、\n高岗为副主席。会议决定改北平为北京，作为新中国的首都；以《义勇军进行曲》为代国歌；以五星红旗为国旗； 采用公元纪年。会议还决定在北京天安门广场建立人民英雄纪念碑，以表示对革命先烈的崇敬和缅怀。 中国人民政治协商会议的成功召开，标志着中国共产党领导的多党合作和政治协商制度正式确立。 中国人民政治协商会议第一届全体会议会场\n1954年，全国人民代表大会召开后，中国人民政治协商会议不再代行全国人民代表大会职权，但政协作为统一战线组织继续存在，成为各民主党派和爱国人士参政议政的舞台。它的主要职能是政治协商、民主监督和参政议政。中国共产党与民主党派实行“长期共存、互相监督、\n肝胆相照、荣辱与共”的方针，受到各民主党派的热烈拥护。中国人民政治协商会议是中国共产党领导的多党合作和政治协商的重要机构，是我国政治生活中发扬社会主义民主的重要形式。 相关史事第1课中华人民共和国成立 4\n˗国ԋԾ М年ጟ ʾв\n开国大典\n1949年10月1日下午，中央人民政府委员会在中南海举行第一次全体会议，国家领导人宣布就职，中央人民政府正式成立。会议推选林伯渠为中央人民政府委员会秘书长，任命周恩来为政务院总理兼外交部部长，毛泽东为中国人民革命军事委员会主席，朱德为中国人民解放军总司令。 相关史事开国大典\n1949年10月1日下午3点，毛泽东等国家领导人登上天安门城楼，首都30万军民齐集天安门广场，隆重举行开国典礼。毛泽东向全世界庄严宣告：“中华人民共和国中央人民政府今天成立了！”他按动电钮，中华人民共和国国旗——五星红旗伴随着《义勇军进行曲》冉冉升起，54门礼炮齐鸣28响。广场上响起暴风雨般的欢呼声，欢庆新中国的诞生。毛泽东宣读了中央人民政府公告，宣布本政府为代表中华人民共和国全国人民的唯一合法政府。,805,0,unknown,text-extracted,,2.0,统编版-人民教育出版社_八年级_义务教育教科书·历史八年级下册,4,836,2025-07-21T14:25:08.517Z,2.0,2025-07-17T02:36:51.284Z,八年级,[object Object],人民教育出版社,0.8770595690747782,0.7999999999999999,0.805,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/历史/统编版-人民教育出版社/八年级/义务教育教科书·历史八年级下册.pdf,统编版-人民教育出版社_八年级_义务教育教科书·历史八年级下册.json,历史,114
统编版-人民教育出版社_八年级_义务教育教科书·历史八年级下册_chunk_5,5,随后，盛大的阅兵式开始。朱德任检阅司令员，聂荣臻任阅兵总指挥。人民海军和陆军部队在《中国人民解放军进行曲》的乐曲声中，以整齐的步伐由东向西通过主席台；人民空军的飞机编队飞过天安门上空，接受检阅。 阅兵式结束后，举行了盛大的群众游行。天安门广场成为欢乐的海洋，庆祝活动一直持续到晚上9点半。 中华人民共和国的成立，开辟了中国历史的新纪元。中国人民经过一百多年的英勇斗争，终于推翻了帝国主义、\n封建主义和官僚资本主义的统治；中国真正成为独立自主的国家，占人类总数四分之一的中国人从此站起来了。新中国的成立，壮大了世界和平民主和社会主义的力量。 第1课中华人民共和国成立中国人民解放军海军接受检阅人民群众在天安门广场欢庆新中国的诞生西藏和平解放西藏自古以来就是中国的领土。1949年开国大典时，居住在青海塔尔寺的西藏宗教领袖之一班禅额尔德尼·确吉坚赞致电毛泽东主席，表示拥护中国共产党和中央人民政府，希望早日解放西藏。人民解放军在解放西南各省以后，一面向西藏进军， 一面力争和平解放西藏。中央人民政府多次希望西藏地方政府派代表到北京谈判。1951年，西藏地方政府派出以阿沛·阿旺晋美为首席代表的代表团到达北京，与中央人民政府谈判。双方经过充分协商谈判，达成《中央人民政府和西藏地方政府关于和平解放西藏办法的协议》，西藏和平解放。至此， 祖国大陆获得统一，各族人民实现了大团结。同年， 人民解放军进驻拉萨，受到西藏各界的热烈欢迎。,611,0,unknown,text-extracted,,2.0,统编版-人民教育出版社_八年级_义务教育教科书·历史八年级下册,5,640,2025-07-21T14:25:08.517Z,2.0,2025-07-17T02:36:51.284Z,八年级,[object Object],人民教育出版社,0.9039735099337748,0.7999999999999999,0.611,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/历史/统编版-人民教育出版社/八年级/义务教育教科书·历史八年级下册.pdf,统编版-人民教育出版社_八年级_义务教育教科书·历史八年级下册.json,历史,114
统编版-人民教育出版社_八年级_义务教育教科书·历史八年级下册_chunk_6,6,˗国ԋԾ М年ጟ ʾв 课后活动\n1．中国人民政治协商会议为新中国成立作了哪些准备?\n2．\n在中国人民政治协商会议第一届全体会议开幕式上， 毛泽东说：“诸位代表先生们，我们有一个共同的感觉， 这就是我们的工作将写在人类的历史上，它将表明：占人类总数四分之一的中国人从此站立起来了。”\n结合《开国大典》《建国大业》等影片，谈谈你对中华人民共和国成立让“中国人从此站立起来了”的理解。 /中华人民共和国成立/ 知识拓展国歌、国旗、国徽的由来新中国成立前，新政协筹备会向国内外发出了征集国歌词谱、国旗和国徽图案的启事，得到热烈响应。 著名画家徐悲鸿推荐以电影《风云儿女》的主题歌曲《义勇军进行曲》作为国歌。这首歌的歌词为：“起来！不愿做奴隶的人们！把我们的血肉，筑成我们新的长城！中华民族到了最危险的时候，每个人被迫着发出最后的吼声。起来！ 起来！起来！我们万众一心，冒着敌人的炮火前进！冒着敌人的炮火前进！前进！前进！进！”有人提出歌词中“中华民族到了最危险的时候”是否过时，周恩来认为这首歌在历史上起过巨大的作用，尽管现在新中国成立了，但今后还可能有战争，还要进行艰苦卓绝的斗争，因此还要居安思危，还是用原词。这样， 政协会议决定在中华人民共和国国歌未正式制定之前，将这首田汉作词、聂耳作曲的《义勇军进行曲》作为代国歌。1982年，第五届全国人民代表大会第五次会议正式将它定为国歌。 政协会议在应征的数千件国旗图案中，对上海的曾联松设计的五星红旗图案进行修改，然后将它确定为国旗图案。五星红旗象征全国人民在共产党领导下的大团结。 7\n第1课中华人民共和国成立国徽图案因应征的方案不够理想，便邀请专家另行设计。1950年6月，国徽审查小组确定了著名建筑学家梁思成、林徽因等人设计的国徽方案。国徽中间是五星照耀下的天安门，周围是谷穗\n①\n和齿轮。它象征中国人民自五四运动以来的新民主主义革命斗争和工人阶级领导的、以工农联盟为基础的人民民主专政的新中国的诞生。 ① 最初表述为麦稻穗，1954年《中华人民共和国宪法》中改为谷穗。 中华人民共和国国徽中华人民共和国国旗,879,0,unknown,text-extracted,,2.0,统编版-人民教育出版社_八年级_义务教育教科书·历史八年级下册,6,908,2025-07-21T14:25:08.517Z,2.0,2025-07-17T02:36:51.284Z,八年级,[object Object],人民教育出版社,0.8704784130688448,0.7999999999999999,0.879,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/历史/统编版-人民教育出版社/八年级/义务教育教科书·历史八年级下册.pdf,统编版-人民教育出版社_八年级_义务教育教科书·历史八年级下册.json,历史,114
统编版-人民教育出版社_八年级_义务教育教科书·历史八年级下册_chunk_7,7,˗国ԋԾ М年ጟ ʾв\n第2课抗美援朝抗美援朝，保家卫国\n1950年6月25日，朝鲜内战爆发。美国政府作出武装干涉朝鲜内战的决定，并派遣第七舰队侵入台湾海峡。1950年10月初，美军不顾中国政府一再警告，悍然越过三八线，把战火烧到中朝边境。侵朝美军飞机多次轰炸中国东北边境地区，给人民生命财产造成严重损失，我国安全面临严重威胁。 1950年10月，应朝鲜党和政府请求，中国党和政府决定入朝作战。毛泽东派遣以彭德怀为司令员兼政治委员的中国人民志愿军开赴朝鲜战场，抗美援朝，保家卫国，与朝鲜军民并肩作战。 雄赳赳，气昂昂，跨过鸭绿江！ 保和平，卫祖国，就是保家乡！ 中国好儿女，齐心团结紧，抗美援朝打败美帝野心狼！ 这首战歌激励着中国人民志愿军奔赴朝鲜前线。他们为了抗美援朝、保家卫国，与朝鲜军民并肩作战，在与敌人浴血奋战中涌现出无数可歌可泣的战斗英雄。你想知道他们的英勇事迹吗？ 9\n中国人民举行声讨美国侵略罪行、\n支持抗美援朝的示威游行中国人民志愿军跨过鸭绿江材料研读我们不出兵让敌人压至鸭绿江边，国内国际反动气焰增高，则对各方都不利，首先是对东北更不利，整个东北边防军将被吸住，南满电力将被控制。......总之，我们认为应当参战，必须参战。参战利益极大，不参战损害极大。 —毛泽东《中国人民志愿军应当和必须入朝参战》\n结合这段文字，思考中国人民志愿军抗美援朝的必要性。 第2课抗美援朝\n1950年10月19日夜，中国人民志愿军隐蔽地开进朝鲜。25日晚，志愿军某团在朝鲜北部与敌军遭遇，歼灭敌军一个营，首战告捷。后来，10月25日被定为抗美援朝纪念日。 相关史事美国根本没有料到中国会出兵参战。“联合国军”总司令麦克阿瑟扬言要在两个星期内结束朝鲜战争，回美国去过圣诞节。中国人民志愿军同朝鲜军民并肩作战，连续发动五次大规模战役， 把美国侵略军赶回到三八线附近。,781,0,unknown,text-extracted,,2.0,统编版-人民教育出版社_八年级_义务教育教科书·历史八年级下册,7,818,2025-07-21T14:25:08.517Z,2.0,2025-07-17T02:36:51.284Z,八年级,[object Object],人民教育出版社,0.8479685452162516,0.7999999999999999,0.781,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/历史/统编版-人民教育出版社/八年级/义务教育教科书·历史八年级下册.pdf,统编版-人民教育出版社_八年级_义务教育教科书·历史八年级下册.json,历史,114
统编版-人民教育出版社_八年级_义务教育教科书·历史八年级下册_chunk_8,8,10\n˗国ԋԾ М年ጟ ʾв\n战斗英雄黄继光和邱少云在朝鲜战场上，志愿军将士面对强大而凶狠的作战对手，身处恶劣而残酷的战场环境，抛头颅、洒热血， 以“钢少气多”力克“钢多气少”，谱写了惊天地、泣鬼神的雄壮史诗。志愿军将士冒着枪林弹雨勇敢冲锋， 顶着狂轰滥炸坚守阵地，用胸膛堵枪眼，以身躯作人梯，抱起炸药包、手握爆破筒冲入敌群，忍饥受冻绝不退缩，烈火烧身岿然不动， 敢于“空中拼刺刀”。在他们中涌现出黄继光、邱少云等30多万名英雄功臣和近\n6000个功臣集体。 1952年10月，美国侵略军发动上甘岭战役。上甘岭是五圣山的主要阵地，它的得失关系到整个中部战线的安危。这个战役历时\n40多天，敌人先后投入6万多兵力，向不足\n4平方千米的我军阵地上，倾泻近200万颗炸弹和炮弹，使上甘岭化为一片焦土，山头高度被削低2米。志愿军坚守阵地，击退敌军\n900多次冲击，最终取得上甘岭战役的胜利。 黄继光是上甘岭战役中的一位战斗英雄。 在一次战斗中，黄继光所在的营奉命去夺取一个被敌人占领的高地。当冲锋部队遭到敌人火力阻击时，黄继光在已经受伤、手榴弹用尽的情况下，奋不顾身地冲了上去，用自己的胸膛堵住敌人的机枪射口，为战友开辟中国人民志愿军第一至第三次战役示意图坚守上甘岭阵地的志愿军某部近战歼敌中华人民共和国汉城安东新义州平壤楚山\n（集安）\n（丹东）\n临江上甘岭东 朝鲜 湾日\n本海\n海黄\n38。 38。 八下p8\n辑安绿\n鸭江\n中国人民志愿军入朝路线\n“联合国军”进攻方向中国人民志愿军第一次战役进攻方向中国人民志愿军第二次战役进攻方向中国人民志愿军第三次战役进攻方向歼敌地区中国人民志愿军第1～3次战役示意图国界,702,0,unknown,text-extracted,,2.0,统编版-人民教育出版社_八年级_义务教育教科书·历史八年级下册,8,751,2025-07-21T14:25:08.517Z,2.0,2025-07-17T02:36:51.284Z,八年级,[object Object],人民教育出版社,0.8590504451038575,0.7999999999999999,0.702,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/历史/统编版-人民教育出版社/八年级/义务教育教科书·历史八年级下册.pdf,统编版-人民教育出版社_八年级_义务教育教科书·历史八年级下册.json,历史,114
统编版-人民教育出版社_八年级_义务教育教科书·历史八年级下册_chunk_9,9,11\n黄继光邱少云了前进道路，自己英勇牺牲。 与上甘岭战役同时，志愿军某团准备夺取敌人的一个高地。为缩短攻击距离，保证战斗发起的突然性，邱少云所在的排，奉命于晚上潜伏在距离敌人只有60米的山脚下，准备配合第二天晚上大部队的进攻。不料，敌人的炮火燃起烈火，烧到邱少云身上。为了保证战斗的胜利和潜伏部队的安全，邱少云严守潜伏纪律，纹丝不动，直至被大火吞噬，壮烈牺牲。 中国人民志愿军在抗美援朝战争中，发扬高度的爱国主义、革命英雄主义、\n革命乐观主义、革命忠诚及国际主义精神，锻造了伟大的抗美援朝精神。他们被誉为“最可爱的人”。经过艰苦卓绝的战斗，1953年7月，美国不得不在停战协定上签字。中朝军队打败了武装到牙齿的对手，打破了美军不可战胜的神话。 伟大的抗美援朝战争，抵御了帝国主义侵略扩张，捍卫了新中国安全，保卫了中国人民和平生活；稳定了朝鲜半岛局势，维护了亚洲和世界和平，大大提高了我国的国际地位。抗美援朝战争伟大胜利，是中国人民站起来后屹立于世界东方的宣言书，是中华民族走向伟大复兴的重要里程碑。 朝鲜战争的作战双方在板门店签署停战协定的场景第2课抗美援朝,480,0,unknown,text-extracted,,2.0,统编版-人民教育出版社_八年级_义务教育教科书·历史八年级下册,9,492,2025-07-21T14:25:08.517Z,2.0,2025-07-17T02:36:51.284Z,八年级,[object Object],人民教育出版社,0.8924050632911392,0.7999999999999999,0.48,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/历史/统编版-人民教育出版社/八年级/义务教育教科书·历史八年级下册.pdf,统编版-人民教育出版社_八年级_义务教育教科书·历史八年级下册.json,历史,114
