Chunk_ID,Chunk_Index,Content,Content_Length,Quality_Score,Reliability,Source_Type,Original_Content,Enhancement_Version,book_name,chunkIndex,chunkSize,enhancementTimestamp,enhancementVersion,extractedAt,grade,loc_lines,publisher,qualityMetrics_chineseCharRatio,qualityMetrics_coherenceScore,qualityMetrics_lengthScore,qualityMetrics_ocrConfidence,semester,source,source_file,subject,totalPages
鲁教版-山东教育出版社_九年级_义务教育教科书·化学九年级下册_chunk_0,0,第十单元化学与健康第一节食物中的有机物第二节化学元素与人体健康第三节远离有毒物质\n⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯ 78\n⋯⋯⋯⋯⋯⋯⋯⋯ 83\n⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯ 87\n第十一单元化学与社会发展第一节化学与能源开发第二节化学与材料研制第三节化学与农业生产第四节化学与环境保护 ⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯ 94\n⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯ 99\n⋯⋯⋯⋯⋯⋯⋯⋯⋯ 104\n⋯⋯⋯⋯⋯⋯⋯⋯⋯ 108\n\n第一节酸及其性质你一定知道食醋的味道，也一定用过洗衣粉。事实上，在生活中你已经接触了许多酸和碱。无论是在化学世界里，还是在日常生活中，酸和碱都是两类广泛存在而又非常重要的物质。什么样的物质是酸，什么样的物质是碱？酸和碱对我们的身体健康和日常生活有哪些影响？酸碱中和是一种什么样的过程？⋯⋯学习了本单元的内容之后，你就会找到这些问题的答案。 7.1 酸及其性质\n▲ 常见的酸\n▲ 酸的化学性质\n7.2 碱及其性质\n▲ 常见的碱\n▲ 碱的化学性质第七单元\n7.3 溶液的酸碱性\n▲ 如何检验溶液的酸碱性\n▲ 怎样判断溶液酸碱性的强弱\n▲ 物质的酸碱性对生命活动的意义\n7.4 酸碱中和反应\n▲\n 中和反应\n▲ 中和反应的应用到实验室去：探究酸和碱的化学性质常见的酸和碱\n\n第七单元常见的酸和碱第一节酸及其性质在日常生活中，我们常会接触一些有酸味的物质，如食醋、西红柿和柠檬汁等。化学家研究了这些物质，发现它们都含有一类组成和性质相似的化合物，称之为酸。酸溶于水后都能解离出相同的阳离子——氢离子（H\n+\n）。 一、 常见的酸闻气味的方法 7-1\n认识浓盐酸和浓硫酸阅读浓盐酸和浓硫酸试剂瓶标签上的内容，并观察浓盐酸和浓硫酸的颜色和状态。分别打开浓盐酸和浓硫酸试剂瓶瓶塞，你观察到什么现象？闻一闻它们是否有气味？ 注意： 1 . 酸有强烈的腐蚀性，使用时一定要小心，避免沾到皮肤或衣物上。 2. 闻气味时不可凑近瓶口， 要小心地打开瓶塞，用手在瓶口处轻轻扇动，仅使极少量的气体飘进鼻孔。 将观察、阅读、思考的结果填在下表中，并与同学们交流。 颜色状态气味密度溶质质量分数打开瓶塞时的现象其他浓盐酸浓硫酸\n\n+\n\n第一节酸及其性质,903,0,unknown,text-extracted,,2.0,鲁教版-山东教育出版社_九年级_义务教育教科书·化学九年级下册,1,994,2025-07-21T14:25:09.733Z,2.0,2025-07-17T02:36:28.240Z,九年级,[object Object],鲁教版,0.8090692124105012,0.7999999999999999,0.903,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/化学/鲁教版-山东教育出版社/九年级/义务教育教科书·化学九年级下册.pdf,鲁教版-山东教育出版社_九年级_义务教育教科书·化学九年级下册.json,化学,127
鲁教版-山东教育出版社_九年级_义务教育教科书·化学九年级下册_chunk_1,1,第一节酸及其性质 7-1\n浓盐酸是无色液体，有刺激性气味，易挥发，在空气中会形成白雾，这是因为浓盐酸挥发出来的氯化氢气体跟空气里的水蒸气接触，形成盐酸小液滴的缘故。工业用浓盐酸因含有少量杂质而略带黄色。浓盐酸有强烈的腐蚀性。 纯净的浓硫酸是没有颜色、黏稠、油状的液体， 不容易挥发。浓硫酸具有吸水性和强烈的腐蚀性，在使用时应十分小心。如果不慎将浓硫酸沾到皮肤上， 应立即用大量的水冲洗，然后涂上3%〜5%的碳酸氢钠溶液，以防灼伤皮肤。 在化学实验中，我们往往要根据实际需要，稀释浓盐酸或浓硫酸来配制一定溶质质量分数的稀盐酸或稀硫酸。在稀释浓硫酸时，一定要把浓硫酸沿器壁慢慢注入水里，并不断搅拌。切不可将水倒进浓硫酸里！ 除盐酸和硫酸外，常见的酸还有硝酸（HNO\n\n）、\n醋酸（CH\n\nCOOH）和碳酸（H\n\nCO\n\n）等。 二、酸的化学性质盐酸能与哪些物质发生化学反应请利用下列物质（经老师同意后可以增加其他物质），探究盐酸的化学性质：镁条、生锈铁钉、碳酸钠、氯化钡溶液、硝酸银溶液、紫色石蕊试液、酚酞试液。 1. 在2支试管中分别加入少量稀盐酸，然后分别滴入几滴紫色石蕊试液和无色酚酞试液，观察并记录现象。 操作取少量稀盐酸，滴入石蕊试液取少量稀盐酸，滴入酚酞试液现象\n2. 向分别盛有镁条、碳酸钠（N a\n\nC O\n\n）粉末、生锈铁钉、硝酸银（A g N O\n\n）溶液、氯化钡（BaCl\n\n）溶液的5支试管中各加入少量稀盐酸，观察并记录现象。 稀释浓硫酸不断搅拌浓硫酸水,637,0,unknown,text-extracted,,2.0,鲁教版-山东教育出版社_九年级_义务教育教科书·化学九年级下册,2,678,2025-07-21T14:25:09.733Z,2.0,2025-07-17T02:36:28.240Z,九年级,[object Object],鲁教版,0.831946755407654,0.7999999999999999,0.637,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/化学/鲁教版-山东教育出版社/九年级/义务教育教科书·化学九年级下册.pdf,鲁教版-山东教育出版社_九年级_义务教育教科书·化学九年级下册.json,化学,127
鲁教版-山东教育出版社_九年级_义务教育教科书·化学九年级下册_chunk_2,2,第七单元常见的酸和碱物质镁条碳酸钠粉末生锈铁钉硝酸银溶液氯化钡溶液加入稀盐酸后的现象实验证明：盐酸可以使石蕊试液变红；金属镁、\n碳酸钠、铁锈〔主要成分为氧化铁（Fe\n\n\n\n）〕、硝酸银溶液都能在常温下与盐酸发生反应，化学方程式分别为： Mg + 2HCl MgCl\n2 + H\n\n↑ Na\n\nCO\n3 + 2HCl 2NaCl + H\n\nO + CO\n\n↑ Fe\n\n\n3 + 6HCl 2FeCl\n3 + 3H\n\nO （氯化铁） AgNO\n3 + HCl AgCl↓ + HNO\n\n除锈后的铁钉能继续与盐酸反应： Fe + 2HCl FeCl\n2 + H\n\n↑ （氯化亚铁）\n盐酸不能与氯化钡溶液发生反应。 像 Na\n\nCO\n\n、BaCl\n\n、MgCl\n\n、NaCl、FeCl\n\n等均是由金属阳离子和酸根阴离子构成的化合物，化学上把这类化合物称为盐。 7-2\n硫酸与盐酸性质的比较若用稀硫酸代替稀盐酸与镁条、碳酸钠粉末和生锈的铁钉反应，你会观察到哪些现象？ 1. 请你试着写出有关反应的化学方程式。 2. 某实验小组的同学得出了这样的结论：酸具有相似的化学性质。请你帮助他们总结一下酸有哪些相似的化学性质。 盐酸与硝酸银之间发生的反应，形式上是两种化合物互相交换成分生成另外两种化合物。这类化学反应叫作\n复分解反应。,558,0,unknown,text-extracted,,2.0,鲁教版-山东教育出版社_九年级_义务教育教科书·化学九年级下册,3,700,2025-07-21T14:25:09.733Z,2.0,2025-07-17T02:36:28.240Z,九年级,[object Object],鲁教版,0.6848739495798319,0.7999999999999999,0.558,0.9,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/化学/鲁教版-山东教育出版社/九年级/义务教育教科书·化学九年级下册.pdf,鲁教版-山东教育出版社_九年级_义务教育教科书·化学九年级下册.json,化学,127
鲁教版-山东教育出版社_九年级_义务教育教科书·化学九年级下册_chunk_3,3,7-2\n硫酸与盐酸性质的比较若用稀硫酸代替稀盐酸与镁条、碳酸钠粉末和生锈的铁钉反应，你会观察到哪些现象？ 1. 请你试着写出有关反应的化学方程式。 2. 某实验小组的同学得出了这样的结论：酸具有相似的化学性质。请你帮助他们总结一下酸有哪些相似的化学性质。 盐酸与硝酸银之间发生的反应，形式上是两种化合物互相交换成分生成另外两种化合物。这类化学反应叫作\n复分解反应。 5\n第一节酸及其性质为什么酸具有相似的化学性质呢？那是因为它们在溶于水时，都解离出了共同的阳离子——氢离子， 正是由于氢离子的存在，导致它们具有以下相似的化学性质，称作酸的通性。 （1）能使紫色石蕊试液变红； （2）能与某些金属氧化物反应，生成盐和水； （3）能与某些金属反应，生成盐和氢气； （4）能与部分盐反应，生成新的酸和新的盐。 当然，由于不同的酸溶于水时解离出的酸根阴离子不同，其性质也存在差异。例如，硫酸能与氯化钡\n（BaCl\n\n）反应，生成白色的硫酸钡（BaSO\n\n）沉淀， 而盐酸不能。 BaCl\n\n + H\n\nSO\n4 BaSO\n\n↓+ 2HCl\n酸的这些性质，在生活、生产和科学研究中有着广泛的应用。 常见酸的主要用途名称主要用途浓硫酸\n70%以上用于生产化肥，其余用于农药、炸药、医药、\n染料及冶金、石油化工、轻工、纺织等生产领域浓盐酸制药、作除锈剂等浓硝酸生产化肥、炸药、染料、医药、橡胶、塑料及冶金、化工等领域\n\n1. 酸溶液中都含有氢离子（H\n+\n），因此酸具有相似的化学性质。 2. 盐酸、硫酸等是重要的酸，具有广泛的用途。 3. 两种化合物互相交换成分，生成另外两种化合物的反应，叫作复分解反应。 6\n第七单元常见的酸和碱,710,0,unknown,text-extracted,,2.0,鲁教版-山东教育出版社_九年级_义务教育教科书·化学九年级下册,4,748,2025-07-21T14:25:09.733Z,2.0,2025-07-17T02:36:28.240Z,九年级,[object Object],鲁教版,0.8157099697885196,0.7999999999999999,0.71,0.95,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/化学/鲁教版-山东教育出版社/九年级/义务教育教科书·化学九年级下册.pdf,鲁教版-山东教育出版社_九年级_义务教育教科书·化学九年级下册.json,化学,127
鲁教版-山东教育出版社_九年级_义务教育教科书·化学九年级下册_chunk_4,4,1. 酸溶液中都含有氢离子（H\n+\n），因此酸具有相似的化学性质。 2. 盐酸、硫酸等是重要的酸，具有广泛的用途。 3. 两种化合物互相交换成分，生成另外两种化合物的反应，叫作复分解反应。 6\n第七单元常见的酸和碱 1. 请判断下列叙述是否正确，用“√”和“×”标示。 a. 浓硫酸在空气中会形成白雾（ ）\nb. 酸溶液能使紫色石蕊试液变红（ ）\nc. 酸溶液中都含有氢离子（H\n+\n）（ ）\n2. 下列图示是物质X溶于水发生解离的微观示意图，其中能说明X是一种酸的为\n（ ）。 3. 写出下列反应的化学方程式： （1）碳酸钙和盐酸\n（2）氧化铁和稀硫酸\n（3）镁和稀硫酸\n（4）稀硫酸和氯化钡溶液\n4. 根据浓盐酸和浓硫酸的性质，推测在实验室中应如何保存浓盐酸和浓硫酸。 5. 不同的酸具有相似的化学性质，是由什么原因决定的？同属于酸，盐酸与氯化钡不发生反应，而硫酸则会与氯化钡反应产生白色沉淀，这又是为什么？ A.\nC.\nB.\nD.\n\n+\nSO\n\n2-\nNa\n+\n\n+\nAc\n-\nBa\n2+\nOH\n-\n\n+\n\n-\n\n\n\n\nOH\n-\n\n第二节碱及其性质认识氢氧化钠和氢氧化钙各取适量固体氢氧化钠（NaOH）和氢氧化钙，分别放入小烧杯中。完成下列实验： 1. 观察它们的颜色和状态。 2. 露置在空气中一段时间，再观察它们颜色和状态的变化。 3. 向两只小烧杯中分别加入少量水，振荡，观察它们的溶解情况。用手触摸烧杯外壁。 4. 把一根头发放入试管中，向试管里加入上述实验中得到的氢氧化钠溶液\n①， 加热煮沸2〜3 min，观察头发的变化。 请将你观察到的现象填在下表中： 颜色状态露置在空气中的变化在水中的溶解情况头发在其中的变化其他氢氧化钠氢氧化钙 7-3\n第二节碱及其性质与酸一样，碱也是一类重要的化合物。在前面的学习中，我们接触到的石灰水中的溶质氢氧化钙〔Ca（OH）\n\n〕就是一种碱。这类化合物溶于水后都能产生一种共同的阴离子——氢氧根离子（OH\n－\n）。 一、常见的碱\nOH\n-\n注意： 为防止被腐蚀， 取用固体碱时要特别小心，切勿用手拿！ ① 为使头发的变化现象明显，建议使用20%以上的氢氧化钠溶液。 8\n第七单元常见的酸和碱,921,0,unknown,text-extracted,,2.0,鲁教版-山东教育出版社_九年级_义务教育教科书·化学九年级下册,5,984,2025-07-21T14:25:09.733Z,2.0,2025-07-17T02:36:28.240Z,九年级,[object Object],鲁教版,0.7745454545454545,0.7999999999999999,0.921,0.95,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/化学/鲁教版-山东教育出版社/九年级/义务教育教科书·化学九年级下册.pdf,鲁教版-山东教育出版社_九年级_义务教育教科书·化学九年级下册.json,化学,127
鲁教版-山东教育出版社_九年级_义务教育教科书·化学九年级下册_chunk_5,5,第七单元常见的酸和碱 7-2\n氢氧化钠和氢氧化钙的化学性质请完成下列实验。当然，经老师同意，你还可以选用其他物质进行实验。 1. 在2支试管中各加入少量氢氧化钠溶液，然后分别滴入几滴紫色石蕊试液和无色酚酞试液；另取2支试管，各加入少量氢氧化钙溶液，然后分别滴入几滴紫色石蕊试液和无色酚酞试液。观察并记录现象。 滴入石蕊试液后的现象滴入酚酞试液后的现象氢氧化钠溶液氢氧化钙溶液工业上通过高温煅烧石灰石来生产氧化钙： CaCO\n3 高温 CaO + CO\n\n↑\n氢氧化钠是白色固体，易溶于水，溶解时放出热量。暴露在空气中的固体氢氧化钠容易吸收空气中的水蒸气而逐渐溶解。 氢氧化钠俗称烧碱、火碱或苛性钠，对皮肤、纸张、织物等有强烈的腐蚀性。在使用氢氧化钠时，必须十分小心！防止眼睛、皮肤、衣服等被腐蚀。如果不慎沾在皮肤上，要立即用大量的水冲洗，然后涂上硼酸溶液。 氢氧化钙是熟石灰或消石灰的主要成分，是一种白色粉末状物质，微溶于水，其水溶液俗称石灰水。 氢氧化钙对皮肤、衣服等有腐蚀作用。 熟石灰可由生石灰（主要成分是氧化钙）和水反应生成，反应过程中放出大量的热。反应的化学方程式为： CaO + H\n\nO Ca（OH）\n\n除氢氧化钠、氢氧化钙外，常用的碱还有氢氧化钾（KOH）等。 二、碱的化学性质,547,0,unknown,text-extracted,,2.0,鲁教版-山东教育出版社_九年级_义务教育教科书·化学九年级下册,6,598,2025-07-21T14:25:09.733Z,2.0,2025-07-17T02:36:28.240Z,九年级,[object Object],鲁教版,0.8480769230769231,0.7999999999999999,0.547,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/化学/鲁教版-山东教育出版社/九年级/义务教育教科书·化学九年级下册.pdf,鲁教版-山东教育出版社_九年级_义务教育教科书·化学九年级下册.json,化学,127
鲁教版-山东教育出版社_九年级_义务教育教科书·化学九年级下册_chunk_6,6,第二节碱及其性质\n2. 在3支试管中分别放入生锈铁钉、氯化铜溶液、碳酸钠溶液，然后再向试管中分别加入少量氢氧化钠溶液。观察并记录现象。 3. 另取3支试管，分别放入生锈铁钉、氯化铜溶液、碳酸钠溶液，然后再向试管中分别加入少量澄清石灰水。观察并记录现象。 生锈铁钉氯化铜溶液碳酸钠溶液加入氢氧化钠溶液后的现象加入氢氧化钙溶液后的现象\n4. 向2个盛有二氧化碳气体的矿泉水瓶里分别加入少量氢氧化钠溶液和氢氧化钙溶液，立即盖紧瓶盖，振荡，观察现象。 氢氧化钠溶液氢氧化钙溶液思考： 有的同学认为，“实验4中矿泉水瓶变瘪，不足以证明二氧化碳和氢氧化钠或氢氧化钙溶液发生了化学反应，因为二氧化碳溶解在水中也会产生类似的现象”。 你同意这种观点吗？ 实验证明：氢氧化钠溶液和氢氧化钙溶液都能使紫色石蕊试液变蓝，使无色酚酞试液变红；都能与氯化铜溶液发生化学反应，生成蓝色氢氧化铜沉淀。 2NaOH + CuCl\n2 Cu（OH）\n\n↓ + 2NaCl\n Ca（OH）\n2 + CuCl\n2 Cu（OH）\n\n↓ + CaCl\n\n氢氧化钠溶液和氢氧化钙溶液都能与二氧化碳发生化学反应。 2NaOH + CO\n2 Na\n\nCO\n3 + H\n\nO Ca（OH）\n2 + CO\n2 CaCO\n\n↓ + H\n\n\n10\n第七单元常见的酸和碱碱溶液中都含有氢氧根离子，正是氢氧根离子的存在导致碱具有以下相似的化学性质，称作碱的通性。 （1）能使紫色石蕊试液变蓝，使无色酚酞试液变红； （2）能与某些非金属氧化物反应，生成盐和水； （3）能与某些盐反应生成另一种盐和另一种碱。 当然，由于不同的碱溶于水时解离出的阳离子不同，其性质也存在差异。例如：氢氧化钙溶液能与碳酸钠溶液反应生成白色的碳酸钙沉淀，而氢氧化钠却不能。 Ca（OH）\n2 + Na\n\nCO\n3 CaCO\n\n↓ + 2NaOH\n碱的这些性质，在生活、生产和科学研究中有着广泛的应用。 常见碱的主要用途名称主要用途烧碱造纸、印染、炼油、制造化学纤维、生产橡胶等熟石灰生产农药、漂白剂，土木建筑、改良土壤等,867,0,unknown,text-extracted,,2.0,鲁教版-山东教育出版社_九年级_义务教育教科书·化学九年级下册,7,960,2025-07-21T14:25:09.733Z,2.0,2025-07-17T02:36:28.240Z,九年级,[object Object],鲁教版,0.769620253164557,0.7999999999999999,0.867,0.95,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/化学/鲁教版-山东教育出版社/九年级/义务教育教科书·化学九年级下册.pdf,鲁教版-山东教育出版社_九年级_义务教育教科书·化学九年级下册.json,化学,127
鲁教版-山东教育出版社_九年级_义务教育教科书·化学九年级下册_chunk_7,7,写出下列反应的化学方程式： （1）氢氧化钾溶液与氯化铜溶液反应； （2）氢氧化钾溶液与二氧化碳反应。 11\n第二节碱及其性质\n\n1. 氢氧化钠和氢氧化钙等是重要的碱，具有广泛的用途。 2. 碱溶液中都含氢氧根离子（OH\n-\n），因此碱具有相似的化学性质。 1. 写出下列反应的化学方程式： （1）氢氧化钙与碳酸钠溶液\n（2）氢氧化钙溶液与二氧化碳\n（3）氢氧化钠溶液与氯化铜溶液\n（4）氢氧化钠溶液与二氧化碳\n2. 实验室中有两瓶失去标签的无色溶液，已知它们分别是稀盐酸和氢氧化钙溶液，你能用哪些方法将二者区分开？ 写出有关反应的化学方程式。 3. 某些食品包装袋中装有干燥剂，其主要成分为氧化钙。你知道氧化钙为什么可以作干燥剂吗？请写出有关反应的化学方程式。 4. 根据氢氧化钠的性质，推测实验室中应如何保存氢氧化钠固体和氢氧化钠溶液。 5. 对比一下氧气与酸碱性质的学习，在思路和方法上有何相似与不同？ 12\n第七单元常见的酸和碱第三节溶液的酸碱性我们已经知道，酸溶液中都含有大量的H\n+，表现出酸性；碱溶液中都含有大量的OH\n-，表现出碱性。 那么，化学上使用什么办法识别某种溶液是酸性还是碱性溶液？如何判断一种溶液的酸碱性强弱程度？ 一、如何检验溶液的酸碱性酸或碱的各种通性都可以作为我们判断溶液是呈酸性还是呈碱性的依据，常用的方法是：将石蕊试液或酚酞试液滴加到待检验的溶液中，根据试液的颜色变化情况来判断溶液的酸碱性。 7-3\n酸碱指示剂在不同溶液中的颜色变化在6支试管（或点滴板）中分别加入少量白醋、柠檬汁、石灰水、肥皂水、食盐水和蔗糖水；然后向其中分别加入几滴紫色石蕊试液。观察溶液颜色的变化。 在另外6支试管（或点滴板）中分别加入少量上述6\n种物质；然后向其中分别加入几滴无色酚酞试液。观察溶液颜色的变化。 白醋柠檬汁石灰水肥皂水食盐水蔗糖水加入石蕊试液后溶液的颜色加入酚酞试液后溶液的颜色间接观察： 借助酸碱指示剂，通过观察试液颜色的变化，能帮助人们确定溶液的酸碱性，这种方法属于间接观察法。 酸碱指示剂有许多物质像石蕊试液一样，遇到酸或碱时能发生特定的颜色变化，化学上把这类物质叫作酸碱指示剂。 常用的酸碱指示剂有紫色石蕊试液和无色酚酞试液等。,932,0,unknown,text-extracted,,2.0,鲁教版-山东教育出版社_九年级_义务教育教科书·化学九年级下册,8,986,2025-07-21T14:25:09.733Z,2.0,2025-07-17T02:36:28.240Z,九年级,[object Object],鲁教版,0.8789237668161435,0.7999999999999999,0.932,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/化学/鲁教版-山东教育出版社/九年级/义务教育教科书·化学九年级下册.pdf,鲁教版-山东教育出版社_九年级_义务教育教科书·化学九年级下册.json,化学,127
鲁教版-山东教育出版社_九年级_义务教育教科书·化学九年级下册_chunk_8,8,13\n第三节溶液的酸碱性实验表明，可以用酸碱指示剂检验溶液的酸碱性。紫色石蕊试液遇到酸性溶液变成红色，遇到碱性溶液变成蓝色；无色酚酞试液遇到酸性溶液不变色， 遇到碱性溶液变成红色。紫色石蕊试液和无色酚酞试液遇到中性溶液都不变色。 酸碱指示剂的发现观察与实验是科学发现与发明的基础。英国化学家波义耳一生中有众多科学发现，酸碱指示剂的发现就是他敏锐观察的结果。 在一次实验中，波义耳不慎将浓盐酸溅到了紫罗兰花瓣上。爱花的波义耳急忙将紫罗兰用水冲洗了一下。过了一会儿，波义耳惊奇地发现深紫色的紫罗兰花瓣变成了红色！ 波义耳没有放过这一奇怪的现象，提出了许多猜想和假设，并做了大量的实验来验证他的猜想。他发现大部分花草与酸性或碱性物质作用都能改变颜色，其中从一种叫作石蕊的地衣植物中提取的紫色浸液的变色效果最明显：遇酸性溶液变成红色，遇碱性溶液变成蓝色。利用这一特点，波义耳用石蕊浸液将纸浸透，然后烘干，制成了实验室中常用的酸碱试纸——石蕊试纸。 红色石蕊试纸遇碱性溶液变成蓝色蓝色石蕊试纸遇酸性溶液变成红色二、怎样判断溶液酸碱性的强弱你一定有这样的生活经验：同样是橘子，有的略带酸味，而有的却很酸。酸味的强弱程度跟什么因素有关呢？怎样判断溶液酸碱性的强弱？ 14\n第七单元常见的酸和碱,539,0,unknown,text-extracted,,2.0,鲁教版-山东教育出版社_九年级_义务教育教科书·化学九年级下册,9,564,2025-07-21T14:25:09.733Z,2.0,2025-07-17T02:36:28.240Z,九年级,[object Object],鲁教版,0.9265536723163842,0.7999999999999999,0.539,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/化学/鲁教版-山东教育出版社/九年级/义务教育教科书·化学九年级下册.pdf,鲁教版-山东教育出版社_九年级_义务教育教科书·化学九年级下册.json,化学,127
鲁教版-山东教育出版社_九年级_义务教育教科书·化学九年级下册_chunk_9,9,14\n第七单元常见的酸和碱 7-4\n测定溶液的pH\n请选择你感兴趣的物质（如白醋、柠檬汁、石灰水、肥皂水、食盐水、蔗糖水、雨水、自来水、汽水、\n啤酒和洗涤剂等），用p H试纸测定它们的p H。按p H由小到大的顺序将被检验试样排序： 试样\npH\n试样\npH\n讨论： 与同学们交流你的测试结果，如果有较大差异，请找出原因。 溶液的酸碱性强弱与pH的关系酸性增强中性碱性增强\n1234567891011121314\n在一定量的水溶液中，H\n+\n越多酸性越强，OH\n-\n越多碱性越强。化学上可以用pH表示溶液酸碱性的强弱程度，pH的数值通常在0和14之间。 pH＜7的溶液呈酸性， pH越小，溶液的酸性越强；pH=7的溶液呈中性；pH＞7的溶液呈碱性，pH越大，溶液的碱性越强。可以用pH试纸来粗略测定溶液的pH。 溶液pH的测定方法通常用p H试纸测定溶液的pH，方法：在洁净干燥的玻璃片或白瓷板上放一片\npH试纸，用洁净干燥的玻璃棒蘸取待测溶液，滴到试纸上，立即将试纸显示的颜色与pH标准比色卡对照，读出对应的pH。在科学研究中， 也常使用一种叫作pH计的电子仪器来测定溶液的pH。 15\n第三节溶液的酸碱性,503,0,unknown,text-extracted,,2.0,鲁教版-山东教育出版社_九年级_义务教育教科书·化学九年级下册,10,595,2025-07-21T14:25:09.733Z,2.0,2025-07-17T02:36:28.240Z,九年级,[object Object],鲁教版,0.729957805907173,0.7999999999999999,0.503,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/化学/鲁教版-山东教育出版社/九年级/义务教育教科书·化学九年级下册.pdf,鲁教版-山东教育出版社_九年级_义务教育教科书·化学九年级下册.json,化学,127
